Site,Date,Temp
WMA (Upper),7/10/2015,60.775
WMA (Upper),7/10/2015,60.046
WMA (Upper),7/10/2015,59.702
WMA (Upper),7/10/2015,59.745
WMA (Upper),7/10/2015,58.368
WMA (Upper),7/10/2015,57.247
WMA (Upper),7/10/2015,57.031
WMA (Upper),7/10/2015,57.893
WMA (Upper),7/10/2015,59.185
WMA (Upper),7/10/2015,60.733
WMA (Upper),7/10/2015,63.262
WMA (Upper),7/10/2015,64.161
WMA (Upper),7/10/2015,67.798
WMA (Upper),7/10/2015,68.698
WMA (Upper),7/10/2015,70.502
WMA (Upper),7/10/2015,71.017
WMA (Upper),7/10/2015,70.587
WMA (Upper),7/10/2015,69.17
WMA (Upper),7/10/2015,69.685
WMA (Upper),7/10/2015,68.185
WMA (Upper),7/10/2015,66.301
WMA (Upper),7/10/2015,63.433
WMA (Upper),7/10/2015,61.29
WMA (Upper),7/10/2015,59.873
WMA (Upper),7/11/2015,58.885
WMA (Upper),7/11/2015,58.368
WMA (Upper),7/11/2015,59.099
WMA (Upper),7/11/2015,60.775
WMA (Upper),7/11/2015,60.26
WMA (Upper),7/11/2015,58.712
WMA (Upper),7/11/2015,56.901
WMA (Upper),7/11/2015,56.685
WMA (Upper),7/11/2015,59.401
WMA (Upper),7/11/2015,62.233
WMA (Upper),7/11/2015,64.332
WMA (Upper),7/11/2015,68.27
WMA (Upper),7/11/2015,71.103
WMA (Upper),7/11/2015,74.034
WMA (Upper),7/11/2015,77.464
WMA (Upper),7/11/2015,77.684
WMA (Upper),7/11/2015,74.64
WMA (Upper),7/11/2015,72.567
WMA (Upper),7/11/2015,69.042
WMA (Upper),7/11/2015,69.256
WMA (Upper),7/11/2015,66.13
WMA (Upper),7/11/2015,63.689
WMA (Upper),7/11/2015,64.546
WMA (Upper),7/11/2015,62.49
WMA (Upper),7/12/2015,60.561
WMA (Upper),7/12/2015,58.842
WMA (Upper),7/12/2015,57.29
WMA (Upper),7/12/2015,56.165
WMA (Upper),7/12/2015,55.429
WMA (Upper),7/12/2015,55.213
WMA (Upper),7/12/2015,54.387
WMA (Upper),7/12/2015,57.074
WMA (Upper),7/12/2015,60.69
WMA (Upper),7/12/2015,66.344
WMA (Upper),7/12/2015,72.221
WMA (Upper),7/12/2015,73.774
WMA (Upper),7/12/2015,75.16
WMA (Upper),7/12/2015,81.642
WMA (Upper),7/12/2015,83.736
WMA (Upper),7/12/2015,80.096
WMA (Upper),7/12/2015,81.333
WMA (Upper),7/12/2015,82.13
WMA (Upper),7/12/2015,79.612
WMA (Upper),7/12/2015,69.901
WMA (Upper),7/12/2015,69.814
WMA (Upper),7/12/2015,70.974
WMA (Upper),7/12/2015,63.903
WMA (Upper),7/12/2015,61.205
WMA (Upper),7/13/2015,64.931
WMA (Upper),7/13/2015,58.885
