"","Year","Month","N","min","mean","max"
"1","17","December",2976,31.942,38.9311,48.805
"2","17","November",1496,38.464,44.5574,50.664
"3","18","April",2880,35.152,47.0074,62.791
"4","18","August",2976,53.69,61.1701,67.885
"5","18","December",2976,32.443,39.142,44.674
"6","18","February",2688,31.892,37.747,46.571
"7","18","January",2976,31.942,38.709,45.806
"8","18","July",2976,54.082,64.2328,72.567
"9","18","June",2880,51.501,60.7094,69.6
"10","18","March",2976,34.516,43.7063,54.604
"11","18","May",2976,45.036,56.1595,66.772
"12","18","November",2880,33.879,42.3976,48.493
"13","18","October",2976,36.12,47.9979,58.195
"14","18","September",2880,47.557,57.9038,66.6
"15","19","February",949,31.942,36.4986,46.706
"16","19","January",2976,31.942,39.2311,46.076
