"","Year","Month","N","min","mean","max"
"1","17","December",2976,31.842,36.3129,48.85
"2","17","November",1476,34.957,41.9803,49.959
"3","18","April",2880,32.443,44.4048,65.615
"4","18","August",2976,51.94,58.9917,65.829
"5","18","December",2976,33.978,37.1813,42.386
"6","18","February",2688,31.993,35.2732,46.301
"7","18","January",2976,31.942,36.1862,44.991
"8","18","July",2976,51.984,62.3945,72.653
"9","18","June",2880,48.049,60.8273,75.16
"10","18","March",2976,32.043,40.8525,57.376
"11","18","May",2976,42.386,54.5103,70.846
"12","18","November",2880,34.907,40.4339,46.076
"13","18","October",2976,37.225,47.0476,56.512
"14","18","September",2880,47.914,56.3051,62.191
"15","19","February",972,33.732,35.4219,40.951
"16","19","January",2976,33.78,36.4731,40.998
