D,DateTime,TempF,Location
1,7/10/2015 12:00,71.317,CedarRiverSite1
2,7/10/2015 12:15,71.49,CedarRiverSite1
3,7/10/2015 12:30,71.62,CedarRiverSite1
4,7/10/2015 12:45,71.834,CedarRiverSite1
5,7/10/2015 13:00,72.093,CedarRiverSite1
6,7/10/2015 13:15,72.653,CedarRiverSite1
7,7/10/2015 13:30,72.997,CedarRiverSite1
8,7/10/2015 13:45,73.213,CedarRiverSite1
9,7/10/2015 14:00,73.429,CedarRiverSite1
10,7/10/2015 14:15,73.602,CedarRiverSite1
11,7/10/2015 14:30,73.774,CedarRiverSite1
12,7/10/2015 14:45,73.99,CedarRiverSite1
13,7/10/2015 15:00,74.295,CedarRiverSite1
14,7/10/2015 15:15,74.77,CedarRiverSite1
15,7/10/2015 15:30,75.074,CedarRiverSite1
16,7/10/2015 15:45,75.42,CedarRiverSite1
17,7/10/2015 16:00,75.81,CedarRiverSite1
18,7/10/2015 16:15,76.114,CedarRiverSite1
19,7/10/2015 16:30,76.158,CedarRiverSite1
20,7/10/2015 16:45,76.375,CedarRiverSite1
21,7/10/2015 17:00,76.681,CedarRiverSite1
22,7/10/2015 17:15,76.768,CedarRiverSite1
23,7/10/2015 17:30,76.768,CedarRiverSite1
24,7/10/2015 17:45,76.725,CedarRiverSite1
25,7/10/2015 18:00,76.636,CedarRiverSite1
26,7/10/2015 18:15,76.507,CedarRiverSite1
27,7/10/2015 18:30,76.375,CedarRiverSite1
28,7/10/2015 18:45,76.203,CedarRiverSite1
29,7/10/2015 19:00,76.028,CedarRiverSite1
30,7/10/2015 19:15,75.985,CedarRiverSite1
31,7/10/2015 19:30,75.853,CedarRiverSite1
32,7/10/2015 19:45,75.767,CedarRiverSite1
33,7/10/2015 20:00,75.463,CedarRiverSite1
34,7/10/2015 20:15,75.16,CedarRiverSite1
35,7/10/2015 20:30,75.074,CedarRiverSite1
36,7/10/2015 20:45,74.856,CedarRiverSite1
37,7/10/2015 21:00,74.424,CedarRiverSite1
38,7/10/2015 21:15,74.163,CedarRiverSite1
39,7/10/2015 21:30,73.99,CedarRiverSite1
40,7/10/2015 21:45,73.645,CedarRiverSite1
41,7/10/2015 22:00,73.256,CedarRiverSite1
42,7/10/2015 22:15,72.912,CedarRiverSite1
43,7/10/2015 22:30,72.567,CedarRiverSite1
44,7/10/2015 22:45,72.264,CedarRiverSite1
45,7/10/2015 23:00,72.007,CedarRiverSite1
46,7/10/2015 23:15,71.748,CedarRiverSite1
47,7/10/2015 23:30,71.533,CedarRiverSite1
48,7/10/2015 23:45,71.274,CedarRiverSite1
49,7/11/2015 0:00,70.974,CedarRiverSite1
50,7/11/2015 0:15,70.716,CedarRiverSite1
51,7/11/2015 0:30,70.459,CedarRiverSite1
52,7/11/2015 0:45,70.201,CedarRiverSite1
53,7/11/2015 1:00,69.942,CedarRiverSite1
54,7/11/2015 1:15,69.685,CedarRiverSite1
55,7/11/2015 1:30,69.557,CedarRiverSite1
56,7/11/2015 1:45,69.427,CedarRiverSite1
57,7/11/2015 2:00,69.3,CedarRiverSite1
58,7/11/2015 2:15,69.213,CedarRiverSite1
59,7/11/2015 2:30,69.129,CedarRiverSite1
60,7/11/2015 2:45,69.042,CedarRiverSite1
61,7/11/2015 3:00,68.956,CedarRiverSite1
62,7/11/2015 3:15,68.871,CedarRiverSite1
63,7/11/2015 3:30,68.742,CedarRiverSite1
64,7/11/2015 3:45,68.657,CedarRiverSite1
65,7/11/2015 4:00,68.571,CedarRiverSite1
66,7/11/2015 4:15,68.484,CedarRiverSite1
67,7/11/2015 4:30,68.4,CedarRiverSite1
68,7/11/2015 4:45,68.313,CedarRiverSite1
69,7/11/2015 5:00,68.27,CedarRiverSite1
70,7/11/2015 5:15,68.185,CedarRiverSite1
71,7/11/2015 5:30,68.099,CedarRiverSite1
72,7/11/2015 5:45,68.056,CedarRiverSite1
73,7/11/2015 6:00,68.013,CedarRiverSite1
74,7/11/2015 6:15,68.013,CedarRiverSite1
75,7/11/2015 6:30,68.013,CedarRiverSite1
76,7/11/2015 6:45,67.971,CedarRiverSite1
77,7/11/2015 7:00,67.971,CedarRiverSite1
78,7/11/2015 7:15,67.971,CedarRiverSite1
79,7/11/2015 7:30,68.013,CedarRiverSite1
80,7/11/2015 7:45,68.013,CedarRiverSite1
81,7/11/2015 8:00,68.056,CedarRiverSite1
82,7/11/2015 8:15,68.142,CedarRiverSite1
83,7/11/2015 8:30,68.227,CedarRiverSite1
84,7/11/2015 8:45,68.356,CedarRiverSite1
85,7/11/2015 9:00,68.527,CedarRiverSite1
86,7/11/2015 9:15,68.785,CedarRiverSite1
87,7/11/2015 9:30,69.042,CedarRiverSite1
88,7/11/2015 9:45,69.343,CedarRiverSite1
89,7/11/2015 10:00,69.6,CedarRiverSite1
90,7/11/2015 10:15,69.985,CedarRiverSite1
91,7/11/2015 10:30,70.416,CedarRiverSite1
92,7/11/2015 10:45,70.803,CedarRiverSite1
93,7/11/2015 11:00,71.231,CedarRiverSite1
94,7/11/2015 11:15,71.791,CedarRiverSite1
95,7/11/2015 11:30,72.007,CedarRiverSite1
96,7/11/2015 11:45,72.264,CedarRiverSite1
97,7/11/2015 12:00,72.653,CedarRiverSite1
98,7/11/2015 12:15,72.997,CedarRiverSite1
99,7/11/2015 12:30,73.602,CedarRiverSite1
100,7/11/2015 12:45,74.25,CedarRiverSite1
101,7/11/2015 13:00,74.943,CedarRiverSite1
102,7/11/2015 13:15,75.637,CedarRiverSite1
103,7/11/2015 13:30,76.375,CedarRiverSite1
104,7/11/2015 13:45,76.986,CedarRiverSite1
105,7/11/2015 14:00,77.421,CedarRiverSite1
106,7/11/2015 14:15,77.945,CedarRiverSite1
107,7/11/2015 14:30,78.471,CedarRiverSite1
108,7/11/2015 14:45,79.041,CedarRiverSite1
109,7/11/2015 15:00,79.435,CedarRiverSite1
110,7/11/2015 15:15,79.876,CedarRiverSite1
111,7/11/2015 15:30,80.316,CedarRiverSite1
112,7/11/2015 15:45,80.625,CedarRiverSite1
113,7/11/2015 16:00,80.978,CedarRiverSite1
114,7/11/2015 16:15,81.244,CedarRiverSite1
115,7/11/2015 16:30,81.554,CedarRiverSite1
116,7/11/2015 16:45,81.819,CedarRiverSite1
117,7/11/2015 17:00,82.085,CedarRiverSite1
118,7/11/2015 17:15,82.218,CedarRiverSite1
