ID,DateTime,TempF,Location,,,,
1,5/27/2016 10:00,53.865,Deadmans Creek,,,,
2,5/27/2016 10:15,54.037,Deadmans Creek,,,,
3,5/27/2016 10:30,54.212,Deadmans Creek,,,,
4,5/27/2016 10:45,54.387,Deadmans Creek,,,,
5,5/27/2016 11:00,54.604,Deadmans Creek,,,,
6,5/27/2016 11:15,54.865,Deadmans Creek,,,,
7,5/27/2016 11:30,55.213,Deadmans Creek,,,,
8,5/27/2016 11:45,55.515,Deadmans Creek,,,,
9,5/27/2016 12:00,55.863,Deadmans Creek,,,,
10,5/27/2016 12:15,56.165,Deadmans Creek,,,,
11,5/27/2016 12:30,56.599,Deadmans Creek,,,,
12,5/27/2016 12:45,56.988,Deadmans Creek,,,,
13,5/27/2016 13:00,57.16,Deadmans Creek,,,,
14,5/27/2016 13:15,57.204,Deadmans Creek,,,,
15,5/27/2016 13:30,57.247,Deadmans Creek,,,,
16,5/27/2016 13:45,57.42,Deadmans Creek,,,,
17,5/27/2016 14:00,57.636,Deadmans Creek,,,,
18,5/27/2016 14:15,57.636,Deadmans Creek,,,,
19,5/27/2016 14:30,57.549,Deadmans Creek,,,,
20,5/27/2016 14:45,57.506,Deadmans Creek,,,,
21,5/27/2016 15:00,57.549,Deadmans Creek,,,,
22,5/27/2016 15:15,57.765,Deadmans Creek,,,,
23,5/27/2016 15:30,58.023,Deadmans Creek,,,,
24,5/27/2016 15:45,57.979,Deadmans Creek,,,,
25,5/27/2016 16:00,58.109,Deadmans Creek,,,,
26,5/27/2016 16:15,58.195,Deadmans Creek,,,,
27,5/27/2016 16:30,58.541,Deadmans Creek,,,,
28,5/27/2016 16:45,58.798,Deadmans Creek,,,,
29,5/27/2016 17:00,58.928,Deadmans Creek,,,,
30,5/27/2016 17:15,59.014,Deadmans Creek,,,,
31,5/27/2016 17:30,59.185,Deadmans Creek,,,,
32,5/27/2016 17:45,59.229,Deadmans Creek,,,,
33,5/27/2016 18:00,59.229,Deadmans Creek,,,,
34,5/27/2016 18:15,59.185,Deadmans Creek,,,,
35,5/27/2016 18:30,59.185,Deadmans Creek,,,,
36,5/27/2016 18:45,59.099,Deadmans Creek,,,,
37,5/27/2016 19:00,59.014,Deadmans Creek,,,,
38,5/27/2016 19:15,59.014,Deadmans Creek,,,,
39,5/27/2016 19:30,58.928,Deadmans Creek,,,,
40,5/27/2016 19:45,58.885,Deadmans Creek,,,,
41,5/27/2016 20:00,58.798,Deadmans Creek,,,,
42,5/27/2016 20:15,58.712,Deadmans Creek,,,,
43,5/27/2016 20:30,58.626,Deadmans Creek,,,,
44,5/27/2016 20:45,58.582,Deadmans Creek,,,,
45,5/27/2016 21:00,58.498,Deadmans Creek,,,,
46,5/27/2016 21:15,58.411,Deadmans Creek,,,,
47,5/27/2016 21:30,58.282,Deadmans Creek,,,,
48,5/27/2016 21:45,58.152,Deadmans Creek,,,,
49,5/27/2016 22:00,58.023,Deadmans Creek,,,,
50,5/27/2016 22:15,57.85,Deadmans Creek,,,,
51,5/27/2016 22:30,57.679,Deadmans Creek,,,,
52,5/27/2016 22:45,57.463,Deadmans Creek,,,,
53,5/27/2016 23:00,57.247,Deadmans Creek,,,,
54,5/27/2016 23:15,57.031,Deadmans Creek,,,,
55,5/27/2016 23:30,56.858,Deadmans Creek,,,,
56,5/27/2016 23:45,56.599,Deadmans Creek,,,,
57,5/28/2016 0:00,56.383,Deadmans Creek,,,,
58,5/28/2016 0:15,56.165,Deadmans Creek,,,,
59,5/28/2016 0:30,55.992,Deadmans Creek,,,,
60,5/28/2016 0:45,55.733,Deadmans Creek,,,,
61,5/28/2016 1:00,55.515,Deadmans Creek,,,,
62,5/28/2016 1:15,55.299,Deadmans Creek,,,,
63,5/28/2016 1:30,55.125,Deadmans Creek,,,,
64,5/28/2016 1:45,54.952,Deadmans Creek,,,,
65,5/28/2016 2:00,54.734,Deadmans Creek,,,,
66,5/28/2016 2:15,54.516,Deadmans Creek,,,,
67,5/28/2016 2:30,54.343,Deadmans Creek,,,,
68,5/28/2016 2:45,54.169,Deadmans Creek,,,,
69,5/28/2016 3:00,53.951,Deadmans Creek,,,,
70,5/28/2016 3:15,53.776,Deadmans Creek,,,,
71,5/28/2016 3:30,53.602,Deadmans Creek,,,,
72,5/28/2016 3:45,53.384,Deadmans Creek,,,,
73,5/28/2016 4:00,53.209,Deadmans Creek,,,,
74,5/28/2016 4:15,53.035,Deadmans Creek,,,,
75,5/28/2016 4:30,52.86,Deadmans Creek,,,,
76,5/28/2016 4:45,52.686,Deadmans Creek,,,,
77,5/28/2016 5:00,52.509,Deadmans Creek,,,,
78,5/28/2016 5:15,52.335,Deadmans Creek,,,,
79,5/28/2016 5:30,52.16,Deadmans Creek,,,,
80,5/28/2016 5:45,51.984,Deadmans Creek,,,,
81,5/28/2016 6:00,51.852,Deadmans Creek,,,,
82,5/28/2016 6:15,51.678,Deadmans Creek,,,,
83,5/28/2016 6:30,51.544,Deadmans Creek,,,,
84,5/28/2016 6:45,51.37,Deadmans Creek,,,,
85,5/28/2016 7:00,51.237,Deadmans Creek,,,,
86,5/28/2016 7:15,51.105,Deadmans Creek,,,,
87,5/28/2016 7:30,50.974,Deadmans Creek,,,,
88,5/28/2016 7:45,50.886,Deadmans Creek,,,,
89,5/28/2016 8:00,50.841,Deadmans Creek,,,,
90,5/28/2016 8:15,50.797,Deadmans Creek,,,,
91,5/28/2016 8:30,50.752,Deadmans Creek,,,,
92,5/28/2016 8:45,50.797,Deadmans Creek,,,,
93,5/28/2016 9:00,50.886,Deadmans Creek,,,,
94,5/28/2016 9:15,51.017,Deadmans Creek,,,,
95,5/28/2016 9:30,51.148,Deadmans Creek,,,,
96,5/28/2016 9:45,51.37,Deadmans Creek,,,,
97,5/28/2016 10:00,51.633,Deadmans Creek,,,,
98,5/28/2016 10:15,51.895,Deadmans Creek,,,,
99,5/28/2016 10:30,52.203,Deadmans Creek,,,,
100,5/28/2016 10:45,52.554,Deadmans Creek,,,,
101,5/28/2016 11:00,52.947,Deadmans Creek,,,,
102,5/28/2016 11:15,53.384,Deadmans Creek,,,,
103,5/28/2016 11:30,53.908,Deadmans Creek,,,,
104,5/28/2016 11:45,54.473,Deadmans Creek,,,,
105,5/28/2016 12:00,55.125,Deadmans Creek,,,,
106,5/28/2016 12:15,55.69,Deadmans Creek,,,,
107,5/28/2016 12:30,56.165,Deadmans Creek,,,,
108,5/28/2016 12:45,56.556,Deadmans Creek,,,,
