ID,DateTime,TempF,Location,,,,
1,6/2/2017 15:00,78.514,Dismal River Dunning,,,,
2,6/2/2017 15:15,78.91,Dismal River Dunning,,,,
3,6/2/2017 15:30,79.304,Dismal River Dunning,,,,
4,6/2/2017 15:45,79.567,Dismal River Dunning,,,,
5,6/2/2017 16:00,79.743,Dismal River Dunning,,,,
6,6/2/2017 16:15,79.92,Dismal River Dunning,,,,
7,6/2/2017 16:30,80.096,Dismal River Dunning,,,,
8,6/2/2017 16:45,80.227,Dismal River Dunning,,,,
9,6/2/2017 17:00,80.316,Dismal River Dunning,,,,
10,6/2/2017 17:15,80.316,Dismal River Dunning,,,,
11,6/2/2017 17:30,80.361,Dismal River Dunning,,,,
12,6/2/2017 17:45,80.272,Dismal River Dunning,,,,
13,6/2/2017 18:00,80.139,Dismal River Dunning,,,,
14,6/2/2017 18:15,79.963,Dismal River Dunning,,,,
15,6/2/2017 18:30,79.7,Dismal River Dunning,,,,
16,6/2/2017 18:45,79.347,Dismal River Dunning,,,,
17,6/2/2017 19:00,78.996,Dismal River Dunning,,,,
18,6/2/2017 19:15,78.514,Dismal River Dunning,,,,
19,6/2/2017 19:30,77.99,Dismal River Dunning,,,,
20,6/2/2017 19:45,77.509,Dismal River Dunning,,,,
21,6/2/2017 20:00,77.029,Dismal River Dunning,,,,
22,6/2/2017 20:15,76.55,Dismal River Dunning,,,,
23,6/2/2017 20:30,76.114,Dismal River Dunning,,,,
24,6/2/2017 20:45,75.724,Dismal River Dunning,,,,
25,6/2/2017 21:00,75.42,Dismal River Dunning,,,,
26,6/2/2017 21:15,75.074,Dismal River Dunning,,,,
27,6/2/2017 21:30,74.77,Dismal River Dunning,,,,
28,6/2/2017 21:45,74.424,Dismal River Dunning,,,,
29,6/2/2017 22:00,74.12,Dismal River Dunning,,,,
30,6/2/2017 22:15,73.818,Dismal River Dunning,,,,
31,6/2/2017 22:30,73.515,Dismal River Dunning,,,,
32,6/2/2017 22:45,73.256,Dismal River Dunning,,,,
33,6/2/2017 23:00,72.997,Dismal River Dunning,,,,
34,6/2/2017 23:15,72.696,Dismal River Dunning,,,,
35,6/2/2017 23:30,72.394,Dismal River Dunning,,,,
36,6/2/2017 23:45,72.136,Dismal River Dunning,,,,
37,6/3/2017 0:00,71.964,Dismal River Dunning,,,,
38,6/3/2017 0:15,71.791,Dismal River Dunning,,,,
39,6/3/2017 0:30,71.577,Dismal River Dunning,,,,
40,6/3/2017 0:45,71.404,Dismal River Dunning,,,,
41,6/3/2017 1:00,71.231,Dismal River Dunning,,,,
42,6/3/2017 1:15,71.017,Dismal River Dunning,,,,
43,6/3/2017 1:30,70.803,Dismal River Dunning,,,,
44,6/3/2017 1:45,70.587,Dismal River Dunning,,,,
45,6/3/2017 2:00,70.372,Dismal River Dunning,,,,
46,6/3/2017 2:15,70.115,Dismal River Dunning,,,,
47,6/3/2017 2:30,69.901,Dismal River Dunning,,,,
48,6/3/2017 2:45,69.643,Dismal River Dunning,,,,
49,6/3/2017 3:00,69.386,Dismal River Dunning,,,,
50,6/3/2017 3:15,69.17,Dismal River Dunning,,,,
51,6/3/2017 3:30,68.913,Dismal River Dunning,,,,
52,6/3/2017 3:45,68.657,Dismal River Dunning,,,,
53,6/3/2017 4:00,68.4,Dismal River Dunning,,,,
54,6/3/2017 4:15,68.142,Dismal River Dunning,,,,
55,6/3/2017 4:30,67.885,Dismal River Dunning,,,,
56,6/3/2017 4:45,67.671,Dismal River Dunning,,,,
57,6/3/2017 5:00,67.413,Dismal River Dunning,,,,
58,6/3/2017 5:15,67.199,Dismal River Dunning,,,,
59,6/3/2017 5:30,66.985,Dismal River Dunning,,,,
60,6/3/2017 5:45,66.772,Dismal River Dunning,,,,
61,6/3/2017 6:00,66.558,Dismal River Dunning,,,,
62,6/3/2017 6:15,66.344,Dismal River Dunning,,,,
63,6/3/2017 6:30,66.173,Dismal River Dunning,,,,
64,6/3/2017 6:45,66,Dismal River Dunning,,,,
65,6/3/2017 7:00,65.872,Dismal River Dunning,,,,
66,6/3/2017 7:15,65.829,Dismal River Dunning,,,,
67,6/3/2017 7:30,65.788,Dismal River Dunning,,,,
68,6/3/2017 7:45,65.829,Dismal River Dunning,,,,
69,6/3/2017 8:00,65.916,Dismal River Dunning,,,,
70,6/3/2017 8:15,66,Dismal River Dunning,,,,
71,6/3/2017 8:30,66.13,Dismal River Dunning,,,,
72,6/3/2017 8:45,66.214,Dismal River Dunning,,,,
73,6/3/2017 9:00,66.385,Dismal River Dunning,,,,
74,6/3/2017 9:15,66.6,Dismal River Dunning,,,,
75,6/3/2017 9:30,66.943,Dismal River Dunning,,,,
76,6/3/2017 9:45,67.372,Dismal River Dunning,,,,
77,6/3/2017 10:00,67.842,Dismal River Dunning,,,,
78,6/3/2017 10:15,68.27,Dismal River Dunning,,,,
79,6/3/2017 10:30,68.742,Dismal River Dunning,,,,
80,6/3/2017 10:45,69.386,Dismal River Dunning,,,,
81,6/3/2017 11:00,70.029,Dismal River Dunning,,,,
82,6/3/2017 11:15,70.716,Dismal River Dunning,,,,
83,6/3/2017 11:30,71.361,Dismal River Dunning,,,,
84,6/3/2017 11:45,71.964,Dismal River Dunning,,,,
85,6/3/2017 12:00,72.61,Dismal River Dunning,,,,
86,6/3/2017 12:15,73.083,Dismal River Dunning,,,,
87,6/3/2017 12:30,73.861,Dismal River Dunning,,,,
88,6/3/2017 12:45,74.597,Dismal River Dunning,,,,
89,6/3/2017 13:00,75.029,Dismal River Dunning,,,,
90,6/3/2017 13:15,75.247,Dismal River Dunning,,,,
91,6/3/2017 13:30,74.986,Dismal River Dunning,,,,
92,6/3/2017 13:45,74.899,Dismal River Dunning,,,,
93,6/3/2017 14:00,74.943,Dismal River Dunning,,,,
94,6/3/2017 14:15,75.029,Dismal River Dunning,,,,
95,6/3/2017 14:30,75.117,Dismal River Dunning,,,,
