"Plot Title: Bone Creek 2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739547, SEN S/N: 10739547)","Coupler Detached (LGR S/N: 10739547)","Coupler Attached (LGR S/N: 10739547)","Host Connected (LGR S/N: 10739547)","Stopped (LGR S/N: 10739547)","End Of File (LGR S/N: 10739547)"
1,11/02/16 05:00:00 PM,56.599,Logged,,,,
2,11/02/16 05:15:00 PM,56.383,,,,,
3,11/02/16 05:30:00 PM,56.165,,,,,
4,11/02/16 05:45:00 PM,55.949,,,,,
5,11/02/16 06:00:00 PM,55.733,,,,,
6,11/02/16 06:15:00 PM,55.515,,,,,
7,11/02/16 06:30:00 PM,55.299,,,,,
8,11/02/16 06:45:00 PM,55.038,,,,,
9,11/02/16 07:00:00 PM,54.777,,,,,
10,11/02/16 07:15:00 PM,54.516,,,,,
11,11/02/16 07:30:00 PM,54.300,,,,,
12,11/02/16 07:45:00 PM,54.037,,,,,
13,11/02/16 08:00:00 PM,53.776,,,,,
14,11/02/16 08:15:00 PM,53.559,,,,,
15,11/02/16 08:30:00 PM,53.341,,,,,
16,11/02/16 08:45:00 PM,53.121,,,,,
17,11/02/16 09:00:00 PM,52.903,,,,,
18,11/02/16 09:15:00 PM,52.686,,,,,
19,11/02/16 09:30:00 PM,52.466,,,,,
20,11/02/16 09:45:00 PM,52.246,,,,,
21,11/02/16 10:00:00 PM,52.072,,,,,
22,11/02/16 10:15:00 PM,51.852,,,,,
23,11/02/16 10:30:00 PM,51.633,,,,,
24,11/02/16 10:45:00 PM,51.458,,,,,
25,11/02/16 11:00:00 PM,51.282,,,,,
26,11/02/16 11:15:00 PM,51.105,,,,,
27,11/02/16 11:30:00 PM,50.929,,,,,
28,11/02/16 11:45:00 PM,50.752,,,,,
29,11/03/16 12:00:00 AM,50.576,,,,,
30,11/03/16 12:15:00 AM,50.445,,,,,
31,11/03/16 12:30:00 AM,50.268,,,,,
32,11/03/16 12:45:00 AM,50.135,,,,,
33,11/03/16 01:00:00 AM,49.959,,,,,
34,11/03/16 01:15:00 AM,49.825,,,,,
35,11/03/16 01:30:00 AM,49.692,,,,,
36,11/03/16 01:45:00 AM,49.561,,,,,
37,11/03/16 02:00:00 AM,49.428,,,,,
38,11/03/16 02:15:00 AM,49.294,,,,,
39,11/03/16 02:30:00 AM,49.161,,,,,
40,11/03/16 02:45:00 AM,49.028,,,,,
41,11/03/16 03:00:00 AM,48.938,,,,,
42,11/03/16 03:15:00 AM,48.805,,,,,
43,11/03/16 03:30:00 AM,48.672,,,,,
44,11/03/16 03:45:00 AM,48.538,,,,,
45,11/03/16 04:00:00 AM,48.450,,,,,
46,11/03/16 04:15:00 AM,48.315,,,,,
47,11/03/16 04:30:00 AM,48.182,,,,,
48,11/03/16 04:45:00 AM,48.094,,,,,
49,11/03/16 05:00:00 AM,47.959,,,,,
50,11/03/16 05:15:00 AM,47.871,,,,,
51,11/03/16 05:30:00 AM,47.736,,,,,
52,11/03/16 05:45:00 AM,47.647,,,,,
53,11/03/16 06:00:00 AM,47.557,,,,,
54,11/03/16 06:15:00 AM,47.422,,,,,
55,11/03/16 06:30:00 AM,47.334,,,,,
56,11/03/16 06:45:00 AM,47.244,,,,,
57,11/03/16 07:00:00 AM,47.154,,,,,
58,11/03/16 07:15:00 AM,47.064,,,,,
59,11/03/16 07:30:00 AM,46.974,,,,,
60,11/03/16 07:45:00 AM,46.886,,,,,
61,11/03/16 08:00:00 AM,46.796,,,,,
62,11/03/16 08:15:00 AM,46.706,,,,,
63,11/03/16 08:30:00 AM,46.661,,,,,
64,11/03/16 08:45:00 AM,46.571,,,,,
65,11/03/16 09:00:00 AM,46.526,,,,,
66,11/03/16 09:15:00 AM,46.481,,,,,
67,11/03/16 09:30:00 AM,46.481,,,,,
68,11/03/16 09:45:00 AM,46.481,,,,,
69,11/03/16 10:00:00 AM,46.571,,,,,
70,11/03/16 10:15:00 AM,46.661,,,,,
71,11/03/16 10:30:00 AM,46.886,,,,,
72,11/03/16 10:45:00 AM,47.154,,,,,
73,11/03/16 11:00:00 AM,47.512,,,,,
74,11/03/16 11:15:00 AM,47.914,,,,,
75,11/03/16 11:30:00 AM,48.360,,,,,
76,11/03/16 11:45:00 AM,48.895,,,,,
77,11/03/16 12:00:00 PM,49.428,,,,,
78,11/03/16 12:15:00 PM,50.002,,,,,
79,11/03/16 12:30:00 PM,50.576,,,,,
80,11/03/16 12:45:00 PM,51.193,,,,,
81,11/03/16 01:00:00 PM,51.764,,,,,
82,11/03/16 01:15:00 PM,52.335,,,,,
83,11/03/16 01:30:00 PM,52.860,,,,,
84,11/03/16 01:45:00 PM,53.427,,,,,
85,11/03/16 02:00:00 PM,53.908,,,,,
86,11/03/16 02:15:00 PM,54.343,,,,,
87,11/03/16 02:30:00 PM,54.691,,,,,
88,11/03/16 02:45:00 PM,55.038,,,,,
89,11/03/16 03:00:00 PM,55.299,,,,,
90,11/03/16 03:15:00 PM,55.515,,,,,
91,11/03/16 03:30:00 PM,55.690,,,,,
92,11/03/16 03:45:00 PM,55.776,,,,,
93,11/03/16 04:00:00 PM,55.819,,,,,
94,11/03/16 04:15:00 PM,55.776,,,,,
95,11/03/16 04:30:00 PM,55.690,,,,,
96,11/03/16 04:45:00 PM,55.558,,,,,
97,11/03/16 05:00:00 PM,55.386,,,,,
98,11/03/16 05:15:00 PM,55.168,,,,,
99,11/03/16 05:30:00 PM,54.952,,,,,
100,11/03/16 05:45:00 PM,54.691,,,,,
101,11/03/16 06:00:00 PM,54.430,,,,,
102,11/03/16 06:15:00 PM,54.212,,,,,
103,11/03/16 06:30:00 PM,53.994,,,,,
104,11/03/16 06:45:00 PM,53.733,,,,,
105,11/03/16 07:00:00 PM,53.472,,,,,
106,11/03/16 07:15:00 PM,53.209,,,,,
107,11/03/16 07:30:00 PM,52.947,,,,,
108,11/03/16 07:45:00 PM,52.686,,,,,
109,11/03/16 08:00:00 PM,52.423,,,,,
110,11/03/16 08:15:00 PM,52.203,,,,,
111,11/03/16 08:30:00 PM,51.984,,,,,
112,11/03/16 08:45:00 PM,51.764,,,,,
113,11/03/16 09:00:00 PM,51.544,,,,,
114,11/03/16 09:15:00 PM,51.325,,,,,
115,11/03/16 09:30:00 PM,51.105,,,,,
116,11/03/16 09:45:00 PM,50.929,,,,,
