"Plot Title: 9 Mile WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408894, SEN S/N: 2408894)","Coupler Detached (LGR S/N: 2408894)","Coupler Attached (LGR S/N: 2408894)","Host Connected (LGR S/N: 2408894)","Stopped (LGR S/N: 2408894)","End Of File (LGR S/N: 2408894)"
1,06/08/17 01:00:00 PM,60.818,Logged,,,,
2,06/08/17 01:15:00 PM,61.290,,,,,
3,06/08/17 01:30:00 PM,61.633,,,,,
4,06/08/17 01:45:00 PM,62.105,,,,,
5,06/08/17 02:00:00 PM,62.577,,,,,
6,06/08/17 02:15:00 PM,63.005,,,,,
7,06/08/17 02:30:00 PM,63.433,,,,,
8,06/08/17 02:45:00 PM,63.862,,,,,
9,06/08/17 03:00:00 PM,64.247,,,,,
10,06/08/17 03:15:00 PM,64.589,,,,,
11,06/08/17 03:30:00 PM,64.931,,,,,
12,06/08/17 03:45:00 PM,65.230,,,,,
13,06/08/17 04:00:00 PM,65.444,,,,,
14,06/08/17 04:15:00 PM,65.701,,,,,
15,06/08/17 04:30:00 PM,65.872,,,,,
16,06/08/17 04:45:00 PM,66.043,,,,,
17,06/08/17 05:00:00 PM,66.130,,,,,
18,06/08/17 05:15:00 PM,66.173,,,,,
19,06/08/17 05:30:00 PM,66.173,,,,,
20,06/08/17 05:45:00 PM,66.173,,,,,
21,06/08/17 06:00:00 PM,66.130,,,,,
22,06/08/17 06:15:00 PM,66.087,,,,,
23,06/08/17 06:30:00 PM,65.959,,,,,
24,06/08/17 06:45:00 PM,65.829,,,,,
25,06/08/17 07:00:00 PM,65.658,,,,,
26,06/08/17 07:15:00 PM,65.487,,,,,
27,06/08/17 07:30:00 PM,65.316,,,,,
28,06/08/17 07:45:00 PM,65.059,,,,,
29,06/08/17 08:00:00 PM,64.845,,,,,
30,06/08/17 08:15:00 PM,64.632,,,,,
31,06/08/17 08:30:00 PM,64.375,,,,,
32,06/08/17 08:45:00 PM,64.161,,,,,
33,06/08/17 09:00:00 PM,63.903,,,,,
34,06/08/17 09:15:00 PM,63.648,,,,,
35,06/08/17 09:30:00 PM,63.433,,,,,
36,06/08/17 09:45:00 PM,63.176,,,,,
37,06/08/17 10:00:00 PM,62.919,,,,,
38,06/08/17 10:15:00 PM,62.704,,,,,
39,06/08/17 10:30:00 PM,62.447,,,,,
