"Plot Title: AID"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719023, SEN S/N: 10719023)","Coupler Detached (LGR S/N: 10719023)","Coupler Attached (LGR S/N: 10719023)","Host Connected (LGR S/N: 10719023)","Stopped (LGR S/N: 10719023)","End Of File (LGR S/N: 10719023)"
1,06/22/17 01:00:00 PM,65.230,Logged,,,,
2,06/22/17 01:15:00 PM,65.273,,,,,
3,06/22/17 01:30:00 PM,65.615,,,,,
4,06/22/17 01:45:00 PM,65.745,,,,,
5,06/22/17 02:00:00 PM,65.959,,,,,
6,06/22/17 02:15:00 PM,66.258,,,,,
7,06/22/17 02:30:00 PM,66.729,,,,,
8,06/22/17 02:45:00 PM,66.772,,,,,
9,06/22/17 03:00:00 PM,66.985,,,,,
10,06/22/17 03:15:00 PM,67.329,,,,,
11,06/22/17 03:30:00 PM,67.586,,,,,
12,06/22/17 03:45:00 PM,67.627,,,,,
13,06/22/17 04:00:00 PM,67.671,,,,,
14,06/22/17 04:15:00 PM,67.757,,,,,
15,06/22/17 04:30:00 PM,67.456,,,,,
16,06/22/17 04:45:00 PM,67.456,,,,,
17,06/22/17 05:00:00 PM,67.372,,,,,
18,06/22/17 05:15:00 PM,67.329,,,,,
19,06/22/17 05:30:00 PM,67.329,,,,,
20,06/22/17 05:45:00 PM,67.456,,,,,
21,06/22/17 06:00:00 PM,67.586,,,,,
22,06/22/17 06:15:00 PM,67.671,,,,,
23,06/22/17 06:30:00 PM,67.627,,,,,
24,06/22/17 06:45:00 PM,67.413,,,,,
25,06/22/17 07:00:00 PM,67.114,,,,,
26,06/22/17 07:15:00 PM,66.985,,,,,
27,06/22/17 07:30:00 PM,67.028,,,,,
28,06/22/17 07:45:00 PM,67.071,,,,,
29,06/22/17 08:00:00 PM,66.943,,,,,
30,06/22/17 08:15:00 PM,66.686,,,,,
31,06/22/17 08:30:00 PM,66.558,,,,,
32,06/22/17 08:45:00 PM,66.429,,,,,
33,06/22/17 09:00:00 PM,66.301,,,,,
34,06/22/17 09:15:00 PM,66.043,,,,,
35,06/22/17 09:30:00 PM,65.701,,,,,
36,06/22/17 09:45:00 PM,65.359,,,,,
37,06/22/17 10:00:00 PM,65.316,,,,,
38,06/22/17 10:15:00 PM,65.273,,,,,
39,06/22/17 10:30:00 PM,65.230,,,,,
40,06/22/17 10:45:00 PM,65.102,,,,,
41,06/22/17 11:00:00 PM,65.017,,,,,
42,06/22/17 11:15:00 PM,64.974,,,,,
43,06/22/17 11:30:00 PM,64.888,,,,,
44,06/22/17 11:45:00 PM,64.845,,,,,
45,06/23/17 12:00:00 AM,64.717,,,,,
46,06/23/17 12:15:00 AM,64.589,,,,,
47,06/23/17 12:30:00 AM,64.418,,,,,
48,06/23/17 12:45:00 AM,64.288,,,,,
49,06/23/17 01:00:00 AM,64.247,,,,,
50,06/23/17 01:15:00 AM,64.161,,,,,
51,06/23/17 01:30:00 AM,64.033,,,,,
52,06/23/17 01:45:00 AM,63.903,,,,,
53,06/23/17 02:00:00 AM,63.732,,,,,
54,06/23/17 02:15:00 AM,63.648,,,,,
55,06/23/17 02:30:00 AM,63.604,,,,,
56,06/23/17 02:45:00 AM,63.475,,,,,
57,06/23/17 03:00:00 AM,63.304,,,,,
58,06/23/17 03:15:00 AM,63.219,,,,,
59,06/23/17 03:30:00 AM,63.090,,,,,
60,06/23/17 03:45:00 AM,62.919,,,,,
61,06/23/17 04:00:00 AM,62.791,,,,,
62,06/23/17 04:15:00 AM,62.620,,,,,
63,06/23/17 04:30:00 AM,62.447,,,,,
64,06/23/17 04:45:00 AM,62.191,,,,,
65,06/23/17 05:00:00 AM,61.934,,,,,
66,06/23/17 05:15:00 AM,61.720,,,,,
67,06/23/17 05:30:00 AM,61.462,,,,,
68,06/23/17 05:45:00 AM,61.248,,,,,
69,06/23/17 06:00:00 AM,61.032,,,,,
70,06/23/17 06:15:00 AM,60.904,,,,,
71,06/23/17 06:30:00 AM,60.775,,,,,
72,06/23/17 06:45:00 AM,60.690,,,,,
73,06/23/17 07:00:00 AM,60.604,,,,,
74,06/23/17 07:15:00 AM,60.517,,,,,
75,06/23/17 07:30:00 AM,60.433,,,,,
76,06/23/17 07:45:00 AM,60.303,,,,,
77,06/23/17 08:00:00 AM,60.132,,,,,
78,06/23/17 08:15:00 AM,59.959,,,,,
79,06/23/17 08:30:00 AM,59.830,,,,,
80,06/23/17 08:45:00 AM,59.702,,,,,
81,06/23/17 09:00:00 AM,59.702,,,,,
82,06/23/17 09:15:00 AM,59.745,,,,,
83,06/23/17 09:30:00 AM,59.830,,,,,
84,06/23/17 09:45:00 AM,59.916,,,,,
85,06/23/17 10:00:00 AM,60.003,,,,,
86,06/23/17 10:15:00 AM,60.132,,,,,
87,06/23/17 10:30:00 AM,60.174,,,,,
88,06/23/17 10:45:00 AM,60.433,,,,,
89,06/23/17 11:00:00 AM,60.733,,,,,
90,06/23/17 11:15:00 AM,60.690,,,,,
91,06/23/17 11:30:00 AM,60.733,,,,,
92,06/23/17 11:45:00 AM,61.075,,,,,
93,06/23/17 12:00:00 PM,61.290,,,,,
94,06/23/17 12:15:00 PM,61.419,,,,,
95,06/23/17 12:30:00 PM,61.333,,,,,
96,06/23/17 12:45:00 PM,61.590,,,,,
97,06/23/17 01:00:00 PM,61.934,,,,,
98,06/23/17 01:15:00 PM,62.105,,,,,
99,06/23/17 01:30:00 PM,62.362,,,,,
100,06/23/17 01:45:00 PM,62.490,,,,,
101,06/23/17 02:00:00 PM,62.661,,,,,
102,06/23/17 02:15:00 PM,62.834,,,,,
103,06/23/17 02:30:00 PM,63.219,,,,,
104,06/23/17 02:45:00 PM,63.090,,,,,
105,06/23/17 03:00:00 PM,63.390,,,,,
106,06/23/17 03:15:00 PM,63.689,,,,,
107,06/23/17 03:30:00 PM,63.946,,,,,
108,06/23/17 03:45:00 PM,64.033,,,,,
109,06/23/17 04:00:00 PM,64.288,,,,,
110,06/23/17 04:15:00 PM,64.589,,,,,
111,06/23/17 04:30:00 PM,65.273,,,,,
112,06/23/17 04:45:00 PM,65.359,,,,,
113,06/23/17 05:00:00 PM,65.403,,,,,
114,06/23/17 05:15:00 PM,65.615,,,,,
115,06/23/17 05:30:00 PM,65.403,,,,,
116,06/23/17 05:45:00 PM,65.316,,,,,
117,06/23/17 06:00:00 PM,65.658,,,,,
118,06/23/17 06:15:00 PM,65.872,,,,,
119,06/23/17 06:30:00 PM,66.043,,,,,
120,06/23/17 06:45:00 PM,66.087,,,,,
121,06/23/17 07:00:00 PM,65.916,,,,,
122,06/23/17 07:15:00 PM,65.872,,,,,
123,06/23/17 07:30:00 PM,65.574,,,,,
124,06/23/17 07:45:00 PM,65.530,,,,,
125,06/23/17 08:00:00 PM,65.403,,,,,
126,06/23/17 08:15:00 PM,65.444,,,,,
127,06/23/17 08:30:00 PM,65.188,,,,,
128,06/23/17 08:45:00 PM,65.059,,,,,
129,06/23/17 09:00:00 PM,64.974,,,,,
130,06/23/17 09:15:00 PM,64.888,,,,,
131,06/23/17 09:30:00 PM,64.632,,,,,
132,06/23/17 09:45:00 PM,64.503,,,,,
133,06/23/17 10:00:00 PM,64.204,,,,,
134,06/23/17 10:15:00 PM,64.033,,,,,
135,06/23/17 10:30:00 PM,63.862,,,,,
136,06/23/17 10:45:00 PM,63.775,,,,,
137,06/23/17 11:00:00 PM,63.561,,,,,
138,06/23/17 11:15:00 PM,63.475,,,,,
139,06/23/17 11:30:00 PM,63.390,,,,,
140,06/23/17 11:45:00 PM,63.262,,,,,
141,06/24/17 12:00:00 AM,63.219,,,,,
142,06/24/17 12:15:00 AM,63.090,,,,,
143,06/24/17 12:30:00 AM,62.962,,,,,
