"Plot Title: Bone (wma)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20116065, SEN S/N: 20116065)","Coupler Detached (LGR S/N: 20116065)","Coupler Attached (LGR S/N: 20116065)","Host Connected (LGR S/N: 20116065)","Stopped (LGR S/N: 20116065)","End Of File (LGR S/N: 20116065)"
1,06/22/17 05:00:00 PM,72.264,Logged,,,,
2,06/22/17 05:15:00 PM,72.093,,,,,
3,06/22/17 05:30:00 PM,71.964,,,,,
4,06/22/17 05:45:00 PM,71.834,,,,,
5,06/22/17 06:00:00 PM,71.704,,,,,
6,06/22/17 06:15:00 PM,71.620,,,,,
7,06/22/17 06:30:00 PM,71.404,,,,,
8,06/22/17 06:45:00 PM,71.146,,,,,
9,06/22/17 07:00:00 PM,70.887,,,,,
10,06/22/17 07:15:00 PM,70.716,,,,,
11,06/22/17 07:30:00 PM,70.459,,,,,
12,06/22/17 07:45:00 PM,70.158,,,,,
13,06/22/17 08:00:00 PM,70.072,,,,,
14,06/22/17 08:15:00 PM,69.901,,,,,
15,06/22/17 08:30:00 PM,69.728,,,,,
16,06/22/17 08:45:00 PM,69.471,,,,,
17,06/22/17 09:00:00 PM,69.256,,,,,
18,06/22/17 09:15:00 PM,69.042,,,,,
19,06/22/17 09:30:00 PM,68.828,,,,,
20,06/22/17 09:45:00 PM,68.571,,,,,
21,06/22/17 10:00:00 PM,68.313,,,,,
22,06/22/17 10:15:00 PM,68.099,,,,,
23,06/22/17 10:30:00 PM,67.798,,,,,
24,06/22/17 10:45:00 PM,67.543,,,,,
25,06/22/17 11:00:00 PM,67.329,,,,,
26,06/22/17 11:15:00 PM,67.071,,,,,
27,06/22/17 11:30:00 PM,66.814,,,,,
28,06/22/17 11:45:00 PM,66.558,,,,,
29,06/23/17 12:00:00 AM,66.344,,,,,
30,06/23/17 12:15:00 AM,66.087,,,,,
31,06/23/17 12:30:00 AM,65.872,,,,,
32,06/23/17 12:45:00 AM,65.658,,,,,
33,06/23/17 01:00:00 AM,65.444,,,,,
34,06/23/17 01:15:00 AM,65.230,,,,,
35,06/23/17 01:30:00 AM,65.017,,,,,
36,06/23/17 01:45:00 AM,64.845,,,,,
37,06/23/17 02:00:00 AM,64.674,,,,,
38,06/23/17 02:15:00 AM,64.503,,,,,
39,06/23/17 02:30:00 AM,64.375,,,,,
40,06/23/17 02:45:00 AM,64.204,,,,,
41,06/23/17 03:00:00 AM,64.033,,,,,
42,06/23/17 03:15:00 AM,63.903,,,,,
43,06/23/17 03:30:00 AM,63.775,,,,,
44,06/23/17 03:45:00 AM,63.648,,,,,
45,06/23/17 04:00:00 AM,63.475,,,,,
46,06/23/17 04:15:00 AM,63.304,,,,,
47,06/23/17 04:30:00 AM,63.090,,,,,
48,06/23/17 04:45:00 AM,62.962,,,,,
49,06/23/17 05:00:00 AM,62.791,,,,,
50,06/23/17 05:15:00 AM,62.620,,,,,
51,06/23/17 05:30:00 AM,62.447,,,,,
52,06/23/17 05:45:00 AM,62.233,,,,,
53,06/23/17 06:00:00 AM,62.062,,,,,
54,06/23/17 06:15:00 AM,61.891,,,,,
55,06/23/17 06:30:00 AM,61.720,,,,,
56,06/23/17 06:45:00 AM,61.590,,,,,
57,06/23/17 07:00:00 AM,61.419,,,,,
58,06/23/17 07:15:00 AM,61.248,,,,,
59,06/23/17 07:30:00 AM,61.119,,,,,
60,06/23/17 07:45:00 AM,60.991,,,,,
61,06/23/17 08:00:00 AM,60.861,,,,,
62,06/23/17 08:15:00 AM,60.818,,,,,
63,06/23/17 08:30:00 AM,60.733,,,,,
64,06/23/17 08:45:00 AM,60.647,,,,,
65,06/23/17 09:00:00 AM,60.561,,,,,
66,06/23/17 09:15:00 AM,60.647,,,,,
67,06/23/17 09:30:00 AM,60.818,,,,,
68,06/23/17 09:45:00 AM,61.032,,,,,
69,06/23/17 10:00:00 AM,61.162,,,,,
70,06/23/17 10:15:00 AM,61.333,,,,,
71,06/23/17 10:30:00 AM,61.804,,,,,
72,06/23/17 10:45:00 AM,62.019,,,,,
73,06/23/17 11:00:00 AM,62.447,,,,,
74,06/23/17 11:15:00 AM,62.834,,,,,
75,06/23/17 11:30:00 AM,63.390,,,,,
76,06/23/17 11:45:00 AM,64.117,,,,,
77,06/23/17 12:00:00 PM,64.503,,,,,
78,06/23/17 12:15:00 PM,65.017,,,,,
79,06/23/17 12:30:00 PM,65.403,,,,,
80,06/23/17 12:45:00 PM,65.615,,,,,
81,06/23/17 01:00:00 PM,65.872,,,,,
82,06/23/17 01:15:00 PM,66.130,,,,,
83,06/23/17 01:30:00 PM,66.515,,,,,
84,06/23/17 01:45:00 PM,66.729,,,,,
85,06/23/17 02:00:00 PM,67.028,,,,,
86,06/23/17 02:15:00 PM,67.158,,,,,
87,06/23/17 02:30:00 PM,67.500,,,,,
88,06/23/17 02:45:00 PM,67.671,,,,,
89,06/23/17 03:00:00 PM,68.185,,,,,
90,06/23/17 03:15:00 PM,68.828,,,,,
91,06/23/17 03:30:00 PM,69.085,,,,,
92,06/23/17 03:45:00 PM,69.427,,,,,
93,06/23/17 04:00:00 PM,69.643,,,,,
94,06/23/17 04:15:00 PM,69.514,,,,,
95,06/23/17 04:30:00 PM,69.643,,,,,
96,06/23/17 04:45:00 PM,69.728,,,,,
97,06/23/17 05:00:00 PM,69.942,,,,,
98,06/23/17 05:15:00 PM,69.901,,,,,
99,06/23/17 05:30:00 PM,69.814,,,,,
100,06/23/17 05:45:00 PM,69.685,,,,,
101,06/23/17 06:00:00 PM,69.343,,,,,
102,06/23/17 06:15:00 PM,69.129,,,,,
103,06/23/17 06:30:00 PM,68.828,,,,,
104,06/23/17 06:45:00 PM,68.571,,,,,
105,06/23/17 07:00:00 PM,68.227,,,,,
106,06/23/17 07:15:00 PM,67.928,,,,,
107,06/23/17 07:30:00 PM,67.627,,,,,
108,06/23/17 07:45:00 PM,67.285,,,,,
109,06/23/17 08:00:00 PM,66.857,,,,,
110,06/23/17 08:15:00 PM,66.472,,,,,
111,06/23/17 08:30:00 PM,66.087,,,,,
112,06/23/17 08:45:00 PM,65.615,,,,,
113,06/23/17 09:00:00 PM,65.273,,,,,
114,06/23/17 09:15:00 PM,64.931,,,,,
115,06/23/17 09:30:00 PM,64.589,,,,,
116,06/23/17 09:45:00 PM,64.247,,,,,
117,06/23/17 10:00:00 PM,63.990,,,,,
118,06/23/17 10:15:00 PM,63.648,,,,,
119,06/23/17 10:30:00 PM,63.304,,,,,
120,06/23/17 10:45:00 PM,63.048,,,,,
121,06/23/17 11:00:00 PM,62.748,,,,,
122,06/23/17 11:15:00 PM,62.447,,,,,
123,06/23/17 11:30:00 PM,62.191,,,,,
124,06/23/17 11:45:00 PM,61.934,,,,,
125,06/24/17 12:00:00 AM,61.677,,,,,
126,06/24/17 12:15:00 AM,61.419,,,,,
127,06/24/17 12:30:00 AM,61.162,,,,,
128,06/24/17 12:45:00 AM,60.904,,,,,
129,06/24/17 01:00:00 AM,60.647,,,,,
130,06/24/17 01:15:00 AM,60.390,,,,,
131,06/24/17 01:30:00 AM,60.174,,,,,
132,06/24/17 01:45:00 AM,59.959,,,,,
133,06/24/17 02:00:00 AM,59.788,,,,,
134,06/24/17 02:15:00 AM,59.572,,,,,
135,06/24/17 02:30:00 AM,59.401,,,,,
136,06/24/17 02:45:00 AM,59.185,,,,,
137,06/24/17 03:00:00 AM,58.971,,,,,
138,06/24/17 03:15:00 AM,58.755,,,,,
139,06/24/17 03:30:00 AM,58.541,,,,,
140,06/24/17 03:45:00 AM,58.325,,,,,
141,06/24/17 04:00:00 AM,58.152,,,,,
142,06/24/17 04:15:00 AM,57.936,,,,,
143,06/24/17 04:30:00 AM,57.765,,,,,
144,06/24/17 04:45:00 AM,57.592,,,,,
145,06/24/17 05:00:00 AM,57.376,,,,,
146,06/24/17 05:15:00 AM,57.204,,,,,
147,06/24/17 05:30:00 AM,57.031,,,,,
148,06/24/17 05:45:00 AM,56.858,,,,,
149,06/24/17 06:00:00 AM,56.685,,,,,
150,06/24/17 06:15:00 AM,56.556,,,,,
151,06/24/17 06:30:00 AM,56.426,,,,,
152,06/24/17 06:45:00 AM,56.295,,,,,
153,06/24/17 07:00:00 AM,56.165,,,,,
154,06/24/17 07:15:00 AM,56.079,,,,,
155,06/24/17 07:30:00 AM,55.992,,,,,
156,06/24/17 07:45:00 AM,55.906,,,,,
157,06/24/17 08:00:00 AM,55.863,,,,,
158,06/24/17 08:15:00 AM,55.906,,,,,
