"Plot Title: Bone 1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739507, SEN S/N: 10739507)","Coupler Detached (LGR S/N: 10739507)","Coupler Attached (LGR S/N: 10739507)","Host Connected (LGR S/N: 10739507)","Stopped (LGR S/N: 10739507)","End Of File (LGR S/N: 10739507)"
1,06/21/17 12:00:00 PM,68.871,Logged,,,,
2,06/21/17 12:15:00 PM,69.600,,,,,
3,06/21/17 12:30:00 PM,70.329,,,,,
4,06/21/17 12:45:00 PM,71.060,,,,,
5,06/21/17 01:00:00 PM,71.791,,,,,
6,06/21/17 01:15:00 PM,72.567,,,,,
7,06/21/17 01:30:00 PM,73.299,,,,,
8,06/21/17 01:45:00 PM,74.034,,,,,
9,06/21/17 02:00:00 PM,74.813,,,,,
10,06/21/17 02:15:00 PM,75.594,,,,,
11,06/21/17 02:30:00 PM,76.332,,,,,
12,06/21/17 02:45:00 PM,77.029,,,,,
13,06/21/17 03:00:00 PM,77.639,,,,,
14,06/21/17 03:15:00 PM,78.208,,,,,
15,06/21/17 03:30:00 PM,78.733,,,,,
16,06/21/17 03:45:00 PM,79.173,,,,,
17,06/21/17 04:00:00 PM,79.612,,,,,
18,06/21/17 04:15:00 PM,80.051,,,,,
19,06/21/17 04:30:00 PM,80.404,,,,,
20,06/21/17 04:45:00 PM,80.668,,,,,
21,06/21/17 05:00:00 PM,80.802,,,,,
22,06/21/17 05:15:00 PM,80.802,,,,,
23,06/21/17 05:30:00 PM,80.935,,,,,
24,06/21/17 05:45:00 PM,80.757,,,,,
25,06/21/17 06:00:00 PM,80.713,,,,,
26,06/21/17 06:15:00 PM,80.668,,,,,
27,06/21/17 06:30:00 PM,80.625,,,,,
28,06/21/17 06:45:00 PM,80.537,,,,,
29,06/21/17 07:00:00 PM,80.316,,,,,
30,06/21/17 07:15:00 PM,80.139,,,,,
31,06/21/17 07:30:00 PM,79.876,,,,,
32,06/21/17 07:45:00 PM,79.524,,,,,
33,06/21/17 08:00:00 PM,79.261,,,,,
34,06/21/17 08:15:00 PM,78.910,,,,,
35,06/21/17 08:30:00 PM,78.645,,,,,
36,06/21/17 08:45:00 PM,78.339,,,,,
37,06/21/17 09:00:00 PM,78.033,,,,,
38,06/21/17 09:15:00 PM,77.684,,,,,
39,06/21/17 09:30:00 PM,77.292,,,,,
40,06/21/17 09:45:00 PM,76.899,,,,,
41,06/21/17 10:00:00 PM,76.464,,,,,
42,06/21/17 10:15:00 PM,76.028,,,,,
43,06/21/17 10:30:00 PM,75.637,,,,,
44,06/21/17 10:45:00 PM,75.204,,,,,
45,06/21/17 11:00:00 PM,74.770,,,,,
46,06/21/17 11:15:00 PM,74.381,,,,,
47,06/21/17 11:30:00 PM,74.034,,,,,
48,06/21/17 11:45:00 PM,73.688,,,,,
49,06/22/17 12:00:00 AM,73.299,,,,,
50,06/22/17 12:15:00 AM,72.912,,,,,
51,06/22/17 12:30:00 AM,72.523,,,,,
52,06/22/17 12:45:00 AM,72.136,,,,,
53,06/22/17 01:00:00 AM,71.748,,,,,
54,06/22/17 01:15:00 AM,71.361,,,,,
55,06/22/17 01:30:00 AM,71.017,,,,,
56,06/22/17 01:45:00 AM,70.673,,,,,
57,06/22/17 02:00:00 AM,70.329,,,,,
58,06/22/17 02:15:00 AM,70.029,,,,,
59,06/22/17 02:30:00 AM,69.728,,,,,
60,06/22/17 02:45:00 AM,69.427,,,,,
61,06/22/17 03:00:00 AM,69.129,,,,,
62,06/22/17 03:15:00 AM,68.871,,,,,
63,06/22/17 03:30:00 AM,68.614,,,,,
64,06/22/17 03:45:00 AM,68.356,,,,,
65,06/22/17 04:00:00 AM,68.099,,,,,
66,06/22/17 04:15:00 AM,67.842,,,,,
67,06/22/17 04:30:00 AM,67.627,,,,,
68,06/22/17 04:45:00 AM,67.372,,,,,
69,06/22/17 05:00:00 AM,67.158,,,,,
70,06/22/17 05:15:00 AM,66.900,,,,,
71,06/22/17 05:30:00 AM,66.686,,,,,
72,06/22/17 05:45:00 AM,66.515,,,,,
73,06/22/17 06:00:00 AM,66.344,,,,,
74,06/22/17 06:15:00 AM,66.214,,,,,
75,06/22/17 06:30:00 AM,66.043,,,,,
76,06/22/17 06:45:00 AM,65.916,,,,,
77,06/22/17 07:00:00 AM,65.788,,,,,
78,06/22/17 07:15:00 AM,65.701,,,,,
79,06/22/17 07:30:00 AM,65.615,,,,,
80,06/22/17 07:45:00 AM,65.530,,,,,
81,06/22/17 08:00:00 AM,65.487,,,,,
82,06/22/17 08:15:00 AM,65.444,,,,,
83,06/22/17 08:30:00 AM,65.487,,,,,
84,06/22/17 08:45:00 AM,65.487,,,,,
85,06/22/17 09:00:00 AM,65.574,,,,,
86,06/22/17 09:15:00 AM,65.658,,,,,
87,06/22/17 09:30:00 AM,65.701,,,,,
88,06/22/17 09:45:00 AM,65.788,,,,,
89,06/22/17 10:00:00 AM,66.043,,,,,
90,06/22/17 10:15:00 AM,66.258,,,,,
91,06/22/17 10:30:00 AM,66.686,,,,,
92,06/22/17 10:45:00 AM,66.814,,,,,
93,06/22/17 11:00:00 AM,67.242,,,,,
94,06/22/17 11:15:00 AM,67.372,,,,,
95,06/22/17 11:30:00 AM,67.586,,,,,
96,06/22/17 11:45:00 AM,67.757,,,,,
97,06/22/17 12:00:00 PM,68.056,,,,,
98,06/22/17 12:15:00 PM,68.657,,,,,
99,06/22/17 12:30:00 PM,69.170,,,,,
100,06/22/17 12:45:00 PM,69.685,,,,,
101,06/22/17 01:00:00 PM,70.243,,,,,
102,06/22/17 01:15:00 PM,70.803,,,,,
103,06/22/17 01:30:00 PM,71.231,,,,,
104,06/22/17 01:45:00 PM,71.661,,,,,
105,06/22/17 02:00:00 PM,71.533,,,,,
106,06/22/17 02:15:00 PM,71.748,,,,,
107,06/22/17 02:30:00 PM,71.920,,,,,
108,06/22/17 02:45:00 PM,72.178,,,,,
109,06/22/17 03:00:00 PM,72.567,,,,,
110,06/22/17 03:15:00 PM,72.783,,,,,
111,06/22/17 03:30:00 PM,72.912,,,,,
112,06/22/17 03:45:00 PM,73.170,,,,,
113,06/22/17 04:00:00 PM,73.213,,,,,
114,06/22/17 04:15:00 PM,73.126,,,,,
115,06/22/17 04:30:00 PM,73.083,,,,,
116,06/22/17 04:45:00 PM,72.955,,,,,
117,06/22/17 05:00:00 PM,72.869,,,,,
118,06/22/17 05:15:00 PM,72.783,,,,,
119,06/22/17 05:30:00 PM,72.653,,,,,
120,06/22/17 05:45:00 PM,72.653,,,,,
121,06/22/17 06:00:00 PM,72.696,,,,,
122,06/22/17 06:15:00 PM,72.610,,,,,
123,06/22/17 06:30:00 PM,72.523,,,,,
124,06/22/17 06:45:00 PM,72.394,,,,,
125,06/22/17 07:00:00 PM,72.178,,,,,
126,06/22/17 07:15:00 PM,71.877,,,,,
127,06/22/17 07:30:00 PM,71.661,,,,,
128,06/22/17 07:45:00 PM,71.361,,,,,
129,06/22/17 08:00:00 PM,71.146,,,,,
130,06/22/17 08:15:00 PM,70.846,,,,,
131,06/22/17 08:30:00 PM,70.587,,,,,
132,06/22/17 08:45:00 PM,70.372,,,,,
133,06/22/17 09:00:00 PM,70.158,,,,,
134,06/22/17 09:15:00 PM,69.942,,,,,
135,06/22/17 09:30:00 PM,69.685,,,,,
136,06/22/17 09:45:00 PM,69.386,,,,,
137,06/22/17 10:00:00 PM,69.129,,,,,
138,06/22/17 10:15:00 PM,68.785,,,,,
139,06/22/17 10:30:00 PM,68.484,,,,,
140,06/22/17 10:45:00 PM,68.142,,,,,
141,06/22/17 11:00:00 PM,67.928,,,,,
142,06/22/17 11:15:00 PM,67.671,,,,,
143,06/22/17 11:30:00 PM,67.413,,,,,
144,06/22/17 11:45:00 PM,67.114,,,,,
145,06/23/17 12:00:00 AM,66.857,,,,,
146,06/23/17 12:15:00 AM,66.643,,,,,
147,06/23/17 12:30:00 AM,66.385,,,,,
148,06/23/17 12:45:00 AM,66.130,,,,,
149,06/23/17 01:00:00 AM,65.872,,,,,
150,06/23/17 01:15:00 AM,65.658,,,,,
151,06/23/17 01:30:00 AM,65.403,,,,,
152,06/23/17 01:45:00 AM,65.230,,,,,
153,06/23/17 02:00:00 AM,65.059,,,,,
154,06/23/17 02:15:00 AM,64.845,,,,,
155,06/23/17 02:30:00 AM,64.674,,,,,
156,06/23/17 02:45:00 AM,64.503,,,,,
157,06/23/17 03:00:00 AM,64.332,,,,,
158,06/23/17 03:15:00 AM,64.204,,,,,
159,06/23/17 03:30:00 AM,64.074,,,,,
160,06/23/17 03:45:00 AM,63.903,,,,,
161,06/23/17 04:00:00 AM,63.732,,,,,
162,06/23/17 04:15:00 AM,63.604,,,,,
163,06/23/17 04:30:00 AM,63.390,,,,,
164,06/23/17 04:45:00 AM,63.219,,,,,
165,06/23/17 05:00:00 AM,63.048,,,,,
166,06/23/17 05:15:00 AM,62.919,,,,,
167,06/23/17 05:30:00 AM,62.791,,,,,
168,06/23/17 05:45:00 AM,62.620,,,,,
169,06/23/17 06:00:00 AM,62.447,,,,,
170,06/23/17 06:15:00 AM,62.319,,,,,
