"Plot Title: Bone Creek 4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719040, SEN S/N: 10719040)","Coupler Detached (LGR S/N: 10719040)","Coupler Attached (LGR S/N: 10719040)","Host Connected (LGR S/N: 10719040)","Stopped (LGR S/N: 10719040)","End Of File (LGR S/N: 10719040)"
1,06/21/17 05:00:00 PM,79.480,Logged,,,,
2,06/21/17 05:15:00 PM,79.567,,,,,
3,06/21/17 05:30:00 PM,79.743,,,,,
4,06/21/17 05:45:00 PM,79.655,,,,,
5,06/21/17 06:00:00 PM,79.655,,,,,
6,06/21/17 06:15:00 PM,79.743,,,,,
7,06/21/17 06:30:00 PM,79.700,,,,,
8,06/21/17 06:45:00 PM,79.655,,,,,
9,06/21/17 07:00:00 PM,79.524,,,,,
10,06/21/17 07:15:00 PM,79.435,,,,,
11,06/21/17 07:30:00 PM,79.392,,,,,
12,06/21/17 07:45:00 PM,79.216,,,,,
13,06/21/17 08:00:00 PM,79.084,,,,,
14,06/21/17 08:15:00 PM,78.910,,,,,
15,06/21/17 08:30:00 PM,78.733,,,,,
16,06/21/17 08:45:00 PM,78.514,,,,,
17,06/21/17 09:00:00 PM,78.251,,,,,
18,06/21/17 09:15:00 PM,77.945,,,,,
19,06/21/17 09:30:00 PM,77.639,,,,,
20,06/21/17 09:45:00 PM,77.335,,,,,
21,06/21/17 10:00:00 PM,77.029,,,,,
22,06/21/17 10:15:00 PM,76.725,,,,,
23,06/21/17 10:30:00 PM,76.375,,,,,
24,06/21/17 10:45:00 PM,76.071,,,,,
25,06/21/17 11:00:00 PM,75.767,,,,,
26,06/21/17 11:15:00 PM,75.463,,,,,
27,06/21/17 11:30:00 PM,75.160,,,,,
28,06/21/17 11:45:00 PM,74.813,,,,,
29,06/22/17 12:00:00 AM,74.511,,,,,
30,06/22/17 12:15:00 AM,74.206,,,,,
31,06/22/17 12:30:00 AM,73.947,,,,,
32,06/22/17 12:45:00 AM,73.731,,,,,
33,06/22/17 01:00:00 AM,73.558,,,,,
34,06/22/17 01:15:00 AM,73.342,,,,,
35,06/22/17 01:30:00 AM,73.126,,,,,
36,06/22/17 01:45:00 AM,72.869,,,,,
37,06/22/17 02:00:00 AM,72.696,,,,,
38,06/22/17 02:15:00 AM,72.480,,,,,
39,06/22/17 02:30:00 AM,72.264,,,,,
40,06/22/17 02:45:00 AM,71.964,,,,,
41,06/22/17 03:00:00 AM,71.661,,,,,
42,06/22/17 03:15:00 AM,71.317,,,,,
43,06/22/17 03:30:00 AM,70.930,,,,,
44,06/22/17 03:45:00 AM,70.459,,,,,
45,06/22/17 04:00:00 AM,70.072,,,,,
46,06/22/17 04:15:00 AM,69.685,,,,,
47,06/22/17 04:30:00 AM,69.386,,,,,
48,06/22/17 04:45:00 AM,69.085,,,,,
49,06/22/17 05:00:00 AM,68.871,,,,,
50,06/22/17 05:15:00 AM,68.657,,,,,
51,06/22/17 05:30:00 AM,68.400,,,,,
52,06/22/17 05:45:00 AM,68.227,,,,,
53,06/22/17 06:00:00 AM,68.099,,,,,
54,06/22/17 06:15:00 AM,67.971,,,,,
55,06/22/17 06:30:00 AM,67.842,,,,,
56,06/22/17 06:45:00 AM,67.757,,,,,
57,06/22/17 07:00:00 AM,67.671,,,,,
58,06/22/17 07:15:00 AM,67.543,,,,,
59,06/22/17 07:30:00 AM,67.500,,,,,
60,06/22/17 07:45:00 AM,67.372,,,,,
61,06/22/17 08:00:00 AM,67.242,,,,,
62,06/22/17 08:15:00 AM,67.158,,,,,
63,06/22/17 08:30:00 AM,67.114,,,,,
64,06/22/17 08:45:00 AM,67.114,,,,,
65,06/22/17 09:00:00 AM,67.158,,,,,
66,06/22/17 09:15:00 AM,67.242,,,,,
67,06/22/17 09:30:00 AM,67.329,,,,,
68,06/22/17 09:45:00 AM,67.329,,,,,
69,06/22/17 10:00:00 AM,67.372,,,,,
70,06/22/17 10:15:00 AM,67.586,,,,,
71,06/22/17 10:30:00 AM,67.714,,,,,
72,06/22/17 10:45:00 AM,67.714,,,,,
