"Plot Title: Bone #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719038, SEN S/N: 10719038)","Coupler Detached (LGR S/N: 10719038)","Coupler Attached (LGR S/N: 10719038)","Host Connected (LGR S/N: 10719038)","Stopped (LGR S/N: 10719038)","End Of File (LGR S/N: 10719038)"
1,11/02/16 02:00:00 PM,71.748,Logged,,,,
2,11/02/16 02:15:00 PM,54.734,,,,,
3,11/02/16 02:30:00 PM,54.734,,,,,
4,11/02/16 02:45:00 PM,54.995,,,,,
5,11/02/16 03:00:00 PM,55.256,,,,,
6,11/02/16 03:15:00 PM,55.558,,,,,
7,11/02/16 03:30:00 PM,55.733,,,,,
8,11/02/16 03:45:00 PM,55.863,,,,,
9,11/02/16 04:00:00 PM,55.992,,,,,
10,11/02/16 04:15:00 PM,56.079,,,,,
11,11/02/16 04:30:00 PM,56.165,,,,,
12,11/02/16 04:45:00 PM,56.165,,,,,
13,11/02/16 05:00:00 PM,56.208,,,,,
14,11/02/16 05:15:00 PM,56.165,,,,,
15,11/02/16 05:30:00 PM,56.165,,,,,
16,11/02/16 05:45:00 PM,56.079,,,,,
17,11/02/16 06:00:00 PM,56.035,,,,,
18,11/02/16 06:15:00 PM,55.949,,,,,
19,11/02/16 06:30:00 PM,55.863,,,,,
20,11/02/16 06:45:00 PM,55.733,,,,,
21,11/02/16 07:00:00 PM,55.558,,,,,
22,11/02/16 07:15:00 PM,55.429,,,,,
23,11/02/16 07:30:00 PM,55.256,,,,,
24,11/02/16 07:45:00 PM,55.125,,,,,
25,11/02/16 08:00:00 PM,54.952,,,,,
26,11/02/16 08:15:00 PM,54.777,,,,,
27,11/02/16 08:30:00 PM,54.604,,,,,
28,11/02/16 08:45:00 PM,54.430,,,,,
29,11/02/16 09:00:00 PM,54.255,,,,,
30,11/02/16 09:15:00 PM,54.037,,,,,
31,11/02/16 09:30:00 PM,53.865,,,,,
32,11/02/16 09:45:00 PM,53.645,,,,,
33,11/02/16 10:00:00 PM,53.472,,,,,
34,11/02/16 10:15:00 PM,53.253,,,,,
35,11/02/16 10:30:00 PM,53.078,,,,,
36,11/02/16 10:45:00 PM,52.860,,,,,
37,11/02/16 11:00:00 PM,52.641,,,,,
38,11/02/16 11:15:00 PM,52.466,,,,,
39,11/02/16 11:30:00 PM,52.246,,,,,
40,11/02/16 11:45:00 PM,52.029,,,,,
41,11/03/16 12:00:00 AM,51.852,,,,,
42,11/03/16 12:15:00 AM,51.678,,,,,
43,11/03/16 12:30:00 AM,51.458,,,,,
44,11/03/16 12:45:00 AM,51.282,,,,,
45,11/03/16 01:00:00 AM,51.105,,,,,
46,11/03/16 01:15:00 AM,50.929,,,,,
47,11/03/16 01:30:00 AM,50.752,,,,,
48,11/03/16 01:45:00 AM,50.576,,,,,
49,11/03/16 02:00:00 AM,50.400,,,,,
50,11/03/16 02:15:00 AM,50.268,,,,,
51,11/03/16 02:30:00 AM,50.092,,,,,
52,11/03/16 02:45:00 AM,49.914,,,,,
53,11/03/16 03:00:00 AM,49.737,,,,,
54,11/03/16 03:15:00 AM,49.604,,,,,
55,11/03/16 03:30:00 AM,49.428,,,,,
56,11/03/16 03:45:00 AM,49.294,,,,,
57,11/03/16 04:00:00 AM,49.116,,,,,
58,11/03/16 04:15:00 AM,48.983,,,,,
59,11/03/16 04:30:00 AM,48.850,,,,,
60,11/03/16 04:45:00 AM,48.717,,,,,
61,11/03/16 05:00:00 AM,48.583,,,,,
62,11/03/16 05:15:00 AM,48.450,,,,,
63,11/03/16 05:30:00 AM,48.315,,,,,
64,11/03/16 05:45:00 AM,48.182,,,,,
65,11/03/16 06:00:00 AM,48.049,,,,,
66,11/03/16 06:15:00 AM,47.914,,,,,
67,11/03/16 06:30:00 AM,47.826,,,,,
68,11/03/16 06:45:00 AM,47.736,,,,,
69,11/03/16 07:00:00 AM,47.602,,,,,
70,11/03/16 07:15:00 AM,47.512,,,,,
71,11/03/16 07:30:00 AM,47.422,,,,,
72,11/03/16 07:45:00 AM,47.289,,,,,
73,11/03/16 08:00:00 AM,47.199,,,,,
74,11/03/16 08:15:00 AM,47.109,,,,,
75,11/03/16 08:30:00 AM,47.064,,,,,
76,11/03/16 08:45:00 AM,46.974,,,,,
77,11/03/16 09:00:00 AM,46.931,,,,,
78,11/03/16 09:15:00 AM,46.886,,,,,
79,11/03/16 09:30:00 AM,46.886,,,,,
80,11/03/16 09:45:00 AM,46.886,,,,,
81,11/03/16 10:00:00 AM,46.931,,,,,
82,11/03/16 10:15:00 AM,47.019,,,,,
83,11/03/16 10:30:00 AM,47.109,,,,,
84,11/03/16 10:45:00 AM,47.244,,,,,
85,11/03/16 11:00:00 AM,47.377,,,,,
86,11/03/16 11:15:00 AM,47.602,,,,,
87,11/03/16 11:30:00 AM,47.826,,,,,
88,11/03/16 11:45:00 AM,48.137,,,,,
89,11/03/16 12:00:00 PM,48.450,,,,,
90,11/03/16 12:15:00 PM,48.805,,,,,
91,11/03/16 12:30:00 PM,49.204,,,,,
92,11/03/16 12:45:00 PM,49.649,,,,,
93,11/03/16 01:00:00 PM,50.092,,,,,
94,11/03/16 01:15:00 PM,50.576,,,,,
95,11/03/16 01:30:00 PM,51.017,,,,,
96,11/03/16 01:45:00 PM,51.458,,,,,
97,11/03/16 02:00:00 PM,51.940,,,,,
98,11/03/16 02:15:00 PM,52.378,,,,,
99,11/03/16 02:30:00 PM,52.772,,,,,
100,11/03/16 02:45:00 PM,53.121,,,,,
101,11/03/16 03:00:00 PM,53.472,,,,,
102,11/03/16 03:15:00 PM,53.776,,,,,
103,11/03/16 03:30:00 PM,54.082,,,,,
104,11/03/16 03:45:00 PM,54.343,,,,,
105,11/03/16 04:00:00 PM,54.561,,,,,
106,11/03/16 04:15:00 PM,54.691,,,,,
107,11/03/16 04:30:00 PM,54.820,,,,,
108,11/03/16 04:45:00 PM,54.952,,,,,
109,11/03/16 05:00:00 PM,54.995,,,,,
110,11/03/16 05:15:00 PM,55.038,,,,,
111,11/03/16 05:30:00 PM,55.038,,,,,
112,11/03/16 05:45:00 PM,55.038,,,,,
