"Plot Title: Cedar #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719029, SEN S/N: 10719029)","Coupler Detached (LGR S/N: 10719029)","Coupler Attached (LGR S/N: 10719029)","Host Connected (LGR S/N: 10719029)","Stopped (LGR S/N: 10719029)","End Of File (LGR S/N: 10719029)"
1,11/02/16 10:00:00 AM,48.717,Logged,,,,
2,11/02/16 10:15:00 AM,48.938,,,,,
3,11/02/16 10:30:00 AM,49.073,,,,,
4,11/02/16 10:45:00 AM,49.161,,,,,
5,11/02/16 11:00:00 AM,49.338,,,,,
6,11/02/16 11:15:00 AM,49.516,,,,,
7,11/02/16 11:30:00 AM,49.737,,,,,
8,11/02/16 11:45:00 AM,50.400,,,,,
9,11/02/16 12:00:00 PM,51.062,,,,,
10,11/02/16 12:15:00 PM,51.589,,,,,
11,11/02/16 12:30:00 PM,51.895,,,,,
12,11/02/16 12:45:00 PM,52.335,,,,,
13,11/02/16 01:00:00 PM,52.729,,,,,
14,11/02/16 01:15:00 PM,53.121,,,,,
15,11/02/16 01:30:00 PM,53.427,,,,,
16,11/02/16 01:45:00 PM,53.690,,,,,
17,11/02/16 02:00:00 PM,53.994,,,,,
18,11/02/16 02:15:00 PM,54.430,,,,,
19,11/02/16 02:30:00 PM,54.734,,,,,
20,11/02/16 02:45:00 PM,54.995,,,,,
21,11/02/16 03:00:00 PM,55.299,,,,,
22,11/02/16 03:15:00 PM,55.472,,,,,
23,11/02/16 03:30:00 PM,55.602,,,,,
24,11/02/16 03:45:00 PM,55.647,,,,,
25,11/02/16 04:00:00 PM,55.647,,,,,
26,11/02/16 04:15:00 PM,55.602,,,,,
27,11/02/16 04:30:00 PM,55.558,,,,,
28,11/02/16 04:45:00 PM,55.472,,,,,
29,11/02/16 05:00:00 PM,55.386,,,,,
30,11/02/16 05:15:00 PM,55.256,,,,,
31,11/02/16 05:30:00 PM,55.081,,,,,
32,11/02/16 05:45:00 PM,54.865,,,,,
33,11/02/16 06:00:00 PM,54.604,,,,,
34,11/02/16 06:15:00 PM,54.300,,,,,
35,11/02/16 06:30:00 PM,53.865,,,,,
36,11/02/16 06:45:00 PM,53.384,,,,,
