"Plot Title: Dry 1 (gross)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719022, SEN S/N: 10719022)","Coupler Detached (LGR S/N: 10719022)","Coupler Attached (LGR S/N: 10719022)","Host Connected (LGR S/N: 10719022)","Stopped (LGR S/N: 10719022)","End Of File (LGR S/N: 10719022)"
1,06/22/17 10:00:00 AM,63.433,Logged,,,,
2,06/22/17 10:15:00 AM,63.990,,,,,
3,06/22/17 10:30:00 AM,64.247,,,,,
4,06/22/17 10:45:00 AM,64.375,,,,,
5,06/22/17 11:00:00 AM,64.974,,,,,
6,06/22/17 11:15:00 AM,65.145,,,,,
7,06/22/17 11:30:00 AM,65.872,,,,,
8,06/22/17 11:45:00 AM,66.686,,,,,
9,06/22/17 12:00:00 PM,67.242,,,,,
10,06/22/17 12:15:00 PM,67.757,,,,,
11,06/22/17 12:30:00 PM,68.443,,,,,
12,06/22/17 12:45:00 PM,69.386,,,,,
13,06/22/17 01:00:00 PM,70.459,,,,,
14,06/22/17 01:15:00 PM,70.459,,,,,
15,06/22/17 01:30:00 PM,70.416,,,,,
16,06/22/17 01:45:00 PM,71.103,,,,,
17,06/22/17 02:00:00 PM,71.620,,,,,
18,06/22/17 02:15:00 PM,72.221,,,,,
19,06/22/17 02:30:00 PM,72.783,,,,,
20,06/22/17 02:45:00 PM,73.299,,,,,
21,06/22/17 03:00:00 PM,73.774,,,,,
22,06/22/17 03:15:00 PM,74.206,,,,,
23,06/22/17 03:30:00 PM,74.206,,,,,
24,06/22/17 03:45:00 PM,73.904,,,,,
25,06/22/17 04:00:00 PM,73.299,,,,,
26,06/22/17 04:15:00 PM,72.523,,,,,
27,06/22/17 04:30:00 PM,71.834,,,,,
28,06/22/17 04:45:00 PM,71.190,,,,,
29,06/22/17 05:00:00 PM,70.846,,,,,
30,06/22/17 05:15:00 PM,70.416,,,,,
31,06/22/17 05:30:00 PM,70.072,,,,,
32,06/22/17 05:45:00 PM,70.158,,,,,
33,06/22/17 06:00:00 PM,69.814,,,,,
34,06/22/17 06:15:00 PM,69.427,,,,,
35,06/22/17 06:30:00 PM,68.871,,,,,
36,06/22/17 06:45:00 PM,68.614,,,,,
37,06/22/17 07:00:00 PM,68.443,,,,,
38,06/22/17 07:15:00 PM,68.013,,,,,
39,06/22/17 07:30:00 PM,67.543,,,,,
40,06/22/17 07:45:00 PM,67.071,,,,,
41,06/22/17 08:00:00 PM,66.643,,,,,
42,06/22/17 08:15:00 PM,66.214,,,,,
43,06/22/17 08:30:00 PM,65.829,,,,,
44,06/22/17 08:45:00 PM,65.530,,,,,
45,06/22/17 09:00:00 PM,65.188,,,,,
46,06/22/17 09:15:00 PM,64.845,,,,,
47,06/22/17 09:30:00 PM,64.418,,,,,
48,06/22/17 09:45:00 PM,63.903,,,,,
49,06/22/17 10:00:00 PM,63.433,,,,,
50,06/22/17 10:15:00 PM,62.919,,,,,
51,06/22/17 10:30:00 PM,62.406,,,,,
52,06/22/17 10:45:00 PM,61.934,,,,,
53,06/22/17 11:00:00 PM,61.506,,,,,
54,06/22/17 11:15:00 PM,61.075,,,,,
55,06/22/17 11:30:00 PM,60.690,,,,,
56,06/22/17 11:45:00 PM,60.346,,,,,
57,06/23/17 12:00:00 AM,60.003,,,,,
58,06/23/17 12:15:00 AM,59.745,,,,,
59,06/23/17 12:30:00 AM,59.529,,,,,
60,06/23/17 12:45:00 AM,59.358,,,,,
61,06/23/17 01:00:00 AM,59.229,,,,,
62,06/23/17 01:15:00 AM,59.142,,,,,
63,06/23/17 01:30:00 AM,59.099,,,,,
64,06/23/17 01:45:00 AM,59.099,,,,,
65,06/23/17 02:00:00 AM,59.056,,,,,
66,06/23/17 02:15:00 AM,59.056,,,,,
67,06/23/17 02:30:00 AM,59.014,,,,,
68,06/23/17 02:45:00 AM,58.971,,,,,
69,06/23/17 03:00:00 AM,58.885,,,,,
70,06/23/17 03:15:00 AM,58.755,,,,,
71,06/23/17 03:30:00 AM,58.498,,,,,
72,06/23/17 03:45:00 AM,58.195,,,,,
73,06/23/17 04:00:00 AM,58.023,,,,,
74,06/23/17 04:15:00 AM,57.807,,,,,
75,06/23/17 04:30:00 AM,57.592,,,,,
76,06/23/17 04:45:00 AM,57.420,,,,,
77,06/23/17 05:00:00 AM,57.247,,,,,
78,06/23/17 05:15:00 AM,57.031,,,,,
79,06/23/17 05:30:00 AM,56.858,,,,,
80,06/23/17 05:45:00 AM,56.685,,,,,
81,06/23/17 06:00:00 AM,56.556,,,,,
82,06/23/17 06:15:00 AM,56.469,,,,,
83,06/23/17 06:30:00 AM,56.383,,,,,
84,06/23/17 06:45:00 AM,56.295,,,,,
85,06/23/17 07:00:00 AM,56.208,,,,,
86,06/23/17 07:15:00 AM,56.079,,,,,
87,06/23/17 07:30:00 AM,55.992,,,,,
88,06/23/17 07:45:00 AM,55.992,,,,,
89,06/23/17 08:00:00 AM,55.906,,,,,
90,06/23/17 08:15:00 AM,55.863,,,,,
91,06/23/17 08:30:00 AM,55.776,,,,,
92,06/23/17 08:45:00 AM,55.819,,,,,
93,06/23/17 09:00:00 AM,55.949,,,,,
94,06/23/17 09:15:00 AM,56.251,,,,,
95,06/23/17 09:30:00 AM,56.599,,,,,
96,06/23/17 09:45:00 AM,56.901,,,,,
97,06/23/17 10:00:00 AM,57.247,,,,,
98,06/23/17 10:15:00 AM,57.636,,,,,
99,06/23/17 10:30:00 AM,57.979,,,,,
100,06/23/17 10:45:00 AM,58.541,,,,,
101,06/23/17 11:00:00 AM,59.099,,,,,
102,06/23/17 11:15:00 AM,59.272,,,,,
103,06/23/17 11:30:00 AM,59.358,,,,,
104,06/23/17 11:45:00 AM,59.873,,,,,
105,06/23/17 12:00:00 PM,60.517,,,,,
106,06/23/17 12:15:00 PM,61.205,,,,,
107,06/23/17 12:30:00 PM,61.333,,,,,
108,06/23/17 12:45:00 PM,61.677,,,,,
109,06/23/17 01:00:00 PM,62.062,,,,,
110,06/23/17 01:15:00 PM,62.533,,,,,
111,06/23/17 01:30:00 PM,63.048,,,,,
112,06/23/17 01:45:00 PM,63.262,,,,,
113,06/23/17 02:00:00 PM,63.518,,,,,
114,06/23/17 02:15:00 PM,63.903,,,,,
115,06/23/17 02:30:00 PM,64.204,,,,,
116,06/23/17 02:45:00 PM,64.589,,,,,
117,06/23/17 03:00:00 PM,64.632,,,,,
118,06/23/17 03:15:00 PM,64.546,,,,,
119,06/23/17 03:30:00 PM,64.632,,,,,
120,06/23/17 03:45:00 PM,64.803,,,,,
121,06/23/17 04:00:00 PM,64.589,,,,,
122,06/23/17 04:15:00 PM,64.503,,,,,
123,06/23/17 04:30:00 PM,64.589,,,,,
124,06/23/17 04:45:00 PM,64.674,,,,,
125,06/23/17 05:00:00 PM,64.589,,,,,
126,06/23/17 05:15:00 PM,64.418,,,,,
127,06/23/17 05:30:00 PM,64.288,,,,,
128,06/23/17 05:45:00 PM,64.117,,,,,
129,06/23/17 06:00:00 PM,63.946,,,,,
130,06/23/17 06:15:00 PM,63.648,,,,,
131,06/23/17 06:30:00 PM,63.347,,,,,
132,06/23/17 06:45:00 PM,63.005,,,,,
133,06/23/17 07:00:00 PM,62.577,,,,,
134,06/23/17 07:15:00 PM,62.191,,,,,
135,06/23/17 07:30:00 PM,61.761,,,,,
136,06/23/17 07:45:00 PM,61.376,,,,,
137,06/23/17 08:00:00 PM,61.032,,,,,
138,06/23/17 08:15:00 PM,60.690,,,,,
139,06/23/17 08:30:00 PM,60.346,,,,,
140,06/23/17 08:45:00 PM,60.046,,,,,
141,06/23/17 09:00:00 PM,59.745,,,,,
142,06/23/17 09:15:00 PM,59.529,,,,,
143,06/23/17 09:30:00 PM,59.272,,,,,
144,06/23/17 09:45:00 PM,59.014,,,,,
145,06/23/17 10:00:00 PM,58.798,,,,,
146,06/23/17 10:15:00 PM,58.498,,,,,
147,06/23/17 10:30:00 PM,58.152,,,,,
148,06/23/17 10:45:00 PM,57.807,,,,,
149,06/23/17 11:00:00 PM,57.463,,,,,
150,06/23/17 11:15:00 PM,57.117,,,,,
151,06/23/17 11:30:00 PM,56.772,,,,,
152,06/23/17 11:45:00 PM,56.469,,,,,
153,06/24/17 12:00:00 AM,56.165,,,,,
154,06/24/17 12:15:00 AM,55.906,,,,,
155,06/24/17 12:30:00 AM,55.647,,,,,
156,06/24/17 12:45:00 AM,55.429,,,,,
157,06/24/17 01:00:00 AM,55.213,,,,,
158,06/24/17 01:15:00 AM,55.038,,,,,
159,06/24/17 01:30:00 AM,54.865,,,,,
160,06/24/17 01:45:00 AM,54.691,,,,,
161,06/24/17 02:00:00 AM,54.516,,,,,
162,06/24/17 02:15:00 AM,54.343,,,,,
163,06/24/17 02:30:00 AM,54.212,,,,,
164,06/24/17 02:45:00 AM,54.082,,,,,
165,06/24/17 03:00:00 AM,53.908,,,,,
166,06/24/17 03:15:00 AM,53.820,,,,,
167,06/24/17 03:30:00 AM,53.690,,,,,
168,06/24/17 03:45:00 AM,53.559,,,,,
169,06/24/17 04:00:00 AM,53.427,,,,,
