"Plot Title: Chadron Creek- Below Discharge"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612889, SEN S/N: 10612889)","Coupler Attached (LGR S/N: 10612889)","Host Connected (LGR S/N: 10612889)","Stopped (LGR S/N: 10612889)","End Of File (LGR S/N: 10612889)"
1,07/21/15 12:00:00 AM,63.111,,,,
2,07/21/15 01:00:00 AM,62.598,,,,
3,07/21/15 02:00:00 AM,62.083,,,,
4,07/21/15 03:00:00 AM,61.741,,,,
5,07/21/15 04:00:00 AM,61.398,,,,
6,07/21/15 05:00:00 AM,61.054,,,,
7,07/21/15 06:00:00 AM,60.883,,,,
8,07/21/15 07:00:00 AM,60.883,,,,
9,07/21/15 08:00:00 AM,60.883,,,,
10,07/21/15 09:00:00 AM,61.054,,,,
11,07/21/15 10:00:00 AM,61.227,,,,
12,07/21/15 11:00:00 AM,61.569,,,,
13,07/21/15 12:00:00 PM,61.569,,,,
14,07/21/15 01:00:00 PM,61.398,,,,
15,07/21/15 02:00:00 PM,61.569,,,,
16,07/21/15 03:00:00 PM,61.569,,,,
17,07/21/15 04:00:00 PM,61.741,,,,
18,07/21/15 05:00:00 PM,61.741,,,,
19,07/21/15 06:00:00 PM,62.254,,,,
20,07/21/15 07:00:00 PM,62.254,,,,
21,07/21/15 08:00:00 PM,63.455,,,,
22,07/21/15 09:00:00 PM,63.111,,,,
23,07/21/15 10:00:00 PM,62.425,,,,
24,07/21/15 11:00:00 PM,62.083,,,,
25,07/22/15 12:00:00 AM,61.569,,,,
26,07/22/15 01:00:00 AM,61.227,,,,
27,07/22/15 02:00:00 AM,61.054,,,,
28,07/22/15 03:00:00 AM,60.712,,,,
29,07/22/15 04:00:00 AM,60.368,,,,
30,07/22/15 05:00:00 AM,60.195,,,,
31,07/22/15 06:00:00 AM,60.024,,,,
32,07/22/15 07:00:00 AM,59.851,,,,
33,07/22/15 08:00:00 AM,60.024,,,,
34,07/22/15 09:00:00 AM,60.712,,,,
35,07/22/15 10:00:00 AM,61.569,,,,
36,07/22/15 11:00:00 AM,62.598,,,,
37,07/22/15 12:00:00 PM,63.626,,,,
38,07/22/15 01:00:00 PM,65.167,,,,
39,07/22/15 02:00:00 PM,65.851,,,,
40,07/22/15 03:00:00 PM,66.708,,,,
41,07/22/15 04:00:00 PM,66.708,,,,
42,07/22/15 05:00:00 PM,66.879,,,,
43,07/22/15 06:00:00 PM,67.392,,,,
44,07/22/15 07:00:00 PM,67.392,,,,
45,07/22/15 08:00:00 PM,66.708,,,,
46,07/22/15 09:00:00 PM,66.193,,,,
47,07/22/15 10:00:00 PM,65.509,,,,
48,07/22/15 11:00:00 PM,64.825,,,,
49,07/23/15 12:00:00 AM,64.139,,,,
50,07/23/15 01:00:00 AM,63.455,,,,
