"Plot Title: Chadron Creek Below Discharge"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719006, SEN S/N: 10719006)","Coupler Detached (LGR S/N: 10719006)","Coupler Attached (LGR S/N: 10719006)","Host Connected (LGR S/N: 10719006)","Stopped (LGR S/N: 10719006)","End Of File (LGR S/N: 10719006)"
1,09/21/16 02:00:00 PM,57.376,Logged,,,,
2,09/21/16 02:15:00 PM,57.549,,,,,
3,09/21/16 02:30:00 PM,57.722,,,,,
4,09/21/16 02:45:00 PM,57.893,,,,,
5,09/21/16 03:00:00 PM,58.066,,,,,
6,09/21/16 03:15:00 PM,58.109,,,,,
7,09/21/16 03:30:00 PM,58.195,,,,,
8,09/21/16 03:45:00 PM,58.239,,,,,
9,09/21/16 04:00:00 PM,58.325,,,,,
10,09/21/16 04:15:00 PM,58.411,,,,,
11,09/21/16 04:30:00 PM,58.498,,,,,
12,09/21/16 04:45:00 PM,58.541,,,,,
13,09/21/16 05:00:00 PM,58.626,,,,,
14,09/21/16 05:15:00 PM,58.669,,,,,
15,09/21/16 05:30:00 PM,58.712,,,,,
16,09/21/16 05:45:00 PM,58.755,,,,,
17,09/21/16 06:00:00 PM,58.798,,,,,
18,09/21/16 06:15:00 PM,58.885,,,,,
19,09/21/16 06:30:00 PM,58.928,,,,,
20,09/21/16 06:45:00 PM,58.928,,,,,
21,09/21/16 07:00:00 PM,58.928,,,,,
22,09/21/16 07:15:00 PM,58.928,,,,,
23,09/21/16 07:30:00 PM,58.928,,,,,
24,09/21/16 07:45:00 PM,59.702,,,,,
25,09/21/16 08:00:00 PM,60.174,,,,,
26,09/21/16 08:15:00 PM,60.174,,,,,
27,09/21/16 08:30:00 PM,60.174,,,,,
28,09/21/16 08:45:00 PM,60.132,,,,,
29,09/21/16 09:00:00 PM,60.089,,,,,
30,09/21/16 09:15:00 PM,60.132,,,,,
31,09/21/16 09:30:00 PM,60.046,,,,,
32,09/21/16 09:45:00 PM,60.003,,,,,
33,09/21/16 10:00:00 PM,59.959,,,,,
34,09/21/16 10:15:00 PM,59.873,,,,,
35,09/21/16 10:30:00 PM,59.830,,,,,
36,09/21/16 10:45:00 PM,59.788,,,,,
37,09/21/16 11:00:00 PM,59.702,,,,,
38,09/21/16 11:15:00 PM,59.702,,,,,
39,09/21/16 11:30:00 PM,59.659,,,,,
40,09/21/16 11:45:00 PM,59.616,,,,,
41,09/22/16 12:00:00 AM,59.529,,,,,
42,09/22/16 12:15:00 AM,59.529,,,,,
43,09/22/16 12:30:00 AM,59.445,,,,,
44,09/22/16 12:45:00 AM,59.401,,,,,
45,09/22/16 01:00:00 AM,59.315,,,,,
46,09/22/16 01:15:00 AM,59.272,,,,,
47,09/22/16 01:30:00 AM,59.185,,,,,
48,09/22/16 01:45:00 AM,59.142,,,,,
49,09/22/16 02:00:00 AM,59.099,,,,,
50,09/22/16 02:15:00 AM,59.014,,,,,
51,09/22/16 02:30:00 AM,58.971,,,,,
52,09/22/16 02:45:00 AM,58.928,,,,,
53,09/22/16 03:00:00 AM,58.842,,,,,
54,09/22/16 03:15:00 AM,58.798,,,,,
55,09/22/16 03:30:00 AM,58.712,,,,,
56,09/22/16 03:45:00 AM,58.626,,,,,
57,09/22/16 04:00:00 AM,58.582,,,,,
58,09/22/16 04:15:00 AM,58.498,,,,,
59,09/22/16 04:30:00 AM,58.455,,,,,
60,09/22/16 04:45:00 AM,58.368,,,,,
61,09/22/16 05:00:00 AM,58.282,,,,,
62,09/22/16 05:15:00 AM,58.239,,,,,
63,09/22/16 05:30:00 AM,58.152,,,,,
64,09/22/16 05:45:00 AM,58.109,,,,,
65,09/22/16 06:00:00 AM,58.066,,,,,
66,09/22/16 06:15:00 AM,57.979,,,,,
