"Plot Title: Chadron Creek Park Entrance 12-8-15"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739555, SEN S/N: 10739555)","Coupler Detached (LGR S/N: 10739555)","Coupler Attached (LGR S/N: 10739555)","Host Connected (LGR S/N: 10739555)","Stopped (LGR S/N: 10739555)","End Of File (LGR S/N: 10739555)"
1,09/21/16 02:00:00 PM,56.512,Logged,,,,
2,09/21/16 02:15:00 PM,56.728,,,,,
3,09/21/16 02:30:00 PM,56.988,,,,,
4,09/21/16 02:45:00 PM,57.247,,,,,
5,09/21/16 03:00:00 PM,57.549,,,,,
6,09/21/16 03:15:00 PM,57.722,,,,,
7,09/21/16 03:30:00 PM,57.850,,,,,
8,09/21/16 03:45:00 PM,57.936,,,,,
9,09/21/16 04:00:00 PM,58.109,,,,,
10,09/21/16 04:15:00 PM,58.282,,,,,
11,09/21/16 04:30:00 PM,58.498,,,,,
12,09/21/16 04:45:00 PM,58.582,,,,,
13,09/21/16 05:00:00 PM,58.669,,,,,
14,09/21/16 05:15:00 PM,58.755,,,,,
15,09/21/16 05:30:00 PM,58.842,,,,,
16,09/21/16 05:45:00 PM,58.928,,,,,
17,09/21/16 06:00:00 PM,59.014,,,,,
18,09/21/16 06:15:00 PM,59.014,,,,,
19,09/21/16 06:30:00 PM,58.971,,,,,
20,09/21/16 06:45:00 PM,58.928,,,,,
21,09/21/16 07:00:00 PM,58.885,,,,,
22,09/21/16 07:15:00 PM,58.842,,,,,
23,09/21/16 07:30:00 PM,58.798,,,,,
24,09/21/16 07:45:00 PM,58.755,,,,,
25,09/21/16 08:00:00 PM,58.712,,,,,
26,09/21/16 08:15:00 PM,58.669,,,,,
27,09/21/16 08:30:00 PM,58.626,,,,,
28,09/21/16 08:45:00 PM,58.541,,,,,
29,09/21/16 09:00:00 PM,58.498,,,,,
30,09/21/16 09:15:00 PM,58.411,,,,,
31,09/21/16 09:30:00 PM,58.368,,,,,
32,09/21/16 09:45:00 PM,58.282,,,,,
33,09/21/16 10:00:00 PM,58.239,,,,,
34,09/21/16 10:15:00 PM,58.152,,,,,
35,09/21/16 10:30:00 PM,58.109,,,,,
36,09/21/16 10:45:00 PM,58.066,,,,,
37,09/21/16 11:00:00 PM,57.979,,,,,
38,09/21/16 11:15:00 PM,57.936,,,,,
39,09/21/16 11:30:00 PM,57.893,,,,,
40,09/21/16 11:45:00 PM,57.807,,,,,
41,09/22/16 12:00:00 AM,57.765,,,,,
42,09/22/16 12:15:00 AM,57.722,,,,,
43,09/22/16 12:30:00 AM,57.636,,,,,
44,09/22/16 12:45:00 AM,57.549,,,,,
45,09/22/16 01:00:00 AM,57.463,,,,,
46,09/22/16 01:15:00 AM,57.376,,,,,
47,09/22/16 01:30:00 AM,57.333,,,,,
48,09/22/16 01:45:00 AM,57.290,,,,,
49,09/22/16 02:00:00 AM,57.247,,,,,
50,09/22/16 02:15:00 AM,57.160,,,,,
51,09/22/16 02:30:00 AM,57.117,,,,,
52,09/22/16 02:45:00 AM,57.074,,,,,
53,09/22/16 03:00:00 AM,56.988,,,,,
54,09/22/16 03:15:00 AM,56.901,,,,,
55,09/22/16 03:30:00 AM,56.815,,,,,
56,09/22/16 03:45:00 AM,56.772,,,,,
57,09/22/16 04:00:00 AM,56.685,,,,,
58,09/22/16 04:15:00 AM,56.642,,,,,
59,09/22/16 04:30:00 AM,56.599,,,,,
60,09/22/16 04:45:00 AM,56.512,,,,,
61,09/22/16 05:00:00 AM,56.469,,,,,
62,09/22/16 05:15:00 AM,56.383,,,,,
63,09/22/16 05:30:00 AM,56.340,,,,,
64,09/22/16 05:45:00 AM,56.251,,,,,
65,09/22/16 06:00:00 AM,56.208,,,,,
66,09/22/16 06:15:00 AM,56.122,,,,,
67,09/22/16 06:30:00 AM,56.079,,,,,
68,09/22/16 06:45:00 AM,55.992,,,,,
69,09/22/16 07:00:00 AM,55.949,,,,,
70,09/22/16 07:15:00 AM,55.863,,,,,
71,09/22/16 07:30:00 AM,55.819,,,,,
72,09/22/16 07:45:00 AM,55.733,,,,,
73,09/22/16 08:00:00 AM,55.690,,,,,
74,09/22/16 08:15:00 AM,55.647,,,,,
75,09/22/16 08:30:00 AM,55.602,,,,,
76,09/22/16 08:45:00 AM,55.558,,,,,
77,09/22/16 09:00:00 AM,55.558,,,,,
78,09/22/16 09:15:00 AM,55.515,,,,,
79,09/22/16 09:30:00 AM,55.515,,,,,
80,09/22/16 09:45:00 AM,55.515,,,,,
81,09/22/16 10:00:00 AM,55.515,,,,,
82,09/22/16 10:15:00 AM,55.515,,,,,
83,09/22/16 10:30:00 AM,55.558,,,,,
84,09/22/16 10:45:00 AM,55.558,,,,,
85,09/22/16 11:00:00 AM,55.647,,,,,
86,09/22/16 11:15:00 AM,55.690,,,,,
87,09/22/16 11:30:00 AM,55.733,,,,,
88,09/22/16 11:45:00 AM,55.819,,,,,
89,09/22/16 12:00:00 PM,55.863,,,,,
90,09/22/16 12:15:00 PM,55.949,,,,,
91,09/22/16 12:30:00 PM,56.035,,,,,
92,09/22/16 12:45:00 PM,56.122,,,,,
93,09/22/16 01:00:00 PM,56.383,,,,,
94,09/22/16 01:15:00 PM,56.512,,,,,
95,09/22/16 01:30:00 PM,56.642,,,,,
96,09/22/16 01:45:00 PM,56.944,,,,,
97,09/22/16 02:00:00 PM,57.290,,,,,
98,09/22/16 02:15:00 PM,57.506,,,,,
