"Plot Title: Chadron Creek Park Exit"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739550, SEN S/N: 10739550)","Coupler Detached (LGR S/N: 10739550)","Coupler Attached (LGR S/N: 10739550)","Host Connected (LGR S/N: 10739550)","Stopped (LGR S/N: 10739550)","End Of File (LGR S/N: 10739550)"
1,09/21/16 02:00:00 PM,57.807,Logged,,,,
2,09/21/16 02:15:00 PM,57.893,,,,,
3,09/21/16 02:30:00 PM,58.109,,,,,
4,09/21/16 02:45:00 PM,58.325,,,,,
5,09/21/16 03:00:00 PM,58.541,,,,,
6,09/21/16 03:15:00 PM,58.669,,,,,
7,09/21/16 03:30:00 PM,58.755,,,,,
8,09/21/16 03:45:00 PM,58.842,,,,,
9,09/21/16 04:00:00 PM,58.971,,,,,
10,09/21/16 04:15:00 PM,59.014,,,,,
11,09/21/16 04:30:00 PM,59.056,,,,,
12,09/21/16 04:45:00 PM,59.056,,,,,
13,09/21/16 05:00:00 PM,59.056,,,,,
14,09/21/16 05:15:00 PM,59.056,,,,,
15,09/21/16 05:30:00 PM,59.099,,,,,
16,09/21/16 05:45:00 PM,59.099,,,,,
17,09/21/16 06:00:00 PM,59.142,,,,,
18,09/21/16 06:15:00 PM,59.142,,,,,
19,09/21/16 06:30:00 PM,59.142,,,,,
20,09/21/16 06:45:00 PM,59.099,,,,,
21,09/21/16 07:00:00 PM,59.056,,,,,
22,09/21/16 07:15:00 PM,59.014,,,,,
23,09/21/16 07:30:00 PM,58.971,,,,,
24,09/21/16 07:45:00 PM,58.928,,,,,
25,09/21/16 08:00:00 PM,58.842,,,,,
26,09/21/16 08:15:00 PM,58.798,,,,,
27,09/21/16 08:30:00 PM,58.712,,,,,
28,09/21/16 08:45:00 PM,58.669,,,,,
29,09/21/16 09:00:00 PM,58.626,,,,,
30,09/21/16 09:15:00 PM,58.626,,,,,
31,09/21/16 09:30:00 PM,58.755,,,,,
32,09/21/16 09:45:00 PM,59.142,,,,,
33,09/21/16 10:00:00 PM,59.358,,,,,
34,09/21/16 10:15:00 PM,59.445,,,,,
35,09/21/16 10:30:00 PM,59.445,,,,,
36,09/21/16 10:45:00 PM,59.445,,,,,
37,09/21/16 11:00:00 PM,59.445,,,,,
38,09/21/16 11:15:00 PM,59.445,,,,,
39,09/21/16 11:30:00 PM,59.401,,,,,
40,09/21/16 11:45:00 PM,59.358,,,,,
41,09/22/16 12:00:00 AM,59.315,,,,,
42,09/22/16 12:15:00 AM,59.272,,,,,
43,09/22/16 12:30:00 AM,59.185,,,,,
44,09/22/16 12:45:00 AM,59.099,,,,,
45,09/22/16 01:00:00 AM,59.014,,,,,
46,09/22/16 01:15:00 AM,58.971,,,,,
47,09/22/16 01:30:00 AM,58.928,,,,,
48,09/22/16 01:45:00 AM,58.885,,,,,
49,09/22/16 02:00:00 AM,58.842,,,,,
50,09/22/16 02:15:00 AM,58.798,,,,,
51,09/22/16 02:30:00 AM,58.798,,,,,
52,09/22/16 02:45:00 AM,58.755,,,,,
53,09/22/16 03:00:00 AM,58.669,,,,,
54,09/22/16 03:15:00 AM,58.626,,,,,
55,09/22/16 03:30:00 AM,58.582,,,,,
56,09/22/16 03:45:00 AM,58.498,,,,,
57,09/22/16 04:00:00 AM,58.411,,,,,
58,09/22/16 04:15:00 AM,58.368,,,,,
59,09/22/16 04:30:00 AM,58.282,,,,,
60,09/22/16 04:45:00 AM,58.195,,,,,
61,09/22/16 05:00:00 AM,58.109,,,,,
62,09/22/16 05:15:00 AM,58.023,,,,,
63,09/22/16 05:30:00 AM,57.979,,,,,
64,09/22/16 05:45:00 AM,57.893,,,,,
65,09/22/16 06:00:00 AM,57.807,,,,,
66,09/22/16 06:15:00 AM,57.765,,,,,
67,09/22/16 06:30:00 AM,57.679,,,,,
68,09/22/16 06:45:00 AM,57.636,,,,,
69,09/22/16 07:00:00 AM,57.549,,,,,
70,09/22/16 07:15:00 AM,57.463,,,,,
71,09/22/16 07:30:00 AM,57.420,,,,,
72,09/22/16 07:45:00 AM,57.376,,,,,
73,09/22/16 08:00:00 AM,57.290,,,,,
74,09/22/16 08:15:00 AM,57.247,,,,,
75,09/22/16 08:30:00 AM,57.204,,,,,
76,09/22/16 08:45:00 AM,57.160,,,,,
77,09/22/16 09:00:00 AM,57.160,,,,,
78,09/22/16 09:15:00 AM,57.117,,,,,
79,09/22/16 09:30:00 AM,57.117,,,,,
80,09/22/16 09:45:00 AM,57.117,,,,,
81,09/22/16 10:00:00 AM,57.117,,,,,
82,09/22/16 10:15:00 AM,57.117,,,,,
83,09/22/16 10:30:00 AM,57.160,,,,,
84,09/22/16 10:45:00 AM,57.160,,,,,
85,09/22/16 11:00:00 AM,57.204,,,,,
86,09/22/16 11:15:00 AM,57.247,,,,,
87,09/22/16 11:30:00 AM,57.290,,,,,
88,09/22/16 11:45:00 AM,57.290,,,,,
89,09/22/16 12:00:00 PM,57.333,,,,,
90,09/22/16 12:15:00 PM,57.376,,,,,
91,09/22/16 12:30:00 PM,57.463,,,,,
92,09/22/16 12:45:00 PM,57.506,,,,,
93,09/22/16 01:00:00 PM,57.722,,,,,
94,09/22/16 01:15:00 PM,57.850,,,,,
95,09/22/16 01:30:00 PM,57.979,,,,,
96,09/22/16 01:45:00 PM,58.239,,,,,
97,09/22/16 02:00:00 PM,58.498,,,,,
98,09/22/16 02:15:00 PM,58.669,,,,,
99,09/22/16 02:30:00 PM,58.885,,,,,
100,09/22/16 02:45:00 PM,59.142,,,,,
101,09/22/16 03:00:00 PM,59.272,,,,,
102,09/22/16 03:15:00 PM,59.486,,,,,
103,09/22/16 03:30:00 PM,59.572,,,,,
104,09/22/16 03:45:00 PM,59.659,,,,,
105,09/22/16 04:00:00 PM,59.830,,,,,
106,09/22/16 04:15:00 PM,59.873,,,,,
107,09/22/16 04:30:00 PM,59.916,,,,,
108,09/22/16 04:45:00 PM,60.046,,,,,
109,09/22/16 05:00:00 PM,60.089,,,,,
110,09/22/16 05:15:00 PM,60.046,,,,,
111,09/22/16 05:30:00 PM,60.003,,,,,
112,09/22/16 05:45:00 PM,60.003,,,,,
113,09/22/16 06:00:00 PM,59.959,,,,,
114,09/22/16 06:15:00 PM,59.916,,,,,
115,09/22/16 06:30:00 PM,59.916,,,,,
116,09/22/16 06:45:00 PM,59.873,,,,,
117,09/22/16 07:00:00 PM,59.788,,,,,
118,09/22/16 07:15:00 PM,59.745,,,,,
119,09/22/16 07:30:00 PM,59.659,,,,,
120,09/22/16 07:45:00 PM,59.572,,,,,
121,09/22/16 08:00:00 PM,59.529,,,,,
122,09/22/16 08:15:00 PM,59.445,,,,,
123,09/22/16 08:30:00 PM,59.401,,,,,
124,09/22/16 08:45:00 PM,59.315,,,,,
125,09/22/16 09:00:00 PM,59.315,,,,,
126,09/22/16 09:15:00 PM,59.272,,,,,
127,09/22/16 09:30:00 PM,59.185,,,,,
128,09/22/16 09:45:00 PM,59.142,,,,,
129,09/22/16 10:00:00 PM,59.099,,,,,
130,09/22/16 10:15:00 PM,59.056,,,,,
131,09/22/16 10:30:00 PM,58.971,,,,,
132,09/22/16 10:45:00 PM,58.928,,,,,
133,09/22/16 11:00:00 PM,58.842,,,,,
134,09/22/16 11:15:00 PM,58.798,,,,,
135,09/22/16 11:30:00 PM,58.712,,,,,
136,09/22/16 11:45:00 PM,58.669,,,,,
137,09/23/16 12:00:00 AM,58.582,,,,,
138,09/23/16 12:15:00 AM,58.541,,,,,
139,09/23/16 12:30:00 AM,58.455,,,,,
140,09/23/16 12:45:00 AM,58.411,,,,,
141,09/23/16 01:00:00 AM,58.368,,,,,
142,09/23/16 01:15:00 AM,58.282,,,,,
143,09/23/16 01:30:00 AM,58.195,,,,,
144,09/23/16 01:45:00 AM,58.109,,,,,
145,09/23/16 02:00:00 AM,58.066,,,,,
146,09/23/16 02:15:00 AM,57.979,,,,,
147,09/23/16 02:30:00 AM,57.893,,,,,
148,09/23/16 02:45:00 AM,57.850,,,,,
149,09/23/16 03:00:00 AM,57.807,,,,,
150,09/23/16 03:15:00 AM,57.722,,,,,
151,09/23/16 03:30:00 AM,57.679,,,,,
152,09/23/16 03:45:00 AM,57.592,,,,,
153,09/23/16 04:00:00 AM,57.506,,,,,
154,09/23/16 04:15:00 AM,57.420,,,,,
155,09/23/16 04:30:00 AM,57.376,,,,,
156,09/23/16 04:45:00 AM,57.333,,,,,
157,09/23/16 05:00:00 AM,57.290,,,,,
158,09/23/16 05:15:00 AM,57.247,,,,,
159,09/23/16 05:30:00 AM,57.204,,,,,
160,09/23/16 05:45:00 AM,57.204,,,,,
161,09/23/16 06:00:00 AM,57.160,,,,,
162,09/23/16 06:15:00 AM,57.160,,,,,
163,09/23/16 06:30:00 AM,57.160,,,,,
164,09/23/16 06:45:00 AM,57.160,,,,,
165,09/23/16 07:00:00 AM,57.117,,,,,
166,09/23/16 07:15:00 AM,57.117,,,,,
167,09/23/16 07:30:00 AM,57.117,,,,,
168,09/23/16 07:45:00 AM,57.117,,,,,
169,09/23/16 08:00:00 AM,57.117,,,,,
170,09/23/16 08:15:00 AM,57.117,,,,,
171,09/23/16 08:30:00 AM,57.117,,,,,
172,09/23/16 08:45:00 AM,57.117,,,,,
173,09/23/16 09:00:00 AM,57.117,,,,,
174,09/23/16 09:15:00 AM,57.160,,,,,
175,09/23/16 09:30:00 AM,57.204,,,,,
176,09/23/16 09:45:00 AM,57.290,,,,,
177,09/23/16 10:00:00 AM,57.376,,,,,
178,09/23/16 10:15:00 AM,57.463,,,,,
179,09/23/16 10:30:00 AM,57.549,,,,,
180,09/23/16 10:45:00 AM,57.722,,,,,
181,09/23/16 11:00:00 AM,57.893,,,,,
182,09/23/16 11:15:00 AM,58.023,,,,,
183,09/23/16 11:30:00 AM,58.109,,,,,
184,09/23/16 11:45:00 AM,58.282,,,,,
185,09/23/16 12:00:00 PM,58.411,,,,,
186,09/23/16 12:15:00 PM,58.669,,,,,
187,09/23/16 12:30:00 PM,58.755,,,,,
188,09/23/16 12:45:00 PM,58.842,,,,,
189,09/23/16 01:00:00 PM,58.928,,,,,
190,09/23/16 01:15:00 PM,59.014,,,,,
191,09/23/16 01:30:00 PM,59.099,,,,,
192,09/23/16 01:45:00 PM,59.185,,,,,
193,09/23/16 02:00:00 PM,59.272,,,,,
194,09/23/16 02:15:00 PM,59.358,,,,,
195,09/23/16 02:30:00 PM,59.529,,,,,
196,09/23/16 02:45:00 PM,59.702,,,,,
197,09/23/16 03:00:00 PM,59.873,,,,,
198,09/23/16 03:15:00 PM,60.132,,,,,
199,09/23/16 03:30:00 PM,60.346,,,,,
200,09/23/16 03:45:00 PM,60.474,,,,,
201,09/23/16 04:00:00 PM,60.647,,,,,
202,09/23/16 04:15:00 PM,60.861,,,,,
203,09/23/16 04:30:00 PM,60.904,,,,,
204,09/23/16 04:45:00 PM,60.948,,,,,
205,09/23/16 05:00:00 PM,60.948,,,,,
206,09/23/16 05:15:00 PM,60.861,,,,,
207,09/23/16 05:30:00 PM,60.690,,,,,
208,09/23/16 05:45:00 PM,60.604,,,,,
209,09/23/16 06:00:00 PM,60.517,,,,,
210,09/23/16 06:15:00 PM,60.390,,,,,
211,09/23/16 06:30:00 PM,60.260,,,,,
212,09/23/16 06:45:00 PM,60.132,,,,,
213,09/23/16 07:00:00 PM,60.046,,,,,
214,09/23/16 07:15:00 PM,59.959,,,,,
215,09/23/16 07:30:00 PM,59.745,,,,,
216,09/23/16 07:45:00 PM,59.401,,,,,
217,09/23/16 08:00:00 PM,58.669,,,,,
218,09/23/16 08:15:00 PM,58.541,,,,,
219,09/23/16 08:30:00 PM,58.368,,,,,
220,09/23/16 08:45:00 PM,58.152,,,,,
221,09/23/16 09:00:00 PM,58.023,,,,,
222,09/23/16 09:15:00 PM,57.850,,,,,
223,09/23/16 09:30:00 PM,57.636,,,,,
224,09/23/16 09:45:00 PM,57.549,,,,,
225,09/23/16 10:00:00 PM,57.333,,,,,
226,09/23/16 10:15:00 PM,57.160,,,,,
227,09/23/16 10:30:00 PM,57.074,,,,,
228,09/23/16 10:45:00 PM,56.988,,,,,
229,09/23/16 11:00:00 PM,56.901,,,,,
230,09/23/16 11:15:00 PM,56.815,,,,,
231,09/23/16 11:30:00 PM,56.685,,,,,
232,09/23/16 11:45:00 PM,56.599,,,,,
233,09/24/16 12:00:00 AM,56.512,,,,,
234,09/24/16 12:15:00 AM,56.383,,,,,
235,09/24/16 12:30:00 AM,56.295,,,,,
236,09/24/16 12:45:00 AM,56.208,,,,,
237,09/24/16 01:00:00 AM,56.122,,,,,
