"Plot Title: Deadmans Creek"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739552, SEN S/N: 10739552)","Coupler Detached (LGR S/N: 10739552)","Coupler Attached (LGR S/N: 10739552)","Host Connected (LGR S/N: 10739552)","Stopped (LGR S/N: 10739552)","End Of File (LGR S/N: 10739552)"
1,05/27/16 10:00:00 AM,53.865,Logged,,,,
2,05/27/16 10:15:00 AM,54.037,,,,,
3,05/27/16 10:30:00 AM,54.212,,,,,
4,05/27/16 10:45:00 AM,54.387,,,,,
5,05/27/16 11:00:00 AM,54.604,,,,,
6,05/27/16 11:15:00 AM,54.865,,,,,
7,05/27/16 11:30:00 AM,55.213,,,,,
8,05/27/16 11:45:00 AM,55.515,,,,,
9,05/27/16 12:00:00 PM,55.863,,,,,
10,05/27/16 12:15:00 PM,56.165,,,,,
11,05/27/16 12:30:00 PM,56.599,,,,,
12,05/27/16 12:45:00 PM,56.988,,,,,
13,05/27/16 01:00:00 PM,57.160,,,,,
14,05/27/16 01:15:00 PM,57.204,,,,,
15,05/27/16 01:30:00 PM,57.247,,,,,
16,05/27/16 01:45:00 PM,57.420,,,,,
17,05/27/16 02:00:00 PM,57.636,,,,,
18,05/27/16 02:15:00 PM,57.636,,,,,
19,05/27/16 02:30:00 PM,57.549,,,,,
20,05/27/16 02:45:00 PM,57.506,,,,,
21,05/27/16 03:00:00 PM,57.549,,,,,
22,05/27/16 03:15:00 PM,57.765,,,,,
23,05/27/16 03:30:00 PM,58.023,,,,,
24,05/27/16 03:45:00 PM,57.979,,,,,
25,05/27/16 04:00:00 PM,58.109,,,,,
26,05/27/16 04:15:00 PM,58.195,,,,,
27,05/27/16 04:30:00 PM,58.541,,,,,
28,05/27/16 04:45:00 PM,58.798,,,,,
29,05/27/16 05:00:00 PM,58.928,,,,,
30,05/27/16 05:15:00 PM,59.014,,,,,
31,05/27/16 05:30:00 PM,59.185,,,,,
32,05/27/16 05:45:00 PM,59.229,,,,,
33,05/27/16 06:00:00 PM,59.229,,,,,
34,05/27/16 06:15:00 PM,59.185,,,,,
35,05/27/16 06:30:00 PM,59.185,,,,,
36,05/27/16 06:45:00 PM,59.099,,,,,
37,05/27/16 07:00:00 PM,59.014,,,,,
38,05/27/16 07:15:00 PM,59.014,,,,,
39,05/27/16 07:30:00 PM,58.928,,,,,
40,05/27/16 07:45:00 PM,58.885,,,,,
41,05/27/16 08:00:00 PM,58.798,,,,,
42,05/27/16 08:15:00 PM,58.712,,,,,
43,05/27/16 08:30:00 PM,58.626,,,,,
44,05/27/16 08:45:00 PM,58.582,,,,,
45,05/27/16 09:00:00 PM,58.498,,,,,
46,05/27/16 09:15:00 PM,58.411,,,,,
47,05/27/16 09:30:00 PM,58.282,,,,,
48,05/27/16 09:45:00 PM,58.152,,,,,
49,05/27/16 10:00:00 PM,58.023,,,,,
50,05/27/16 10:15:00 PM,57.850,,,,,
51,05/27/16 10:30:00 PM,57.679,,,,,
52,05/27/16 10:45:00 PM,57.463,,,,,
53,05/27/16 11:00:00 PM,57.247,,,,,
54,05/27/16 11:15:00 PM,57.031,,,,,
55,05/27/16 11:30:00 PM,56.858,,,,,
56,05/27/16 11:45:00 PM,56.599,,,,,
57,05/28/16 12:00:00 AM,56.383,,,,,
58,05/28/16 12:15:00 AM,56.165,,,,,
59,05/28/16 12:30:00 AM,55.992,,,,,
60,05/28/16 12:45:00 AM,55.733,,,,,
61,05/28/16 01:00:00 AM,55.515,,,,,
62,05/28/16 01:15:00 AM,55.299,,,,,
63,05/28/16 01:30:00 AM,55.125,,,,,
64,05/28/16 01:45:00 AM,54.952,,,,,
65,05/28/16 02:00:00 AM,54.734,,,,,
66,05/28/16 02:15:00 AM,54.516,,,,,
67,05/28/16 02:30:00 AM,54.343,,,,,
68,05/28/16 02:45:00 AM,54.169,,,,,
69,05/28/16 03:00:00 AM,53.951,,,,,
70,05/28/16 03:15:00 AM,53.776,,,,,
71,05/28/16 03:30:00 AM,53.602,,,,,
72,05/28/16 03:45:00 AM,53.384,,,,,
73,05/28/16 04:00:00 AM,53.209,,,,,
74,05/28/16 04:15:00 AM,53.035,,,,,
75,05/28/16 04:30:00 AM,52.860,,,,,
76,05/28/16 04:45:00 AM,52.686,,,,,
77,05/28/16 05:00:00 AM,52.509,,,,,
78,05/28/16 05:15:00 AM,52.335,,,,,
79,05/28/16 05:30:00 AM,52.160,,,,,
80,05/28/16 05:45:00 AM,51.984,,,,,
81,05/28/16 06:00:00 AM,51.852,,,,,
82,05/28/16 06:15:00 AM,51.678,,,,,
83,05/28/16 06:30:00 AM,51.544,,,,,
84,05/28/16 06:45:00 AM,51.370,,,,,
85,05/28/16 07:00:00 AM,51.237,,,,,
86,05/28/16 07:15:00 AM,51.105,,,,,
87,05/28/16 07:30:00 AM,50.974,,,,,
88,05/28/16 07:45:00 AM,50.886,,,,,
89,05/28/16 08:00:00 AM,50.841,,,,,
90,05/28/16 08:15:00 AM,50.797,,,,,
91,05/28/16 08:30:00 AM,50.752,,,,,
92,05/28/16 08:45:00 AM,50.797,,,,,
93,05/28/16 09:00:00 AM,50.886,,,,,
94,05/28/16 09:15:00 AM,51.017,,,,,
95,05/28/16 09:30:00 AM,51.148,,,,,
96,05/28/16 09:45:00 AM,51.370,,,,,
97,05/28/16 10:00:00 AM,51.633,,,,,
98,05/28/16 10:15:00 AM,51.895,,,,,
99,05/28/16 10:30:00 AM,52.203,,,,,
100,05/28/16 10:45:00 AM,52.554,,,,,
101,05/28/16 11:00:00 AM,52.947,,,,,
102,05/28/16 11:15:00 AM,53.384,,,,,
103,05/28/16 11:30:00 AM,53.908,,,,,
104,05/28/16 11:45:00 AM,54.473,,,,,
105,05/28/16 12:00:00 PM,55.125,,,,,
106,05/28/16 12:15:00 PM,55.690,,,,,
107,05/28/16 12:30:00 PM,56.165,,,,,
108,05/28/16 12:45:00 PM,56.556,,,,,
109,05/28/16 01:00:00 PM,57.204,,,,,
110,05/28/16 01:15:00 PM,57.636,,,,,
111,05/28/16 01:30:00 PM,58.023,,,,,
112,05/28/16 01:45:00 PM,58.152,,,,,
113,05/28/16 02:00:00 PM,57.722,,,,,
114,05/28/16 02:15:00 PM,56.988,,,,,
115,05/28/16 02:30:00 PM,56.858,,,,,
116,05/28/16 02:45:00 PM,56.815,,,,,
117,05/28/16 03:00:00 PM,56.858,,,,,
118,05/28/16 03:15:00 PM,57.290,,,,,
119,05/28/16 03:30:00 PM,58.023,,,,,
120,05/28/16 03:45:00 PM,58.755,,,,,
121,05/28/16 04:00:00 PM,59.445,,,,,
122,05/28/16 04:15:00 PM,59.916,,,,,
123,05/28/16 04:30:00 PM,60.174,,,,,
124,05/28/16 04:45:00 PM,60.174,,,,,
125,05/28/16 05:00:00 PM,60.132,,,,,
126,05/28/16 05:15:00 PM,60.089,,,,,
127,05/28/16 05:30:00 PM,59.959,,,,,
128,05/28/16 05:45:00 PM,59.830,,,,,
129,05/28/16 06:00:00 PM,59.702,,,,,
130,05/28/16 06:15:00 PM,59.659,,,,,
131,05/28/16 06:30:00 PM,59.572,,,,,
132,05/28/16 06:45:00 PM,59.529,,,,,
133,05/28/16 07:00:00 PM,59.529,,,,,
134,05/28/16 07:15:00 PM,59.572,,,,,
135,05/28/16 07:30:00 PM,59.616,,,,,
136,05/28/16 07:45:00 PM,59.659,,,,,
137,05/28/16 08:00:00 PM,59.702,,,,,
138,05/28/16 08:15:00 PM,59.659,,,,,
139,05/28/16 08:30:00 PM,59.616,,,,,
140,05/28/16 08:45:00 PM,59.572,,,,,
141,05/28/16 09:00:00 PM,59.486,,,,,
142,05/28/16 09:15:00 PM,59.358,,,,,
143,05/28/16 09:30:00 PM,59.185,,,,,
144,05/28/16 09:45:00 PM,58.971,,,,,
145,05/28/16 10:00:00 PM,58.755,,,,,
146,05/28/16 10:15:00 PM,58.541,,,,,
147,05/28/16 10:30:00 PM,58.325,,,,,
148,05/28/16 10:45:00 PM,58.066,,,,,
149,05/28/16 11:00:00 PM,57.850,,,,,
150,05/28/16 11:15:00 PM,57.636,,,,,
151,05/28/16 11:30:00 PM,57.420,,,,,
152,05/28/16 11:45:00 PM,57.204,,,,,
153,05/29/16 12:00:00 AM,57.031,,,,,
154,05/29/16 12:15:00 AM,56.815,,,,,
155,05/29/16 12:30:00 AM,56.642,,,,,
156,05/29/16 12:45:00 AM,56.426,,,,,
157,05/29/16 01:00:00 AM,56.251,,,,,
158,05/29/16 01:15:00 AM,56.035,,,,,
159,05/29/16 01:30:00 AM,55.819,,,,,
160,05/29/16 01:45:00 AM,55.647,,,,,
161,05/29/16 02:00:00 AM,55.429,,,,,
162,05/29/16 02:15:00 AM,55.213,,,,,
163,05/29/16 02:30:00 AM,55.038,,,,,
164,05/29/16 02:45:00 AM,54.865,,,,,
165,05/29/16 03:00:00 AM,54.648,,,,,
166,05/29/16 03:15:00 AM,54.473,,,,,
167,05/29/16 03:30:00 AM,54.300,,,,,
168,05/29/16 03:45:00 AM,54.082,,,,,
169,05/29/16 04:00:00 AM,53.908,,,,,
170,05/29/16 04:15:00 AM,53.733,,,,,
171,05/29/16 04:30:00 AM,53.559,,,,,
172,05/29/16 04:45:00 AM,53.384,,,,,
173,05/29/16 05:00:00 AM,53.209,,,,,
174,05/29/16 05:15:00 AM,53.035,,,,,
175,05/29/16 05:30:00 AM,52.860,,,,,
176,05/29/16 05:45:00 AM,52.641,,,,,
177,05/29/16 06:00:00 AM,52.509,,,,,
178,05/29/16 06:15:00 AM,52.335,,,,,
179,05/29/16 06:30:00 AM,52.160,,,,,
180,05/29/16 06:45:00 AM,51.984,,,,,
181,05/29/16 07:00:00 AM,51.852,,,,,
182,05/29/16 07:15:00 AM,51.721,,,,,
183,05/29/16 07:30:00 AM,51.589,,,,,
184,05/29/16 07:45:00 AM,51.458,,,,,
185,05/29/16 08:00:00 AM,51.413,,,,,
186,05/29/16 08:15:00 AM,51.325,,,,,
187,05/29/16 08:30:00 AM,51.282,,,,,
188,05/29/16 08:45:00 AM,51.325,,,,,
189,05/29/16 09:00:00 AM,51.370,,,,,
190,05/29/16 09:15:00 AM,51.458,,,,,
191,05/29/16 09:30:00 AM,51.589,,,,,
192,05/29/16 09:45:00 AM,51.809,,,,,
193,05/29/16 10:00:00 AM,52.029,,,,,
194,05/29/16 10:15:00 AM,52.291,,,,,
195,05/29/16 10:30:00 AM,52.597,,,,,
196,05/29/16 10:45:00 AM,52.947,,,,,
197,05/29/16 11:00:00 AM,53.298,,,,,
198,05/29/16 11:15:00 AM,53.733,,,,,
199,05/29/16 11:30:00 AM,54.255,,,,,
200,05/29/16 11:45:00 AM,54.820,,,,,
201,05/29/16 12:00:00 PM,55.472,,,,,
202,05/29/16 12:15:00 PM,56.122,,,,,
203,05/29/16 12:30:00 PM,56.815,,,,,
204,05/29/16 12:45:00 PM,57.506,,,,,
205,05/29/16 01:00:00 PM,58.239,,,,,
206,05/29/16 01:15:00 PM,58.928,,,,,
207,05/29/16 01:30:00 PM,59.616,,,,,
208,05/29/16 01:45:00 PM,60.003,,,,,
209,05/29/16 02:00:00 PM,60.346,,,,,
210,05/29/16 02:15:00 PM,60.561,,,,,
211,05/29/16 02:30:00 PM,60.948,,,,,
212,05/29/16 02:45:00 PM,61.290,,,,,
213,05/29/16 03:00:00 PM,61.333,,,,,
214,05/29/16 03:15:00 PM,61.333,,,,,
215,05/29/16 03:30:00 PM,61.547,,,,,
216,05/29/16 03:45:00 PM,61.934,,,,,
217,05/29/16 04:00:00 PM,62.406,,,,,
218,05/29/16 04:15:00 PM,62.748,,,,,
219,05/29/16 04:30:00 PM,63.048,,,,,
220,05/29/16 04:45:00 PM,63.390,,,,,
221,05/29/16 05:00:00 PM,63.732,,,,,
222,05/29/16 05:15:00 PM,63.990,,,,,
223,05/29/16 05:30:00 PM,64.247,,,,,
224,05/29/16 05:45:00 PM,64.288,,,,,
225,05/29/16 06:00:00 PM,64.247,,,,,
226,05/29/16 06:15:00 PM,64.204,,,,,
227,05/29/16 06:30:00 PM,64.288,,,,,
228,05/29/16 06:45:00 PM,64.288,,,,,
229,05/29/16 07:00:00 PM,64.204,,,,,
230,05/29/16 07:15:00 PM,64.033,,,,,
231,05/29/16 07:30:00 PM,63.903,,,,,
232,05/29/16 07:45:00 PM,63.732,,,,,
233,05/29/16 08:00:00 PM,63.518,,,,,
234,05/29/16 08:15:00 PM,63.347,,,,,
235,05/29/16 08:30:00 PM,63.219,,,,,
236,05/29/16 08:45:00 PM,63.090,,,,,
237,05/29/16 09:00:00 PM,62.962,,,,,
238,05/29/16 09:15:00 PM,62.834,,,,,
239,05/29/16 09:30:00 PM,62.748,,,,,
240,05/29/16 09:45:00 PM,62.661,,,,,
241,05/29/16 10:00:00 PM,62.533,,,,,
242,05/29/16 10:15:00 PM,62.362,,,,,
243,05/29/16 10:30:00 PM,62.148,,,,,
244,05/29/16 10:45:00 PM,61.977,,,,,
245,05/29/16 11:00:00 PM,61.761,,,,,
246,05/29/16 11:15:00 PM,61.590,,,,,
247,05/29/16 11:30:00 PM,61.376,,,,,
248,05/29/16 11:45:00 PM,61.162,,,,,
249,05/30/16 12:00:00 AM,60.904,,,,,
250,05/30/16 12:15:00 AM,60.647,,,,,
251,05/30/16 12:30:00 AM,60.390,,,,,
252,05/30/16 12:45:00 AM,60.132,,,,,
253,05/30/16 01:00:00 AM,59.916,,,,,
254,05/30/16 01:15:00 AM,59.659,,,,,
255,05/30/16 01:30:00 AM,59.401,,,,,
256,05/30/16 01:45:00 AM,59.099,,,,,
257,05/30/16 02:00:00 AM,58.885,,,,,
258,05/30/16 02:15:00 AM,58.626,,,,,
259,05/30/16 02:30:00 AM,58.411,,,,,
260,05/30/16 02:45:00 AM,58.152,,,,,
261,05/30/16 03:00:00 AM,57.979,,,,,
262,05/30/16 03:15:00 AM,57.765,,,,,
263,05/30/16 03:30:00 AM,57.592,,,,,
264,05/30/16 03:45:00 AM,57.463,,,,,
265,05/30/16 04:00:00 AM,57.290,,,,,
266,05/30/16 04:15:00 AM,57.160,,,,,
267,05/30/16 04:30:00 AM,57.031,,,,,
268,05/30/16 04:45:00 AM,56.901,,,,,
269,05/30/16 05:00:00 AM,56.772,,,,,
270,05/30/16 05:15:00 AM,56.685,,,,,
271,05/30/16 05:30:00 AM,56.556,,,,,
272,05/30/16 05:45:00 AM,56.469,,,,,
273,05/30/16 06:00:00 AM,56.383,,,,,
274,05/30/16 06:15:00 AM,56.251,,,,,
275,05/30/16 06:30:00 AM,56.165,,,,,
276,05/30/16 06:45:00 AM,56.035,,,,,
