"Plot Title: Dismal River- Dunning"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20116056, SEN S/N: 20116056)","Coupler Detached (LGR S/N: 20116056)","Coupler Attached (LGR S/N: 20116056)","Host Connected (LGR S/N: 20116056)","Stopped (LGR S/N: 20116056)","End Of File (LGR S/N: 20116056)"
1,06/02/17 03:00:00 PM,78.514,Logged,,,,
2,06/02/17 03:15:00 PM,78.910,,,,,
3,06/02/17 03:30:00 PM,79.304,,,,,
4,06/02/17 03:45:00 PM,79.567,,,,,
5,06/02/17 04:00:00 PM,79.743,,,,,
6,06/02/17 04:15:00 PM,79.920,,,,,
7,06/02/17 04:30:00 PM,80.096,,,,,
8,06/02/17 04:45:00 PM,80.227,,,,,
9,06/02/17 05:00:00 PM,80.316,,,,,
10,06/02/17 05:15:00 PM,80.316,,,,,
11,06/02/17 05:30:00 PM,80.361,,,,,
12,06/02/17 05:45:00 PM,80.272,,,,,
13,06/02/17 06:00:00 PM,80.139,,,,,
14,06/02/17 06:15:00 PM,79.963,,,,,
15,06/02/17 06:30:00 PM,79.700,,,,,
16,06/02/17 06:45:00 PM,79.347,,,,,
17,06/02/17 07:00:00 PM,78.996,,,,,
18,06/02/17 07:15:00 PM,78.514,,,,,
19,06/02/17 07:30:00 PM,77.990,,,,,
20,06/02/17 07:45:00 PM,77.509,,,,,
21,06/02/17 08:00:00 PM,77.029,,,,,
22,06/02/17 08:15:00 PM,76.550,,,,,
23,06/02/17 08:30:00 PM,76.114,,,,,
24,06/02/17 08:45:00 PM,75.724,,,,,
25,06/02/17 09:00:00 PM,75.420,,,,,
26,06/02/17 09:15:00 PM,75.074,,,,,
27,06/02/17 09:30:00 PM,74.770,,,,,
28,06/02/17 09:45:00 PM,74.424,,,,,
29,06/02/17 10:00:00 PM,74.120,,,,,
30,06/02/17 10:15:00 PM,73.818,,,,,
31,06/02/17 10:30:00 PM,73.515,,,,,
32,06/02/17 10:45:00 PM,73.256,,,,,
33,06/02/17 11:00:00 PM,72.997,,,,,
34,06/02/17 11:15:00 PM,72.696,,,,,
35,06/02/17 11:30:00 PM,72.394,,,,,
36,06/02/17 11:45:00 PM,72.136,,,,,
37,06/03/17 12:00:00 AM,71.964,,,,,
38,06/03/17 12:15:00 AM,71.791,,,,,
39,06/03/17 12:30:00 AM,71.577,,,,,
40,06/03/17 12:45:00 AM,71.404,,,,,
41,06/03/17 01:00:00 AM,71.231,,,,,
42,06/03/17 01:15:00 AM,71.017,,,,,
43,06/03/17 01:30:00 AM,70.803,,,,,
44,06/03/17 01:45:00 AM,70.587,,,,,
45,06/03/17 02:00:00 AM,70.372,,,,,
46,06/03/17 02:15:00 AM,70.115,,,,,
47,06/03/17 02:30:00 AM,69.901,,,,,
48,06/03/17 02:45:00 AM,69.643,,,,,
49,06/03/17 03:00:00 AM,69.386,,,,,
50,06/03/17 03:15:00 AM,69.170,,,,,
51,06/03/17 03:30:00 AM,68.913,,,,,
52,06/03/17 03:45:00 AM,68.657,,,,,
53,06/03/17 04:00:00 AM,68.400,,,,,
54,06/03/17 04:15:00 AM,68.142,,,,,
55,06/03/17 04:30:00 AM,67.885,,,,,
56,06/03/17 04:45:00 AM,67.671,,,,,
57,06/03/17 05:00:00 AM,67.413,,,,,
58,06/03/17 05:15:00 AM,67.199,,,,,
59,06/03/17 05:30:00 AM,66.985,,,,,
60,06/03/17 05:45:00 AM,66.772,,,,,
61,06/03/17 06:00:00 AM,66.558,,,,,
62,06/03/17 06:15:00 AM,66.344,,,,,
63,06/03/17 06:30:00 AM,66.173,,,,,
64,06/03/17 06:45:00 AM,66.000,,,,,
65,06/03/17 07:00:00 AM,65.872,,,,,
66,06/03/17 07:15:00 AM,65.829,,,,,
67,06/03/17 07:30:00 AM,65.788,,,,,
68,06/03/17 07:45:00 AM,65.829,,,,,
69,06/03/17 08:00:00 AM,65.916,,,,,
70,06/03/17 08:15:00 AM,66.000,,,,,
71,06/03/17 08:30:00 AM,66.130,,,,,
72,06/03/17 08:45:00 AM,66.214,,,,,
73,06/03/17 09:00:00 AM,66.385,,,,,
74,06/03/17 09:15:00 AM,66.600,,,,,
75,06/03/17 09:30:00 AM,66.943,,,,,
76,06/03/17 09:45:00 AM,67.372,,,,,
77,06/03/17 10:00:00 AM,67.842,,,,,
78,06/03/17 10:15:00 AM,68.270,,,,,
79,06/03/17 10:30:00 AM,68.742,,,,,
80,06/03/17 10:45:00 AM,69.386,,,,,
81,06/03/17 11:00:00 AM,70.029,,,,,
82,06/03/17 11:15:00 AM,70.716,,,,,
83,06/03/17 11:30:00 AM,71.361,,,,,
84,06/03/17 11:45:00 AM,71.964,,,,,
85,06/03/17 12:00:00 PM,72.610,,,,,
86,06/03/17 12:15:00 PM,73.083,,,,,
87,06/03/17 12:30:00 PM,73.861,,,,,
88,06/03/17 12:45:00 PM,74.597,,,,,
89,06/03/17 01:00:00 PM,75.029,,,,,
90,06/03/17 01:15:00 PM,75.247,,,,,
91,06/03/17 01:30:00 PM,74.986,,,,,
92,06/03/17 01:45:00 PM,74.899,,,,,
93,06/03/17 02:00:00 PM,74.943,,,,,
94,06/03/17 02:15:00 PM,75.029,,,,,
95,06/03/17 02:30:00 PM,75.117,,,,,
96,06/03/17 02:45:00 PM,75.160,,,,,
97,06/03/17 03:00:00 PM,75.160,,,,,
98,06/03/17 03:15:00 PM,75.160,,,,,
99,06/03/17 03:30:00 PM,75.117,,,,,
100,06/03/17 03:45:00 PM,75.074,,,,,
101,06/03/17 04:00:00 PM,75.029,,,,,
102,06/03/17 04:15:00 PM,74.986,,,,,
103,06/03/17 04:30:00 PM,74.899,,,,,
104,06/03/17 04:45:00 PM,74.770,,,,,
105,06/03/17 05:00:00 PM,74.683,,,,,
106,06/03/17 05:15:00 PM,74.554,,,,,
107,06/03/17 05:30:00 PM,74.467,,,,,
108,06/03/17 05:45:00 PM,74.338,,,,,
109,06/03/17 06:00:00 PM,74.250,,,,,
110,06/03/17 06:15:00 PM,74.338,,,,,
111,06/03/17 06:30:00 PM,74.424,,,,,
112,06/03/17 06:45:00 PM,74.597,,,,,
113,06/03/17 07:00:00 PM,74.640,,,,,
114,06/03/17 07:15:00 PM,74.640,,,,,
115,06/03/17 07:30:00 PM,74.554,,,,,
116,06/03/17 07:45:00 PM,74.424,,,,,
117,06/03/17 08:00:00 PM,74.295,,,,,
118,06/03/17 08:15:00 PM,73.990,,,,,
119,06/03/17 08:30:00 PM,73.688,,,,,
120,06/03/17 08:45:00 PM,73.342,,,,,
121,06/03/17 09:00:00 PM,73.083,,,,,
122,06/03/17 09:15:00 PM,72.739,,,,,
123,06/03/17 09:30:00 PM,72.437,,,,,
124,06/03/17 09:45:00 PM,72.093,,,,,
125,06/03/17 10:00:00 PM,71.704,,,,,
126,06/03/17 10:15:00 PM,71.361,,,,,
127,06/03/17 10:30:00 PM,70.974,,,,,
128,06/03/17 10:45:00 PM,70.630,,,,,
129,06/03/17 11:00:00 PM,70.286,,,,,
130,06/03/17 11:15:00 PM,69.985,,,,,
131,06/03/17 11:30:00 PM,69.728,,,,,
132,06/03/17 11:45:00 PM,69.427,,,,,
133,06/04/17 12:00:00 AM,69.170,,,,,
134,06/04/17 12:15:00 AM,68.871,,,,,
135,06/04/17 12:30:00 AM,68.571,,,,,
136,06/04/17 12:45:00 AM,68.270,,,,,
137,06/04/17 01:00:00 AM,67.928,,,,,
138,06/04/17 01:15:00 AM,67.671,,,,,
139,06/04/17 01:30:00 AM,67.372,,,,,
140,06/04/17 01:45:00 AM,67.071,,,,,
141,06/04/17 02:00:00 AM,66.814,,,,,
142,06/04/17 02:15:00 AM,66.558,,,,,
143,06/04/17 02:30:00 AM,66.344,,,,,
144,06/04/17 02:45:00 AM,66.087,,,,,
145,06/04/17 03:00:00 AM,65.872,,,,,
146,06/04/17 03:15:00 AM,65.615,,,,,
147,06/04/17 03:30:00 AM,65.403,,,,,
148,06/04/17 03:45:00 AM,65.145,,,,,
149,06/04/17 04:00:00 AM,64.931,,,,,
150,06/04/17 04:15:00 AM,64.674,,,,,
151,06/04/17 04:30:00 AM,64.418,,,,,
152,06/04/17 04:45:00 AM,64.204,,,,,
153,06/04/17 05:00:00 AM,63.946,,,,,
154,06/04/17 05:15:00 AM,63.732,,,,,
155,06/04/17 05:30:00 AM,63.475,,,,,
156,06/04/17 05:45:00 AM,63.262,,,,,
157,06/04/17 06:00:00 AM,63.005,,,,,
158,06/04/17 06:15:00 AM,62.791,,,,,
159,06/04/17 06:30:00 AM,62.533,,,,,
160,06/04/17 06:45:00 AM,62.319,,,,,
161,06/04/17 07:00:00 AM,62.148,,,,,
162,06/04/17 07:15:00 AM,62.019,,,,,
163,06/04/17 07:30:00 AM,61.934,,,,,
164,06/04/17 07:45:00 AM,61.891,,,,,
165,06/04/17 08:00:00 AM,61.934,,,,,
166,06/04/17 08:15:00 AM,62.019,,,,,
167,06/04/17 08:30:00 AM,62.191,,,,,
168,06/04/17 08:45:00 AM,62.447,,,,,
169,06/04/17 09:00:00 AM,62.791,,,,,
170,06/04/17 09:15:00 AM,63.176,,,,,
171,06/04/17 09:30:00 AM,63.604,,,,,
172,06/04/17 09:45:00 AM,64.117,,,,,
173,06/04/17 10:00:00 AM,64.674,,,,,
174,06/04/17 10:15:00 AM,65.273,,,,,
175,06/04/17 10:30:00 AM,65.916,,,,,
176,06/04/17 10:45:00 AM,66.600,,,,,
177,06/04/17 11:00:00 AM,67.285,,,,,
178,06/04/17 11:15:00 AM,68.013,,,,,
179,06/04/17 11:30:00 AM,68.742,,,,,
180,06/04/17 11:45:00 AM,69.514,,,,,
181,06/04/17 12:00:00 PM,70.243,,,,,
182,06/04/17 12:15:00 PM,71.017,,,,,
183,06/04/17 12:30:00 PM,71.834,,,,,
184,06/04/17 12:45:00 PM,72.567,,,,,
185,06/04/17 01:00:00 PM,73.342,,,,,
186,06/04/17 01:15:00 PM,74.120,,,,,
187,06/04/17 01:30:00 PM,74.856,,,,,
188,06/04/17 01:45:00 PM,75.551,,,,,
189,06/04/17 02:00:00 PM,76.246,,,,,
190,06/04/17 02:15:00 PM,76.986,,,,,
191,06/04/17 02:30:00 PM,77.639,,,,,
192,06/04/17 02:45:00 PM,78.251,,,,,
193,06/04/17 03:00:00 PM,78.865,,,,,
194,06/04/17 03:15:00 PM,79.435,,,,,
195,06/04/17 03:30:00 PM,79.876,,,,,
196,06/04/17 03:45:00 PM,80.404,,,,,
197,06/04/17 04:00:00 PM,80.845,,,,,
198,06/04/17 04:15:00 PM,81.244,,,,,
199,06/04/17 04:30:00 PM,81.597,,,,,
200,06/04/17 04:45:00 PM,81.997,,,,,
201,06/04/17 05:00:00 PM,82.353,,,,,
202,06/04/17 05:15:00 PM,82.620,,,,,
203,06/04/17 05:30:00 PM,82.753,,,,,
204,06/04/17 05:45:00 PM,82.798,,,,,
205,06/04/17 06:00:00 PM,82.976,,,,,
206,06/04/17 06:15:00 PM,82.931,,,,,
207,06/04/17 06:30:00 PM,82.708,,,,,
208,06/04/17 06:45:00 PM,82.441,,,,,
209,06/04/17 07:00:00 PM,82.441,,,,,
210,06/04/17 07:15:00 PM,82.218,,,,,
211,06/04/17 07:30:00 PM,82.218,,,,,
212,06/04/17 07:45:00 PM,81.997,,,,,
213,06/04/17 08:00:00 PM,81.775,,,,,
214,06/04/17 08:15:00 PM,81.466,,,,,
215,06/04/17 08:30:00 PM,81.111,,,,,
216,06/04/17 08:45:00 PM,80.757,,,,,
217,06/04/17 09:00:00 PM,80.316,,,,,
218,06/04/17 09:15:00 PM,79.963,,,,,
219,06/04/17 09:30:00 PM,79.524,,,,,
220,06/04/17 09:45:00 PM,79.084,,,,,
221,06/04/17 10:00:00 PM,78.645,,,,,
222,06/04/17 10:15:00 PM,78.208,,,,,
223,06/04/17 10:30:00 PM,77.815,,,,,
224,06/04/17 10:45:00 PM,77.421,,,,,
225,06/04/17 11:00:00 PM,77.029,,,,,
226,06/04/17 11:15:00 PM,76.593,,,,,
227,06/04/17 11:30:00 PM,76.158,,,,,
228,06/04/17 11:45:00 PM,75.810,,,,,
229,06/05/17 12:00:00 AM,75.463,,,,,
230,06/05/17 12:15:00 AM,75.160,,,,,
231,06/05/17 12:30:00 AM,74.856,,,,,
232,06/05/17 12:45:00 AM,74.511,,,,,
233,06/05/17 01:00:00 AM,74.206,,,,,
234,06/05/17 01:15:00 AM,73.861,,,,,
235,06/05/17 01:30:00 AM,73.558,,,,,
236,06/05/17 01:45:00 AM,73.256,,,,,
237,06/05/17 02:00:00 AM,72.912,,,,,
238,06/05/17 02:15:00 AM,72.610,,,,,
239,06/05/17 02:30:00 AM,72.307,,,,,
240,06/05/17 02:45:00 AM,71.964,,,,,
241,06/05/17 03:00:00 AM,71.661,,,,,
242,06/05/17 03:15:00 AM,71.274,,,,,
243,06/05/17 03:30:00 AM,70.974,,,,,
244,06/05/17 03:45:00 AM,70.673,,,,,
245,06/05/17 04:00:00 AM,70.372,,,,,
246,06/05/17 04:15:00 AM,70.072,,,,,
247,06/05/17 04:30:00 AM,69.771,,,,,
248,06/05/17 04:45:00 AM,69.514,,,,,
249,06/05/17 05:00:00 AM,69.213,,,,,
250,06/05/17 05:15:00 AM,68.956,,,,,
251,06/05/17 05:30:00 AM,68.657,,,,,
252,06/05/17 05:45:00 AM,68.356,,,,,
253,06/05/17 06:00:00 AM,68.099,,,,,
254,06/05/17 06:15:00 AM,67.798,,,,,
255,06/05/17 06:30:00 AM,67.543,,,,,
256,06/05/17 06:45:00 AM,67.242,,,,,
257,06/05/17 07:00:00 AM,67.028,,,,,
258,06/05/17 07:15:00 AM,66.814,,,,,
259,06/05/17 07:30:00 AM,66.686,,,,,
260,06/05/17 07:45:00 AM,66.643,,,,,
261,06/05/17 08:00:00 AM,66.686,,,,,
262,06/05/17 08:15:00 AM,66.772,,,,,
263,06/05/17 08:30:00 AM,66.900,,,,,
264,06/05/17 08:45:00 AM,67.114,,,,,
265,06/05/17 09:00:00 AM,67.413,,,,,
266,06/05/17 09:15:00 AM,67.757,,,,,
267,06/05/17 09:30:00 AM,68.185,,,,,
268,06/05/17 09:45:00 AM,68.698,,,,,
269,06/05/17 10:00:00 AM,69.213,,,,,
270,06/05/17 10:15:00 AM,69.728,,,,,
271,06/05/17 10:30:00 AM,70.243,,,,,
272,06/05/17 10:45:00 AM,70.846,,,,,
273,06/05/17 11:00:00 AM,71.490,,,,,
274,06/05/17 11:15:00 AM,72.136,,,,,
275,06/05/17 11:30:00 AM,72.826,,,,,
276,06/05/17 11:45:00 AM,73.472,,,,,
277,06/05/17 12:00:00 PM,73.818,,,,,
278,06/05/17 12:15:00 PM,74.467,,,,,
279,06/05/17 12:30:00 PM,74.856,,,,,
280,06/05/17 12:45:00 PM,74.727,,,,,
281,06/05/17 01:00:00 PM,74.813,,,,,
282,06/05/17 01:15:00 PM,75.117,,,,,
283,06/05/17 01:30:00 PM,75.985,,,,,
284,06/05/17 01:45:00 PM,77.203,,,,,
285,06/05/17 02:00:00 PM,77.639,,,,,
286,06/05/17 02:15:00 PM,77.902,,,,,
287,06/05/17 02:30:00 PM,78.121,,,,,
288,06/05/17 02:45:00 PM,78.733,,,,,
289,06/05/17 03:00:00 PM,79.700,,,,,
290,06/05/17 03:15:00 PM,80.096,,,,,
291,06/05/17 03:30:00 PM,80.404,,,,,
292,06/05/17 03:45:00 PM,81.376,,,,,
293,06/05/17 04:00:00 PM,82.353,,,,,
294,06/05/17 04:15:00 PM,82.708,,,,,
295,06/05/17 04:30:00 PM,82.931,,,,,
