"Plot Title: Dry #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719028, SEN S/N: 10719028)","Coupler Detached (LGR S/N: 10719028)","Coupler Attached (LGR S/N: 10719028)","Host Connected (LGR S/N: 10719028)","Stopped (LGR S/N: 10719028)","End Of File (LGR S/N: 10719028)"
1,11/02/16 10:00:00 AM,50.047,Logged,,,,
2,11/02/16 10:15:00 AM,50.311,,,,,
3,11/02/16 10:30:00 AM,50.533,,,,,
4,11/02/16 10:45:00 AM,50.664,,,,,
5,11/02/16 11:00:00 AM,50.841,,,,,
6,11/02/16 11:15:00 AM,51.017,,,,,
7,11/02/16 11:30:00 AM,51.370,,,,,
8,11/02/16 11:45:00 AM,52.203,,,,,
9,11/02/16 12:00:00 PM,53.078,,,,,
10,11/02/16 12:15:00 PM,54.300,,,,,
11,11/02/16 12:30:00 PM,54.820,,,,,
12,11/02/16 12:45:00 PM,55.386,,,,,
13,11/02/16 01:00:00 PM,55.949,,,,,
14,11/02/16 01:15:00 PM,56.599,,,,,
15,11/02/16 01:30:00 PM,57.031,,,,,
16,11/02/16 01:45:00 PM,57.549,,,,,
17,11/02/16 02:00:00 PM,57.549,,,,,
18,11/02/16 02:15:00 PM,57.936,,,,,
19,11/02/16 02:30:00 PM,58.325,,,,,
20,11/02/16 02:45:00 PM,58.626,,,,,
21,11/02/16 03:00:00 PM,58.798,,,,,
22,11/02/16 03:15:00 PM,58.885,,,,,
23,11/02/16 03:30:00 PM,58.842,,,,,
24,11/02/16 03:45:00 PM,58.712,,,,,
25,11/02/16 04:00:00 PM,58.582,,,,,
26,11/02/16 04:15:00 PM,58.325,,,,,
27,11/02/16 04:30:00 PM,58.023,,,,,
28,11/02/16 04:45:00 PM,57.636,,,,,
29,11/02/16 05:00:00 PM,57.160,,,,,
30,11/02/16 05:15:00 PM,56.642,,,,,
31,11/02/16 05:30:00 PM,56.165,,,,,
32,11/02/16 05:45:00 PM,55.733,,,,,
33,11/02/16 06:00:00 PM,55.299,,,,,
34,11/02/16 06:15:00 PM,54.820,,,,,
35,11/02/16 06:30:00 PM,54.343,,,,,
36,11/02/16 06:45:00 PM,53.865,,,,,
37,11/02/16 07:00:00 PM,53.341,,,,,
38,11/02/16 07:15:00 PM,52.903,,,,,
39,11/02/16 07:30:00 PM,52.554,,,,,
40,11/02/16 07:45:00 PM,52.246,,,,,
41,11/02/16 08:00:00 PM,51.984,,,,,
42,11/02/16 08:15:00 PM,51.764,,,,,
43,11/02/16 08:30:00 PM,51.544,,,,,
44,11/02/16 08:45:00 PM,51.413,,,,,
45,11/02/16 09:00:00 PM,51.237,,,,,
46,11/02/16 09:15:00 PM,51.105,,,,,
47,11/02/16 09:30:00 PM,50.929,,,,,
48,11/02/16 09:45:00 PM,50.797,,,,,
49,11/02/16 10:00:00 PM,50.709,,,,,
50,11/02/16 10:15:00 PM,50.576,,,,,
51,11/02/16 10:30:00 PM,50.488,,,,,
52,11/02/16 10:45:00 PM,50.400,,,,,
53,11/02/16 11:00:00 PM,50.268,,,,,
54,11/02/16 11:15:00 PM,50.180,,,,,
55,11/02/16 11:30:00 PM,50.002,,,,,
56,11/02/16 11:45:00 PM,49.870,,,,,
57,11/03/16 12:00:00 AM,49.782,,,,,
58,11/03/16 12:15:00 AM,49.649,,,,,
59,11/03/16 12:30:00 AM,49.516,,,,,
60,11/03/16 12:45:00 AM,49.338,,,,,
61,11/03/16 01:00:00 AM,49.116,,,,,
62,11/03/16 01:15:00 AM,48.983,,,,,
63,11/03/16 01:30:00 AM,48.805,,,,,
64,11/03/16 01:45:00 AM,48.628,,,,,
65,11/03/16 02:00:00 AM,48.493,,,,,
66,11/03/16 02:15:00 AM,48.360,,,,,
67,11/03/16 02:30:00 AM,48.272,,,,,
68,11/03/16 02:45:00 AM,48.182,,,,,
69,11/03/16 03:00:00 AM,48.094,,,,,
70,11/03/16 03:15:00 AM,47.914,,,,,
71,11/03/16 03:30:00 AM,47.826,,,,,
72,11/03/16 03:45:00 AM,47.736,,,,,
73,11/03/16 04:00:00 AM,47.647,,,,,
74,11/03/16 04:15:00 AM,47.512,,,,,
75,11/03/16 04:30:00 AM,47.422,,,,,
76,11/03/16 04:45:00 AM,47.289,,,,,
77,11/03/16 05:00:00 AM,47.199,,,,,
78,11/03/16 05:15:00 AM,47.154,,,,,
79,11/03/16 05:30:00 AM,47.019,,,,,
80,11/03/16 05:45:00 AM,46.931,,,,,
81,11/03/16 06:00:00 AM,46.886,,,,,
82,11/03/16 06:15:00 AM,46.751,,,,,
83,11/03/16 06:30:00 AM,46.616,,,,,
84,11/03/16 06:45:00 AM,46.481,,,,,
85,11/03/16 07:00:00 AM,46.346,,,,,
86,11/03/16 07:15:00 AM,46.211,,,,,
87,11/03/16 07:30:00 AM,46.076,,,,,
88,11/03/16 07:45:00 AM,46.031,,,,,
89,11/03/16 08:00:00 AM,45.941,,,,,
90,11/03/16 08:15:00 AM,45.806,,,,,
91,11/03/16 08:30:00 AM,45.669,,,,,
92,11/03/16 08:45:00 AM,45.624,,,,,
93,11/03/16 09:00:00 AM,45.579,,,,,
94,11/03/16 09:15:00 AM,45.624,,,,,
95,11/03/16 09:30:00 AM,45.669,,,,,
96,11/03/16 09:45:00 AM,45.851,,,,,
97,11/03/16 10:00:00 AM,46.031,,,,,
98,11/03/16 10:15:00 AM,46.301,,,,,
99,11/03/16 10:30:00 AM,46.706,,,,,
100,11/03/16 10:45:00 AM,47.199,,,,,
101,11/03/16 11:00:00 AM,47.736,,,,,
102,11/03/16 11:15:00 AM,48.405,,,,,
103,11/03/16 11:30:00 AM,49.116,,,,,
104,11/03/16 11:45:00 AM,49.825,,,,,
105,11/03/16 12:00:00 PM,50.576,,,,,
106,11/03/16 12:15:00 PM,51.370,,,,,
107,11/03/16 12:30:00 PM,52.115,,,,,
108,11/03/16 12:45:00 PM,52.860,,,,,
109,11/03/16 01:00:00 PM,53.602,,,,,
110,11/03/16 01:15:00 PM,54.300,,,,,
111,11/03/16 01:30:00 PM,54.952,,,,,
112,11/03/16 01:45:00 PM,55.515,,,,,
113,11/03/16 02:00:00 PM,55.992,,,,,
114,11/03/16 02:15:00 PM,56.426,,,,,
115,11/03/16 02:30:00 PM,56.815,,,,,
116,11/03/16 02:45:00 PM,57.117,,,,,
117,11/03/16 03:00:00 PM,57.333,,,,,
118,11/03/16 03:15:00 PM,57.420,,,,,
119,11/03/16 03:30:00 PM,57.463,,,,,
120,11/03/16 03:45:00 PM,57.376,,,,,
121,11/03/16 04:00:00 PM,57.204,,,,,
