"Plot Title: Dry #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719028, SEN S/N: 10719028)","Coupler Detached (LGR S/N: 10719028)","Coupler Attached (LGR S/N: 10719028)","Host Connected (LGR S/N: 10719028)","Stopped (LGR S/N: 10719028)","End Of File (LGR S/N: 10719028)"
1,06/22/17 11:00:00 AM,66.258,Logged,,,,
2,06/22/17 11:15:00 AM,66.686,,,,,
3,06/22/17 11:30:00 AM,66.857,,,,,
4,06/22/17 11:45:00 AM,67.757,,,,,
5,06/22/17 12:00:00 PM,68.614,,,,,
6,06/22/17 12:15:00 PM,69.471,,,,,
7,06/22/17 12:30:00 PM,69.858,,,,,
8,06/22/17 12:45:00 PM,70.716,,,,,
9,06/22/17 01:00:00 PM,71.533,,,,,
10,06/22/17 01:15:00 PM,72.007,,,,,
11,06/22/17 01:30:00 PM,72.136,,,,,
12,06/22/17 01:45:00 PM,72.739,,,,,
13,06/22/17 02:00:00 PM,73.299,,,,,
14,06/22/17 02:15:00 PM,73.558,,,,,
15,06/22/17 02:30:00 PM,73.861,,,,,
16,06/22/17 02:45:00 PM,74.511,,,,,
17,06/22/17 03:00:00 PM,75.204,,,,,
18,06/22/17 03:15:00 PM,75.767,,,,,
19,06/22/17 03:30:00 PM,76.158,,,,,
20,06/22/17 03:45:00 PM,75.724,,,,,
21,06/22/17 04:00:00 PM,75.160,,,,,
22,06/22/17 04:15:00 PM,74.683,,,,,
23,06/22/17 04:30:00 PM,74.120,,,,,
24,06/22/17 04:45:00 PM,73.472,,,,,
25,06/22/17 05:00:00 PM,73.645,,,,,
26,06/22/17 05:15:00 PM,73.515,,,,,
27,06/22/17 05:30:00 PM,72.955,,,,,
28,06/22/17 05:45:00 PM,72.997,,,,,
29,06/22/17 06:00:00 PM,72.523,,,,,
30,06/22/17 06:15:00 PM,71.791,,,,,
31,06/22/17 06:30:00 PM,71.317,,,,,
32,06/22/17 06:45:00 PM,71.017,,,,,
33,06/22/17 07:00:00 PM,70.759,,,,,
34,06/22/17 07:15:00 PM,70.329,,,,,
35,06/22/17 07:30:00 PM,69.814,,,,,
36,06/22/17 07:45:00 PM,69.170,,,,,
37,06/22/17 08:00:00 PM,68.484,,,,,
38,06/22/17 08:15:00 PM,67.842,,,,,
39,06/22/17 08:30:00 PM,67.242,,,,,
40,06/22/17 08:45:00 PM,66.729,,,,,
41,06/22/17 09:00:00 PM,66.301,,,,,
42,06/22/17 09:15:00 PM,65.872,,,,,
43,06/22/17 09:30:00 PM,65.444,,,,,
44,06/22/17 09:45:00 PM,64.931,,,,,
45,06/22/17 10:00:00 PM,64.459,,,,,
46,06/22/17 10:15:00 PM,63.990,,,,,
47,06/22/17 10:30:00 PM,63.005,,,,,
48,06/22/17 10:45:00 PM,62.319,,,,,
49,06/22/17 11:00:00 PM,61.848,,,,,
50,06/22/17 11:15:00 PM,61.419,,,,,
