"Plot Title: Dry #1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719028, SEN S/N: 10719028)","Coupler Detached (LGR S/N: 10719028)","Coupler Attached (LGR S/N: 10719028)","Host Connected (LGR S/N: 10719028)","Stopped (LGR S/N: 10719028)","End Of File (LGR S/N: 10719028)"
1,06/14/16 02:00:00 PM,77.335,Logged,,,,
2,06/14/16 02:15:00 PM,77.815,,,,,
3,06/14/16 02:30:00 PM,78.121,,,,,
4,06/14/16 02:45:00 PM,78.427,,,,,
5,06/14/16 03:00:00 PM,78.514,,,,,
6,06/14/16 03:15:00 PM,78.121,,,,,
7,06/14/16 03:30:00 PM,78.471,,,,,
8,06/14/16 03:45:00 PM,78.910,,,,,
9,06/14/16 04:00:00 PM,79.304,,,,,
10,06/14/16 04:15:00 PM,79.435,,,,,
11,06/14/16 04:30:00 PM,79.041,,,,,
12,06/14/16 04:45:00 PM,78.382,,,,,
13,06/14/16 05:00:00 PM,77.727,,,,,
14,06/14/16 05:15:00 PM,76.899,,,,,
15,06/14/16 05:30:00 PM,76.636,,,,,
16,06/14/16 05:45:00 PM,77.160,,,,,
17,06/14/16 06:00:00 PM,77.464,,,,,
18,06/14/16 06:15:00 PM,77.815,,,,,
19,06/14/16 06:30:00 PM,77.815,,,,,
20,06/14/16 06:45:00 PM,77.770,,,,,
21,06/14/16 07:00:00 PM,77.464,,,,,
22,06/14/16 07:15:00 PM,77.335,,,,,
23,06/14/16 07:30:00 PM,77.203,,,,,
24,06/14/16 07:45:00 PM,76.899,,,,,
25,06/14/16 08:00:00 PM,76.854,,,,,
26,06/14/16 08:15:00 PM,76.681,,,,,
27,06/14/16 08:30:00 PM,76.464,,,,,
28,06/14/16 08:45:00 PM,76.203,,,,,
29,06/14/16 09:00:00 PM,76.028,,,,,
30,06/14/16 09:15:00 PM,75.767,,,,,
31,06/14/16 09:30:00 PM,75.551,,,,,
32,06/14/16 09:45:00 PM,75.333,,,,,
33,06/14/16 10:00:00 PM,75.204,,,,,
34,06/14/16 10:15:00 PM,75.029,,,,,
35,06/14/16 10:30:00 PM,74.899,,,,,
36,06/14/16 10:45:00 PM,74.813,,,,,
37,06/14/16 11:00:00 PM,74.597,,,,,
38,06/14/16 11:15:00 PM,74.597,,,,,
39,06/14/16 11:30:00 PM,74.295,,,,,
40,06/14/16 11:45:00 PM,74.163,,,,,
41,06/15/16 12:00:00 AM,73.947,,,,,
42,06/15/16 12:15:00 AM,73.818,,,,,
43,06/15/16 12:30:00 AM,73.645,,,,,
44,06/15/16 12:45:00 AM,73.472,,,,,
45,06/15/16 01:00:00 AM,73.299,,,,,
46,06/15/16 01:15:00 AM,73.126,,,,,
47,06/15/16 01:30:00 AM,72.997,,,,,
48,06/15/16 01:45:00 AM,72.826,,,,,
49,06/15/16 02:00:00 AM,72.653,,,,,
50,06/15/16 02:15:00 AM,72.567,,,,,
51,06/15/16 02:30:00 AM,72.394,,,,,
52,06/15/16 02:45:00 AM,72.221,,,,,
53,06/15/16 03:00:00 AM,72.136,,,,,
54,06/15/16 03:15:00 AM,72.050,,,,,
55,06/15/16 03:30:00 AM,71.920,,,,,
56,06/15/16 03:45:00 AM,71.748,,,,,
57,06/15/16 04:00:00 AM,71.533,,,,,
58,06/15/16 04:15:00 AM,71.361,,,,,
59,06/15/16 04:30:00 AM,71.190,,,,,
60,06/15/16 04:45:00 AM,71.017,,,,,
61,06/15/16 05:00:00 AM,70.846,,,,,
62,06/15/16 05:15:00 AM,70.673,,,,,
63,06/15/16 05:30:00 AM,70.502,,,,,
64,06/15/16 05:45:00 AM,70.329,,,,,
65,06/15/16 06:00:00 AM,70.158,,,,,
66,06/15/16 06:15:00 AM,69.985,,,,,
67,06/15/16 06:30:00 AM,69.814,,,,,
68,06/15/16 06:45:00 AM,69.728,,,,,
69,06/15/16 07:00:00 AM,69.643,,,,,
70,06/15/16 07:15:00 AM,69.557,,,,,
71,06/15/16 07:30:00 AM,69.514,,,,,
