"Plot Title: East Ash Creek- USFS"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2406378, SEN S/N: 2406378)","Coupler Detached (LGR S/N: 2406378)","Coupler Attached (LGR S/N: 2406378)","Host Connected (LGR S/N: 2406378)","Stopped (LGR S/N: 2406378)","End Of File (LGR S/N: 2406378)"
1,09/20/16 03:00:00 PM,61.633,Logged,,,,
2,09/20/16 03:15:00 PM,61.934,,,,,
3,09/20/16 03:30:00 PM,62.148,,,,,
4,09/20/16 03:45:00 PM,62.447,,,,,
5,09/20/16 04:00:00 PM,62.748,,,,,
6,09/20/16 04:15:00 PM,62.919,,,,,
7,09/20/16 04:30:00 PM,62.875,,,,,
8,09/20/16 04:45:00 PM,62.834,,,,,
9,09/20/16 05:00:00 PM,62.791,,,,,
10,09/20/16 05:15:00 PM,62.834,,,,,
11,09/20/16 05:30:00 PM,62.748,,,,,
12,09/20/16 05:45:00 PM,62.661,,,,,
13,09/20/16 06:00:00 PM,62.620,,,,,
14,09/20/16 06:15:00 PM,62.533,,,,,
15,09/20/16 06:30:00 PM,62.362,,,,,
16,09/20/16 06:45:00 PM,62.191,,,,,
17,09/20/16 07:00:00 PM,62.062,,,,,
18,09/20/16 07:15:00 PM,61.804,,,,,
19,09/20/16 07:30:00 PM,61.506,,,,,
20,09/20/16 07:45:00 PM,61.162,,,,,
21,09/20/16 08:00:00 PM,60.818,,,,,
22,09/20/16 08:15:00 PM,60.561,,,,,
23,09/20/16 08:30:00 PM,60.260,,,,,
24,09/20/16 08:45:00 PM,60.046,,,,,
25,09/20/16 09:00:00 PM,59.830,,,,,
26,09/20/16 09:15:00 PM,59.616,,,,,
27,09/20/16 09:30:00 PM,59.445,,,,,
28,09/20/16 09:45:00 PM,59.272,,,,,
29,09/20/16 10:00:00 PM,59.142,,,,,
30,09/20/16 10:15:00 PM,58.971,,,,,
31,09/20/16 10:30:00 PM,58.842,,,,,
32,09/20/16 10:45:00 PM,58.669,,,,,
33,09/20/16 11:00:00 PM,58.498,,,,,
34,09/20/16 11:15:00 PM,58.325,,,,,
35,09/20/16 11:30:00 PM,58.195,,,,,
36,09/20/16 11:45:00 PM,58.023,,,,,
37,09/21/16 12:00:00 AM,57.850,,,,,
38,09/21/16 12:15:00 AM,57.722,,,,,
39,09/21/16 12:30:00 AM,57.549,,,,,
40,09/21/16 12:45:00 AM,57.420,,,,,
41,09/21/16 01:00:00 AM,57.290,,,,,
42,09/21/16 01:15:00 AM,57.204,,,,,
43,09/21/16 01:30:00 AM,57.117,,,,,
44,09/21/16 01:45:00 AM,56.988,,,,,
45,09/21/16 02:00:00 AM,56.858,,,,,
46,09/21/16 02:15:00 AM,56.772,,,,,
47,09/21/16 02:30:00 AM,56.685,,,,,
48,09/21/16 02:45:00 AM,56.556,,,,,
49,09/21/16 03:00:00 AM,56.426,,,,,
50,09/21/16 03:15:00 AM,56.295,,,,,
51,09/21/16 03:30:00 AM,56.165,,,,,
52,09/21/16 03:45:00 AM,56.035,,,,,
53,09/21/16 04:00:00 AM,55.906,,,,,
54,09/21/16 04:15:00 AM,55.733,,,,,
55,09/21/16 04:30:00 AM,55.558,,,,,
56,09/21/16 04:45:00 AM,55.386,,,,,
57,09/21/16 05:00:00 AM,55.213,,,,,
58,09/21/16 05:15:00 AM,55.038,,,,,
59,09/21/16 05:30:00 AM,54.865,,,,,
60,09/21/16 05:45:00 AM,54.734,,,,,
61,09/21/16 06:00:00 AM,54.648,,,,,
62,09/21/16 06:15:00 AM,54.604,,,,,
63,09/21/16 06:30:00 AM,54.516,,,,,
64,09/21/16 06:45:00 AM,54.430,,,,,
65,09/21/16 07:00:00 AM,54.343,,,,,
66,09/21/16 07:15:00 AM,54.212,,,,,
67,09/21/16 07:30:00 AM,54.126,,,,,
68,09/21/16 07:45:00 AM,54.082,,,,,
69,09/21/16 08:00:00 AM,53.994,,,,,
70,09/21/16 08:15:00 AM,53.951,,,,,
71,09/21/16 08:30:00 AM,54.037,,,,,
72,09/21/16 08:45:00 AM,54.126,,,,,
73,09/21/16 09:00:00 AM,54.212,,,,,
74,09/21/16 09:15:00 AM,54.300,,,,,
75,09/21/16 09:30:00 AM,54.473,,,,,
76,09/21/16 09:45:00 AM,54.604,,,,,
77,09/21/16 10:00:00 AM,54.734,,,,,
78,09/21/16 10:15:00 AM,54.865,,,,,
79,09/21/16 10:30:00 AM,54.995,,,,,
80,09/21/16 10:45:00 AM,55.081,,,,,
81,09/21/16 11:00:00 AM,55.213,,,,,
82,09/21/16 11:15:00 AM,55.342,,,,,
83,09/21/16 11:30:00 AM,55.472,,,,,
84,09/21/16 11:45:00 AM,55.733,,,,,
85,09/21/16 12:00:00 PM,56.035,,,,,
86,09/21/16 12:15:00 PM,56.383,,,,,
87,09/21/16 12:30:00 PM,56.599,,,,,
88,09/21/16 12:45:00 PM,56.944,,,,,
89,09/21/16 01:00:00 PM,57.031,,,,,
90,09/21/16 01:15:00 PM,57.290,,,,,
91,09/21/16 01:30:00 PM,57.506,,,,,
92,09/21/16 01:45:00 PM,57.722,,,,,
93,09/21/16 02:00:00 PM,57.936,,,,,
94,09/21/16 02:15:00 PM,58.411,,,,,
95,09/21/16 02:30:00 PM,58.755,,,,,
96,09/21/16 02:45:00 PM,58.755,,,,,
97,09/21/16 03:00:00 PM,58.885,,,,,
98,09/21/16 03:15:00 PM,58.842,,,,,
99,09/21/16 03:30:00 PM,58.928,,,,,
100,09/21/16 03:45:00 PM,58.971,,,,,
101,09/21/16 04:00:00 PM,59.229,,,,,
102,09/21/16 04:15:00 PM,59.272,,,,,
103,09/21/16 04:30:00 PM,59.445,,,,,
104,09/21/16 04:45:00 PM,59.486,,,,,
105,09/21/16 05:00:00 PM,59.486,,,,,
106,09/21/16 05:15:00 PM,59.486,,,,,
107,09/21/16 05:30:00 PM,59.445,,,,,
108,09/21/16 05:45:00 PM,59.401,,,,,
109,09/21/16 06:00:00 PM,59.358,,,,,
110,09/21/16 06:15:00 PM,59.272,,,,,
111,09/21/16 06:30:00 PM,59.315,,,,,
112,09/21/16 06:45:00 PM,59.229,,,,,
113,09/21/16 07:00:00 PM,59.056,,,,,
114,09/21/16 07:15:00 PM,58.928,,,,,
115,09/21/16 07:30:00 PM,58.798,,,,,
116,09/21/16 07:45:00 PM,58.626,,,,,
117,09/21/16 08:00:00 PM,58.498,,,,,
118,09/21/16 08:15:00 PM,58.411,,,,,
119,09/21/16 08:30:00 PM,58.325,,,,,
120,09/21/16 08:45:00 PM,58.239,,,,,
121,09/21/16 09:00:00 PM,58.109,,,,,
122,09/21/16 09:15:00 PM,58.066,,,,,
123,09/21/16 09:30:00 PM,57.979,,,,,
124,09/21/16 09:45:00 PM,57.893,,,,,
125,09/21/16 10:00:00 PM,57.807,,,,,
126,09/21/16 10:15:00 PM,57.765,,,,,
127,09/21/16 10:30:00 PM,57.722,,,,,
128,09/21/16 10:45:00 PM,57.636,,,,,
129,09/21/16 11:00:00 PM,57.549,,,,,
130,09/21/16 11:15:00 PM,57.506,,,,,
131,09/21/16 11:30:00 PM,57.420,,,,,
132,09/21/16 11:45:00 PM,57.290,,,,,
133,09/22/16 12:00:00 AM,57.204,,,,,
134,09/22/16 12:15:00 AM,57.160,,,,,
135,09/22/16 12:30:00 AM,57.117,,,,,
136,09/22/16 12:45:00 AM,57.074,,,,,
137,09/22/16 01:00:00 AM,56.988,,,,,
138,09/22/16 01:15:00 AM,56.944,,,,,
139,09/22/16 01:30:00 AM,56.858,,,,,
140,09/22/16 01:45:00 AM,56.685,,,,,
141,09/22/16 02:00:00 AM,56.599,,,,,
