"Plot Title: Evergreen 1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739547, SEN S/N: 10739547)","Coupler Detached (LGR S/N: 10739547)","Coupler Attached (LGR S/N: 10739547)","Host Connected (LGR S/N: 10739547)","Stopped (LGR S/N: 10739547)","End Of File (LGR S/N: 10739547)"
1,06/14/16 06:00:00 PM,73.602,Logged,,,,
2,06/14/16 06:15:00 PM,73.472,,,,,
3,06/14/16 06:30:00 PM,73.256,,,,,
4,06/14/16 06:45:00 PM,73.083,,,,,
5,06/14/16 07:00:00 PM,72.955,,,,,
6,06/14/16 07:15:00 PM,72.955,,,,,
7,06/14/16 07:30:00 PM,72.997,,,,,
8,06/14/16 07:45:00 PM,72.997,,,,,
9,06/14/16 08:00:00 PM,72.997,,,,,
10,06/14/16 08:15:00 PM,72.912,,,,,
11,06/14/16 08:30:00 PM,72.826,,,,,
12,06/14/16 08:45:00 PM,72.739,,,,,
13,06/14/16 09:00:00 PM,72.653,,,,,
14,06/14/16 09:15:00 PM,72.567,,,,,
15,06/14/16 09:30:00 PM,72.394,,,,,
16,06/14/16 09:45:00 PM,72.221,,,,,
17,06/14/16 10:00:00 PM,72.093,,,,,
18,06/14/16 10:15:00 PM,72.007,,,,,
19,06/14/16 10:30:00 PM,71.834,,,,,
20,06/14/16 10:45:00 PM,71.748,,,,,
21,06/14/16 11:00:00 PM,71.661,,,,,
22,06/14/16 11:15:00 PM,71.490,,,,,
23,06/14/16 11:30:00 PM,71.447,,,,,
24,06/14/16 11:45:00 PM,71.274,,,,,
25,06/15/16 12:00:00 AM,71.146,,,,,
26,06/15/16 12:15:00 AM,71.017,,,,,
27,06/15/16 12:30:00 AM,70.887,,,,,
28,06/15/16 12:45:00 AM,70.716,,,,,
29,06/15/16 01:00:00 AM,70.630,,,,,
30,06/15/16 01:15:00 AM,70.502,,,,,
31,06/15/16 01:30:00 AM,70.372,,,,,
32,06/15/16 01:45:00 AM,70.201,,,,,
33,06/15/16 02:00:00 AM,70.072,,,,,
34,06/15/16 02:15:00 AM,69.901,,,,,
35,06/15/16 02:30:00 AM,69.728,,,,,
36,06/15/16 02:45:00 AM,69.600,,,,,
37,06/15/16 03:00:00 AM,69.471,,,,,
38,06/15/16 03:15:00 AM,69.300,,,,,
39,06/15/16 03:30:00 AM,69.213,,,,,
40,06/15/16 03:45:00 AM,69.085,,,,,
41,06/15/16 04:00:00 AM,68.956,,,,,
42,06/15/16 04:15:00 AM,68.828,,,,,
43,06/15/16 04:30:00 AM,68.698,,,,,
44,06/15/16 04:45:00 AM,68.527,,,,,
45,06/15/16 05:00:00 AM,68.400,,,,,
46,06/15/16 05:15:00 AM,68.270,,,,,
47,06/15/16 05:30:00 AM,68.142,,,,,
48,06/15/16 05:45:00 AM,68.013,,,,,
49,06/15/16 06:00:00 AM,67.842,,,,,
50,06/15/16 06:15:00 AM,67.714,,,,,
51,06/15/16 06:30:00 AM,67.586,,,,,
52,06/15/16 06:45:00 AM,67.456,,,,,
53,06/15/16 07:00:00 AM,67.329,,,,,
54,06/15/16 07:15:00 AM,67.242,,,,,
55,06/15/16 07:30:00 AM,67.199,,,,,
56,06/15/16 07:45:00 AM,67.158,,,,,
57,06/15/16 08:00:00 AM,67.158,,,,,
58,06/15/16 08:15:00 AM,67.158,,,,,
59,06/15/16 08:30:00 AM,67.114,,,,,
60,06/15/16 08:45:00 AM,67.114,,,,,
61,06/15/16 09:00:00 AM,67.158,,,,,
62,06/15/16 09:15:00 AM,67.158,,,,,
63,06/15/16 09:30:00 AM,67.199,,,,,
64,06/15/16 09:45:00 AM,67.285,,,,,
65,06/15/16 10:00:00 AM,67.372,,,,,
66,06/15/16 10:15:00 AM,67.586,,,,,
67,06/15/16 10:30:00 AM,67.798,,,,,
68,06/15/16 10:45:00 AM,68.013,,,,,
69,06/15/16 11:00:00 AM,68.356,,,,,
70,06/15/16 11:15:00 AM,68.698,,,,,
71,06/15/16 11:30:00 AM,69.085,,,,,
72,06/15/16 11:45:00 AM,69.471,,,,,
73,06/15/16 12:00:00 PM,69.901,,,,,
74,06/15/16 12:15:00 PM,70.372,,,,,
75,06/15/16 12:30:00 PM,70.846,,,,,
76,06/15/16 12:45:00 PM,71.361,,,,,
77,06/15/16 01:00:00 PM,71.877,,,,,
78,06/15/16 01:15:00 PM,72.351,,,,,
79,06/15/16 01:30:00 PM,72.826,,,,,
80,06/15/16 01:45:00 PM,73.256,,,,,
81,06/15/16 02:00:00 PM,73.731,,,,,
82,06/15/16 02:15:00 PM,74.120,,,,,
83,06/15/16 02:30:00 PM,74.554,,,,,
84,06/15/16 02:45:00 PM,74.943,,,,,
85,06/15/16 03:00:00 PM,75.290,,,,,
