"Plot Title: Gordon Creek 4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739569, SEN S/N: 10739569)","Coupler Detached (LGR S/N: 10739569)","Coupler Attached (LGR S/N: 10739569)","Host Connected (LGR S/N: 10739569)","Stopped (LGR S/N: 10739569)","End Of File (LGR S/N: 10739569)"
1,07/31/15 01:00:00 PM,83.109,Logged,,,,
2,07/31/15 01:15:00 PM,74.338,,,,,
3,07/31/15 01:30:00 PM,74.554,,,,,
4,07/31/15 01:45:00 PM,75.160,,,,,
5,07/31/15 02:00:00 PM,75.898,,,,,
6,07/31/15 02:15:00 PM,76.246,,,,,
7,07/31/15 02:30:00 PM,76.811,,,,,
8,07/31/15 02:45:00 PM,77.203,,,,,
9,07/31/15 03:00:00 PM,77.509,,,,,
10,07/31/15 03:15:00 PM,78.121,,,,,
11,07/31/15 03:30:00 PM,78.822,,,,,
12,07/31/15 03:45:00 PM,79.435,,,,,
13,07/31/15 04:00:00 PM,79.920,,,,,
14,07/31/15 04:15:00 PM,80.008,,,,,
15,07/31/15 04:30:00 PM,80.272,,,,,
16,07/31/15 04:45:00 PM,80.316,,,,,
17,07/31/15 05:00:00 PM,80.580,,,,,
18,07/31/15 05:15:00 PM,80.890,,,,,
19,07/31/15 05:30:00 PM,80.890,,,,,
20,07/31/15 05:45:00 PM,80.757,,,,,
21,07/31/15 06:00:00 PM,80.668,,,,,
22,07/31/15 06:15:00 PM,80.272,,,,,
23,07/31/15 06:30:00 PM,79.876,,,,,
24,07/31/15 06:45:00 PM,79.524,,,,,
25,07/31/15 07:00:00 PM,79.128,,,,,
26,07/31/15 07:15:00 PM,78.822,,,,,
27,07/31/15 07:30:00 PM,78.559,,,,,
28,07/31/15 07:45:00 PM,78.251,,,,,
29,07/31/15 08:00:00 PM,77.990,,,,,
30,07/31/15 08:15:00 PM,77.815,,,,,
31,07/31/15 08:30:00 PM,77.596,,,,,
32,07/31/15 08:45:00 PM,77.247,,,,,
33,07/31/15 09:00:00 PM,76.899,,,,,
34,07/31/15 09:15:00 PM,76.419,,,,,
35,07/31/15 09:30:00 PM,75.853,,,,,
36,07/31/15 09:45:00 PM,75.247,,,,,
37,07/31/15 10:00:00 PM,74.640,,,,,
38,07/31/15 10:15:00 PM,74.120,,,,,
39,07/31/15 10:30:00 PM,73.645,,,,,
40,07/31/15 10:45:00 PM,73.213,,,,,
41,07/31/15 11:00:00 PM,72.783,,,,,
42,07/31/15 11:15:00 PM,72.437,,,,,
43,07/31/15 11:30:00 PM,72.136,,,,,
44,07/31/15 11:45:00 PM,71.834,,,,,
45,08/01/15 12:00:00 AM,71.577,,,,,
46,08/01/15 12:15:00 AM,71.274,,,,,
47,08/01/15 12:30:00 AM,70.887,,,,,
48,08/01/15 12:45:00 AM,70.543,,,,,
49,08/01/15 01:00:00 AM,70.201,,,,,
50,08/01/15 01:15:00 AM,69.901,,,,,
51,08/01/15 01:30:00 AM,69.557,,,,,
52,08/01/15 01:45:00 AM,69.213,,,,,
53,08/01/15 02:00:00 AM,68.956,,,,,
54,08/01/15 02:15:00 AM,68.657,,,,,
55,08/01/15 02:30:00 AM,68.400,,,,,
56,08/01/15 02:45:00 AM,68.227,,,,,
57,08/01/15 03:00:00 AM,68.056,,,,,
58,08/01/15 03:15:00 AM,67.885,,,,,
59,08/01/15 03:30:00 AM,67.671,,,,,
60,08/01/15 03:45:00 AM,67.456,,,,,
