"Plot Title: Holt Creek (wma)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783601, SEN S/N: 9783601)","Coupler Detached (LGR S/N: 9783601)","Coupler Attached (LGR S/N: 9783601)","Host Connected (LGR S/N: 9783601)","Stopped (LGR S/N: 9783601)","End Of File (LGR S/N: 9783601)"
1,06/02/17 11:00:00 AM,65.829,Logged,,,,
2,06/02/17 11:15:00 AM,66.472,,,,,
3,06/02/17 11:30:00 AM,67.158,,,,,
4,06/02/17 11:45:00 AM,67.885,,,,,
5,06/02/17 12:00:00 PM,68.614,,,,,
6,06/02/17 12:15:00 PM,69.386,,,,,
7,06/02/17 12:30:00 PM,70.243,,,,,
8,06/02/17 12:45:00 PM,71.103,,,,,
9,06/02/17 01:00:00 PM,72.007,,,,,
10,06/02/17 01:15:00 PM,72.869,,,,,
11,06/02/17 01:30:00 PM,73.731,,,,,
12,06/02/17 01:45:00 PM,74.640,,,,,
13,06/02/17 02:00:00 PM,75.420,,,,,
14,06/02/17 02:15:00 PM,76.246,,,,,
15,06/02/17 02:30:00 PM,76.986,,,,,
16,06/02/17 02:45:00 PM,77.684,,,,,
17,06/02/17 03:00:00 PM,78.251,,,,,
18,06/02/17 03:15:00 PM,78.733,,,,,
19,06/02/17 03:30:00 PM,79.128,,,,,
20,06/02/17 03:45:00 PM,79.480,,,,,
21,06/02/17 04:00:00 PM,79.788,,,,,
22,06/02/17 04:15:00 PM,79.963,,,,,
23,06/02/17 04:30:00 PM,80.051,,,,,
24,06/02/17 04:45:00 PM,80.139,,,,,
25,06/02/17 05:00:00 PM,80.139,,,,,
26,06/02/17 05:15:00 PM,80.051,,,,,
27,06/02/17 05:30:00 PM,79.920,,,,,
28,06/02/17 05:45:00 PM,79.655,,,,,
29,06/02/17 06:00:00 PM,79.392,,,,,
30,06/02/17 06:15:00 PM,79.084,,,,,
31,06/02/17 06:30:00 PM,78.777,,,,,
32,06/02/17 06:45:00 PM,78.382,,,,,
33,06/02/17 07:00:00 PM,78.033,,,,,
34,06/02/17 07:15:00 PM,77.727,,,,,
35,06/02/17 07:30:00 PM,77.509,,,,,
36,06/02/17 07:45:00 PM,77.247,,,,,
37,06/02/17 08:00:00 PM,76.899,,,,,
38,06/02/17 08:15:00 PM,76.550,,,,,
39,06/02/17 08:30:00 PM,76.203,,,,,
40,06/02/17 08:45:00 PM,75.810,,,,,
41,06/02/17 09:00:00 PM,75.376,,,,,
42,06/02/17 09:15:00 PM,74.986,,,,,
43,06/02/17 09:30:00 PM,74.554,,,,,
44,06/02/17 09:45:00 PM,74.163,,,,,
45,06/02/17 10:00:00 PM,73.818,,,,,
46,06/02/17 10:15:00 PM,73.472,,,,,
47,06/02/17 10:30:00 PM,73.126,,,,,
48,06/02/17 10:45:00 PM,72.826,,,,,
49,06/02/17 11:00:00 PM,72.480,,,,,
50,06/02/17 11:15:00 PM,72.136,,,,,
51,06/02/17 11:30:00 PM,71.748,,,,,
52,06/02/17 11:45:00 PM,71.447,,,,,
