"Plot Title: KSB"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408905, SEN S/N: 2408905)","Coupler Detached (LGR S/N: 2408905)","Coupler Attached (LGR S/N: 2408905)","Host Connected (LGR S/N: 2408905)","End Of File (LGR S/N: 2408905)"
1,05/30/17 11:31:09 AM,75.637,,,,
2,05/30/17 11:31:55 AM,,Logged,,,
3,05/30/17 11:32:25 AM,,,Logged,Logged,
4,05/30/17 11:33:30 AM,,Logged,,,
5,05/30/17 11:36:09 AM,77.815,,,,
6,05/30/17 11:41:09 AM,77.378,,,,
7,05/30/17 11:46:09 AM,77.990,,,,
8,05/30/17 11:51:09 AM,77.859,,,,
9,05/30/17 11:56:09 AM,77.421,,,,
10,05/30/17 12:01:09 PM,77.072,,,,
11,05/30/17 12:06:09 PM,76.811,,,,
12,05/30/17 12:11:09 PM,76.593,,,,
13,05/30/17 12:16:09 PM,76.854,,,,
14,05/30/17 12:21:09 PM,77.464,,,,
15,05/30/17 12:26:09 PM,77.292,,,,
16,05/30/17 12:31:09 PM,76.811,,,,
17,05/30/17 12:36:09 PM,76.114,,,,
18,05/30/17 12:41:09 PM,75.376,,,,
19,05/30/17 12:46:09 PM,74.986,,,,
20,05/30/17 12:51:09 PM,75.074,,,,
21,05/30/17 12:56:09 PM,75.420,,,,
22,05/30/17 01:01:09 PM,75.985,,,,
23,05/30/17 01:06:09 PM,75.508,,,,
24,05/30/17 01:11:09 PM,72.739,,,,
25,05/30/17 01:16:09 PM,70.930,,,,
26,05/30/17 01:21:09 PM,69.771,,,,
27,05/30/17 01:26:09 PM,68.956,,,,
28,05/30/17 01:31:09 PM,68.400,,,,
29,05/30/17 01:36:09 PM,67.971,,,,
30,05/30/17 01:41:09 PM,67.671,,,,
31,05/30/17 01:46:09 PM,67.413,,,,
32,05/30/17 01:51:09 PM,67.242,,,,
33,05/30/17 01:56:09 PM,67.586,,,,
34,05/30/17 02:01:09 PM,67.586,,,,
35,05/30/17 02:06:09 PM,67.543,,,,
36,05/30/17 02:11:09 PM,67.586,,,,
37,05/30/17 02:16:09 PM,69.471,,,,
38,05/30/17 02:21:09 PM,72.394,,,,
39,05/30/17 02:26:09 PM,74.250,,,,
40,05/30/17 02:31:09 PM,75.204,,,,
41,05/30/17 02:36:09 PM,76.768,,,,
42,05/30/17 02:41:09 PM,76.725,,,,
43,05/30/17 02:46:09 PM,76.986,,,,
44,05/30/17 02:51:09 PM,76.899,,,,
45,05/30/17 02:56:09 PM,76.854,,,,
46,05/30/17 03:01:09 PM,76.811,,,,
47,05/30/17 03:06:09 PM,76.811,,,,
48,05/30/17 03:11:09 PM,76.811,,,,
49,05/30/17 03:16:09 PM,76.768,,,,
50,05/30/17 03:21:09 PM,76.768,,,,
51,05/30/17 03:26:09 PM,76.768,,,,
52,05/30/17 03:31:09 PM,76.768,,,,
53,05/30/17 03:36:09 PM,77.596,,,,
54,05/30/17 03:41:09 PM,77.335,,,,
55,05/30/17 03:46:09 PM,76.464,,,,
56,05/30/17 03:51:09 PM,75.681,,,,
57,05/30/17 03:56:09 PM,75.029,,,,
58,05/30/17 04:01:09 PM,74.381,,,,
59,05/30/17 04:06:09 PM,73.818,,,,
60,05/30/17 04:11:09 PM,73.256,,,,
61,05/30/17 04:16:09 PM,72.739,,,,
62,05/30/17 04:21:09 PM,72.307,,,,
63,05/30/17 04:26:09 PM,71.920,,,,
64,05/30/17 04:31:09 PM,71.620,,,,
65,05/30/17 04:36:09 PM,71.274,,,,
66,05/30/17 04:41:09 PM,71.017,,,,
67,05/30/17 04:46:09 PM,70.716,,,,
68,05/30/17 04:51:09 PM,70.459,,,,
69,05/30/17 04:56:09 PM,70.243,,,,
70,05/30/17 05:01:09 PM,70.029,,,,
71,05/30/17 05:06:09 PM,69.858,,,,
72,05/30/17 05:11:09 PM,69.685,,,,
73,05/30/17 05:16:09 PM,69.514,,,,
74,05/30/17 05:21:09 PM,69.386,,,,
75,05/30/17 05:26:09 PM,69.256,,,,
76,05/30/17 05:31:09 PM,69.170,,,,
77,05/30/17 05:36:09 PM,69.085,,,,
78,05/30/17 05:41:09 PM,68.999,,,,
79,05/30/17 05:46:09 PM,68.913,,,,
80,05/30/17 05:51:09 PM,68.871,,,,
81,05/30/17 05:56:09 PM,68.785,,,,
82,05/30/17 06:01:09 PM,68.742,,,,
83,05/30/17 06:06:09 PM,68.698,,,,
84,05/30/17 06:11:09 PM,68.657,,,,
85,05/30/17 06:16:09 PM,68.614,,,,
86,05/30/17 06:21:09 PM,68.614,,,,
87,05/30/17 06:26:09 PM,68.571,,,,
88,05/30/17 06:31:09 PM,68.527,,,,
89,05/30/17 06:36:09 PM,68.527,,,,
90,05/30/17 06:41:09 PM,68.527,,,,
91,05/30/17 06:46:09 PM,68.527,,,,
92,05/30/17 06:51:09 PM,68.571,,,,
93,05/30/17 06:56:09 PM,68.614,,,,
94,05/30/17 07:01:09 PM,68.657,,,,
95,05/30/17 07:06:09 PM,68.698,,,,
96,05/30/17 07:11:09 PM,68.742,,,,
97,05/30/17 07:16:09 PM,68.785,,,,
98,05/30/17 07:21:09 PM,68.828,,,,
99,05/30/17 07:26:09 PM,68.871,,,,
100,05/30/17 07:31:09 PM,68.871,,,,
101,05/30/17 07:36:09 PM,68.913,,,,
102,05/30/17 07:41:09 PM,68.956,,,,
103,05/30/17 07:46:09 PM,68.999,,,,
104,05/30/17 07:51:09 PM,69.042,,,,
105,05/30/17 07:56:09 PM,69.085,,,,
106,05/30/17 08:01:09 PM,69.129,,,,
107,05/30/17 08:06:09 PM,69.129,,,,
