"Plot Title: KNM"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783604, SEN S/N: 9783604)","Coupler Detached (LGR S/N: 9783604)","End Of File (LGR S/N: 9783604)"
1,05/30/17 11:38:13 AM,74.295,,
2,05/30/17 11:38:18 AM,,Logged,
3,05/30/17 11:43:13 AM,75.985,,
4,05/30/17 11:48:13 AM,76.375,,
5,05/30/17 11:53:13 AM,76.332,,
6,05/30/17 11:58:13 AM,76.289,,
7,05/30/17 12:03:13 PM,76.289,,
8,05/30/17 12:08:13 PM,76.203,,
9,05/30/17 12:13:13 PM,76.203,,
10,05/30/17 12:18:13 PM,77.029,,
11,05/30/17 12:23:13 PM,77.770,,
12,05/30/17 12:28:13 PM,77.990,,
13,05/30/17 12:33:13 PM,77.815,,
14,05/30/17 12:38:13 PM,77.421,,
15,05/30/17 12:43:13 PM,76.942,,
16,05/30/17 12:48:13 PM,76.725,,
17,05/30/17 12:53:13 PM,76.942,,
18,05/30/17 12:58:13 PM,77.160,,
19,05/30/17 01:03:13 PM,77.421,,
20,05/30/17 01:08:13 PM,76.158,,
21,05/30/17 01:13:13 PM,73.774,,
22,05/30/17 01:18:13 PM,72.178,,
23,05/30/17 01:23:13 PM,70.974,,
24,05/30/17 01:28:13 PM,70.115,,
25,05/30/17 01:33:13 PM,69.427,,
26,05/30/17 01:38:13 PM,68.871,,
27,05/30/17 01:43:13 PM,68.443,,
28,05/30/17 01:48:13 PM,68.099,,
29,05/30/17 01:53:13 PM,67.842,,
30,05/30/17 01:58:13 PM,67.757,,
31,05/30/17 02:03:13 PM,67.627,,
32,05/30/17 02:08:13 PM,67.456,,
33,05/30/17 02:13:13 PM,68.356,,
34,05/30/17 02:18:13 PM,70.887,,
35,05/30/17 02:23:13 PM,73.558,,
36,05/30/17 02:28:13 PM,76.593,,
37,05/30/17 02:33:13 PM,79.216,,
38,05/30/17 02:38:13 PM,78.382,,
39,05/30/17 02:43:13 PM,78.296,,
40,05/30/17 02:48:13 PM,77.902,,
41,05/30/17 02:53:13 PM,77.596,,
42,05/30/17 02:58:13 PM,77.335,,
43,05/30/17 03:03:13 PM,77.160,,
44,05/30/17 03:08:13 PM,77.072,,
45,05/30/17 03:13:13 PM,76.942,,
46,05/30/17 03:18:13 PM,76.854,,
47,05/30/17 03:23:13 PM,76.811,,
48,05/30/17 03:28:13 PM,76.768,,
49,05/30/17 03:33:13 PM,76.986,,
50,05/30/17 03:38:13 PM,77.770,,
51,05/30/17 03:43:13 PM,76.681,,
52,05/30/17 03:48:13 PM,75.160,,
53,05/30/17 03:53:13 PM,73.818,,
54,05/30/17 03:58:13 PM,72.696,,
55,05/30/17 04:03:13 PM,71.834,,
56,05/30/17 04:08:13 PM,71.103,,
57,05/30/17 04:13:13 PM,70.543,,
58,05/30/17 04:18:13 PM,70.115,,
59,05/30/17 04:23:13 PM,69.858,,
60,05/30/17 04:28:13 PM,69.685,,
61,05/30/17 04:33:13 PM,69.557,,
62,05/30/17 04:38:13 PM,69.427,,
63,05/30/17 04:43:13 PM,69.300,,
64,05/30/17 04:48:13 PM,69.213,,
65,05/30/17 04:53:13 PM,69.085,,
66,05/30/17 04:58:13 PM,69.042,,
67,05/30/17 05:03:13 PM,68.956,,
68,05/30/17 05:08:13 PM,68.913,,
69,05/30/17 05:13:13 PM,68.871,,
70,05/30/17 05:18:13 PM,68.828,,
71,05/30/17 05:23:13 PM,68.785,,
72,05/30/17 05:28:13 PM,68.785,,
73,05/30/17 05:33:13 PM,68.742,,
74,05/30/17 05:38:13 PM,68.742,,
75,05/30/17 05:43:13 PM,68.698,,
76,05/30/17 05:48:13 PM,68.698,,
77,05/30/17 05:53:13 PM,68.698,,
78,05/30/17 05:58:13 PM,68.698,,
79,05/30/17 06:03:13 PM,68.698,,
80,05/30/17 06:08:13 PM,68.698,,
81,05/30/17 06:13:13 PM,68.698,,
82,05/30/17 06:18:13 PM,68.698,,
83,05/30/17 06:23:13 PM,68.698,,
84,05/30/17 06:28:13 PM,68.742,,
85,05/30/17 06:33:13 PM,68.742,,
86,05/30/17 06:38:13 PM,68.742,,
87,05/30/17 06:43:13 PM,68.828,,
88,05/30/17 06:48:13 PM,68.913,,
89,05/30/17 06:53:13 PM,69.042,,
90,05/30/17 06:58:13 PM,69.129,,
91,05/30/17 07:03:13 PM,69.170,,
92,05/30/17 07:08:13 PM,69.256,,
93,05/30/17 07:13:13 PM,69.343,,
94,05/30/17 07:18:13 PM,69.427,,
95,05/30/17 07:23:13 PM,69.471,,
96,05/30/17 07:28:13 PM,69.557,,
97,05/30/17 07:33:13 PM,69.600,,
98,05/30/17 07:38:13 PM,69.685,,
99,05/30/17 07:43:13 PM,69.728,,
100,05/30/17 07:48:13 PM,69.771,,
101,05/30/17 07:53:13 PM,69.814,,
102,05/30/17 07:58:13 PM,69.858,,
103,05/30/17 08:03:13 PM,69.901,,
104,05/30/17 08:08:13 PM,69.942,,
105,05/30/17 08:13:13 PM,69.942,,
106,05/30/17 08:18:13 PM,69.942,,
107,05/30/17 08:23:13 PM,69.858,,
108,05/30/17 08:28:13 PM,69.771,,
109,05/30/17 08:33:13 PM,69.685,,
110,05/30/17 08:38:13 PM,69.557,,
111,05/30/17 08:43:13 PM,69.471,,
112,05/30/17 08:48:13 PM,69.343,,
113,05/30/17 08:53:13 PM,69.213,,
114,05/30/17 08:58:13 PM,69.085,,
115,05/30/17 09:03:13 PM,68.956,,
116,05/30/17 09:08:13 PM,68.871,,
117,05/30/17 09:13:13 PM,68.742,,
118,05/30/17 09:18:13 PM,68.614,,
119,05/30/17 09:23:13 PM,68.527,,
120,05/30/17 09:28:13 PM,68.400,,
121,05/30/17 09:33:13 PM,68.313,,
122,05/30/17 09:38:13 PM,68.185,,
123,05/30/17 09:43:13 PM,68.099,,
124,05/30/17 09:48:13 PM,68.013,,
125,05/30/17 09:53:13 PM,67.885,,
126,05/30/17 09:58:13 PM,67.757,,
127,05/30/17 10:03:13 PM,67.671,,
128,05/30/17 10:08:13 PM,67.543,,
129,05/30/17 10:13:13 PM,67.456,,
130,05/30/17 10:18:13 PM,67.372,,
131,05/30/17 10:23:13 PM,67.285,,
132,05/30/17 10:28:13 PM,67.199,,
133,05/30/17 10:33:13 PM,67.114,,
134,05/30/17 10:38:13 PM,67.028,,
135,05/30/17 10:43:13 PM,66.943,,
136,05/30/17 10:48:13 PM,66.857,,
137,05/30/17 10:53:13 PM,66.772,,
138,05/30/17 10:58:13 PM,66.643,,
139,05/30/17 11:03:13 PM,66.558,,
140,05/30/17 11:08:13 PM,66.515,,
141,05/30/17 11:13:13 PM,66.385,,
142,05/30/17 11:18:13 PM,66.301,,
143,05/30/17 11:23:13 PM,66.214,,
144,05/30/17 11:28:13 PM,66.130,,
145,05/30/17 11:33:13 PM,66.043,,
146,05/30/17 11:38:13 PM,65.959,,
147,05/30/17 11:43:13 PM,65.872,,
148,05/30/17 11:48:13 PM,65.788,,
149,05/30/17 11:53:13 PM,65.701,,
150,05/30/17 11:58:13 PM,65.658,,
151,05/31/17 12:03:13 AM,65.574,,
152,05/31/17 12:08:13 AM,65.487,,
153,05/31/17 12:13:13 AM,65.444,,
154,05/31/17 12:18:13 AM,65.359,,
155,05/31/17 12:23:13 AM,65.273,,
156,05/31/17 12:28:13 AM,65.230,,
157,05/31/17 12:33:13 AM,65.145,,
158,05/31/17 12:38:13 AM,65.059,,
159,05/31/17 12:43:13 AM,65.017,,
160,05/31/17 12:48:13 AM,64.931,,
161,05/31/17 12:53:13 AM,64.845,,
162,05/31/17 12:58:13 AM,64.760,,
163,05/31/17 01:03:13 AM,64.717,,
164,05/31/17 01:08:13 AM,64.632,,
165,05/31/17 01:13:13 AM,64.589,,
166,05/31/17 01:18:13 AM,64.503,,
167,05/31/17 01:23:13 AM,64.459,,
168,05/31/17 01:28:13 AM,64.418,,
169,05/31/17 01:33:13 AM,64.332,,
170,05/31/17 01:38:13 AM,64.288,,
171,05/31/17 01:43:13 AM,64.247,,
172,05/31/17 01:48:13 AM,64.161,,
173,05/31/17 01:53:13 AM,64.117,,
174,05/31/17 01:58:13 AM,64.074,,
175,05/31/17 02:03:13 AM,63.990,,
