"Plot Title: KSM"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2419892, SEN S/N: 2419892)","Bad Battery (LGR S/N: 2419892)","Coupler Detached (LGR S/N: 2419892)","Good Battery (LGR S/N: 2419892)","End Of File (LGR S/N: 2419892)"
1,05/30/17 11:34:51 AM,75.376,Logged,,,
2,05/30/17 11:34:58 AM,,,Logged,,
3,05/30/17 11:39:51 AM,76.636,,,Logged,
4,05/30/17 11:44:51 AM,76.986,,,,
5,05/30/17 11:49:51 AM,77.117,,,,
6,05/30/17 11:54:51 AM,76.899,,,,
7,05/30/17 11:59:51 AM,76.725,,,,
8,05/30/17 12:04:51 PM,76.593,,,,
9,05/30/17 12:09:51 PM,76.464,,,,
10,05/30/17 12:14:51 PM,76.550,,,,
11,05/30/17 12:19:51 PM,77.902,,,,
12,05/30/17 12:24:51 PM,78.645,,,,
13,05/30/17 12:29:51 PM,78.427,,,,
14,05/30/17 12:34:51 PM,77.815,,,,
15,05/30/17 12:39:51 PM,77.072,,,,
16,05/30/17 12:44:51 PM,76.550,,,,
17,05/30/17 12:49:51 PM,77.160,,,,
18,05/30/17 12:54:51 PM,78.121,,,,
19,05/30/17 12:59:51 PM,78.514,,,,
20,05/30/17 01:04:51 PM,78.690,,,,
21,05/30/17 01:09:51 PM,76.419,,,,
22,05/30/17 01:14:51 PM,74.206,,,,
23,05/30/17 01:19:51 PM,72.653,,,,
24,05/30/17 01:24:51 PM,71.490,,,,
25,05/30/17 01:29:51 PM,70.587,,,,
26,05/30/17 01:34:51 PM,69.858,,,,
27,05/30/17 01:39:51 PM,69.300,,,,
28,05/30/17 01:44:51 PM,68.785,,,,
29,05/30/17 01:49:51 PM,68.400,,,,
30,05/30/17 01:54:51 PM,68.056,,,,
31,05/30/17 01:59:51 PM,67.842,,,,
32,05/30/17 02:04:51 PM,67.586,,,,
33,05/30/17 02:09:51 PM,67.413,,,,
34,05/30/17 02:14:51 PM,69.256,,,,
35,05/30/17 02:19:51 PM,71.877,,,,
36,05/30/17 02:24:51 PM,73.774,,,,
37,05/30/17 02:29:51 PM,74.206,,,,
38,05/30/17 02:34:51 PM,76.768,,,,
39,05/30/17 02:39:51 PM,77.029,,,,
40,05/30/17 02:44:51 PM,77.117,,,,
41,05/30/17 02:49:51 PM,76.942,,,,
42,05/30/17 02:54:51 PM,76.768,,,,
43,05/30/17 02:59:51 PM,76.636,,,,
44,05/30/17 03:04:51 PM,76.550,,,,
45,05/30/17 03:09:51 PM,76.464,,,,
46,05/30/17 03:14:51 PM,76.375,,,,
47,05/30/17 03:19:51 PM,76.332,,,,
48,05/30/17 03:24:51 PM,76.289,,,,
