"Plot Title: KST"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2406388, SEN S/N: 2406388)","Coupler Detached (LGR S/N: 2406388)","End Of File (LGR S/N: 2406388)"
1,05/30/17 11:35:51 AM,75.204,,
2,05/30/17 11:35:56 AM,,Logged,
3,05/30/17 11:40:51 AM,76.550,,
4,05/30/17 11:45:51 AM,77.203,,
5,05/30/17 11:50:51 AM,76.986,,
6,05/30/17 11:55:51 AM,76.550,,
7,05/30/17 12:00:51 PM,76.289,,
8,05/30/17 12:05:51 PM,76.114,,
9,05/30/17 12:10:51 PM,75.985,,
10,05/30/17 12:15:51 PM,76.464,,
11,05/30/17 12:20:51 PM,77.770,,
12,05/30/17 12:25:51 PM,78.076,,
13,05/30/17 12:30:51 PM,77.859,,
14,05/30/17 12:35:51 PM,77.072,,
15,05/30/17 12:40:51 PM,76.158,,
16,05/30/17 12:45:51 PM,75.853,,
17,05/30/17 12:50:51 PM,76.419,,
18,05/30/17 12:55:51 PM,77.421,,
19,05/30/17 01:00:51 PM,77.990,,
20,05/30/17 01:05:51 PM,77.160,,
21,05/30/17 01:10:51 PM,73.731,,
22,05/30/17 01:15:51 PM,71.533,,
23,05/30/17 01:20:51 PM,70.115,,
24,05/30/17 01:25:51 PM,69.213,,
25,05/30/17 01:30:51 PM,68.527,,
26,05/30/17 01:35:51 PM,68.056,,
27,05/30/17 01:40:51 PM,67.671,,
28,05/30/17 01:45:51 PM,67.413,,
29,05/30/17 01:50:51 PM,67.199,,
30,05/30/17 01:55:51 PM,67.158,,
31,05/30/17 02:00:51 PM,67.071,,
32,05/30/17 02:05:51 PM,67.028,,
33,05/30/17 02:10:51 PM,67.329,,
34,05/30/17 02:15:51 PM,70.846,,
35,05/30/17 02:20:51 PM,77.378,,
36,05/30/17 02:25:51 PM,77.815,,
37,05/30/17 02:30:51 PM,77.160,,
38,05/30/17 02:35:51 PM,77.902,,
39,05/30/17 02:40:51 PM,76.899,,
40,05/30/17 02:45:51 PM,77.072,,
41,05/30/17 02:50:51 PM,76.986,,
42,05/30/17 02:55:51 PM,76.854,,
43,05/30/17 03:00:51 PM,76.768,,
44,05/30/17 03:05:51 PM,76.681,,
45,05/30/17 03:10:51 PM,76.636,,
46,05/30/17 03:15:51 PM,76.550,,
47,05/30/17 03:20:51 PM,76.550,,
48,05/30/17 03:25:51 PM,76.507,,
49,05/30/17 03:30:51 PM,76.464,,
50,05/30/17 03:35:51 PM,77.247,,
51,05/30/17 03:40:51 PM,77.160,,
52,05/30/17 03:45:51 PM,76.375,,
53,05/30/17 03:50:51 PM,75.420,,
54,05/30/17 03:55:51 PM,74.554,,
55,05/30/17 04:00:51 PM,73.731,,
56,05/30/17 04:05:51 PM,72.997,,
57,05/30/17 04:10:51 PM,72.394,,
58,05/30/17 04:15:51 PM,71.791,,
59,05/30/17 04:20:51 PM,71.361,,
60,05/30/17 04:25:51 PM,70.974,,
61,05/30/17 04:30:51 PM,70.673,,
62,05/30/17 04:35:51 PM,70.372,,
63,05/30/17 04:40:51 PM,70.072,,
64,05/30/17 04:45:51 PM,69.858,,
65,05/30/17 04:50:51 PM,69.600,,
66,05/30/17 04:55:51 PM,69.386,,
67,05/30/17 05:00:51 PM,69.213,,
68,05/30/17 05:05:51 PM,69.042,,
69,05/30/17 05:10:51 PM,68.913,,
70,05/30/17 05:15:51 PM,68.785,,
71,05/30/17 05:20:51 PM,68.698,,
72,05/30/17 05:25:51 PM,68.614,,
73,05/30/17 05:30:51 PM,68.527,,
74,05/30/17 05:35:51 PM,68.443,,
75,05/30/17 05:40:51 PM,68.356,,
76,05/30/17 05:45:51 PM,68.313,,
77,05/30/17 05:50:51 PM,68.270,,
78,05/30/17 05:55:51 PM,68.185,,
79,05/30/17 06:00:51 PM,68.185,,
80,05/30/17 06:05:51 PM,68.142,,
81,05/30/17 06:10:51 PM,68.099,,
82,05/30/17 06:15:51 PM,68.056,,
83,05/30/17 06:20:51 PM,68.056,,
84,05/30/17 06:25:51 PM,68.013,,
85,05/30/17 06:30:51 PM,68.013,,
86,05/30/17 06:35:51 PM,68.013,,
87,05/30/17 06:40:51 PM,68.013,,
88,05/30/17 06:45:51 PM,68.013,,
89,05/30/17 06:50:51 PM,68.056,,
90,05/30/17 06:55:51 PM,68.099,,
91,05/30/17 07:00:51 PM,68.142,,
92,05/30/17 07:05:51 PM,68.185,,
93,05/30/17 07:10:51 PM,68.227,,
94,05/30/17 07:15:51 PM,68.270,,
95,05/30/17 07:20:51 PM,68.313,,
96,05/30/17 07:25:51 PM,68.356,,
97,05/30/17 07:30:51 PM,68.400,,
98,05/30/17 07:35:51 PM,68.443,,
99,05/30/17 07:40:51 PM,68.443,,
100,05/30/17 07:45:51 PM,68.484,,
101,05/30/17 07:50:51 PM,68.527,,
102,05/30/17 07:55:51 PM,68.527,,
103,05/30/17 08:00:51 PM,68.571,,
104,05/30/17 08:05:51 PM,68.614,,
105,05/30/17 08:10:51 PM,68.614,,
106,05/30/17 08:15:51 PM,68.657,,
107,05/30/17 08:20:51 PM,68.698,,
108,05/30/17 08:25:51 PM,68.698,,
109,05/30/17 08:30:51 PM,68.698,,
110,05/30/17 08:35:51 PM,68.657,,
111,05/30/17 08:40:51 PM,68.657,,
112,05/30/17 08:45:51 PM,68.614,,
113,05/30/17 08:50:51 PM,68.614,,
114,05/30/17 08:55:51 PM,68.571,,
115,05/30/17 09:00:51 PM,68.571,,
116,05/30/17 09:05:51 PM,68.527,,
117,05/30/17 09:10:51 PM,68.484,,
118,05/30/17 09:15:51 PM,68.443,,
119,05/30/17 09:20:51 PM,68.400,,
120,05/30/17 09:25:51 PM,68.356,,
121,05/30/17 09:30:51 PM,68.313,,
122,05/30/17 09:35:51 PM,68.270,,
123,05/30/17 09:40:51 PM,68.227,,
124,05/30/17 09:45:51 PM,68.185,,
125,05/30/17 09:50:51 PM,68.142,,
126,05/30/17 09:55:51 PM,68.056,,
127,05/30/17 10:00:51 PM,68.013,,
128,05/30/17 10:05:51 PM,67.971,,
129,05/30/17 10:10:51 PM,67.928,,
130,05/30/17 10:15:51 PM,67.842,,
131,05/30/17 10:20:51 PM,67.798,,
132,05/30/17 10:25:51 PM,67.757,,
133,05/30/17 10:30:51 PM,67.671,,
134,05/30/17 10:35:51 PM,67.627,,
135,05/30/17 10:40:51 PM,67.586,,
136,05/30/17 10:45:51 PM,67.543,,
137,05/30/17 10:50:51 PM,67.456,,
138,05/30/17 10:55:51 PM,67.413,,
139,05/30/17 11:00:51 PM,67.372,,
140,05/30/17 11:05:51 PM,67.329,,
141,05/30/17 11:10:51 PM,67.242,,
142,05/30/17 11:15:51 PM,67.158,,
143,05/30/17 11:20:51 PM,67.114,,
144,05/30/17 11:25:51 PM,67.071,,
145,05/30/17 11:30:51 PM,66.985,,
146,05/30/17 11:35:51 PM,66.943,,
147,05/30/17 11:40:51 PM,66.900,,
148,05/30/17 11:45:51 PM,66.814,,
149,05/30/17 11:50:51 PM,66.772,,
150,05/30/17 11:55:51 PM,66.686,,
151,05/31/17 12:00:51 AM,66.643,,
152,05/31/17 12:05:51 AM,66.600,,
153,05/31/17 12:10:51 AM,66.515,,
154,05/31/17 12:15:51 AM,66.472,,
155,05/31/17 12:20:51 AM,66.429,,
156,05/31/17 12:25:51 AM,66.344,,
157,05/31/17 12:30:51 AM,66.301,,
158,05/31/17 12:35:51 AM,66.258,,
159,05/31/17 12:40:51 AM,66.173,,
160,05/31/17 12:45:51 AM,66.130,,
161,05/31/17 12:50:51 AM,66.087,,
162,05/31/17 12:55:51 AM,66.000,,
163,05/31/17 01:00:51 AM,65.959,,
164,05/31/17 01:05:51 AM,65.916,,
165,05/31/17 01:10:51 AM,65.829,,
166,05/31/17 01:15:51 AM,65.788,,
167,05/31/17 01:20:51 AM,65.745,,
168,05/31/17 01:25:51 AM,65.701,,
169,05/31/17 01:30:51 AM,65.615,,
170,05/31/17 01:35:51 AM,65.574,,
171,05/31/17 01:40:51 AM,65.530,,
172,05/31/17 01:45:51 AM,65.487,,
173,05/31/17 01:50:51 AM,65.444,,
174,05/31/17 01:55:51 AM,65.359,,
175,05/31/17 02:00:51 AM,65.316,,
176,05/31/17 02:05:51 AM,65.273,,
177,05/31/17 02:10:51 AM,65.230,,
178,05/31/17 02:15:51 AM,65.145,,
179,05/31/17 02:20:51 AM,65.102,,
180,05/31/17 02:25:51 AM,65.059,,
181,05/31/17 02:30:51 AM,65.017,,
182,05/31/17 02:35:51 AM,64.974,,
183,05/31/17 02:40:51 AM,64.931,,
184,05/31/17 02:45:51 AM,64.845,,
185,05/31/17 02:50:51 AM,64.803,,
186,05/31/17 02:55:51 AM,64.760,,
187,05/31/17 03:00:51 AM,64.717,,
188,05/31/17 03:05:51 AM,64.674,,
189,05/31/17 03:10:51 AM,64.589,,
190,05/31/17 03:15:51 AM,64.546,,
191,05/31/17 03:20:51 AM,64.503,,
192,05/31/17 03:25:51 AM,64.459,,
193,05/31/17 03:30:51 AM,64.418,,
194,05/31/17 03:35:51 AM,64.332,,
195,05/31/17 03:40:51 AM,64.288,,
196,05/31/17 03:45:51 AM,64.247,,
197,05/31/17 03:50:51 AM,64.204,,
198,05/31/17 03:55:51 AM,64.161,,
199,05/31/17 04:00:51 AM,64.074,,
200,05/31/17 04:05:51 AM,64.074,,
201,05/31/17 04:10:51 AM,63.990,,
202,05/31/17 04:15:51 AM,63.946,,
203,05/31/17 04:20:51 AM,63.903,,
204,05/31/17 04:25:51 AM,63.862,,
205,05/31/17 04:30:51 AM,63.819,,
206,05/31/17 04:35:51 AM,63.775,,
207,05/31/17 04:40:51 AM,63.732,,
208,05/31/17 04:45:51 AM,63.648,,
209,05/31/17 04:50:51 AM,63.604,,
210,05/31/17 04:55:51 AM,63.561,,
211,05/31/17 05:00:51 AM,63.518,,
212,05/31/17 05:05:51 AM,63.475,,
213,05/31/17 05:10:51 AM,63.433,,
214,05/31/17 05:15:51 AM,63.390,,
215,05/31/17 05:20:51 AM,63.347,,
216,05/31/17 05:25:51 AM,63.304,,
217,05/31/17 05:30:51 AM,63.219,,
218,05/31/17 05:35:51 AM,63.219,,
219,05/31/17 05:40:51 AM,63.133,,
220,05/31/17 05:45:51 AM,63.090,,
221,05/31/17 05:50:51 AM,63.048,,
222,05/31/17 05:55:51 AM,63.005,,
223,05/31/17 06:00:51 AM,62.962,,
224,05/31/17 06:05:51 AM,62.962,,
225,05/31/17 06:10:51 AM,62.919,,
226,05/31/17 06:15:51 AM,62.875,,
227,05/31/17 06:20:51 AM,62.875,,
228,05/31/17 06:25:51 AM,62.791,,
229,05/31/17 06:30:51 AM,62.791,,
230,05/31/17 06:35:51 AM,62.748,,
231,05/31/17 06:40:51 AM,62.704,,
232,05/31/17 06:45:51 AM,62.704,,
233,05/31/17 06:50:51 AM,62.704,,
234,05/31/17 06:55:51 AM,62.661,,
235,05/31/17 07:00:51 AM,62.704,,
236,05/31/17 07:05:51 AM,62.704,,
237,05/31/17 07:10:51 AM,62.704,,
238,05/31/17 07:15:51 AM,62.704,,
239,05/31/17 07:20:51 AM,62.704,,
240,05/31/17 07:25:51 AM,62.748,,
241,05/31/17 07:30:51 AM,62.748,,
242,05/31/17 07:35:51 AM,62.748,,
243,05/31/17 07:40:51 AM,62.661,,
244,05/31/17 07:45:51 AM,62.533,,
245,05/31/17 07:50:51 AM,62.447,,
246,05/31/17 07:55:51 AM,62.362,,
247,05/31/17 08:00:51 AM,62.276,,
248,05/31/17 08:05:51 AM,62.233,,
249,05/31/17 08:10:51 AM,62.191,,
250,05/31/17 08:15:51 AM,62.191,,
251,05/31/17 08:20:51 AM,62.148,,
252,05/31/17 08:25:51 AM,62.105,,
253,05/31/17 08:30:51 AM,62.105,,
254,05/31/17 08:35:51 AM,62.105,,
255,05/31/17 08:40:51 AM,62.148,,
256,05/31/17 08:45:51 AM,62.148,,
257,05/31/17 08:50:51 AM,62.148,,
258,05/31/17 08:55:51 AM,62.148,,
259,05/31/17 09:00:51 AM,62.191,,
260,05/31/17 09:05:51 AM,62.191,,
261,05/31/17 09:10:51 AM,62.233,,
262,05/31/17 09:15:51 AM,62.276,,
263,05/31/17 09:20:51 AM,62.276,,
264,05/31/17 09:25:51 AM,62.362,,
265,05/31/17 09:30:51 AM,62.362,,
266,05/31/17 09:35:51 AM,62.406,,
267,05/31/17 09:40:51 AM,62.447,,
268,05/31/17 09:45:51 AM,62.533,,
269,05/31/17 09:50:51 AM,62.533,,
270,05/31/17 09:55:51 AM,62.577,,
271,05/31/17 10:00:51 AM,62.620,,
272,05/31/17 10:05:51 AM,62.661,,
273,05/31/17 10:10:51 AM,62.704,,
274,05/31/17 10:15:51 AM,62.748,,
275,05/31/17 10:20:51 AM,62.791,,
276,05/31/17 10:25:51 AM,63.048,,
277,05/31/17 10:30:51 AM,69.942,,
278,05/31/17 10:35:51 AM,70.201,,
279,05/31/17 10:40:51 AM,70.329,,
280,05/31/17 10:45:51 AM,70.372,,
281,05/31/17 10:50:51 AM,70.974,,
282,05/31/17 10:55:51 AM,71.317,,
283,05/31/17 11:00:51 AM,71.060,,
284,05/31/17 11:05:51 AM,70.759,,
285,05/31/17 11:10:51 AM,70.502,,
286,05/31/17 11:15:51 AM,70.372,,
287,05/31/17 11:20:51 AM,70.459,,
288,05/31/17 11:25:51 AM,70.630,,
289,05/31/17 11:30:51 AM,70.930,,
290,05/31/17 11:35:51 AM,71.231,,
291,05/31/17 11:40:51 AM,71.490,,
292,05/31/17 11:45:51 AM,71.704,,
293,05/31/17 11:50:51 AM,71.964,,
294,05/31/17 11:55:51 AM,72.221,,
295,05/31/17 12:00:51 PM,72.480,,
296,05/31/17 12:05:51 PM,72.739,,
297,05/31/17 12:10:51 PM,73.170,,
298,05/31/17 12:15:51 PM,73.990,,
299,05/31/17 12:20:51 PM,75.247,,
300,05/31/17 12:25:51 PM,76.114,,
301,05/31/17 12:30:51 PM,76.725,,
302,05/31/17 12:35:51 PM,78.076,,
303,05/31/17 12:40:51 PM,82.708,,
304,05/31/17 12:45:51 PM,88.306,,
305,05/31/17 12:50:51 PM,89.870,,
