"Plot Title: Larabee Forney Middle"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719005, SEN S/N: 10719005)","Coupler Detached (LGR S/N: 10719005)","End Of File (LGR S/N: 10719005)"
1,06/23/16 12:00:00 AM,67.500,Logged,
2,06/23/16 12:15:00 AM,67.114,,
3,06/23/16 12:30:00 AM,66.772,,
4,06/23/16 12:45:00 AM,66.429,,
5,06/23/16 01:00:00 AM,66.130,,
6,06/23/16 01:15:00 AM,65.916,,
7,06/23/16 01:30:00 AM,65.615,,
8,06/23/16 01:45:00 AM,65.403,,
9,06/23/16 02:00:00 AM,65.145,,
10,06/23/16 02:15:00 AM,64.931,,
11,06/23/16 02:30:00 AM,64.674,,
12,06/23/16 02:45:00 AM,64.503,,
13,06/23/16 03:00:00 AM,64.375,,
14,06/23/16 03:15:00 AM,64.247,,
15,06/23/16 03:30:00 AM,64.074,,
16,06/23/16 03:45:00 AM,63.903,,
17,06/23/16 04:00:00 AM,63.732,,
18,06/23/16 04:15:00 AM,63.518,,
19,06/23/16 04:30:00 AM,63.304,,
20,06/23/16 04:45:00 AM,63.133,,
21,06/23/16 05:00:00 AM,62.962,,
22,06/23/16 05:15:00 AM,62.791,,
23,06/23/16 05:30:00 AM,62.620,,
24,06/23/16 05:45:00 AM,62.447,,
25,06/23/16 06:00:00 AM,62.319,,
26,06/23/16 06:15:00 AM,62.191,,
27,06/23/16 06:30:00 AM,62.105,,
28,06/23/16 06:45:00 AM,61.977,,
29,06/23/16 07:00:00 AM,61.934,,
30,06/23/16 07:15:00 AM,61.848,,
31,06/23/16 07:30:00 AM,61.891,,
32,06/23/16 07:45:00 AM,61.934,,
33,06/23/16 08:00:00 AM,62.062,,
34,06/23/16 08:15:00 AM,62.233,,
35,06/23/16 08:30:00 AM,62.490,,
36,06/23/16 08:45:00 AM,62.704,,
37,06/23/16 09:00:00 AM,63.048,,
38,06/23/16 09:15:00 AM,63.433,,
39,06/23/16 09:30:00 AM,63.946,,
40,06/23/16 09:45:00 AM,64.418,,
41,06/23/16 10:00:00 AM,64.888,,
42,06/23/16 10:15:00 AM,65.403,,
43,06/23/16 10:30:00 AM,65.916,,
44,06/23/16 10:45:00 AM,66.429,,
45,06/23/16 11:00:00 AM,66.900,,
46,06/23/16 11:15:00 AM,67.456,,
47,06/23/16 11:30:00 AM,67.971,,
48,06/23/16 11:45:00 AM,68.571,,
49,06/23/16 12:00:00 PM,69.213,,
50,06/23/16 12:15:00 PM,69.858,,
51,06/23/16 12:30:00 PM,70.502,,
52,06/23/16 12:45:00 PM,71.060,,
53,06/23/16 01:00:00 PM,71.704,,
54,06/23/16 01:15:00 PM,72.093,,
55,06/23/16 01:30:00 PM,72.739,,
56,06/23/16 01:45:00 PM,72.955,,
57,06/23/16 02:00:00 PM,73.342,,
58,06/23/16 02:15:00 PM,73.904,,
59,06/23/16 02:30:00 PM,74.338,,
60,06/23/16 02:45:00 PM,74.770,,
61,06/23/16 03:00:00 PM,75.160,,
62,06/23/16 03:15:00 PM,75.508,,
63,06/23/16 03:30:00 PM,75.637,,
64,06/23/16 03:45:00 PM,75.767,,
65,06/23/16 04:00:00 PM,75.810,,
66,06/23/16 04:15:00 PM,75.420,,
67,06/23/16 04:30:00 PM,75.551,,
68,06/23/16 04:45:00 PM,75.508,,
69,06/23/16 05:00:00 PM,75.551,,
70,06/23/16 05:15:00 PM,75.724,,
71,06/23/16 05:30:00 PM,75.681,,
72,06/23/16 05:45:00 PM,75.551,,
73,06/23/16 06:00:00 PM,75.420,,
74,06/23/16 06:15:00 PM,75.333,,
75,06/23/16 06:30:00 PM,75.074,,
76,06/23/16 06:45:00 PM,74.770,,
77,06/23/16 07:00:00 PM,74.467,,
78,06/23/16 07:15:00 PM,74.250,,
79,06/23/16 07:30:00 PM,73.990,,
80,06/23/16 07:45:00 PM,73.731,,
81,06/23/16 08:00:00 PM,73.472,,
82,06/23/16 08:15:00 PM,73.213,,
83,06/23/16 08:30:00 PM,73.083,,
84,06/23/16 08:45:00 PM,72.869,,
85,06/23/16 09:00:00 PM,72.610,,
86,06/23/16 09:15:00 PM,72.394,,
87,06/23/16 09:30:00 PM,72.136,,
88,06/23/16 09:45:00 PM,71.834,,
89,06/23/16 10:00:00 PM,71.533,,
90,06/23/16 10:15:00 PM,71.274,,
91,06/23/16 10:30:00 PM,71.017,,
92,06/23/16 10:45:00 PM,70.716,,
93,06/23/16 11:00:00 PM,70.459,,
94,06/23/16 11:15:00 PM,70.201,,
95,06/23/16 11:30:00 PM,69.942,,
96,06/23/16 11:45:00 PM,69.728,,
97,06/24/16 12:00:00 AM,69.557,,
98,06/24/16 12:15:00 AM,69.343,,
99,06/24/16 12:30:00 AM,69.085,,
100,06/24/16 12:45:00 AM,68.913,,
101,06/24/16 01:00:00 AM,68.698,,
102,06/24/16 01:15:00 AM,68.484,,
103,06/24/16 01:30:00 AM,68.270,,
104,06/24/16 01:45:00 AM,68.142,,
105,06/24/16 02:00:00 AM,67.971,,
106,06/24/16 02:15:00 AM,67.798,,
107,06/24/16 02:30:00 AM,67.627,,
108,06/24/16 02:45:00 AM,67.500,,
109,06/24/16 03:00:00 AM,67.372,,
110,06/24/16 03:15:00 AM,67.242,,
111,06/24/16 03:30:00 AM,67.071,,
112,06/24/16 03:45:00 AM,66.985,,
113,06/24/16 04:00:00 AM,66.814,,
114,06/24/16 04:15:00 AM,66.686,,
115,06/24/16 04:30:00 AM,66.558,,
116,06/24/16 04:45:00 AM,66.472,,
117,06/24/16 05:00:00 AM,66.385,,
118,06/24/16 05:15:00 AM,66.301,,
119,06/24/16 05:30:00 AM,66.130,,
120,06/24/16 05:45:00 AM,66.043,,
121,06/24/16 06:00:00 AM,65.959,,
122,06/24/16 06:15:00 AM,65.872,,
123,06/24/16 06:30:00 AM,65.829,,
124,06/24/16 06:45:00 AM,65.788,,
125,06/24/16 07:00:00 AM,65.829,,
126,06/24/16 07:15:00 AM,65.872,,
127,06/24/16 07:30:00 AM,65.959,,
128,06/24/16 07:45:00 AM,66.087,,
129,06/24/16 08:00:00 AM,66.214,,
130,06/24/16 08:15:00 AM,66.472,,
131,06/24/16 08:30:00 AM,66.729,,
132,06/24/16 08:45:00 AM,66.985,,
133,06/24/16 09:00:00 AM,67.329,,
134,06/24/16 09:15:00 AM,67.757,,
135,06/24/16 09:30:00 AM,68.185,,
136,06/24/16 09:45:00 AM,68.742,,
137,06/24/16 10:00:00 AM,69.300,,
138,06/24/16 10:15:00 AM,69.814,,
139,06/24/16 10:30:00 AM,70.329,,
140,06/24/16 10:45:00 AM,70.846,,
141,06/24/16 11:00:00 AM,71.447,,
142,06/24/16 11:15:00 AM,71.877,,
143,06/24/16 11:30:00 AM,72.394,,
144,06/24/16 11:45:00 AM,72.912,,
145,06/24/16 12:00:00 PM,73.472,,
146,06/24/16 12:15:00 PM,74.077,,
147,06/24/16 12:30:00 PM,74.554,,
148,06/24/16 12:45:00 PM,75.204,,
149,06/24/16 01:00:00 PM,75.681,,
150,06/24/16 01:15:00 PM,76.289,,
151,06/24/16 01:30:00 PM,76.899,,
152,06/24/16 01:45:00 PM,77.335,,
153,06/24/16 02:00:00 PM,77.770,,
154,06/24/16 02:15:00 PM,78.208,,
155,06/24/16 02:30:00 PM,78.602,,
156,06/24/16 02:45:00 PM,79.173,,
157,06/24/16 03:00:00 PM,79.567,,
158,06/24/16 03:15:00 PM,79.920,,
159,06/24/16 03:30:00 PM,80.096,,
160,06/24/16 03:45:00 PM,79.963,,
161,06/24/16 04:00:00 PM,79.920,,
162,06/24/16 04:15:00 PM,79.612,,
163,06/24/16 04:30:00 PM,79.304,,
164,06/24/16 04:45:00 PM,78.996,,
165,06/24/16 05:00:00 PM,78.602,,
166,06/24/16 05:15:00 PM,77.902,,
167,06/24/16 05:30:00 PM,76.854,,
168,06/24/16 05:45:00 PM,76.246,,
169,06/24/16 06:00:00 PM,75.810,,
170,06/24/16 06:15:00 PM,75.810,,
171,06/24/16 06:30:00 PM,75.681,,
172,06/24/16 06:45:00 PM,75.333,,
173,06/24/16 07:00:00 PM,75.204,,
174,06/24/16 07:15:00 PM,75.204,,
175,06/24/16 07:30:00 PM,75.074,,
176,06/24/16 07:45:00 PM,74.943,,
177,06/24/16 08:00:00 PM,74.813,,
178,06/24/16 08:15:00 PM,74.683,,
179,06/24/16 08:30:00 PM,74.511,,
180,06/24/16 08:45:00 PM,74.250,,
181,06/24/16 09:00:00 PM,73.947,,
182,06/24/16 09:15:00 PM,73.645,,
183,06/24/16 09:30:00 PM,73.429,,
184,06/24/16 09:45:00 PM,73.170,,
185,06/24/16 10:00:00 PM,72.912,,
186,06/24/16 10:15:00 PM,72.653,,
187,06/24/16 10:30:00 PM,72.307,,
188,06/24/16 10:45:00 PM,71.964,,
189,06/24/16 11:00:00 PM,71.661,,
190,06/24/16 11:15:00 PM,71.361,,
191,06/24/16 11:30:00 PM,71.103,,
192,06/24/16 11:45:00 PM,70.887,,
193,06/25/16 12:00:00 AM,70.587,,
194,06/25/16 12:15:00 AM,70.329,,
195,06/25/16 12:30:00 AM,70.115,,
196,06/25/16 12:45:00 AM,69.942,,
197,06/25/16 01:00:00 AM,69.814,,
198,06/25/16 01:15:00 AM,69.685,,
199,06/25/16 01:30:00 AM,69.557,,
200,06/25/16 01:45:00 AM,69.386,,
201,06/25/16 02:00:00 AM,69.129,,
202,06/25/16 02:15:00 AM,68.913,,
203,06/25/16 02:30:00 AM,68.742,,
204,06/25/16 02:45:00 AM,68.614,,
205,06/25/16 03:00:00 AM,68.484,,
206,06/25/16 03:15:00 AM,68.313,,
207,06/25/16 03:30:00 AM,68.013,,
208,06/25/16 03:45:00 AM,67.798,,
209,06/25/16 04:00:00 AM,67.456,,
210,06/25/16 04:15:00 AM,67.071,,
211,06/25/16 04:30:00 AM,66.729,,
212,06/25/16 04:45:00 AM,66.429,,
213,06/25/16 05:00:00 AM,66.173,,
214,06/25/16 05:15:00 AM,66.000,,
215,06/25/16 05:30:00 AM,65.788,,
216,06/25/16 05:45:00 AM,65.487,,
217,06/25/16 06:00:00 AM,65.230,,
218,06/25/16 06:15:00 AM,64.974,,
219,06/25/16 06:30:00 AM,64.760,,
220,06/25/16 06:45:00 AM,64.632,,
221,06/25/16 07:00:00 AM,64.589,,
222,06/25/16 07:15:00 AM,64.546,,
223,06/25/16 07:30:00 AM,64.503,,
224,06/25/16 07:45:00 AM,64.503,,
225,06/25/16 08:00:00 AM,64.418,,
226,06/25/16 08:15:00 AM,64.418,,
227,06/25/16 08:30:00 AM,64.503,,
228,06/25/16 08:45:00 AM,64.674,,
229,06/25/16 09:00:00 AM,64.803,,
230,06/25/16 09:15:00 AM,65.188,,
231,06/25/16 09:30:00 AM,65.574,,
232,06/25/16 09:45:00 AM,65.916,,
233,06/25/16 10:00:00 AM,66.385,,
234,06/25/16 10:15:00 AM,66.814,,
235,06/25/16 10:30:00 AM,67.199,,
236,06/25/16 10:45:00 AM,67.671,,
237,06/25/16 11:00:00 AM,68.056,,
238,06/25/16 11:15:00 AM,68.527,,
239,06/25/16 11:30:00 AM,68.999,,
240,06/25/16 11:45:00 AM,69.471,,
241,06/25/16 12:00:00 PM,69.985,,
242,06/25/16 12:15:00 PM,70.459,,
243,06/25/16 12:30:00 PM,70.974,,
244,06/25/16 12:45:00 PM,71.447,,
245,06/25/16 01:00:00 PM,71.964,,
246,06/25/16 01:15:00 PM,72.523,,
247,06/25/16 01:30:00 PM,73.040,,
248,06/25/16 01:45:00 PM,73.515,,
249,06/25/16 02:00:00 PM,73.947,,
250,06/25/16 02:15:00 PM,74.424,,
251,06/25/16 02:30:00 PM,74.856,,
252,06/25/16 02:45:00 PM,75.290,,
253,06/25/16 03:00:00 PM,75.637,,
254,06/25/16 03:15:00 PM,75.853,,
255,06/25/16 03:30:00 PM,75.985,,
256,06/25/16 03:45:00 PM,76.028,,
257,06/25/16 04:00:00 PM,75.898,,
258,06/25/16 04:15:00 PM,75.810,,
259,06/25/16 04:30:00 PM,75.637,,
260,06/25/16 04:45:00 PM,75.463,,
261,06/25/16 05:00:00 PM,75.290,,
262,06/25/16 05:15:00 PM,75.029,,
263,06/25/16 05:30:00 PM,74.727,,
264,06/25/16 05:45:00 PM,74.467,,
265,06/25/16 06:00:00 PM,74.120,,
266,06/25/16 06:15:00 PM,73.774,,
267,06/25/16 06:30:00 PM,73.342,,
268,06/25/16 06:45:00 PM,72.997,,
269,06/25/16 07:00:00 PM,72.653,,
270,06/25/16 07:15:00 PM,72.437,,
271,06/25/16 07:30:00 PM,72.307,,
272,06/25/16 07:45:00 PM,72.136,,
273,06/25/16 08:00:00 PM,71.964,,
274,06/25/16 08:15:00 PM,71.748,,
275,06/25/16 08:30:00 PM,71.447,,
276,06/25/16 08:45:00 PM,71.060,,
277,06/25/16 09:00:00 PM,70.716,,
278,06/25/16 09:15:00 PM,70.372,,
279,06/25/16 09:30:00 PM,69.985,,
280,06/25/16 09:45:00 PM,69.600,,
281,06/25/16 10:00:00 PM,69.213,,
282,06/25/16 10:15:00 PM,68.871,,
283,06/25/16 10:30:00 PM,68.400,,
284,06/25/16 10:45:00 PM,67.971,,
285,06/25/16 11:00:00 PM,67.543,,
286,06/25/16 11:15:00 PM,67.158,,
287,06/25/16 11:30:00 PM,66.772,,
288,06/25/16 11:45:00 PM,66.344,,
289,06/26/16 12:00:00 AM,65.916,,
