"Plot Title: Long Pine 3 (SRA)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719033, SEN S/N: 10719033)","Coupler Detached (LGR S/N: 10719033)","Coupler Attached (LGR S/N: 10719033)","Host Connected (LGR S/N: 10719033)","Stopped (LGR S/N: 10719033)","End Of File (LGR S/N: 10719033)"
1,11/02/16 07:00:00 PM,54.387,Logged,,,,
2,11/02/16 07:15:00 PM,54.300,,,,,
3,11/02/16 07:30:00 PM,54.212,,,,,
4,11/02/16 07:45:00 PM,54.126,,,,,
5,11/02/16 08:00:00 PM,54.082,,,,,
6,11/02/16 08:15:00 PM,53.994,,,,,
7,11/02/16 08:30:00 PM,53.951,,,,,
8,11/02/16 08:45:00 PM,53.865,,,,,
9,11/02/16 09:00:00 PM,53.776,,,,,
10,11/02/16 09:15:00 PM,53.733,,,,,
11,11/02/16 09:30:00 PM,53.645,,,,,
12,11/02/16 09:45:00 PM,53.559,,,,,
13,11/02/16 10:00:00 PM,53.472,,,,,
14,11/02/16 10:15:00 PM,53.384,,,,,
15,11/02/16 10:30:00 PM,53.341,,,,,
16,11/02/16 10:45:00 PM,53.253,,,,,
17,11/02/16 11:00:00 PM,53.166,,,,,
18,11/02/16 11:15:00 PM,53.078,,,,,
19,11/02/16 11:30:00 PM,52.992,,,,,
20,11/02/16 11:45:00 PM,52.903,,,,,
21,11/03/16 12:00:00 AM,52.817,,,,,
22,11/03/16 12:15:00 AM,52.729,,,,,
23,11/03/16 12:30:00 AM,52.597,,,,,
24,11/03/16 12:45:00 AM,52.509,,,,,
25,11/03/16 01:00:00 AM,52.423,,,,,
26,11/03/16 01:15:00 AM,52.335,,,,,
27,11/03/16 01:30:00 AM,52.246,,,,,
28,11/03/16 01:45:00 AM,52.160,,,,,
29,11/03/16 02:00:00 AM,52.029,,,,,
30,11/03/16 02:15:00 AM,51.940,,,,,
31,11/03/16 02:30:00 AM,51.852,,,,,
32,11/03/16 02:45:00 AM,51.764,,,,,
33,11/03/16 03:00:00 AM,51.678,,,,,
34,11/03/16 03:15:00 AM,51.544,,,,,
35,11/03/16 03:30:00 AM,51.458,,,,,
36,11/03/16 03:45:00 AM,51.370,,,,,
37,11/03/16 04:00:00 AM,51.282,,,,,
38,11/03/16 04:15:00 AM,51.193,,,,,
39,11/03/16 04:30:00 AM,51.105,,,,,
40,11/03/16 04:45:00 AM,51.017,,,,,
41,11/03/16 05:00:00 AM,50.974,,,,,
42,11/03/16 05:15:00 AM,50.886,,,,,
43,11/03/16 05:30:00 AM,50.797,,,,,
44,11/03/16 05:45:00 AM,50.752,,,,,
45,11/03/16 06:00:00 AM,50.709,,,,,
46,11/03/16 06:15:00 AM,50.621,,,,,
47,11/03/16 06:30:00 AM,50.533,,,,,
48,11/03/16 06:45:00 AM,50.445,,,,,
49,11/03/16 07:00:00 AM,50.400,,,,,
50,11/03/16 07:15:00 AM,50.356,,,,,
51,11/03/16 07:30:00 AM,50.311,,,,,
52,11/03/16 07:45:00 AM,50.223,,,,,
53,11/03/16 08:00:00 AM,50.180,,,,,
54,11/03/16 08:15:00 AM,50.135,,,,,
55,11/03/16 08:30:00 AM,50.135,,,,,
56,11/03/16 08:45:00 AM,50.092,,,,,
57,11/03/16 09:00:00 AM,50.092,,,,,
58,11/03/16 09:15:00 AM,50.092,,,,,
59,11/03/16 09:30:00 AM,50.135,,,,,
60,11/03/16 09:45:00 AM,50.180,,,,,
61,11/03/16 10:00:00 AM,50.268,,,,,
62,11/03/16 10:15:00 AM,50.400,,,,,
63,11/03/16 10:30:00 AM,50.576,,,,,
64,11/03/16 10:45:00 AM,50.752,,,,,
65,11/03/16 11:00:00 AM,50.974,,,,,
66,11/03/16 11:15:00 AM,51.193,,,,,
67,11/03/16 11:30:00 AM,51.413,,,,,
68,11/03/16 11:45:00 AM,51.633,,,,,
69,11/03/16 12:00:00 PM,51.895,,,,,
70,11/03/16 12:15:00 PM,52.160,,,,,
71,11/03/16 12:30:00 PM,52.423,,,,,
72,11/03/16 12:45:00 PM,52.641,,,,,
73,11/03/16 01:00:00 PM,52.903,,,,,
74,11/03/16 01:15:00 PM,53.166,,,,,
75,11/03/16 01:30:00 PM,53.427,,,,,
76,11/03/16 01:45:00 PM,53.690,,,,,
77,11/03/16 02:00:00 PM,53.908,,,,,
78,11/03/16 02:15:00 PM,54.126,,,,,
79,11/03/16 02:30:00 PM,54.300,,,,,
80,11/03/16 02:45:00 PM,54.430,,,,,
81,11/03/16 03:00:00 PM,54.561,,,,,
82,11/03/16 03:15:00 PM,54.648,,,,,
83,11/03/16 03:30:00 PM,54.691,,,,,
84,11/03/16 03:45:00 PM,54.734,,,,,
85,11/03/16 04:00:00 PM,54.691,,,,,
86,11/03/16 04:15:00 PM,54.648,,,,,
87,11/03/16 04:30:00 PM,54.561,,,,,
88,11/03/16 04:45:00 PM,54.473,,,,,
89,11/03/16 05:00:00 PM,54.387,,,,,
90,11/03/16 05:15:00 PM,54.300,,,,,
91,11/03/16 05:30:00 PM,54.212,,,,,
92,11/03/16 05:45:00 PM,54.126,,,,,
93,11/03/16 06:00:00 PM,53.994,,,,,
94,11/03/16 06:15:00 PM,53.908,,,,,
95,11/03/16 06:30:00 PM,53.820,,,,,
96,11/03/16 06:45:00 PM,53.733,,,,,
97,11/03/16 07:00:00 PM,53.645,,,,,
98,11/03/16 07:15:00 PM,53.602,,,,,
99,11/03/16 07:30:00 PM,53.559,,,,,
100,11/03/16 07:45:00 PM,53.515,,,,,
101,11/03/16 08:00:00 PM,53.472,,,,,
102,11/03/16 08:15:00 PM,53.427,,,,,
103,11/03/16 08:30:00 PM,53.384,,,,,
104,11/03/16 08:45:00 PM,53.298,,,,,
105,11/03/16 09:00:00 PM,53.298,,,,,
106,11/03/16 09:15:00 PM,53.209,,,,,
107,11/03/16 09:30:00 PM,53.166,,,,,
108,11/03/16 09:45:00 PM,53.121,,,,,
109,11/03/16 10:00:00 PM,53.078,,,,,
110,11/03/16 10:15:00 PM,53.035,,,,,
111,11/03/16 10:30:00 PM,52.947,,,,,
112,11/03/16 10:45:00 PM,52.903,,,,,
113,11/03/16 11:00:00 PM,52.817,,,,,
114,11/03/16 11:15:00 PM,52.729,,,,,
115,11/03/16 11:30:00 PM,52.686,,,,,
116,11/03/16 11:45:00 PM,52.597,,,,,
117,11/04/16 12:00:00 AM,52.509,,,,,
118,11/04/16 12:15:00 AM,52.423,,,,,
119,11/04/16 12:30:00 AM,52.335,,,,,
120,11/04/16 12:45:00 AM,52.246,,,,,
121,11/04/16 01:00:00 AM,52.160,,,,,
122,11/04/16 01:15:00 AM,52.072,,,,,
123,11/04/16 01:30:00 AM,51.984,,,,,
124,11/04/16 01:45:00 AM,51.895,,,,,
125,11/04/16 02:00:00 AM,51.809,,,,,
126,11/04/16 02:15:00 AM,51.721,,,,,
127,11/04/16 02:30:00 AM,51.678,,,,,
128,11/04/16 02:45:00 AM,51.589,,,,,
129,11/04/16 03:00:00 AM,51.458,,,,,
130,11/04/16 03:15:00 AM,51.370,,,,,
131,11/04/16 03:30:00 AM,51.282,,,,,
132,11/04/16 03:45:00 AM,51.193,,,,,
133,11/04/16 04:00:00 AM,51.105,,,,,
134,11/04/16 04:15:00 AM,51.017,,,,,
135,11/04/16 04:30:00 AM,50.929,,,,,
136,11/04/16 04:45:00 AM,50.886,,,,,
137,11/04/16 05:00:00 AM,50.797,,,,,
138,11/04/16 05:15:00 AM,50.709,,,,,
