"Plot Title: Long Pine #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719032, SEN S/N: 10719032)","Coupler Detached (LGR S/N: 10719032)","Coupler Attached (LGR S/N: 10719032)","Host Connected (LGR S/N: 10719032)","Stopped (LGR S/N: 10719032)","End Of File (LGR S/N: 10719032)"
1,06/14/16 09:00:00 PM,67.285,Logged,,,,
2,06/14/16 09:15:00 PM,67.199,,,,,
3,06/14/16 09:30:00 PM,67.114,,,,,
4,06/14/16 09:45:00 PM,66.985,,,,,
5,06/14/16 10:00:00 PM,66.814,,,,,
6,06/14/16 10:15:00 PM,66.643,,,,,
7,06/14/16 10:30:00 PM,66.429,,,,,
8,06/14/16 10:45:00 PM,66.258,,,,,
9,06/14/16 11:00:00 PM,66.130,,,,,
10,06/14/16 11:15:00 PM,65.959,,,,,
11,06/14/16 11:30:00 PM,65.788,,,,,
12,06/14/16 11:45:00 PM,65.615,,,,,
13,06/15/16 12:00:00 AM,65.444,,,,,
14,06/15/16 12:15:00 AM,65.188,,,,,
15,06/15/16 12:30:00 AM,64.974,,,,,
16,06/15/16 12:45:00 AM,64.760,,,,,
17,06/15/16 01:00:00 AM,64.589,,,,,
18,06/15/16 01:15:00 AM,64.418,,,,,
19,06/15/16 01:30:00 AM,64.204,,,,,
20,06/15/16 01:45:00 AM,63.990,,,,,
21,06/15/16 02:00:00 AM,63.775,,,,,
22,06/15/16 02:15:00 AM,63.561,,,,,
23,06/15/16 02:30:00 AM,63.390,,,,,
24,06/15/16 02:45:00 AM,63.219,,,,,
25,06/15/16 03:00:00 AM,63.048,,,,,
26,06/15/16 03:15:00 AM,62.875,,,,,
27,06/15/16 03:30:00 AM,62.704,,,,,
28,06/15/16 03:45:00 AM,62.533,,,,,
29,06/15/16 04:00:00 AM,62.362,,,,,
30,06/15/16 04:15:00 AM,62.191,,,,,
31,06/15/16 04:30:00 AM,62.019,,,,,
32,06/15/16 04:45:00 AM,61.891,,,,,
33,06/15/16 05:00:00 AM,61.720,,,,,
34,06/15/16 05:15:00 AM,61.547,,,,,
35,06/15/16 05:30:00 AM,61.419,,,,,
36,06/15/16 05:45:00 AM,61.290,,,,,
37,06/15/16 06:00:00 AM,61.205,,,,,
38,06/15/16 06:15:00 AM,61.075,,,,,
39,06/15/16 06:30:00 AM,60.991,,,,,
40,06/15/16 06:45:00 AM,60.948,,,,,
41,06/15/16 07:00:00 AM,60.861,,,,,
42,06/15/16 07:15:00 AM,60.775,,,,,
43,06/15/16 07:30:00 AM,60.733,,,,,
44,06/15/16 07:45:00 AM,60.690,,,,,
45,06/15/16 08:00:00 AM,60.647,,,,,
46,06/15/16 08:15:00 AM,60.647,,,,,
47,06/15/16 08:30:00 AM,60.604,,,,,
48,06/15/16 08:45:00 AM,60.647,,,,,
49,06/15/16 09:00:00 AM,60.690,,,,,
50,06/15/16 09:15:00 AM,60.775,,,,,
51,06/15/16 09:30:00 AM,60.818,,,,,
52,06/15/16 09:45:00 AM,60.904,,,,,
53,06/15/16 10:00:00 AM,61.075,,,,,
54,06/15/16 10:15:00 AM,61.205,,,,,
55,06/15/16 10:30:00 AM,61.419,,,,,
56,06/15/16 10:45:00 AM,61.677,,,,,
57,06/15/16 11:00:00 AM,61.934,,,,,
58,06/15/16 11:15:00 AM,62.191,,,,,
59,06/15/16 11:30:00 AM,62.490,,,,,
60,06/15/16 11:45:00 AM,62.834,,,,,
61,06/15/16 12:00:00 PM,63.219,,,,,
62,06/15/16 12:15:00 PM,63.648,,,,,
63,06/15/16 12:30:00 PM,64.033,,,,,
64,06/15/16 12:45:00 PM,64.503,,,,,
65,06/15/16 01:00:00 PM,64.931,,,,,
66,06/15/16 01:15:00 PM,65.403,,,,,
67,06/15/16 01:30:00 PM,65.872,,,,,
68,06/15/16 01:45:00 PM,66.344,,,,,
69,06/15/16 02:00:00 PM,66.772,,,,,
70,06/15/16 02:15:00 PM,67.242,,,,,
71,06/15/16 02:30:00 PM,67.671,,,,,
72,06/15/16 02:45:00 PM,68.099,,,,,
73,06/15/16 03:00:00 PM,68.484,,,,,
74,06/15/16 03:15:00 PM,68.871,,,,,
75,06/15/16 03:30:00 PM,69.213,,,,,
76,06/15/16 03:45:00 PM,69.514,,,,,
77,06/15/16 04:00:00 PM,69.771,,,,,
78,06/15/16 04:15:00 PM,69.985,,,,,
79,06/15/16 04:30:00 PM,70.201,,,,,
80,06/15/16 04:45:00 PM,70.329,,,,,
81,06/15/16 05:00:00 PM,70.459,,,,,
82,06/15/16 05:15:00 PM,70.502,,,,,
83,06/15/16 05:30:00 PM,70.502,,,,,
84,06/15/16 05:45:00 PM,70.459,,,,,
85,06/15/16 06:00:00 PM,70.372,,,,,
86,06/15/16 06:15:00 PM,70.286,,,,,
87,06/15/16 06:30:00 PM,70.201,,,,,
88,06/15/16 06:45:00 PM,70.115,,,,,
