"Plot Title: Long Pine 3 (SRA)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719033, SEN S/N: 10719033)","Coupler Detached (LGR S/N: 10719033)","Coupler Attached (LGR S/N: 10719033)","Host Connected (LGR S/N: 10719033)","Stopped (LGR S/N: 10719033)","End Of File (LGR S/N: 10719033)"
1,06/02/17 08:00:00 AM,56.815,Logged,,,,
2,06/02/17 08:15:00 AM,56.858,,,,,
3,06/02/17 08:30:00 AM,56.944,,,,,
4,06/02/17 08:45:00 AM,57.031,,,,,
5,06/02/17 09:00:00 AM,57.204,,,,,
6,06/02/17 09:15:00 AM,57.420,,,,,
7,06/02/17 09:30:00 AM,57.636,,,,,
8,06/02/17 09:45:00 AM,57.850,,,,,
9,06/02/17 10:00:00 AM,58.109,,,,,
10,06/02/17 10:15:00 AM,58.368,,,,,
11,06/02/17 10:30:00 AM,58.669,,,,,
12,06/02/17 10:45:00 AM,59.014,,,,,
13,06/02/17 11:00:00 AM,59.315,,,,,
14,06/02/17 11:15:00 AM,59.616,,,,,
15,06/02/17 11:30:00 AM,59.959,,,,,
16,06/02/17 11:45:00 AM,60.346,,,,,
17,06/02/17 12:00:00 PM,60.690,,,,,
18,06/02/17 12:15:00 PM,61.075,,,,,
19,06/02/17 12:30:00 PM,61.506,,,,,
20,06/02/17 12:45:00 PM,61.891,,,,,
21,06/02/17 01:00:00 PM,62.319,,,,,
22,06/02/17 01:15:00 PM,62.704,,,,,
23,06/02/17 01:30:00 PM,63.133,,,,,
24,06/02/17 01:45:00 PM,63.518,,,,,
25,06/02/17 02:00:00 PM,63.903,,,,,
26,06/02/17 02:15:00 PM,64.247,,,,,
27,06/02/17 02:30:00 PM,64.589,,,,,
28,06/02/17 02:45:00 PM,64.931,,,,,
29,06/02/17 03:00:00 PM,65.273,,,,,
30,06/02/17 03:15:00 PM,65.487,,,,,
31,06/02/17 03:30:00 PM,65.745,,,,,
32,06/02/17 03:45:00 PM,65.959,,,,,
33,06/02/17 04:00:00 PM,66.130,,,,,
34,06/02/17 04:15:00 PM,66.301,,,,,
35,06/02/17 04:30:00 PM,66.385,,,,,
36,06/02/17 04:45:00 PM,66.472,,,,,
37,06/02/17 05:00:00 PM,66.472,,,,,
38,06/02/17 05:15:00 PM,66.429,,,,,
39,06/02/17 05:30:00 PM,66.344,,,,,
40,06/02/17 05:45:00 PM,66.214,,,,,
41,06/02/17 06:00:00 PM,66.043,,,,,
42,06/02/17 06:15:00 PM,65.872,,,,,
43,06/02/17 06:30:00 PM,65.658,,,,,
44,06/02/17 06:45:00 PM,65.403,,,,,
45,06/02/17 07:00:00 PM,65.188,,,,,
46,06/02/17 07:15:00 PM,64.888,,,,,
47,06/02/17 07:30:00 PM,64.632,,,,,
48,06/02/17 07:45:00 PM,64.375,,,,,
49,06/02/17 08:00:00 PM,64.117,,,,,
50,06/02/17 08:15:00 PM,63.903,,,,,
51,06/02/17 08:30:00 PM,63.732,,,,,
52,06/02/17 08:45:00 PM,63.518,,,,,
53,06/02/17 09:00:00 PM,63.304,,,,,
54,06/02/17 09:15:00 PM,63.133,,,,,
55,06/02/17 09:30:00 PM,62.962,,,,,
56,06/02/17 09:45:00 PM,62.748,,,,,
57,06/02/17 10:00:00 PM,62.620,,,,,
58,06/02/17 10:15:00 PM,62.447,,,,,
59,06/02/17 10:30:00 PM,62.319,,,,,
60,06/02/17 10:45:00 PM,62.191,,,,,
61,06/02/17 11:00:00 PM,62.019,,,,,
62,06/02/17 11:15:00 PM,61.891,,,,,
63,06/02/17 11:30:00 PM,61.761,,,,,
64,06/02/17 11:45:00 PM,61.590,,,,,
65,06/03/17 12:00:00 AM,61.376,,,,,
66,06/03/17 12:15:00 AM,61.205,,,,,
67,06/03/17 12:30:00 AM,61.032,,,,,
68,06/03/17 12:45:00 AM,60.904,,,,,
69,06/03/17 01:00:00 AM,60.775,,,,,
70,06/03/17 01:15:00 AM,60.604,,,,,
71,06/03/17 01:30:00 AM,60.433,,,,,
72,06/03/17 01:45:00 AM,60.217,,,,,
73,06/03/17 02:00:00 AM,60.046,,,,,
74,06/03/17 02:15:00 AM,59.873,,,,,
75,06/03/17 02:30:00 AM,59.659,,,,,
76,06/03/17 02:45:00 AM,59.486,,,,,
77,06/03/17 03:00:00 AM,59.272,,,,,
78,06/03/17 03:15:00 AM,59.099,,,,,
79,06/03/17 03:30:00 AM,58.885,,,,,
80,06/03/17 03:45:00 AM,58.669,,,,,
81,06/03/17 04:00:00 AM,58.455,,,,,
82,06/03/17 04:15:00 AM,58.325,,,,,
83,06/03/17 04:30:00 AM,58.152,,,,,
84,06/03/17 04:45:00 AM,57.936,,,,,
85,06/03/17 05:00:00 AM,57.765,,,,,
86,06/03/17 05:15:00 AM,57.592,,,,,
87,06/03/17 05:30:00 AM,57.420,,,,,
88,06/03/17 05:45:00 AM,57.247,,,,,
89,06/03/17 06:00:00 AM,57.074,,,,,
90,06/03/17 06:15:00 AM,56.944,,,,,
91,06/03/17 06:30:00 AM,56.815,,,,,
92,06/03/17 06:45:00 AM,56.685,,,,,
93,06/03/17 07:00:00 AM,56.599,,,,,
94,06/03/17 07:15:00 AM,56.556,,,,,
95,06/03/17 07:30:00 AM,56.556,,,,,
96,06/03/17 07:45:00 AM,56.556,,,,,
97,06/03/17 08:00:00 AM,56.556,,,,,
98,06/03/17 08:15:00 AM,56.556,,,,,
99,06/03/17 08:30:00 AM,56.599,,,,,
100,06/03/17 08:45:00 AM,56.599,,,,,
101,06/03/17 09:00:00 AM,56.685,,,,,
102,06/03/17 09:15:00 AM,56.772,,,,,
103,06/03/17 09:30:00 AM,56.901,,,,,
104,06/03/17 09:45:00 AM,56.944,,,,,
105,06/03/17 10:00:00 AM,57.074,,,,,
106,06/03/17 10:15:00 AM,57.247,,,,,
107,06/03/17 10:30:00 AM,57.420,,,,,
108,06/03/17 10:45:00 AM,57.592,,,,,
109,06/03/17 11:00:00 AM,57.722,,,,,
110,06/03/17 11:15:00 AM,57.936,,,,,
111,06/03/17 11:30:00 AM,58.195,,,,,
112,06/03/17 11:45:00 AM,58.498,,,,,
113,06/03/17 12:00:00 PM,58.755,,,,,
114,06/03/17 12:15:00 PM,58.971,,,,,
115,06/03/17 12:30:00 PM,59.142,,,,,
116,06/03/17 12:45:00 PM,59.358,,,,,
117,06/03/17 01:00:00 PM,59.529,,,,,
118,06/03/17 01:15:00 PM,59.616,,,,,
119,06/03/17 01:30:00 PM,59.702,,,,,
120,06/03/17 01:45:00 PM,59.873,,,,,
121,06/03/17 02:00:00 PM,60.046,,,,,
122,06/03/17 02:15:00 PM,60.217,,,,,
123,06/03/17 02:30:00 PM,60.303,,,,,
124,06/03/17 02:45:00 PM,60.517,,,,,
125,06/03/17 03:00:00 PM,60.775,,,,,
126,06/03/17 03:15:00 PM,60.991,,,,,
127,06/03/17 03:30:00 PM,61.248,,,,,
128,06/03/17 03:45:00 PM,61.462,,,,,
129,06/03/17 04:00:00 PM,61.633,,,,,
130,06/03/17 04:15:00 PM,61.761,,,,,
131,06/03/17 04:30:00 PM,61.934,,,,,
132,06/03/17 04:45:00 PM,62.191,,,,,
133,06/03/17 05:00:00 PM,62.319,,,,,
134,06/03/17 05:15:00 PM,62.276,,,,,
135,06/03/17 05:30:00 PM,62.191,,,,,
136,06/03/17 05:45:00 PM,62.148,,,,,
137,06/03/17 06:00:00 PM,62.191,,,,,
138,06/03/17 06:15:00 PM,62.276,,,,,
139,06/03/17 06:30:00 PM,62.276,,,,,
140,06/03/17 06:45:00 PM,62.233,,,,,
141,06/03/17 07:00:00 PM,62.105,,,,,
