"Plot Title: South Branch Middle Loop"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719010, SEN S/N: 10719010)","Coupler Detached (LGR S/N: 10719010)","Coupler Attached (LGR S/N: 10719010)","Host Connected (LGR S/N: 10719010)","Stopped (LGR S/N: 10719010)","End Of File (LGR S/N: 10719010)"
1,07/11/17 12:00:00 AM,66.344,Logged,,,,
2,07/11/17 12:15:00 AM,66.173,,,,,
3,07/11/17 12:30:00 AM,66.043,,,,,
4,07/11/17 12:45:00 AM,65.745,,,,,
5,07/11/17 01:00:00 AM,65.530,,,,,
6,07/11/17 01:15:00 AM,65.273,,,,,
7,07/11/17 01:30:00 AM,65.017,,,,,
8,07/11/17 01:45:00 AM,64.760,,,,,
9,07/11/17 02:00:00 AM,64.546,,,,,
10,07/11/17 02:15:00 AM,64.247,,,,,
11,07/11/17 02:30:00 AM,64.074,,,,,
12,07/11/17 02:45:00 AM,63.732,,,,,
13,07/11/17 03:00:00 AM,63.518,,,,,
14,07/11/17 03:15:00 AM,63.475,,,,,
15,07/11/17 03:30:00 AM,63.390,,,,,
16,07/11/17 03:45:00 AM,63.262,,,,,
17,07/11/17 04:00:00 AM,63.262,,,,,
18,07/11/17 04:15:00 AM,63.048,,,,,
19,07/11/17 04:30:00 AM,62.962,,,,,
20,07/11/17 04:45:00 AM,62.919,,,,,
21,07/11/17 05:00:00 AM,62.791,,,,,
22,07/11/17 05:15:00 AM,62.661,,,,,
23,07/11/17 05:30:00 AM,62.661,,,,,
24,07/11/17 05:45:00 AM,62.661,,,,,
25,07/11/17 06:00:00 AM,62.447,,,,,
26,07/11/17 06:15:00 AM,62.362,,,,,
27,07/11/17 06:30:00 AM,62.406,,,,,
28,07/11/17 06:45:00 AM,62.447,,,,,
29,07/11/17 07:00:00 AM,62.490,,,,,
30,07/11/17 07:15:00 AM,62.577,,,,,
31,07/11/17 07:30:00 AM,62.834,,,,,
32,07/11/17 07:45:00 AM,63.133,,,,,
33,07/11/17 08:00:00 AM,63.475,,,,,
34,07/11/17 08:15:00 AM,63.903,,,,,
35,07/11/17 08:30:00 AM,64.674,,,,,
36,07/11/17 08:45:00 AM,65.273,,,,,
37,07/11/17 09:00:00 AM,66.087,,,,,
38,07/11/17 09:15:00 AM,66.600,,,,,
39,07/11/17 09:30:00 AM,67.114,,,,,
40,07/11/17 09:45:00 AM,68.185,,,,,
41,07/11/17 10:00:00 AM,69.170,,,,,
42,07/11/17 10:15:00 AM,70.158,,,,,
43,07/11/17 10:30:00 AM,71.103,,,,,
44,07/11/17 10:45:00 AM,72.093,,,,,
45,07/11/17 11:00:00 AM,73.256,,,,,
46,07/11/17 11:15:00 AM,74.206,,,,,
47,07/11/17 11:30:00 AM,75.333,,,,,
48,07/11/17 11:45:00 AM,76.464,,,,,
49,07/11/17 12:00:00 PM,76.811,,,,,
50,07/11/17 12:15:00 PM,77.247,,,,,
51,07/11/17 12:30:00 PM,77.509,,,,,
52,07/11/17 12:45:00 PM,78.296,,,,,
53,07/11/17 01:00:00 PM,79.435,,,,,
54,07/11/17 01:15:00 PM,80.227,,,,,
55,07/11/17 01:30:00 PM,80.227,,,,,
56,07/11/17 01:45:00 PM,80.890,,,,,
57,07/11/17 02:00:00 PM,81.687,,,,,
58,07/11/17 02:15:00 PM,82.263,,,,,
59,07/11/17 02:30:00 PM,82.798,,,,,
60,07/11/17 02:45:00 PM,83.242,,,,,
61,07/11/17 03:00:00 PM,83.511,,,,,
62,07/11/17 03:15:00 PM,83.691,,,,,
63,07/11/17 03:30:00 PM,83.779,,,,,
64,07/11/17 03:45:00 PM,83.779,,,,,
65,07/11/17 04:00:00 PM,83.824,,,,,
66,07/11/17 04:15:00 PM,83.646,,,,,
67,07/11/17 04:30:00 PM,83.467,,,,,
68,07/11/17 04:45:00 PM,83.021,,,,,
69,07/11/17 05:00:00 PM,82.620,,,,,
70,07/11/17 05:15:00 PM,82.218,,,,,
71,07/11/17 05:30:00 PM,81.642,,,,,
72,07/11/17 05:45:00 PM,81.066,,,,,
73,07/11/17 06:00:00 PM,80.361,,,,,
74,07/11/17 06:15:00 PM,79.700,,,,,
75,07/11/17 06:30:00 PM,78.996,,,,,
76,07/11/17 06:45:00 PM,78.251,,,,,
77,07/11/17 07:00:00 PM,77.553,,,,,
78,07/11/17 07:15:00 PM,76.942,,,,,
79,07/11/17 07:30:00 PM,76.332,,,,,
80,07/11/17 07:45:00 PM,75.767,,,,,
81,07/11/17 08:00:00 PM,75.160,,,,,
82,07/11/17 08:15:00 PM,74.554,,,,,
83,07/11/17 08:30:00 PM,73.947,,,,,
84,07/11/17 08:45:00 PM,73.386,,,,,
85,07/11/17 09:00:00 PM,72.826,,,,,
86,07/11/17 09:15:00 PM,72.264,,,,,
87,07/11/17 09:30:00 PM,71.748,,,,,
88,07/11/17 09:45:00 PM,71.231,,,,,
89,07/11/17 10:00:00 PM,70.759,,,,,
90,07/11/17 10:15:00 PM,70.329,,,,,
91,07/11/17 10:30:00 PM,69.942,,,,,
92,07/11/17 10:45:00 PM,69.557,,,,,
93,07/11/17 11:00:00 PM,69.213,,,,,
94,07/11/17 11:15:00 PM,68.999,,,,,
95,07/11/17 11:30:00 PM,68.785,,,,,
96,07/11/17 11:45:00 PM,68.571,,,,,
97,07/12/17 12:00:00 AM,68.356,,,,,
98,07/12/17 12:15:00 AM,68.227,,,,,
99,07/12/17 12:30:00 AM,68.099,,,,,
100,07/12/17 12:45:00 AM,67.842,,,,,
101,07/12/17 01:00:00 AM,67.714,,,,,
102,07/12/17 01:15:00 AM,67.627,,,,,
103,07/12/17 01:30:00 AM,67.456,,,,,
104,07/12/17 01:45:00 AM,67.285,,,,,
105,07/12/17 02:00:00 AM,67.071,,,,,
106,07/12/17 02:15:00 AM,66.943,,,,,
107,07/12/17 02:30:00 AM,66.600,,,,,
108,07/12/17 02:45:00 AM,66.258,,,,,
109,07/12/17 03:00:00 AM,66.043,,,,,
110,07/12/17 03:15:00 AM,65.829,,,,,
111,07/12/17 03:30:00 AM,65.658,,,,,
112,07/12/17 03:45:00 AM,65.403,,,,,
113,07/12/17 04:00:00 AM,65.273,,,,,
114,07/12/17 04:15:00 AM,64.974,,,,,
115,07/12/17 04:30:00 AM,64.888,,,,,
116,07/12/17 04:45:00 AM,64.589,,,,,
117,07/12/17 05:00:00 AM,64.459,,,,,
118,07/12/17 05:15:00 AM,64.288,,,,,
119,07/12/17 05:30:00 AM,64.074,,,,,
120,07/12/17 05:45:00 AM,63.819,,,,,
121,07/12/17 06:00:00 AM,63.732,,,,,
122,07/12/17 06:15:00 AM,63.604,,,,,
123,07/12/17 06:30:00 AM,63.518,,,,,
124,07/12/17 06:45:00 AM,63.475,,,,,
125,07/12/17 07:00:00 AM,63.390,,,,,
126,07/12/17 07:15:00 AM,63.347,,,,,
127,07/12/17 07:30:00 AM,63.304,,,,,
128,07/12/17 07:45:00 AM,63.347,,,,,
129,07/12/17 08:00:00 AM,63.390,,,,,
130,07/12/17 08:15:00 AM,63.433,,,,,
131,07/12/17 08:30:00 AM,63.518,,,,,
132,07/12/17 08:45:00 AM,63.518,,,,,
133,07/12/17 09:00:00 AM,63.689,,,,,
134,07/12/17 09:15:00 AM,63.990,,,,,
135,07/12/17 09:30:00 AM,64.247,,,,,
136,07/12/17 09:45:00 AM,64.418,,,,,
137,07/12/17 10:00:00 AM,64.503,,,,,
138,07/12/17 10:15:00 AM,64.717,,,,,
139,07/12/17 10:30:00 AM,65.017,,,,,
140,07/12/17 10:45:00 AM,65.487,,,,,
141,07/12/17 11:00:00 AM,65.745,,,,,
142,07/12/17 11:15:00 AM,66.043,,,,,
143,07/12/17 11:30:00 AM,66.344,,,,,
144,07/12/17 11:45:00 AM,66.600,,,,,
145,07/12/17 12:00:00 PM,66.686,,,,,
146,07/12/17 12:15:00 PM,66.686,,,,,
147,07/12/17 12:30:00 PM,66.814,,,,,
148,07/12/17 12:45:00 PM,67.028,,,,,
149,07/12/17 01:00:00 PM,67.329,,,,,
150,07/12/17 01:15:00 PM,67.456,,,,,
151,07/12/17 01:30:00 PM,67.671,,,,,
152,07/12/17 01:45:00 PM,67.842,,,,,
153,07/12/17 02:00:00 PM,68.013,,,,,
154,07/12/17 02:15:00 PM,68.185,,,,,
155,07/12/17 02:30:00 PM,68.313,,,,,
156,07/12/17 02:45:00 PM,68.313,,,,,
157,07/12/17 03:00:00 PM,68.313,,,,,
158,07/12/17 03:15:00 PM,68.356,,,,,
159,07/12/17 03:30:00 PM,68.356,,,,,
160,07/12/17 03:45:00 PM,68.484,,,,,
161,07/12/17 04:00:00 PM,68.484,,,,,
162,07/12/17 04:15:00 PM,68.313,,,,,
163,07/12/17 04:30:00 PM,68.099,,,,,
164,07/12/17 04:45:00 PM,67.842,,,,,
165,07/12/17 05:00:00 PM,67.671,,,,,
166,07/12/17 05:15:00 PM,67.714,,,,,
167,07/12/17 05:30:00 PM,67.757,,,,,
168,07/12/17 05:45:00 PM,67.798,,,,,
169,07/12/17 06:00:00 PM,67.798,,,,,
170,07/12/17 06:15:00 PM,67.798,,,,,
171,07/12/17 06:30:00 PM,67.586,,,,,
172,07/12/17 06:45:00 PM,67.500,,,,,
173,07/12/17 07:00:00 PM,67.372,,,,,
174,07/12/17 07:15:00 PM,67.199,,,,,
