"Plot Title: Middle Loop Middle Branch"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719015, SEN S/N: 10719015)","Coupler Detached (LGR S/N: 10719015)","Coupler Attached (LGR S/N: 10719015)","Host Connected (LGR S/N: 10719015)","Stopped (LGR S/N: 10719015)","End Of File (LGR S/N: 10719015)"
1,06/17/16 12:00:00 AM,65.530,Logged,,,,
2,06/17/16 12:15:00 AM,65.359,,,,,
3,06/17/16 12:30:00 AM,65.230,,,,,
4,06/17/16 12:45:00 AM,65.102,,,,,
5,06/17/16 01:00:00 AM,65.359,,,,,
6,06/17/16 01:15:00 AM,65.230,,,,,
7,06/17/16 01:30:00 AM,64.931,,,,,
8,06/17/16 01:45:00 AM,64.845,,,,,
9,06/17/16 02:00:00 AM,64.288,,,,,
10,06/17/16 02:15:00 AM,64.589,,,,,
11,06/17/16 02:30:00 AM,64.546,,,,,
12,06/17/16 02:45:00 AM,64.161,,,,,
13,06/17/16 03:00:00 AM,63.903,,,,,
14,06/17/16 03:15:00 AM,63.819,,,,,
15,06/17/16 03:30:00 AM,63.433,,,,,
16,06/17/16 03:45:00 AM,63.176,,,,,
17,06/17/16 04:00:00 AM,63.090,,,,,
18,06/17/16 04:15:00 AM,62.875,,,,,
19,06/17/16 04:30:00 AM,62.791,,,,,
20,06/17/16 04:45:00 AM,62.620,,,,,
21,06/17/16 05:00:00 AM,62.447,,,,,
22,06/17/16 05:15:00 AM,62.319,,,,,
23,06/17/16 05:30:00 AM,62.191,,,,,
24,06/17/16 05:45:00 AM,62.191,,,,,
25,06/17/16 06:00:00 AM,62.062,,,,,
26,06/17/16 06:15:00 AM,61.934,,,,,
27,06/17/16 06:30:00 AM,61.848,,,,,
28,06/17/16 06:45:00 AM,61.761,,,,,
29,06/17/16 07:00:00 AM,61.761,,,,,
30,06/17/16 07:15:00 AM,61.761,,,,,
31,06/17/16 07:30:00 AM,61.848,,,,,
32,06/17/16 07:45:00 AM,61.934,,,,,
33,06/17/16 08:00:00 AM,62.062,,,,,
34,06/17/16 08:15:00 AM,62.191,,,,,
35,06/17/16 08:30:00 AM,62.362,,,,,
36,06/17/16 08:45:00 AM,62.490,,,,,
37,06/17/16 09:00:00 AM,62.704,,,,,
38,06/17/16 09:15:00 AM,62.962,,,,,
39,06/17/16 09:30:00 AM,63.262,,,,,
40,06/17/16 09:45:00 AM,63.561,,,,,
41,06/17/16 10:00:00 AM,64.760,,,,,
42,06/17/16 10:15:00 AM,64.332,,,,,
43,06/17/16 10:30:00 AM,64.503,,,,,
44,06/17/16 10:45:00 AM,64.931,,,,,
45,06/17/16 11:00:00 AM,65.359,,,,,
46,06/17/16 11:15:00 AM,65.444,,,,,
47,06/17/16 11:30:00 AM,66.301,,,,,
48,06/17/16 11:45:00 AM,66.772,,,,,
49,06/17/16 12:00:00 PM,68.484,,,,,
50,06/17/16 12:15:00 PM,69.557,,,,,
51,06/17/16 12:30:00 PM,70.930,,,,,
52,06/17/16 12:45:00 PM,71.877,,,,,
53,06/17/16 01:00:00 PM,72.480,,,,,
54,06/17/16 01:15:00 PM,72.997,,,,,
55,06/17/16 01:30:00 PM,73.472,,,,,
56,06/17/16 01:45:00 PM,73.990,,,,,
57,06/17/16 02:00:00 PM,74.640,,,,,
58,06/17/16 02:15:00 PM,75.160,,,,,
59,06/17/16 02:30:00 PM,75.637,,,,,
60,06/17/16 02:45:00 PM,76.028,,,,,
61,06/17/16 03:00:00 PM,76.332,,,,,
62,06/17/16 03:15:00 PM,76.507,,,,,
63,06/17/16 03:30:00 PM,76.636,,,,,
64,06/17/16 03:45:00 PM,76.725,,,,,
65,06/17/16 04:00:00 PM,76.725,,,,,
66,06/17/16 04:15:00 PM,76.681,,,,,
67,06/17/16 04:30:00 PM,76.507,,,,,
68,06/17/16 04:45:00 PM,76.375,,,,,
69,06/17/16 05:00:00 PM,76.246,,,,,
70,06/17/16 05:15:00 PM,76.028,,,,,
71,06/17/16 05:30:00 PM,75.767,,,,,
72,06/17/16 05:45:00 PM,75.463,,,,,
73,06/17/16 06:00:00 PM,75.074,,,,,
74,06/17/16 06:15:00 PM,74.640,,,,,
75,06/17/16 06:30:00 PM,74.295,,,,,
76,06/17/16 06:45:00 PM,73.904,,,,,
77,06/17/16 07:00:00 PM,73.558,,,,,
78,06/17/16 07:15:00 PM,73.126,,,,,
79,06/17/16 07:30:00 PM,72.739,,,,,
80,06/17/16 07:45:00 PM,72.394,,,,,
81,06/17/16 08:00:00 PM,72.093,,,,,
82,06/17/16 08:15:00 PM,71.748,,,,,
83,06/17/16 08:30:00 PM,71.447,,,,,
84,06/17/16 08:45:00 PM,71.103,,,,,
85,06/17/16 09:00:00 PM,70.846,,,,,
86,06/17/16 09:15:00 PM,70.372,,,,,
87,06/17/16 09:30:00 PM,69.814,,,,,
88,06/17/16 09:45:00 PM,69.256,,,,,
89,06/17/16 10:00:00 PM,68.785,,,,,
90,06/17/16 10:15:00 PM,68.270,,,,,
91,06/17/16 10:30:00 PM,67.798,,,,,
92,06/17/16 10:45:00 PM,67.285,,,,,
93,06/17/16 11:00:00 PM,66.130,,,,,
94,06/17/16 11:15:00 PM,65.530,,,,,
95,06/17/16 11:30:00 PM,65.230,,,,,
96,06/17/16 11:45:00 PM,64.589,,,,,
97,06/18/16 12:00:00 AM,64.161,,,,,
98,06/18/16 12:15:00 AM,63.990,,,,,
