"Plot Title: Minnechaduza 1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739504, SEN S/N: 10739504)","Coupler Detached (LGR S/N: 10739504)","End Of File (LGR S/N: 10739504)"
1,06/21/16 12:00:00 PM,72.394,Logged,
2,06/21/16 12:15:00 PM,73.083,,
3,06/21/16 12:30:00 PM,73.774,,
4,06/21/16 12:45:00 PM,74.467,,
5,06/21/16 01:00:00 PM,75.074,,
6,06/21/16 01:15:00 PM,75.724,,
7,06/21/16 01:30:00 PM,76.289,,
8,06/21/16 01:45:00 PM,76.811,,
9,06/21/16 02:00:00 PM,77.378,,
10,06/21/16 02:15:00 PM,77.902,,
11,06/21/16 02:30:00 PM,78.427,,
12,06/21/16 02:45:00 PM,78.953,,
13,06/21/16 03:00:00 PM,79.392,,
14,06/21/16 03:15:00 PM,79.876,,
15,06/21/16 03:30:00 PM,80.272,,
16,06/21/16 03:45:00 PM,80.668,,
17,06/21/16 04:00:00 PM,81.023,,
18,06/21/16 04:15:00 PM,81.333,,
19,06/21/16 04:30:00 PM,81.642,,
20,06/21/16 04:45:00 PM,81.909,,
21,06/21/16 05:00:00 PM,82.085,,
22,06/21/16 05:15:00 PM,82.308,,
23,06/21/16 05:30:00 PM,82.486,,
24,06/21/16 05:45:00 PM,82.575,,
25,06/21/16 06:00:00 PM,82.708,,
26,06/21/16 06:15:00 PM,82.708,,
27,06/21/16 06:30:00 PM,82.708,,
28,06/21/16 06:45:00 PM,82.665,,
29,06/21/16 07:00:00 PM,82.575,,
30,06/21/16 07:15:00 PM,82.396,,
31,06/21/16 07:30:00 PM,82.263,,
32,06/21/16 07:45:00 PM,82.085,,
33,06/21/16 08:00:00 PM,81.864,,
34,06/21/16 08:15:00 PM,81.642,,
35,06/21/16 08:30:00 PM,81.421,,
36,06/21/16 08:45:00 PM,81.154,,
37,06/21/16 09:00:00 PM,80.935,,
38,06/21/16 09:15:00 PM,80.668,,
39,06/21/16 09:30:00 PM,80.404,,
40,06/21/16 09:45:00 PM,80.139,,
41,06/21/16 10:00:00 PM,79.876,,
42,06/21/16 10:15:00 PM,79.612,,
43,06/21/16 10:30:00 PM,79.347,,
44,06/21/16 10:45:00 PM,79.084,,
45,06/21/16 11:00:00 PM,78.733,,
46,06/21/16 11:15:00 PM,78.471,,
47,06/21/16 11:30:00 PM,78.165,,
48,06/21/16 11:45:00 PM,77.859,,
49,06/22/16 12:00:00 AM,77.553,,
50,06/22/16 12:15:00 AM,77.247,,
51,06/22/16 12:30:00 AM,76.942,,
52,06/22/16 12:45:00 AM,76.636,,
53,06/22/16 01:00:00 AM,76.375,,
54,06/22/16 01:15:00 AM,76.158,,
55,06/22/16 01:30:00 AM,75.898,,
56,06/22/16 01:45:00 AM,75.681,,
57,06/22/16 02:00:00 AM,75.463,,
