"Plot Title: Minnechaduza 2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739501, SEN S/N: 10739501)","Coupler Detached (LGR S/N: 10739501)","Coupler Attached (LGR S/N: 10739501)","Host Connected (LGR S/N: 10739501)","Stopped (LGR S/N: 10739501)","End Of File (LGR S/N: 10739501)"
1,06/01/17 05:00:00 PM,77.553,Logged,,,,
2,06/01/17 05:15:00 PM,77.639,,,,,
3,06/01/17 05:30:00 PM,77.684,,,,,
4,06/01/17 05:45:00 PM,77.639,,,,,
5,06/01/17 06:00:00 PM,77.553,,,,,
6,06/01/17 06:15:00 PM,77.464,,,,,
7,06/01/17 06:30:00 PM,77.247,,,,,
8,06/01/17 06:45:00 PM,77.029,,,,,
9,06/01/17 07:00:00 PM,76.768,,,,,
10,06/01/17 07:15:00 PM,76.464,,,,,
11,06/01/17 07:30:00 PM,76.158,,,,,
12,06/01/17 07:45:00 PM,75.810,,,,,
13,06/01/17 08:00:00 PM,75.420,,,,,
14,06/01/17 08:15:00 PM,74.986,,,,,
15,06/01/17 08:30:00 PM,74.597,,,,,
16,06/01/17 08:45:00 PM,74.206,,,,,
17,06/01/17 09:00:00 PM,73.818,,,,,
18,06/01/17 09:15:00 PM,73.429,,,,,
19,06/01/17 09:30:00 PM,73.083,,,,,
20,06/01/17 09:45:00 PM,72.739,,,,,
21,06/01/17 10:00:00 PM,72.351,,,,,
22,06/01/17 10:15:00 PM,72.007,,,,,
23,06/01/17 10:30:00 PM,71.661,,,,,
24,06/01/17 10:45:00 PM,71.317,,,,,
25,06/01/17 11:00:00 PM,70.974,,,,,
26,06/01/17 11:15:00 PM,70.630,,,,,
27,06/01/17 11:30:00 PM,70.286,,,,,
28,06/01/17 11:45:00 PM,69.985,,,,,
29,06/02/17 12:00:00 AM,69.685,,,,,
30,06/02/17 12:15:00 AM,69.386,,,,,
31,06/02/17 12:30:00 AM,69.085,,,,,
32,06/02/17 12:45:00 AM,68.828,,,,,
33,06/02/17 01:00:00 AM,68.571,,,,,
34,06/02/17 01:15:00 AM,68.356,,,,,
35,06/02/17 01:30:00 AM,68.142,,,,,
36,06/02/17 01:45:00 AM,67.885,,,,,
37,06/02/17 02:00:00 AM,67.671,,,,,
38,06/02/17 02:15:00 AM,67.456,,,,,
39,06/02/17 02:30:00 AM,67.199,,,,,
40,06/02/17 02:45:00 AM,66.985,,,,,
41,06/02/17 03:00:00 AM,66.772,,,,,
42,06/02/17 03:15:00 AM,66.515,,,,,
43,06/02/17 03:30:00 AM,66.301,,,,,
44,06/02/17 03:45:00 AM,66.087,,,,,
45,06/02/17 04:00:00 AM,65.872,,,,,
46,06/02/17 04:15:00 AM,65.701,,,,,
47,06/02/17 04:30:00 AM,65.487,,,,,
48,06/02/17 04:45:00 AM,65.316,,,,,
49,06/02/17 05:00:00 AM,65.145,,,,,
50,06/02/17 05:15:00 AM,64.974,,,,,
51,06/02/17 05:30:00 AM,64.803,,,,,
52,06/02/17 05:45:00 AM,64.632,,,,,
53,06/02/17 06:00:00 AM,64.459,,,,,
54,06/02/17 06:15:00 AM,64.288,,,,,
55,06/02/17 06:30:00 AM,64.117,,,,,
56,06/02/17 06:45:00 AM,63.946,,,,,
57,06/02/17 07:00:00 AM,63.819,,,,,
58,06/02/17 07:15:00 AM,63.732,,,,,
59,06/02/17 07:30:00 AM,63.689,,,,,
60,06/02/17 07:45:00 AM,63.689,,,,,
61,06/02/17 08:00:00 AM,63.732,,,,,
62,06/02/17 08:15:00 AM,63.862,,,,,
63,06/02/17 08:30:00 AM,64.033,,,,,
64,06/02/17 08:45:00 AM,64.288,,,,,
65,06/02/17 09:00:00 AM,64.589,,,,,
66,06/02/17 09:15:00 AM,64.931,,,,,
67,06/02/17 09:30:00 AM,65.359,,,,,
68,06/02/17 09:45:00 AM,65.829,,,,,
