"Plot Title: Minnechaduza 3 hatch res"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739501, SEN S/N: 10739501)","Coupler Detached (LGR S/N: 10739501)","Coupler Attached (LGR S/N: 10739501)","Stopped (LGR S/N: 10739501)","End Of File (LGR S/N: 10739501)"
1,07/17/15 07:00:00 AM,75.204,Logged,,,
2,07/17/15 08:00:00 AM,75.074,,,,
3,07/17/15 09:00:00 AM,74.986,,,,
4,07/17/15 10:00:00 AM,75.160,,,,
5,07/17/15 11:00:00 AM,76.246,,,,
6,07/17/15 12:00:00 PM,76.768,,,,
7,07/17/15 01:00:00 PM,77.553,,,,
8,07/17/15 02:00:00 PM,78.339,,,,
9,07/17/15 03:00:00 PM,79.128,,,,
10,07/17/15 04:00:00 PM,79.655,,,,
11,07/17/15 05:00:00 PM,80.184,,,,
12,07/17/15 06:00:00 PM,79.963,,,,
13,07/17/15 07:00:00 PM,79.216,,,,
14,07/17/15 08:00:00 PM,79.304,,,,
15,07/17/15 09:00:00 PM,78.865,,,,
16,07/17/15 10:00:00 PM,78.165,,,,
17,07/17/15 11:00:00 PM,77.815,,,,
18,07/18/15 12:00:00 AM,77.421,,,,
19,07/18/15 01:00:00 AM,77.117,,,,
20,07/18/15 02:00:00 AM,76.811,,,,
21,07/18/15 03:00:00 AM,76.550,,,,
22,07/18/15 04:00:00 AM,76.289,,,,
23,07/18/15 05:00:00 AM,75.985,,,,
24,07/18/15 06:00:00 AM,75.681,,,,
25,07/18/15 07:00:00 AM,75.333,,,,
26,07/18/15 08:00:00 AM,75.117,,,,
27,07/18/15 09:00:00 AM,75.029,,,,
28,07/18/15 10:00:00 AM,75.463,,,,
29,07/18/15 11:00:00 AM,75.985,,,,
30,07/18/15 12:00:00 PM,76.375,,,,
31,07/18/15 01:00:00 PM,76.854,,,,
32,07/18/15 02:00:00 PM,77.378,,,,
33,07/18/15 03:00:00 PM,77.464,,,,
34,07/18/15 04:00:00 PM,77.770,,,,
35,07/18/15 05:00:00 PM,78.296,,,,
36,07/18/15 06:00:00 PM,78.953,,,,
37,07/18/15 07:00:00 PM,78.822,,,,
38,07/18/15 08:00:00 PM,78.559,,,,
39,07/18/15 09:00:00 PM,78.208,,,,
40,07/18/15 10:00:00 PM,77.945,,,,
41,07/18/15 11:00:00 PM,77.684,,,,
42,07/19/15 12:00:00 AM,77.421,,,,
43,07/19/15 01:00:00 AM,77.072,,,,
44,07/19/15 02:00:00 AM,76.854,,,,
45,07/19/15 03:00:00 AM,76.507,,,,
46,07/19/15 04:00:00 AM,76.203,,,,
47,07/19/15 05:00:00 AM,75.898,,,,
48,07/19/15 06:00:00 AM,75.594,,,,
49,07/19/15 07:00:00 AM,75.204,,,,
50,07/19/15 08:00:00 AM,74.986,,,,
51,07/19/15 09:00:00 AM,74.899,,,,
52,07/19/15 10:00:00 AM,75.160,,,,
53,07/19/15 11:00:00 AM,75.594,,,,
54,07/19/15 12:00:00 PM,76.071,,,,
55,07/19/15 01:00:00 PM,76.725,,,,
56,07/19/15 02:00:00 PM,77.684,,,,
57,07/19/15 03:00:00 PM,78.514,,,,
58,07/19/15 04:00:00 PM,78.382,,,,
59,07/19/15 05:00:00 PM,78.777,,,,
60,07/19/15 06:00:00 PM,78.777,,,,
61,07/19/15 07:00:00 PM,78.910,,,,
62,07/19/15 08:00:00 PM,79.084,,,,
63,07/19/15 09:00:00 PM,79.261,,,,
64,07/19/15 10:00:00 PM,78.690,,,,
65,07/19/15 11:00:00 PM,78.251,,,,
66,07/20/15 12:00:00 AM,78.033,,,,
67,07/20/15 01:00:00 AM,77.770,,,,
68,07/20/15 02:00:00 AM,77.509,,,,
69,07/20/15 03:00:00 AM,77.247,,,,
70,07/20/15 04:00:00 AM,76.986,,,,
71,07/20/15 05:00:00 AM,76.636,,,,
72,07/20/15 06:00:00 AM,76.246,,,,
73,07/20/15 07:00:00 AM,75.853,,,,
74,07/20/15 08:00:00 AM,75.681,,,,
75,07/20/15 09:00:00 AM,75.594,,,,
76,07/20/15 10:00:00 AM,75.594,,,,
77,07/20/15 11:00:00 AM,75.810,,,,
78,07/20/15 12:00:00 PM,76.203,,,,
79,07/20/15 01:00:00 PM,76.725,,,,
80,07/20/15 02:00:00 PM,77.203,,,,
81,07/20/15 03:00:00 PM,77.815,,,,
82,07/20/15 04:00:00 PM,78.296,,,,
83,07/20/15 05:00:00 PM,79.261,,,,
84,07/20/15 06:00:00 PM,79.304,,,,
85,07/20/15 07:00:00 PM,79.041,,,,
86,07/20/15 08:00:00 PM,78.996,,,,
87,07/20/15 09:00:00 PM,78.822,,,,
88,07/20/15 10:00:00 PM,78.471,,,,
89,07/20/15 11:00:00 PM,78.165,,,,
90,07/21/15 12:00:00 AM,77.815,,,,
91,07/21/15 01:00:00 AM,77.421,,,,
92,07/21/15 02:00:00 AM,77.072,,,,
93,07/21/15 03:00:00 AM,76.725,,,,
94,07/21/15 04:00:00 AM,76.375,,,,
95,07/21/15 05:00:00 AM,76.028,,,,
96,07/21/15 06:00:00 AM,75.681,,,,
97,07/21/15 07:00:00 AM,75.376,,,,
98,07/21/15 08:00:00 AM,75.160,,,,
99,07/21/15 09:00:00 AM,75.029,,,,
100,07/21/15 10:00:00 AM,75.117,,,,
101,07/21/15 11:00:00 AM,75.376,,,,
102,07/21/15 12:00:00 PM,75.942,,,,
103,07/21/15 01:00:00 PM,76.550,,,,
104,07/21/15 02:00:00 PM,77.464,,,,
105,07/21/15 03:00:00 PM,77.378,,,,
106,07/21/15 04:00:00 PM,77.509,,,,
107,07/21/15 05:00:00 PM,77.509,,,,
108,07/21/15 06:00:00 PM,77.378,,,,
109,07/21/15 07:00:00 PM,76.768,,,,
110,07/21/15 08:00:00 PM,76.419,,,,
111,07/21/15 09:00:00 PM,76.158,,,,
112,07/21/15 10:00:00 PM,75.810,,,,
113,07/21/15 11:00:00 PM,75.594,,,,
114,07/22/15 12:00:00 AM,75.333,,,,
115,07/22/15 01:00:00 AM,75.204,,,,
116,07/22/15 02:00:00 AM,75.029,,,,
117,07/22/15 03:00:00 AM,74.813,,,,
118,07/22/15 04:00:00 AM,74.597,,,,
119,07/22/15 05:00:00 AM,74.424,,,,
120,07/22/15 06:00:00 AM,74.250,,,,
121,07/22/15 07:00:00 AM,74.034,,,,
122,07/22/15 08:00:00 AM,73.774,,,,
123,07/22/15 09:00:00 AM,73.688,,,,
124,07/22/15 10:00:00 AM,73.861,,,,
125,07/22/15 11:00:00 AM,74.295,,,,
126,07/22/15 12:00:00 PM,74.640,,,,
127,07/22/15 01:00:00 PM,75.160,,,,
128,07/22/15 02:00:00 PM,75.376,,,,
129,07/22/15 03:00:00 PM,75.810,,,,
130,07/22/15 04:00:00 PM,76.593,,,,
131,07/22/15 05:00:00 PM,77.160,,,,
132,07/22/15 06:00:00 PM,77.335,,,,
133,07/22/15 07:00:00 PM,77.203,,,,
134,07/22/15 08:00:00 PM,76.986,,,,
135,07/22/15 09:00:00 PM,76.942,,,,
136,07/22/15 10:00:00 PM,76.507,,,,
137,07/22/15 11:00:00 PM,76.289,,,,
138,07/23/15 12:00:00 AM,75.985,,,,
139,07/23/15 01:00:00 AM,75.724,,,,
140,07/23/15 02:00:00 AM,75.463,,,,
141,07/23/15 03:00:00 AM,75.247,,,,
142,07/23/15 04:00:00 AM,75.029,,,,
143,07/23/15 05:00:00 AM,74.899,,,,
144,07/23/15 06:00:00 AM,74.727,,,,
145,07/23/15 07:00:00 AM,74.597,,,,
146,07/23/15 08:00:00 AM,74.467,,,,
147,07/23/15 09:00:00 AM,74.424,,,,
148,07/23/15 10:00:00 AM,74.770,,,,
149,07/23/15 11:00:00 AM,75.333,,,,
150,07/23/15 12:00:00 PM,76.289,,,,
151,07/23/15 01:00:00 PM,76.942,,,,
152,07/23/15 02:00:00 PM,78.645,,,,
153,07/23/15 03:00:00 PM,80.227,,,,
154,07/23/15 04:00:00 PM,80.404,,,,
155,07/23/15 05:00:00 PM,80.802,,,,
156,07/23/15 06:00:00 PM,80.580,,,,
157,07/23/15 07:00:00 PM,80.051,,,,
158,07/23/15 08:00:00 PM,79.700,,,,
159,07/23/15 09:00:00 PM,79.524,,,,
160,07/23/15 10:00:00 PM,79.128,,,,
161,07/23/15 11:00:00 PM,78.910,,,,
162,07/24/15 12:00:00 AM,78.559,,,,
163,07/24/15 01:00:00 AM,78.382,,,,
164,07/24/15 02:00:00 AM,78.121,,,,
165,07/24/15 03:00:00 AM,77.902,,,,
166,07/24/15 04:00:00 AM,77.639,,,,
167,07/24/15 05:00:00 AM,77.247,,,,
168,07/24/15 06:00:00 AM,76.986,,,,
169,07/24/15 07:00:00 AM,76.811,,,,
170,07/24/15 08:00:00 AM,76.681,,,,
171,07/24/15 09:00:00 AM,76.681,,,,
172,07/24/15 10:00:00 AM,76.811,,,,
173,07/24/15 11:00:00 AM,77.029,,,,
174,07/24/15 12:00:00 PM,77.378,,,,
175,07/24/15 01:00:00 PM,78.165,,,,
176,07/24/15 02:00:00 PM,78.208,,,,
177,07/24/15 03:00:00 PM,78.690,,,,
178,07/24/15 04:00:00 PM,79.173,,,,
179,07/24/15 05:00:00 PM,79.347,,,,
180,07/24/15 06:00:00 PM,79.788,,,,
181,07/24/15 07:00:00 PM,79.612,,,,
