"Plot Title: Minnechaduza- Hatchery"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739499, SEN S/N: 10739499)","Coupler Detached (LGR S/N: 10739499)","Coupler Attached (LGR S/N: 10739499)","Host Connected (LGR S/N: 10739499)","Stopped (LGR S/N: 10739499)","End Of File (LGR S/N: 10739499)"
1,06/21/16 04:00:00 PM,78.033,Logged,,,,
2,06/21/16 04:15:00 PM,78.076,,,,,
3,06/21/16 04:30:00 PM,77.945,,,,,
4,06/21/16 04:45:00 PM,78.339,,,,,
5,06/21/16 05:00:00 PM,78.645,,,,,
6,06/21/16 05:15:00 PM,78.427,,,,,
7,06/21/16 05:30:00 PM,78.559,,,,,
8,06/21/16 05:45:00 PM,78.690,,,,,
9,06/21/16 06:00:00 PM,78.733,,,,,
10,06/21/16 06:15:00 PM,78.733,,,,,
11,06/21/16 06:30:00 PM,78.996,,,,,
12,06/21/16 06:45:00 PM,79.261,,,,,
13,06/21/16 07:00:00 PM,79.128,,,,,
14,06/21/16 07:15:00 PM,79.216,,,,,
15,06/21/16 07:30:00 PM,79.128,,,,,
16,06/21/16 07:45:00 PM,79.392,,,,,
17,06/21/16 08:00:00 PM,79.480,,,,,
18,06/21/16 08:15:00 PM,79.524,,,,,
19,06/21/16 08:30:00 PM,79.567,,,,,
20,06/21/16 08:45:00 PM,79.567,,,,,
21,06/21/16 09:00:00 PM,79.524,,,,,
22,06/21/16 09:15:00 PM,79.435,,,,,
23,06/21/16 09:30:00 PM,79.392,,,,,
24,06/21/16 09:45:00 PM,79.347,,,,,
25,06/21/16 10:00:00 PM,79.347,,,,,
26,06/21/16 10:15:00 PM,79.392,,,,,
27,06/21/16 10:30:00 PM,79.435,,,,,
28,06/21/16 10:45:00 PM,79.480,,,,,
29,06/21/16 11:00:00 PM,79.480,,,,,
30,06/21/16 11:15:00 PM,79.392,,,,,
31,06/21/16 11:30:00 PM,79.261,,,,,
32,06/21/16 11:45:00 PM,79.041,,,,,
33,06/22/16 12:00:00 AM,78.865,,,,,
34,06/22/16 12:15:00 AM,78.777,,,,,
35,06/22/16 12:30:00 AM,78.733,,,,,
36,06/22/16 12:45:00 AM,78.602,,,,,
37,06/22/16 01:00:00 AM,78.339,,,,,
38,06/22/16 01:15:00 AM,78.121,,,,,
39,06/22/16 01:30:00 AM,78.076,,,,,
40,06/22/16 01:45:00 AM,78.076,,,,,
41,06/22/16 02:00:00 AM,78.251,,,,,
42,06/22/16 02:15:00 AM,78.382,,,,,
43,06/22/16 02:30:00 AM,78.427,,,,,
44,06/22/16 02:45:00 AM,78.382,,,,,
45,06/22/16 03:00:00 AM,78.296,,,,,
46,06/22/16 03:15:00 AM,78.251,,,,,
47,06/22/16 03:30:00 AM,78.251,,,,,
48,06/22/16 03:45:00 AM,78.208,,,,,
49,06/22/16 04:00:00 AM,78.208,,,,,
50,06/22/16 04:15:00 AM,78.251,,,,,
51,06/22/16 04:30:00 AM,78.382,,,,,
52,06/22/16 04:45:00 AM,78.382,,,,,
53,06/22/16 05:00:00 AM,78.296,,,,,
54,06/22/16 05:15:00 AM,78.165,,,,,
55,06/22/16 05:30:00 AM,78.033,,,,,
56,06/22/16 05:45:00 AM,77.902,,,,,
57,06/22/16 06:00:00 AM,77.859,,,,,
58,06/22/16 06:15:00 AM,77.770,,,,,
59,06/22/16 06:30:00 AM,77.727,,,,,
60,06/22/16 06:45:00 AM,77.639,,,,,
61,06/22/16 07:00:00 AM,77.596,,,,,
62,06/22/16 07:15:00 AM,77.464,,,,,
63,06/22/16 07:30:00 AM,77.203,,,,,
64,06/22/16 07:45:00 AM,76.986,,,,,
65,06/22/16 08:00:00 AM,76.899,,,,,
66,06/22/16 08:15:00 AM,76.811,,,,,
67,06/22/16 08:30:00 AM,76.725,,,,,
68,06/22/16 08:45:00 AM,76.636,,,,,
69,06/22/16 09:00:00 AM,76.550,,,,,
70,06/22/16 09:15:00 AM,76.507,,,,,
71,06/22/16 09:30:00 AM,76.507,,,,,
72,06/22/16 09:45:00 AM,76.507,,,,,
73,06/22/16 10:00:00 AM,76.507,,,,,
74,06/22/16 10:15:00 AM,76.550,,,,,
75,06/22/16 10:30:00 AM,76.593,,,,,
76,06/22/16 10:45:00 AM,76.636,,,,,
77,06/22/16 11:00:00 AM,76.681,,,,,
78,06/22/16 11:15:00 AM,76.768,,,,,
79,06/22/16 11:30:00 AM,76.854,,,,,
80,06/22/16 11:45:00 AM,76.986,,,,,
81,06/22/16 12:00:00 PM,77.072,,,,,
82,06/22/16 12:15:00 PM,77.160,,,,,
83,06/22/16 12:30:00 PM,77.335,,,,,
84,06/22/16 12:45:00 PM,77.378,,,,,
85,06/22/16 01:00:00 PM,77.421,,,,,
86,06/22/16 01:15:00 PM,77.553,,,,,
87,06/22/16 01:30:00 PM,77.727,,,,,
88,06/22/16 01:45:00 PM,77.859,,,,,
89,06/22/16 02:00:00 PM,77.902,,,,,
