"Plot Title: Monroe Creek 11-25-15 (1734)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739559, SEN S/N: 10739559)","Coupler Detached (LGR S/N: 10739559)","Coupler Attached (LGR S/N: 10739559)","Host Connected (LGR S/N: 10739559)","Stopped (LGR S/N: 10739559)","End Of File (LGR S/N: 10739559)"
1,09/19/16 06:43:57 PM,66.258,,,,,
2,09/19/16 06:44:08 PM,,Logged,,,,
3,09/19/16 06:58:57 PM,59.401,,,,,
4,09/19/16 07:13:57 PM,59.014,,,,,
5,09/19/16 07:28:57 PM,58.928,,,,,
6,09/19/16 07:43:57 PM,58.842,,,,,
7,09/19/16 07:58:57 PM,58.798,,,,,
8,09/19/16 08:13:57 PM,58.712,,,,,
9,09/19/16 08:28:57 PM,58.669,,,,,
10,09/19/16 08:43:57 PM,58.626,,,,,
11,09/19/16 08:58:57 PM,58.582,,,,,
12,09/19/16 09:13:57 PM,58.541,,,,,
13,09/19/16 09:28:57 PM,58.498,,,,,
14,09/19/16 09:43:57 PM,58.455,,,,,
15,09/19/16 09:58:57 PM,58.411,,,,,
16,09/19/16 10:13:57 PM,58.325,,,,,
17,09/19/16 10:28:57 PM,58.282,,,,,
18,09/19/16 10:43:57 PM,58.195,,,,,
19,09/19/16 10:58:57 PM,58.152,,,,,
20,09/19/16 11:13:57 PM,58.066,,,,,
21,09/19/16 11:28:57 PM,57.979,,,,,
22,09/19/16 11:43:57 PM,57.936,,,,,
23,09/19/16 11:58:57 PM,57.850,,,,,
24,09/20/16 12:13:57 AM,57.765,,,,,
25,09/20/16 12:28:57 AM,57.679,,,,,
26,09/20/16 12:43:57 AM,57.636,,,,,
27,09/20/16 12:58:57 AM,57.549,,,,,
28,09/20/16 01:13:57 AM,57.463,,,,,
29,09/20/16 01:28:57 AM,57.420,,,,,
30,09/20/16 01:43:57 AM,57.376,,,,,
31,09/20/16 01:58:57 AM,57.290,,,,,
32,09/20/16 02:13:57 AM,57.247,,,,,
33,09/20/16 02:28:57 AM,57.160,,,,,
34,09/20/16 02:43:57 AM,57.074,,,,,
35,09/20/16 02:58:57 AM,57.031,,,,,
36,09/20/16 03:13:57 AM,56.944,,,,,
37,09/20/16 03:28:57 AM,56.858,,,,,
38,09/20/16 03:43:57 AM,56.815,,,,,
39,09/20/16 03:58:57 AM,56.728,,,,,
40,09/20/16 04:13:57 AM,56.642,,,,,
41,09/20/16 04:28:57 AM,56.599,,,,,
42,09/20/16 04:43:57 AM,56.512,,,,,
43,09/20/16 04:58:57 AM,56.426,,,,,
44,09/20/16 05:13:57 AM,56.383,,,,,
45,09/20/16 05:28:57 AM,56.295,,,,,
46,09/20/16 05:43:57 AM,56.251,,,,,
47,09/20/16 05:58:57 AM,56.165,,,,,
48,09/20/16 06:13:57 AM,56.079,,,,,
49,09/20/16 06:28:57 AM,56.035,,,,,
50,09/20/16 06:43:57 AM,55.949,,,,,
51,09/20/16 06:58:57 AM,55.906,,,,,
52,09/20/16 07:13:57 AM,55.819,,,,,
53,09/20/16 07:28:57 AM,55.776,,,,,
54,09/20/16 07:43:57 AM,55.690,,,,,
55,09/20/16 07:58:57 AM,55.647,,,,,
56,09/20/16 08:13:57 AM,55.602,,,,,
57,09/20/16 08:28:57 AM,55.515,,,,,
58,09/20/16 08:43:57 AM,55.472,,,,,
59,09/20/16 08:58:57 AM,55.429,,,,,
60,09/20/16 09:13:57 AM,55.429,,,,,
61,09/20/16 09:28:57 AM,55.429,,,,,
62,09/20/16 09:43:57 AM,55.472,,,,,
63,09/20/16 09:58:57 AM,55.515,,,,,
64,09/20/16 10:13:57 AM,55.558,,,,,
65,09/20/16 10:28:57 AM,55.602,,,,,
66,09/20/16 10:43:57 AM,55.690,,,,,
67,09/20/16 10:58:57 AM,55.819,,,,,
68,09/20/16 11:13:57 AM,55.949,,,,,
69,09/20/16 11:28:57 AM,56.165,,,,,
70,09/20/16 11:43:57 AM,56.383,,,,,
71,09/20/16 11:58:57 AM,56.556,,,,,
72,09/20/16 12:13:57 PM,56.728,,,,,
73,09/20/16 12:28:57 PM,56.944,,,,,
74,09/20/16 12:43:57 PM,57.160,,,,,
75,09/20/16 12:58:57 PM,57.376,,,,,
76,09/20/16 01:13:57 PM,57.722,,,,,
77,09/20/16 01:28:57 PM,57.936,,,,,
78,09/20/16 01:43:57 PM,58.152,,,,,
79,09/20/16 01:58:57 PM,58.368,,,,,
80,09/20/16 02:13:57 PM,58.455,,,,,
81,09/20/16 02:28:57 PM,58.582,,,,,
82,09/20/16 02:43:57 PM,58.669,,,,,
83,09/20/16 02:58:57 PM,58.755,,,,,
84,09/20/16 03:13:57 PM,58.798,,,,,
85,09/20/16 03:28:57 PM,58.971,,,,,
86,09/20/16 03:43:57 PM,59.099,,,,,
87,09/20/16 03:58:57 PM,59.229,,,,,
88,09/20/16 04:13:57 PM,59.401,,,,,
89,09/20/16 04:28:57 PM,59.486,,,,,
90,09/20/16 04:43:57 PM,59.572,,,,,
91,09/20/16 04:58:57 PM,59.659,,,,,
92,09/20/16 05:13:57 PM,59.702,,,,,
93,09/20/16 05:28:57 PM,59.788,,,,,
94,09/20/16 05:43:57 PM,59.830,,,,,
95,09/20/16 05:58:57 PM,59.830,,,,,
96,09/20/16 06:13:57 PM,59.873,,,,,
97,09/20/16 06:28:57 PM,59.830,,,,,
98,09/20/16 06:43:57 PM,59.745,,,,,
99,09/20/16 06:58:57 PM,59.659,,,,,
100,09/20/16 07:13:57 PM,59.616,,,,,
101,09/20/16 07:28:57 PM,59.616,,,,,
102,09/20/16 07:43:57 PM,59.572,,,,,
103,09/20/16 07:58:57 PM,59.486,,,,,
104,09/20/16 08:13:57 PM,59.401,,,,,
105,09/20/16 08:28:57 PM,59.315,,,,,
106,09/20/16 08:43:57 PM,59.229,,,,,
107,09/20/16 08:58:57 PM,59.099,,,,,
108,09/20/16 09:13:57 PM,58.971,,,,,
109,09/20/16 09:28:57 PM,58.842,,,,,
110,09/20/16 09:43:57 PM,58.712,,,,,
111,09/20/16 09:58:57 PM,58.582,,,,,
112,09/20/16 10:13:57 PM,58.455,,,,,
113,09/20/16 10:28:57 PM,58.325,,,,,
114,09/20/16 10:43:57 PM,58.195,,,,,
115,09/20/16 10:58:57 PM,58.066,,,,,
116,09/20/16 11:13:57 PM,57.936,,,,,
117,09/20/16 11:28:57 PM,57.807,,,,,
118,09/20/16 11:43:57 PM,57.722,,,,,
119,09/20/16 11:58:57 PM,57.636,,,,,
120,09/21/16 12:13:57 AM,57.592,,,,,
121,09/21/16 12:28:57 AM,57.506,,,,,
122,09/21/16 12:43:57 AM,57.463,,,,,
123,09/21/16 12:58:57 AM,57.420,,,,,
124,09/21/16 01:13:57 AM,57.333,,,,,
125,09/21/16 01:28:57 AM,57.290,,,,,
126,09/21/16 01:43:57 AM,57.290,,,,,
127,09/21/16 01:58:57 AM,57.247,,,,,
128,09/21/16 02:13:57 AM,57.204,,,,,
129,09/21/16 02:28:57 AM,57.204,,,,,
130,09/21/16 02:43:57 AM,57.117,,,,,
131,09/21/16 02:58:57 AM,57.074,,,,,
132,09/21/16 03:13:57 AM,56.988,,,,,
133,09/21/16 03:28:57 AM,56.901,,,,,
134,09/21/16 03:43:57 AM,56.858,,,,,
135,09/21/16 03:58:57 AM,56.772,,,,,
136,09/21/16 04:13:57 AM,56.685,,,,,
137,09/21/16 04:28:57 AM,56.599,,,,,
138,09/21/16 04:43:57 AM,56.512,,,,,
139,09/21/16 04:58:57 AM,56.383,,,,,
140,09/21/16 05:13:57 AM,56.251,,,,,
141,09/21/16 05:28:57 AM,56.122,,,,,
142,09/21/16 05:43:57 AM,55.992,,,,,
143,09/21/16 05:58:57 AM,55.863,,,,,
144,09/21/16 06:13:57 AM,55.733,,,,,
145,09/21/16 06:28:57 AM,55.602,,,,,
146,09/21/16 06:43:57 AM,55.472,,,,,
147,09/21/16 06:58:57 AM,55.386,,,,,
148,09/21/16 07:13:57 AM,55.256,,,,,
149,09/21/16 07:28:57 AM,55.125,,,,,
150,09/21/16 07:43:57 AM,55.038,,,,,
151,09/21/16 07:58:57 AM,54.995,,,,,
152,09/21/16 08:13:57 AM,54.909,,,,,
153,09/21/16 08:28:57 AM,54.865,,,,,
154,09/21/16 08:43:57 AM,54.820,,,,,
155,09/21/16 08:58:57 AM,54.820,,,,,
156,09/21/16 09:13:57 AM,54.865,,,,,
157,09/21/16 09:28:57 AM,54.865,,,,,
158,09/21/16 09:43:57 AM,54.909,,,,,
159,09/21/16 09:58:57 AM,54.995,,,,,
160,09/21/16 10:13:57 AM,55.038,,,,,
161,09/21/16 10:28:57 AM,55.125,,,,,
162,09/21/16 10:43:57 AM,55.213,,,,,
163,09/21/16 10:58:57 AM,55.299,,,,,
164,09/21/16 11:13:57 AM,55.386,,,,,
165,09/21/16 11:28:57 AM,55.472,,,,,
166,09/21/16 11:43:57 AM,55.602,,,,,
167,09/21/16 11:58:57 AM,55.733,,,,,
168,09/21/16 12:13:57 PM,55.906,,,,,
169,09/21/16 12:28:57 PM,56.035,,,,,
170,09/21/16 12:43:57 PM,56.122,,,,,
171,09/21/16 12:58:57 PM,56.251,,,,,
172,09/21/16 01:13:57 PM,56.340,,,,,
173,09/21/16 01:28:57 PM,56.469,,,,,
174,09/21/16 01:43:57 PM,56.642,,,,,
175,09/21/16 01:58:57 PM,56.858,,,,,
176,09/21/16 02:13:57 PM,56.988,,,,,
177,09/21/16 02:28:57 PM,57.204,,,,,
178,09/21/16 02:43:57 PM,57.420,,,,,
179,09/21/16 02:58:57 PM,57.549,,,,,
180,09/21/16 03:13:57 PM,57.679,,,,,
181,09/21/16 03:28:57 PM,57.765,,,,,
182,09/21/16 03:43:57 PM,57.893,,,,,
183,09/21/16 03:58:57 PM,57.979,,,,,
184,09/21/16 04:13:57 PM,58.066,,,,,
185,09/21/16 04:28:57 PM,58.195,,,,,
186,09/21/16 04:43:57 PM,58.368,,,,,
187,09/21/16 04:58:57 PM,58.411,,,,,
188,09/21/16 05:13:57 PM,58.541,,,,,
189,09/21/16 05:28:57 PM,58.626,,,,,
190,09/21/16 05:43:57 PM,58.669,,,,,
191,09/21/16 05:58:57 PM,58.712,,,,,
192,09/21/16 06:13:57 PM,58.755,,,,,
193,09/21/16 06:28:57 PM,58.755,,,,,
194,09/21/16 06:43:57 PM,58.755,,,,,
195,09/21/16 06:58:57 PM,58.755,,,,,
196,09/21/16 07:13:57 PM,58.755,,,,,
197,09/21/16 07:28:57 PM,58.755,,,,,
198,09/21/16 07:43:57 PM,58.712,,,,,
199,09/21/16 07:58:57 PM,58.669,,,,,
200,09/21/16 08:13:57 PM,58.626,,,,,
201,09/21/16 08:28:57 PM,58.626,,,,,
202,09/21/16 08:43:57 PM,58.582,,,,,
203,09/21/16 08:58:57 PM,58.582,,,,,
204,09/21/16 09:13:57 PM,58.541,,,,,
205,09/21/16 09:28:57 PM,58.541,,,,,
206,09/21/16 09:43:57 PM,58.498,,,,,
207,09/21/16 09:58:57 PM,58.455,,,,,
208,09/21/16 10:13:57 PM,58.411,,,,,
209,09/21/16 10:28:57 PM,58.368,,,,,
210,09/21/16 10:43:57 PM,58.325,,,,,
211,09/21/16 10:58:57 PM,58.282,,,,,
212,09/21/16 11:13:57 PM,58.239,,,,,
213,09/21/16 11:28:57 PM,58.239,,,,,
214,09/21/16 11:43:57 PM,58.195,,,,,
215,09/21/16 11:58:57 PM,58.195,,,,,
216,09/22/16 12:13:57 AM,58.152,,,,,
217,09/22/16 12:28:57 AM,58.109,,,,,
218,09/22/16 12:43:57 AM,58.109,,,,,
219,09/22/16 12:58:57 AM,58.066,,,,,
220,09/22/16 01:13:57 AM,58.023,,,,,
221,09/22/16 01:28:57 AM,57.979,,,,,
222,09/22/16 01:43:57 AM,57.936,,,,,
223,09/22/16 01:58:57 AM,57.893,,,,,
