"Plot Title: Monroe Creek- 2015"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10612900, SEN S/N: 10612900)","Coupler Attached (LGR S/N: 10612900)","Stopped (LGR S/N: 10612900)","End Of File (LGR S/N: 10612900)"
1,07/10/15 12:00:00 AM,59.680,,,
2,07/10/15 01:00:00 AM,59.337,,,
3,07/10/15 02:00:00 AM,58.993,,,
4,07/10/15 03:00:00 AM,58.647,,,
5,07/10/15 04:00:00 AM,58.303,,,
6,07/10/15 05:00:00 AM,57.958,,,
7,07/10/15 06:00:00 AM,57.785,,,
8,07/10/15 07:00:00 AM,57.614,,,
9,07/10/15 08:00:00 AM,57.614,,,
10,07/10/15 09:00:00 AM,57.614,,,
11,07/10/15 10:00:00 AM,57.785,,,
12,07/10/15 11:00:00 AM,57.958,,,
13,07/10/15 12:00:00 PM,58.303,,,
14,07/10/15 01:00:00 PM,59.508,,,
15,07/10/15 02:00:00 PM,60.712,,,
16,07/10/15 03:00:00 PM,61.912,,,
17,07/10/15 04:00:00 PM,62.598,,,
18,07/10/15 05:00:00 PM,62.769,,,
19,07/10/15 06:00:00 PM,63.111,,,
20,07/10/15 07:00:00 PM,62.940,,,
21,07/10/15 08:00:00 PM,62.425,,,
22,07/10/15 09:00:00 PM,61.912,,,
23,07/10/15 10:00:00 PM,61.398,,,
24,07/10/15 11:00:00 PM,60.712,,,
25,07/11/15 12:00:00 AM,60.368,,,
26,07/11/15 01:00:00 AM,59.851,,,
27,07/11/15 02:00:00 AM,59.508,,,
28,07/11/15 03:00:00 AM,59.164,,,
29,07/11/15 04:00:00 AM,58.647,,,
30,07/11/15 05:00:00 AM,58.303,,,
31,07/11/15 06:00:00 AM,57.958,,,
32,07/11/15 07:00:00 AM,57.614,,,
33,07/11/15 08:00:00 AM,57.614,,,
34,07/11/15 09:00:00 AM,57.958,,,
35,07/11/15 10:00:00 AM,58.647,,,
36,07/11/15 11:00:00 AM,59.680,,,
37,07/11/15 12:00:00 PM,60.883,,,
38,07/11/15 01:00:00 PM,62.425,,,
39,07/11/15 02:00:00 PM,63.626,,,
40,07/11/15 03:00:00 PM,64.481,,,
41,07/11/15 04:00:00 PM,65.167,,,
42,07/11/15 05:00:00 PM,65.509,,,
43,07/11/15 06:00:00 PM,65.680,,,
44,07/11/15 07:00:00 PM,65.509,,,
45,07/11/15 08:00:00 PM,64.825,,,
46,07/11/15 09:00:00 PM,64.139,,,
47,07/11/15 10:00:00 PM,63.455,,,
48,07/11/15 11:00:00 PM,62.769,,,
49,07/12/15 12:00:00 AM,62.083,,,
50,07/12/15 01:00:00 AM,61.569,,,
51,07/12/15 02:00:00 AM,60.883,,,
52,07/12/15 03:00:00 AM,60.368,,,
53,07/12/15 04:00:00 AM,59.680,,,
54,07/12/15 05:00:00 AM,59.164,,,
55,07/12/15 06:00:00 AM,58.820,,,
56,07/12/15 07:00:00 AM,58.476,,,
57,07/12/15 08:00:00 AM,58.303,,,
58,07/12/15 09:00:00 AM,58.647,,,
59,07/12/15 10:00:00 AM,59.337,,,
60,07/12/15 11:00:00 AM,60.368,,,
61,07/12/15 12:00:00 PM,61.741,,,
62,07/12/15 01:00:00 PM,63.111,,,
63,07/12/15 02:00:00 PM,64.139,,,
64,07/12/15 03:00:00 PM,64.996,,,
65,07/12/15 04:00:00 PM,65.680,,,
66,07/12/15 05:00:00 PM,66.022,,,
67,07/12/15 06:00:00 PM,65.851,,,
68,07/12/15 07:00:00 PM,65.680,,,
69,07/12/15 08:00:00 PM,65.167,,,
70,07/12/15 09:00:00 PM,64.310,,,
71,07/12/15 10:00:00 PM,63.455,,,
72,07/12/15 11:00:00 PM,62.425,,,
73,07/13/15 12:00:00 AM,61.569,,,
74,07/13/15 01:00:00 AM,60.712,,,
75,07/13/15 02:00:00 AM,60.024,,,
76,07/13/15 03:00:00 AM,59.337,,,
77,07/13/15 04:00:00 AM,58.647,,,
78,07/13/15 05:00:00 AM,58.131,,,
79,07/13/15 06:00:00 AM,57.614,,,
80,07/13/15 07:00:00 AM,57.268,,,
81,07/13/15 08:00:00 AM,57.268,,,
82,07/13/15 09:00:00 AM,57.614,,,
83,07/13/15 10:00:00 AM,58.476,,,
84,07/13/15 11:00:00 AM,59.508,,,
85,07/13/15 12:00:00 PM,60.883,,,
86,07/13/15 01:00:00 PM,62.425,,,
87,07/13/15 02:00:00 PM,63.626,,,
88,07/13/15 03:00:00 PM,64.652,,,
89,07/13/15 04:00:00 PM,65.680,,,
90,07/13/15 05:00:00 PM,66.022,,,
91,07/13/15 06:00:00 PM,66.193,,,
92,07/13/15 07:00:00 PM,66.022,,,
93,07/13/15 08:00:00 PM,65.338,,,
94,07/13/15 09:00:00 PM,64.652,,,
95,07/13/15 10:00:00 PM,63.968,,,
96,07/13/15 11:00:00 PM,63.282,,,
97,07/14/15 12:00:00 AM,62.598,,,
98,07/14/15 01:00:00 AM,62.083,,,
99,07/14/15 02:00:00 AM,61.398,,,
100,07/14/15 03:00:00 AM,60.883,,,
101,07/14/15 04:00:00 AM,60.195,,,
102,07/14/15 05:00:00 AM,59.337,,,
103,07/14/15 06:00:00 AM,58.820,,,
104,07/14/15 07:00:00 AM,58.303,,,
105,07/14/15 08:00:00 AM,58.131,,,
106,07/14/15 09:00:00 AM,58.476,,,
107,07/14/15 10:00:00 AM,58.993,,,
108,07/14/15 11:00:00 AM,59.508,,,
109,07/14/15 12:00:00 PM,60.883,,,
110,07/14/15 01:00:00 PM,62.254,,,
111,07/14/15 02:00:00 PM,63.455,,,
112,07/14/15 03:00:00 PM,64.481,,,
113,07/14/15 04:00:00 PM,65.338,,,
114,07/14/15 05:00:00 PM,65.680,,,
115,07/14/15 06:00:00 PM,65.851,,,
116,07/14/15 07:00:00 PM,65.680,,,
117,07/14/15 08:00:00 PM,65.167,,,
118,07/14/15 09:00:00 PM,64.652,,,
119,07/14/15 10:00:00 PM,63.968,,,
120,07/14/15 11:00:00 PM,63.455,,,
121,07/15/15 12:00:00 AM,62.940,,,
122,07/15/15 01:00:00 AM,62.254,,,
123,07/15/15 02:00:00 AM,61.912,,,
124,07/15/15 03:00:00 AM,61.398,,,
125,07/15/15 04:00:00 AM,61.054,,,
