"Plot Title: Niobrara HWY 71"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9783605, SEN S/N: 9783605)","Coupler Detached (LGR S/N: 9783605)","Coupler Attached (LGR S/N: 9783605)","Host Connected (LGR S/N: 9783605)","Stopped (LGR S/N: 9783605)","End Of File (LGR S/N: 9783605)"
1,09/20/16 07:00:00 PM,70.587,Logged,,,,
2,09/20/16 07:15:00 PM,70.416,,,,,
3,09/20/16 07:30:00 PM,70.072,,,,,
4,09/20/16 07:45:00 PM,69.942,,,,,
5,09/20/16 08:00:00 PM,69.557,,,,,
6,09/20/16 08:15:00 PM,69.256,,,,,
7,09/20/16 08:30:00 PM,68.913,,,,,
8,09/20/16 08:45:00 PM,68.785,,,,,
9,09/20/16 09:00:00 PM,68.313,,,,,
10,09/20/16 09:15:00 PM,68.013,,,,,
11,09/20/16 09:30:00 PM,67.586,,,,,
12,09/20/16 09:45:00 PM,67.372,,,,,
13,09/20/16 10:00:00 PM,67.114,,,,,
14,09/20/16 10:15:00 PM,66.772,,,,,
15,09/20/16 10:30:00 PM,66.385,,,,,
16,09/20/16 10:45:00 PM,66.087,,,,,
17,09/20/16 11:00:00 PM,65.701,,,,,
18,09/20/16 11:15:00 PM,65.359,,,,,
19,09/20/16 11:30:00 PM,65.059,,,,,
20,09/20/16 11:45:00 PM,64.760,,,,,
21,09/21/16 12:00:00 AM,64.459,,,,,
22,09/21/16 12:15:00 AM,64.247,,,,,
23,09/21/16 12:30:00 AM,63.946,,,,,
24,09/21/16 12:45:00 AM,63.648,,,,,
25,09/21/16 01:00:00 AM,63.347,,,,,
26,09/21/16 01:15:00 AM,63.090,,,,,
27,09/21/16 01:30:00 AM,62.791,,,,,
28,09/21/16 01:45:00 AM,62.533,,,,,
29,09/21/16 02:00:00 AM,62.276,,,,,
30,09/21/16 02:15:00 AM,62.019,,,,,
31,09/21/16 02:30:00 AM,61.761,,,,,
32,09/21/16 02:45:00 AM,61.506,,,,,
33,09/21/16 03:00:00 AM,61.290,,,,,
34,09/21/16 03:15:00 AM,61.075,,,,,
35,09/21/16 03:30:00 AM,60.733,,,,,
36,09/21/16 03:45:00 AM,60.517,,,,,
37,09/21/16 04:00:00 AM,60.260,,,,,
38,09/21/16 04:15:00 AM,60.046,,,,,
39,09/21/16 04:30:00 AM,59.788,,,,,
40,09/21/16 04:45:00 AM,59.445,,,,,
41,09/21/16 05:00:00 AM,59.185,,,,,
42,09/21/16 05:15:00 AM,58.971,,,,,
43,09/21/16 05:30:00 AM,58.669,,,,,
44,09/21/16 05:45:00 AM,58.455,,,,,
45,09/21/16 06:00:00 AM,58.282,,,,,
46,09/21/16 06:15:00 AM,58.195,,,,,
47,09/21/16 06:30:00 AM,57.979,,,,,
48,09/21/16 06:45:00 AM,57.765,,,,,
49,09/21/16 07:00:00 AM,57.722,,,,,
50,09/21/16 07:15:00 AM,57.592,,,,,
51,09/21/16 07:30:00 AM,57.506,,,,,
52,09/21/16 07:45:00 AM,57.333,,,,,
53,09/21/16 08:00:00 AM,57.290,,,,,
