"Plot Title: Pinkschool House"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408886, SEN S/N: 2408886)","Coupler Detached (LGR S/N: 2408886)","Coupler Attached (LGR S/N: 2408886)","Host Connected (LGR S/N: 2408886)","Stopped (LGR S/N: 2408886)","End Of File (LGR S/N: 2408886)"
1,06/08/17 03:00:00 PM,79.347,Logged,,,,
2,06/08/17 03:15:00 PM,76.114,,,,,
3,06/08/17 03:30:00 PM,76.246,,,,,
4,06/08/17 03:45:00 PM,76.725,,,,,
5,06/08/17 04:00:00 PM,76.854,,,,,
6,06/08/17 04:15:00 PM,77.247,,,,,
7,06/08/17 04:30:00 PM,77.509,,,,,
8,06/08/17 04:45:00 PM,77.770,,,,,
9,06/08/17 05:00:00 PM,77.727,,,,,
10,06/08/17 05:15:00 PM,78.076,,,,,
11,06/08/17 05:30:00 PM,78.121,,,,,
12,06/08/17 05:45:00 PM,77.945,,,,,
13,06/08/17 06:00:00 PM,78.121,,,,,
14,06/08/17 06:15:00 PM,78.121,,,,,
15,06/08/17 06:30:00 PM,78.076,,,,,
16,06/08/17 06:45:00 PM,78.076,,,,,
17,06/08/17 07:00:00 PM,77.902,,,,,
18,06/08/17 07:15:00 PM,77.509,,,,,
19,06/08/17 07:30:00 PM,77.421,,,,,
20,06/08/17 07:45:00 PM,77.247,,,,,
21,06/08/17 08:00:00 PM,77.117,,,,,
22,06/08/17 08:15:00 PM,76.899,,,,,
23,06/08/17 08:30:00 PM,76.636,,,,,
24,06/08/17 08:45:00 PM,76.375,,,,,
25,06/08/17 09:00:00 PM,76.071,,,,,
26,06/08/17 09:15:00 PM,75.681,,,,,
27,06/08/17 09:30:00 PM,75.376,,,,,
28,06/08/17 09:45:00 PM,75.029,,,,,
29,06/08/17 10:00:00 PM,74.727,,,,,
30,06/08/17 10:15:00 PM,74.511,,,,,
31,06/08/17 10:30:00 PM,74.163,,,,,
32,06/08/17 10:45:00 PM,73.861,,,,,
33,06/08/17 11:00:00 PM,73.472,,,,,
34,06/08/17 11:15:00 PM,73.213,,,,,
35,06/08/17 11:30:00 PM,72.912,,,,,
36,06/08/17 11:45:00 PM,72.653,,,,,
37,06/09/17 12:00:00 AM,72.394,,,,,
38,06/09/17 12:15:00 AM,72.136,,,,,
39,06/09/17 12:30:00 AM,71.877,,,,,
40,06/09/17 12:45:00 AM,71.620,,,,,
41,06/09/17 01:00:00 AM,71.447,,,,,
42,06/09/17 01:15:00 AM,71.103,,,,,
43,06/09/17 01:30:00 AM,70.887,,,,,
44,06/09/17 01:45:00 AM,70.673,,,,,
45,06/09/17 02:00:00 AM,70.459,,,,,
46,06/09/17 02:15:00 AM,70.329,,,,,
47,06/09/17 02:30:00 AM,70.158,,,,,
48,06/09/17 02:45:00 AM,69.985,,,,,
