"Plot Title: Pinkschool House"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 2408886, SEN S/N: 2408886)","Coupler Detached (LGR S/N: 2408886)","Coupler Attached (LGR S/N: 2408886)","Host Connected (LGR S/N: 2408886)","Stopped (LGR S/N: 2408886)","End Of File (LGR S/N: 2408886)"
1,09/20/16 07:00:00 PM,64.459,Logged,,,,
2,09/20/16 07:15:00 PM,64.459,,,,,
3,09/20/16 07:30:00 PM,64.459,,,,,
4,09/20/16 07:45:00 PM,64.459,,,,,
5,09/20/16 08:00:00 PM,64.503,,,,,
6,09/20/16 08:15:00 PM,64.546,,,,,
7,09/20/16 08:30:00 PM,64.589,,,,,
8,09/20/16 08:45:00 PM,64.632,,,,,
9,09/20/16 09:00:00 PM,64.674,,,,,
10,09/20/16 09:15:00 PM,64.760,,,,,
11,09/20/16 09:30:00 PM,64.760,,,,,
12,09/20/16 09:45:00 PM,64.803,,,,,
13,09/20/16 10:00:00 PM,64.803,,,,,
14,09/20/16 10:15:00 PM,64.760,,,,,
15,09/20/16 10:30:00 PM,64.717,,,,,
16,09/20/16 10:45:00 PM,64.632,,,,,
17,09/20/16 11:00:00 PM,64.503,,,,,
18,09/20/16 11:15:00 PM,64.332,,,,,
19,09/20/16 11:30:00 PM,64.204,,,,,
20,09/20/16 11:45:00 PM,64.074,,,,,
21,09/21/16 12:00:00 AM,63.903,,,,,
22,09/21/16 12:15:00 AM,63.732,,,,,
23,09/21/16 12:30:00 AM,63.561,,,,,
24,09/21/16 12:45:00 AM,63.390,,,,,
25,09/21/16 01:00:00 AM,63.219,,,,,
26,09/21/16 01:15:00 AM,63.048,,,,,
27,09/21/16 01:30:00 AM,62.875,,,,,
28,09/21/16 01:45:00 AM,62.661,,,,,
29,09/21/16 02:00:00 AM,62.490,,,,,
30,09/21/16 02:15:00 AM,62.233,,,,,
31,09/21/16 02:30:00 AM,62.062,,,,,
32,09/21/16 02:45:00 AM,61.891,,,,,
33,09/21/16 03:00:00 AM,61.720,,,,,
34,09/21/16 03:15:00 AM,61.506,,,,,
35,09/21/16 03:30:00 AM,61.333,,,,,
36,09/21/16 03:45:00 AM,61.119,,,,,
37,09/21/16 04:00:00 AM,60.904,,,,,
38,09/21/16 04:15:00 AM,60.733,,,,,
39,09/21/16 04:30:00 AM,60.517,,,,,
40,09/21/16 04:45:00 AM,60.303,,,,,
41,09/21/16 05:00:00 AM,60.089,,,,,
42,09/21/16 05:15:00 AM,59.916,,,,,
43,09/21/16 05:30:00 AM,59.702,,,,,
44,09/21/16 05:45:00 AM,59.572,,,,,
45,09/21/16 06:00:00 AM,59.401,,,,,
46,09/21/16 06:15:00 AM,59.315,,,,,
47,09/21/16 06:30:00 AM,59.272,,,,,
