"Plot Title: Niobrara River HWY 385 11-25-15 (0845)"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10739560, SEN S/N: 10739560)","Coupler Detached (LGR S/N: 10739560)","Coupler Attached (LGR S/N: 10739560)","Stopped (LGR S/N: 10739560)","End Of File (LGR S/N: 10739560)"
1,11/25/15 08:45:25 AM,45.896,,,,
2,11/25/15 08:45:35 AM,,Logged,,,
3,11/25/15 09:00:25 AM,37.609,,,,
4,11/25/15 09:15:25 AM,37.179,,,,
5,11/25/15 09:30:25 AM,37.225,,,,
6,11/25/15 09:45:25 AM,37.274,,,,
7,11/25/15 10:00:25 AM,37.321,,,,
8,11/25/15 10:15:25 AM,37.369,,,,
9,11/25/15 10:30:25 AM,37.416,,,,
10,11/25/15 10:45:25 AM,37.465,,,,
11,11/25/15 11:00:25 AM,37.560,,,,
12,11/25/15 11:15:25 AM,37.702,,,,
13,11/25/15 11:30:25 AM,37.798,,,,
14,11/25/15 11:45:25 AM,37.942,,,,
15,11/25/15 12:00:25 PM,38.037,,,,
16,11/25/15 12:15:25 PM,38.131,,,,
17,11/25/15 12:30:25 PM,38.179,,,,
18,11/25/15 12:45:25 PM,38.226,,,,
19,11/25/15 01:00:25 PM,38.226,,,,
20,11/25/15 01:15:25 PM,38.273,,,,
21,11/25/15 01:30:25 PM,38.273,,,,
22,11/25/15 01:45:25 PM,38.273,,,,
23,11/25/15 02:00:25 PM,38.273,,,,
24,11/25/15 02:15:25 PM,38.322,,,,
25,11/25/15 02:30:25 PM,38.322,,,,
26,11/25/15 02:45:25 PM,38.273,,,,
27,11/25/15 03:00:25 PM,38.273,,,,
28,11/25/15 03:15:25 PM,38.273,,,,
29,11/25/15 03:30:25 PM,38.226,,,,
30,11/25/15 03:45:25 PM,38.179,,,,
31,11/25/15 04:00:25 PM,38.131,,,,
32,11/25/15 04:15:25 PM,38.037,,,,
33,11/25/15 04:30:25 PM,37.942,,,,
34,11/25/15 04:45:25 PM,37.893,,,,
35,11/25/15 05:00:25 PM,37.798,,,,
36,11/25/15 05:15:25 PM,37.656,,,,
37,11/25/15 05:30:25 PM,37.560,,,,
38,11/25/15 05:45:25 PM,37.416,,,,
39,11/25/15 06:00:25 PM,37.321,,,,
40,11/25/15 06:15:25 PM,37.130,,,,
41,11/25/15 06:30:25 PM,36.986,,,,
42,11/25/15 06:45:25 PM,36.891,,,,
43,11/25/15 07:00:25 PM,36.795,,,,
44,11/25/15 07:15:25 PM,36.651,,,,
45,11/25/15 07:30:25 PM,36.554,,,,
46,11/25/15 07:45:25 PM,36.459,,,,
47,11/25/15 08:00:25 PM,36.361,,,,
48,11/25/15 08:15:25 PM,36.266,,,,
49,11/25/15 08:30:25 PM,36.169,,,,
50,11/25/15 08:45:25 PM,36.072,,,,
51,11/25/15 09:00:25 PM,35.976,,,,
52,11/25/15 09:15:25 PM,35.928,,,,
53,11/25/15 09:30:25 PM,35.879,,,,
54,11/25/15 09:45:25 PM,35.782,,,,
55,11/25/15 10:00:25 PM,35.685,,,,
56,11/25/15 10:15:25 PM,35.589,,,,
57,11/25/15 10:30:25 PM,35.492,,,,
58,11/25/15 10:45:25 PM,35.395,,,,
59,11/25/15 11:00:25 PM,35.249,,,,
60,11/25/15 11:15:25 PM,35.103,,,,
61,11/25/15 11:30:25 PM,35.006,,,,
62,11/25/15 11:45:25 PM,34.907,,,,
63,11/26/15 12:00:25 AM,34.761,,,,
64,11/26/15 12:15:25 AM,34.664,,,,
65,11/26/15 12:30:25 AM,34.516,,,,
66,11/26/15 12:45:25 AM,34.419,,,,
67,11/26/15 01:00:25 AM,34.320,,,,
68,11/26/15 01:15:25 AM,34.174,,,,
69,11/26/15 01:30:25 AM,34.124,,,,
70,11/26/15 01:45:25 AM,34.027,,,,
71,11/26/15 02:00:25 AM,33.978,,,,
72,11/26/15 02:15:25 AM,33.928,,,,
73,11/26/15 02:30:25 AM,33.831,,,,
74,11/26/15 02:45:25 AM,33.732,,,,
75,11/26/15 03:00:25 AM,33.681,,,,
76,11/26/15 03:15:25 AM,33.633,,,,
77,11/26/15 03:30:25 AM,33.584,,,,
78,11/26/15 03:45:25 AM,33.485,,,,
79,11/26/15 04:00:25 AM,33.435,,,,
80,11/26/15 04:15:25 AM,33.336,,,,
81,11/26/15 04:30:25 AM,33.287,,,,
82,11/26/15 04:45:25 AM,33.237,,,,
83,11/26/15 05:00:25 AM,33.188,,,,
84,11/26/15 05:15:25 AM,33.089,,,,
85,11/26/15 05:30:25 AM,33.039,,,,
86,11/26/15 05:45:25 AM,32.940,,,,
87,11/26/15 06:00:25 AM,32.940,,,,
88,11/26/15 06:15:25 AM,32.841,,,,
89,11/26/15 06:30:25 AM,32.790,,,,
90,11/26/15 06:45:25 AM,32.742,,,,
91,11/26/15 07:00:25 AM,32.691,,,,
92,11/26/15 07:15:25 AM,32.641,,,,
93,11/26/15 07:30:25 AM,32.592,,,,
