"Plot Title: 10719042"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10719042, SEN S/N: 10719042)","Coupler Detached (LGR S/N: 10719042)","Coupler Attached (LGR S/N: 10719042)","Stopped (LGR S/N: 10719042)","End Of File (LGR S/N: 10719042)"
1,07/13/15 10:00:00 PM,60.517,Logged,,,
2,07/13/15 11:00:00 PM,65.615,,,,
3,07/14/15 12:00:00 AM,64.375,,,,
4,07/14/15 01:00:00 AM,67.242,,,,
5,07/14/15 02:00:00 AM,66.258,,,,
6,07/14/15 03:00:00 AM,64.589,,,,
7,07/14/15 04:00:00 AM,62.105,,,,
8,07/14/15 05:00:00 AM,63.604,,,,
9,07/14/15 06:00:00 AM,62.704,,,,
10,07/14/15 07:00:00 AM,62.533,,,,
11,07/14/15 08:00:00 AM,62.748,,,,
12,07/14/15 09:00:00 AM,62.875,,,,
13,07/14/15 10:00:00 AM,64.375,,,,
14,07/14/15 11:00:00 AM,65.788,,,,
15,07/14/15 12:00:00 PM,67.971,,,,
16,07/14/15 01:00:00 PM,65.487,,,,
17,07/14/15 02:00:00 PM,69.771,,,,
18,07/14/15 03:00:00 PM,72.136,,,,
19,07/14/15 04:00:00 PM,69.386,,,,
20,07/14/15 05:00:00 PM,66.043,,,,
21,07/14/15 06:00:00 PM,62.962,,,,
22,07/14/15 07:00:00 PM,62.875,,,,
23,07/14/15 08:00:00 PM,59.873,,,,
24,07/14/15 09:00:00 PM,57.979,,,,
25,07/14/15 10:00:00 PM,57.376,,,,
26,07/14/15 11:00:00 PM,57.420,,,,
27,07/15/15 12:00:00 AM,57.979,,,,
28,07/15/15 01:00:00 AM,60.818,,,,
29,07/15/15 02:00:00 AM,58.971,,,,
30,07/15/15 03:00:00 AM,58.498,,,,
31,07/15/15 04:00:00 AM,59.702,,,,
32,07/15/15 05:00:00 AM,59.185,,,,
33,07/15/15 06:00:00 AM,58.669,,,,
34,07/15/15 07:00:00 AM,58.928,,,,
35,07/15/15 08:00:00 AM,58.798,,,,
36,07/15/15 09:00:00 AM,60.003,,,,
37,07/15/15 10:00:00 AM,59.099,,,,
38,07/15/15 11:00:00 AM,59.315,,,,
39,07/15/15 12:00:00 PM,59.616,,,,
40,07/15/15 01:00:00 PM,61.761,,,,
41,07/15/15 02:00:00 PM,60.647,,,,
42,07/15/15 03:00:00 PM,60.046,,,,
43,07/15/15 04:00:00 PM,59.616,,,,
44,07/15/15 05:00:00 PM,59.702,,,,
45,07/15/15 06:00:00 PM,59.272,,,,
46,07/15/15 07:00:00 PM,57.979,,,,
47,07/15/15 08:00:00 PM,56.988,,,,
48,07/15/15 09:00:00 PM,56.988,,,,
49,07/15/15 10:00:00 PM,57.031,,,,
50,07/15/15 11:00:00 PM,57.463,,,,
51,07/16/15 12:00:00 AM,58.023,,,,
52,07/16/15 01:00:00 AM,58.282,,,,
53,07/16/15 02:00:00 AM,59.788,,,,
54,07/16/15 03:00:00 AM,62.962,,,,
55,07/16/15 04:00:00 AM,62.620,,,,
56,07/16/15 05:00:00 AM,62.620,,,,
57,07/16/15 06:00:00 AM,61.590,,,,
58,07/16/15 07:00:00 AM,61.677,,,,
59,07/16/15 08:00:00 AM,62.019,,,,
60,07/16/15 09:00:00 AM,60.303,,,,
61,07/16/15 10:00:00 AM,62.319,,,,
62,07/16/15 11:00:00 AM,60.474,,,,
63,07/16/15 12:00:00 PM,60.991,,,,
64,07/16/15 01:00:00 PM,62.062,,,,
65,07/16/15 02:00:00 PM,62.191,,,,
66,07/16/15 03:00:00 PM,60.132,,,,
67,07/16/15 04:00:00 PM,58.928,,,,
68,07/16/15 05:00:00 PM,59.788,,,,
69,07/16/15 06:00:00 PM,58.798,,,,
70,07/16/15 07:00:00 PM,57.549,,,,
71,07/16/15 08:00:00 PM,56.772,,,,
72,07/16/15 09:00:00 PM,56.295,,,,
73,07/16/15 10:00:00 PM,55.949,,,,
74,07/16/15 11:00:00 PM,55.690,,,,
75,07/17/15 12:00:00 AM,55.515,,,,
76,07/17/15 01:00:00 AM,55.386,,,,
77,07/17/15 02:00:00 AM,55.342,,,,
78,07/17/15 03:00:00 AM,55.386,,,,
79,07/17/15 04:00:00 AM,55.386,,,,
80,07/17/15 05:00:00 AM,55.386,,,,
81,07/17/15 06:00:00 AM,55.472,,,,
82,07/17/15 07:00:00 AM,55.558,,,,
83,07/17/15 08:00:00 AM,55.733,,,,
84,07/17/15 09:00:00 AM,55.906,,,,
85,07/17/15 10:00:00 AM,55.906,,,,
86,07/17/15 11:00:00 AM,55.949,,,,
87,07/17/15 12:00:00 PM,55.906,,,,
88,07/17/15 01:00:00 PM,56.122,,,,
89,07/17/15 02:00:00 PM,56.426,,,,
90,07/17/15 03:00:00 PM,56.251,,,,
91,07/17/15 04:00:00 PM,55.992,,,,
92,07/17/15 05:00:00 PM,55.776,,,,
93,07/17/15 06:00:00 PM,55.602,,,,
94,07/17/15 07:00:00 PM,56.340,,,,
95,07/17/15 08:00:00 PM,55.776,,,,
96,07/17/15 09:00:00 PM,55.515,,,,
97,07/17/15 10:00:00 PM,55.429,,,,
98,07/17/15 11:00:00 PM,58.755,,,,
99,07/18/15 12:00:00 AM,65.615,,,,
100,07/18/15 01:00:00 AM,65.444,,,,
101,07/18/15 02:00:00 AM,64.418,,,,
102,07/18/15 03:00:00 AM,60.517,,,,
103,07/18/15 04:00:00 AM,58.541,,,,
104,07/18/15 05:00:00 AM,57.722,,,,
105,07/18/15 06:00:00 AM,57.463,,,,
106,07/18/15 07:00:00 AM,56.815,,,,
107,07/18/15 08:00:00 AM,58.066,,,,
108,07/18/15 09:00:00 AM,57.850,,,,
