"Plot Title: Plum 6 (Sherman)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719038, SEN S/N: 10719038)","Coupler Detached (LGR S/N: 10719038)","Coupler Attached (LGR S/N: 10719038)","Host Connected (LGR S/N: 10719038)","Stopped (LGR S/N: 10719038)","End Of File (LGR S/N: 10719038)"
1,06/22/17 09:00:00 AM,63.689,Logged,,,,
2,06/22/17 09:15:00 AM,63.689,,,,,
3,06/22/17 09:30:00 AM,63.689,,,,,
4,06/22/17 09:45:00 AM,63.604,,,,,
5,06/22/17 10:00:00 AM,63.604,,,,,
6,06/22/17 10:15:00 AM,63.689,,,,,
7,06/22/17 10:30:00 AM,63.903,,,,,
8,06/22/17 10:45:00 AM,64.117,,,,,
9,06/22/17 11:00:00 AM,64.375,,,,,
10,06/22/17 11:15:00 AM,64.546,,,,,
11,06/22/17 11:30:00 AM,64.589,,,,,
12,06/22/17 11:45:00 AM,64.888,,,,,
13,06/22/17 12:00:00 PM,65.017,,,,,
14,06/22/17 12:15:00 PM,65.359,,,,,
15,06/22/17 12:30:00 PM,65.530,,,,,
16,06/22/17 12:45:00 PM,65.788,,,,,
17,06/22/17 01:00:00 PM,66.130,,,,,
18,06/22/17 01:15:00 PM,66.385,,,,,
19,06/22/17 01:30:00 PM,66.729,,,,,
20,06/22/17 01:45:00 PM,67.071,,,,,
21,06/22/17 02:00:00 PM,67.413,,,,,
22,06/22/17 02:15:00 PM,67.757,,,,,
23,06/22/17 02:30:00 PM,68.185,,,,,
24,06/22/17 02:45:00 PM,68.614,,,,,
25,06/22/17 03:00:00 PM,69.042,,,,,
26,06/22/17 03:15:00 PM,69.256,,,,,
27,06/22/17 03:30:00 PM,69.427,,,,,
28,06/22/17 03:45:00 PM,69.557,,,,,
29,06/22/17 04:00:00 PM,69.728,,,,,
30,06/22/17 04:15:00 PM,69.814,,,,,
31,06/22/17 04:30:00 PM,69.814,,,,,
32,06/22/17 04:45:00 PM,69.643,,,,,
33,06/22/17 05:00:00 PM,69.471,,,,,
