"Plot Title: Plum #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719018, SEN S/N: 10719018)","Coupler Detached (LGR S/N: 10719018)","Coupler Attached (LGR S/N: 10719018)","Host Connected (LGR S/N: 10719018)","Stopped (LGR S/N: 10719018)","End Of File (LGR S/N: 10719018)"
1,11/01/16 04:00:00 PM,55.906,Logged,,,,
2,11/01/16 04:15:00 PM,55.863,,,,,
3,11/01/16 04:30:00 PM,55.690,,,,,
4,11/01/16 04:45:00 PM,55.515,,,,,
5,11/01/16 05:00:00 PM,55.386,,,,,
6,11/01/16 05:15:00 PM,55.256,,,,,
7,11/01/16 05:30:00 PM,54.995,,,,,
8,11/01/16 05:45:00 PM,54.691,,,,,
9,11/01/16 06:00:00 PM,54.430,,,,,
10,11/01/16 06:15:00 PM,54.126,,,,,
11,11/01/16 06:30:00 PM,53.865,,,,,
12,11/01/16 06:45:00 PM,53.645,,,,,
13,11/01/16 07:00:00 PM,53.427,,,,,
14,11/01/16 07:15:00 PM,53.253,,,,,
15,11/01/16 07:30:00 PM,53.078,,,,,
16,11/01/16 07:45:00 PM,52.947,,,,,
17,11/01/16 08:00:00 PM,52.817,,,,,
18,11/01/16 08:15:00 PM,52.729,,,,,
19,11/01/16 08:30:00 PM,52.641,,,,,
20,11/01/16 08:45:00 PM,52.597,,,,,
21,11/01/16 09:00:00 PM,52.509,,,,,
22,11/01/16 09:15:00 PM,52.509,,,,,
23,11/01/16 09:30:00 PM,52.509,,,,,
24,11/01/16 09:45:00 PM,52.509,,,,,
25,11/01/16 10:00:00 PM,52.509,,,,,
26,11/01/16 10:15:00 PM,52.509,,,,,
27,11/01/16 10:30:00 PM,52.509,,,,,
28,11/01/16 10:45:00 PM,52.509,,,,,
29,11/01/16 11:00:00 PM,52.466,,,,,
30,11/01/16 11:15:00 PM,52.466,,,,,
31,11/01/16 11:30:00 PM,52.466,,,,,
32,11/01/16 11:45:00 PM,52.423,,,,,
33,11/02/16 12:00:00 AM,52.423,,,,,
34,11/02/16 12:15:00 AM,52.423,,,,,
35,11/02/16 12:30:00 AM,52.423,,,,,
36,11/02/16 12:45:00 AM,52.423,,,,,
37,11/02/16 01:00:00 AM,52.378,,,,,
38,11/02/16 01:15:00 AM,52.378,,,,,
39,11/02/16 01:30:00 AM,52.335,,,,,
40,11/02/16 01:45:00 AM,52.335,,,,,
41,11/02/16 02:00:00 AM,52.291,,,,,
42,11/02/16 02:15:00 AM,52.246,,,,,
43,11/02/16 02:30:00 AM,52.203,,,,,
44,11/02/16 02:45:00 AM,52.160,,,,,
45,11/02/16 03:00:00 AM,52.160,,,,,
