"Plot Title: PL#3"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739549, SEN S/N: 10739549)","Coupler Detached (LGR S/N: 10739549)","Coupler Attached (LGR S/N: 10739549)","Host Connected (LGR S/N: 10739549)","Stopped (LGR S/N: 10739549)","End Of File (LGR S/N: 10739549)"
1,11/01/16 05:00:00 PM,52.903,Logged,,,,
2,11/01/16 05:15:00 PM,52.947,,,,,
3,11/01/16 05:30:00 PM,53.035,,,,,
4,11/01/16 05:45:00 PM,53.121,,,,,
5,11/01/16 06:00:00 PM,53.166,,,,,
6,11/01/16 06:15:00 PM,53.209,,,,,
7,11/01/16 06:30:00 PM,53.209,,,,,
8,11/01/16 06:45:00 PM,53.209,,,,,
9,11/01/16 07:00:00 PM,53.209,,,,,
10,11/01/16 07:15:00 PM,53.253,,,,,
11,11/01/16 07:30:00 PM,53.253,,,,,
12,11/01/16 07:45:00 PM,53.253,,,,,
13,11/01/16 08:00:00 PM,53.253,,,,,
14,11/01/16 08:15:00 PM,53.209,,,,,
15,11/01/16 08:30:00 PM,53.253,,,,,
16,11/01/16 08:45:00 PM,53.253,,,,,
17,11/01/16 09:00:00 PM,53.253,,,,,
18,11/01/16 09:15:00 PM,53.253,,,,,
19,11/01/16 09:30:00 PM,53.253,,,,,
20,11/01/16 09:45:00 PM,53.253,,,,,
21,11/01/16 10:00:00 PM,53.253,,,,,
22,11/01/16 10:15:00 PM,53.253,,,,,
23,11/01/16 10:30:00 PM,53.253,,,,,
24,11/01/16 10:45:00 PM,53.209,,,,,
25,11/01/16 11:00:00 PM,53.209,,,,,
26,11/01/16 11:15:00 PM,53.209,,,,,
27,11/01/16 11:30:00 PM,53.166,,,,,
28,11/01/16 11:45:00 PM,53.121,,,,,
29,11/02/16 12:00:00 AM,53.121,,,,,
30,11/02/16 12:15:00 AM,53.121,,,,,
31,11/02/16 12:30:00 AM,53.078,,,,,
32,11/02/16 12:45:00 AM,53.078,,,,,
33,11/02/16 01:00:00 AM,53.035,,,,,
34,11/02/16 01:15:00 AM,52.992,,,,,
35,11/02/16 01:30:00 AM,52.947,,,,,
36,11/02/16 01:45:00 AM,52.903,,,,,
37,11/02/16 02:00:00 AM,52.860,,,,,
38,11/02/16 02:15:00 AM,52.817,,,,,
39,11/02/16 02:30:00 AM,52.772,,,,,
40,11/02/16 02:45:00 AM,52.729,,,,,
41,11/02/16 03:00:00 AM,52.686,,,,,
