"Plot Title: Plum #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719020, SEN S/N: 10719020)","Coupler Detached (LGR S/N: 10719020)","Coupler Attached (LGR S/N: 10719020)","Host Connected (LGR S/N: 10719020)","Stopped (LGR S/N: 10719020)","End Of File (LGR S/N: 10719020)"
1,11/01/16 06:00:00 PM,52.772,Logged,,,,
2,11/01/16 06:15:00 PM,52.817,,,,,
3,11/01/16 06:30:00 PM,52.817,,,,,
4,11/01/16 06:45:00 PM,52.817,,,,,
5,11/01/16 07:00:00 PM,52.772,,,,,
6,11/01/16 07:15:00 PM,52.772,,,,,
7,11/01/16 07:30:00 PM,52.729,,,,,
8,11/01/16 07:45:00 PM,52.641,,,,,
9,11/01/16 08:00:00 PM,52.597,,,,,
10,11/01/16 08:15:00 PM,52.554,,,,,
11,11/01/16 08:30:00 PM,52.554,,,,,
12,11/01/16 08:45:00 PM,52.509,,,,,
13,11/01/16 09:00:00 PM,52.509,,,,,
14,11/01/16 09:15:00 PM,52.509,,,,,
15,11/01/16 09:30:00 PM,52.466,,,,,
16,11/01/16 09:45:00 PM,52.466,,,,,
17,11/01/16 10:00:00 PM,52.423,,,,,
18,11/01/16 10:15:00 PM,52.378,,,,,
19,11/01/16 10:30:00 PM,52.335,,,,,
20,11/01/16 10:45:00 PM,52.335,,,,,
21,11/01/16 11:00:00 PM,52.291,,,,,
22,11/01/16 11:15:00 PM,52.246,,,,,
23,11/01/16 11:30:00 PM,52.203,,,,,
24,11/01/16 11:45:00 PM,52.203,,,,,
25,11/02/16 12:00:00 AM,52.160,,,,,
26,11/02/16 12:15:00 AM,52.160,,,,,
27,11/02/16 12:30:00 AM,52.115,,,,,
28,11/02/16 12:45:00 AM,52.115,,,,,
29,11/02/16 01:00:00 AM,52.115,,,,,
30,11/02/16 01:15:00 AM,52.072,,,,,
31,11/02/16 01:30:00 AM,52.029,,,,,
32,11/02/16 01:45:00 AM,52.029,,,,,
33,11/02/16 02:00:00 AM,51.984,,,,,
34,11/02/16 02:15:00 AM,51.984,,,,,
