"Plot Title: Plum #4"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719020, SEN S/N: 10719020)","Coupler Detached (LGR S/N: 10719020)","Coupler Attached (LGR S/N: 10719020)","Host Connected (LGR S/N: 10719020)","Stopped (LGR S/N: 10719020)","End Of File (LGR S/N: 10719020)"
1,06/21/17 03:00:00 PM,71.103,Logged,,,,
2,06/21/17 03:15:00 PM,71.490,,,,,
3,06/21/17 03:30:00 PM,71.834,,,,,
4,06/21/17 03:45:00 PM,72.178,,,,,
5,06/21/17 04:00:00 PM,72.394,,,,,
6,06/21/17 04:15:00 PM,72.610,,,,,
7,06/21/17 04:30:00 PM,72.739,,,,,
8,06/21/17 04:45:00 PM,72.739,,,,,
9,06/21/17 05:00:00 PM,72.783,,,,,
10,06/21/17 05:15:00 PM,72.739,,,,,
11,06/21/17 05:30:00 PM,72.739,,,,,
12,06/21/17 05:45:00 PM,72.739,,,,,
13,06/21/17 06:00:00 PM,72.739,,,,,
14,06/21/17 06:15:00 PM,72.739,,,,,
15,06/21/17 06:30:00 PM,72.653,,,,,
16,06/21/17 06:45:00 PM,72.610,,,,,
17,06/21/17 07:00:00 PM,72.523,,,,,
18,06/21/17 07:15:00 PM,72.437,,,,,
19,06/21/17 07:30:00 PM,72.307,,,,,
20,06/21/17 07:45:00 PM,72.221,,,,,
21,06/21/17 08:00:00 PM,72.136,,,,,
22,06/21/17 08:15:00 PM,72.007,,,,,
23,06/21/17 08:30:00 PM,71.877,,,,,
24,06/21/17 08:45:00 PM,71.791,,,,,
25,06/21/17 09:00:00 PM,71.620,,,,,
26,06/21/17 09:15:00 PM,71.490,,,,,
27,06/21/17 09:30:00 PM,71.274,,,,,
28,06/21/17 09:45:00 PM,71.103,,,,,
29,06/21/17 10:00:00 PM,70.930,,,,,
30,06/21/17 10:15:00 PM,70.759,,,,,
31,06/21/17 10:30:00 PM,70.587,,,,,
32,06/21/17 10:45:00 PM,70.416,,,,,
33,06/21/17 11:00:00 PM,70.201,,,,,
34,06/21/17 11:15:00 PM,70.029,,,,,
35,06/21/17 11:30:00 PM,69.858,,,,,
36,06/21/17 11:45:00 PM,69.685,,,,,
37,06/22/17 12:00:00 AM,69.471,,,,,
38,06/22/17 12:15:00 AM,69.300,,,,,
39,06/22/17 12:30:00 AM,69.129,,,,,
40,06/22/17 12:45:00 AM,68.999,,,,,
41,06/22/17 01:00:00 AM,68.828,,,,,
42,06/22/17 01:15:00 AM,68.657,,,,,
43,06/22/17 01:30:00 AM,68.484,,,,,
44,06/22/17 01:45:00 AM,68.313,,,,,
45,06/22/17 02:00:00 AM,68.099,,,,,
46,06/22/17 02:15:00 AM,67.928,,,,,
47,06/22/17 02:30:00 AM,67.757,,,,,
48,06/22/17 02:45:00 AM,67.586,,,,,
49,06/22/17 03:00:00 AM,67.456,,,,,
50,06/22/17 03:15:00 AM,67.285,,,,,
51,06/22/17 03:30:00 AM,67.114,,,,,
52,06/22/17 03:45:00 AM,66.943,,,,,
53,06/22/17 04:00:00 AM,66.772,,,,,
54,06/22/17 04:15:00 AM,66.643,,,,,
55,06/22/17 04:30:00 AM,66.472,,,,,
56,06/22/17 04:45:00 AM,66.344,,,,,
57,06/22/17 05:00:00 AM,66.173,,,,,
58,06/22/17 05:15:00 AM,66.043,,,,,
59,06/22/17 05:30:00 AM,65.872,,,,,
60,06/22/17 05:45:00 AM,65.745,,,,,
61,06/22/17 06:00:00 AM,65.615,,,,,
62,06/22/17 06:15:00 AM,65.487,,,,,
63,06/22/17 06:30:00 AM,65.359,,,,,
64,06/22/17 06:45:00 AM,65.273,,,,,
65,06/22/17 07:00:00 AM,65.145,,,,,
66,06/22/17 07:15:00 AM,65.102,,,,,
67,06/22/17 07:30:00 AM,65.017,,,,,
68,06/22/17 07:45:00 AM,64.931,,,,,
69,06/22/17 08:00:00 AM,64.888,,,,,
70,06/22/17 08:15:00 AM,64.803,,,,,
71,06/22/17 08:30:00 AM,64.717,,,,,
72,06/22/17 08:45:00 AM,64.674,,,,,
73,06/22/17 09:00:00 AM,64.674,,,,,
74,06/22/17 09:15:00 AM,64.717,,,,,
75,06/22/17 09:30:00 AM,64.717,,,,,
76,06/22/17 09:45:00 AM,64.674,,,,,
77,06/22/17 10:00:00 AM,64.760,,,,,
78,06/22/17 10:15:00 AM,64.803,,,,,
79,06/22/17 10:30:00 AM,64.888,,,,,
80,06/22/17 10:45:00 AM,64.931,,,,,
81,06/22/17 11:00:00 AM,65.145,,,,,
82,06/22/17 11:15:00 AM,65.188,,,,,
83,06/22/17 11:30:00 AM,65.102,,,,,
84,06/22/17 11:45:00 AM,65.359,,,,,
85,06/22/17 12:00:00 PM,65.658,,,,,
86,06/22/17 12:15:00 PM,65.872,,,,,
87,06/22/17 12:30:00 PM,66.043,,,,,
88,06/22/17 12:45:00 PM,66.301,,,,,
89,06/22/17 01:00:00 PM,66.686,,,,,
90,06/22/17 01:15:00 PM,66.985,,,,,
91,06/22/17 01:30:00 PM,67.199,,,,,
92,06/22/17 01:45:00 PM,67.372,,,,,
93,06/22/17 02:00:00 PM,67.714,,,,,
94,06/22/17 02:15:00 PM,68.013,,,,,
95,06/22/17 02:30:00 PM,68.400,,,,,
96,06/22/17 02:45:00 PM,68.742,,,,,
97,06/22/17 03:00:00 PM,69.129,,,,,
98,06/22/17 03:15:00 PM,69.514,,,,,
99,06/22/17 03:30:00 PM,69.771,,,,,
100,06/22/17 03:45:00 PM,69.771,,,,,
101,06/22/17 04:00:00 PM,69.685,,,,,
102,06/22/17 04:15:00 PM,69.557,,,,,
103,06/22/17 04:30:00 PM,69.471,,,,,
104,06/22/17 04:45:00 PM,69.343,,,,,
105,06/22/17 05:00:00 PM,69.256,,,,,
106,06/22/17 05:15:00 PM,69.213,,,,,
107,06/22/17 05:30:00 PM,69.129,,,,,
108,06/22/17 05:45:00 PM,69.129,,,,,
109,06/22/17 06:00:00 PM,69.085,,,,,
110,06/22/17 06:15:00 PM,68.913,,,,,
111,06/22/17 06:30:00 PM,68.742,,,,,
112,06/22/17 06:45:00 PM,68.657,,,,,
113,06/22/17 07:00:00 PM,68.484,,,,,
114,06/22/17 07:15:00 PM,68.313,,,,,
115,06/22/17 07:30:00 PM,68.056,,,,,
116,06/22/17 07:45:00 PM,67.798,,,,,
117,06/22/17 08:00:00 PM,67.543,,,,,
118,06/22/17 08:15:00 PM,67.329,,,,,
119,06/22/17 08:30:00 PM,67.114,,,,,
120,06/22/17 08:45:00 PM,66.900,,,,,
121,06/22/17 09:00:00 PM,66.729,,,,,
122,06/22/17 09:15:00 PM,66.515,,,,,
123,06/22/17 09:30:00 PM,66.344,,,,,
124,06/22/17 09:45:00 PM,66.130,,,,,
125,06/22/17 10:00:00 PM,65.872,,,,,
126,06/22/17 10:15:00 PM,65.658,,,,,
127,06/22/17 10:30:00 PM,65.444,,,,,
128,06/22/17 10:45:00 PM,65.230,,,,,
129,06/22/17 11:00:00 PM,64.974,,,,,
130,06/22/17 11:15:00 PM,64.717,,,,,
131,06/22/17 11:30:00 PM,64.459,,,,,
132,06/22/17 11:45:00 PM,64.204,,,,,
133,06/23/17 12:00:00 AM,63.946,,,,,
134,06/23/17 12:15:00 AM,63.689,,,,,
135,06/23/17 12:30:00 AM,63.475,,,,,
136,06/23/17 12:45:00 AM,63.262,,,,,
137,06/23/17 01:00:00 AM,63.090,,,,,
138,06/23/17 01:15:00 AM,62.875,,,,,
139,06/23/17 01:30:00 AM,62.704,,,,,
140,06/23/17 01:45:00 AM,62.533,,,,,
141,06/23/17 02:00:00 AM,62.406,,,,,
142,06/23/17 02:15:00 AM,62.276,,,,,
143,06/23/17 02:30:00 AM,62.148,,,,,
144,06/23/17 02:45:00 AM,62.019,,,,,
145,06/23/17 03:00:00 AM,61.891,,,,,
146,06/23/17 03:15:00 AM,61.720,,,,,
147,06/23/17 03:30:00 AM,61.590,,,,,
148,06/23/17 03:45:00 AM,61.419,,,,,
149,06/23/17 04:00:00 AM,61.248,,,,,
150,06/23/17 04:15:00 AM,61.119,,,,,
151,06/23/17 04:30:00 AM,60.991,,,,,
152,06/23/17 04:45:00 AM,60.818,,,,,
153,06/23/17 05:00:00 AM,60.690,,,,,
154,06/23/17 05:15:00 AM,60.561,,,,,
155,06/23/17 05:30:00 AM,60.433,,,,,
156,06/23/17 05:45:00 AM,60.303,,,,,
157,06/23/17 06:00:00 AM,60.217,,,,,
158,06/23/17 06:15:00 AM,60.089,,,,,
159,06/23/17 06:30:00 AM,59.959,,,,,
160,06/23/17 06:45:00 AM,59.873,,,,,
161,06/23/17 07:00:00 AM,59.745,,,,,
162,06/23/17 07:15:00 AM,59.616,,,,,
163,06/23/17 07:30:00 AM,59.529,,,,,
164,06/23/17 07:45:00 AM,59.401,,,,,
165,06/23/17 08:00:00 AM,59.272,,,,,
166,06/23/17 08:15:00 AM,59.185,,,,,
167,06/23/17 08:30:00 AM,59.099,,,,,
168,06/23/17 08:45:00 AM,59.014,,,,,
169,06/23/17 09:00:00 AM,58.928,,,,,
170,06/23/17 09:15:00 AM,58.928,,,,,
171,06/23/17 09:30:00 AM,58.928,,,,,
172,06/23/17 09:45:00 AM,58.928,,,,,
173,06/23/17 10:00:00 AM,58.928,,,,,
174,06/23/17 10:15:00 AM,59.014,,,,,
175,06/23/17 10:30:00 AM,59.099,,,,,
176,06/23/17 10:45:00 AM,59.229,,,,,
177,06/23/17 11:00:00 AM,59.486,,,,,
178,06/23/17 11:15:00 AM,59.616,,,,,
179,06/23/17 11:30:00 AM,59.659,,,,,
180,06/23/17 11:45:00 AM,59.959,,,,,
181,06/23/17 12:00:00 PM,60.132,,,,,
182,06/23/17 12:15:00 PM,60.390,,,,,
183,06/23/17 12:30:00 PM,60.733,,,,,
184,06/23/17 12:45:00 PM,61.032,,,,,
185,06/23/17 01:00:00 PM,61.119,,,,,
186,06/23/17 01:15:00 PM,61.376,,,,,
187,06/23/17 01:30:00 PM,61.677,,,,,
