"Plot Title: Plum 8"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719029, SEN S/N: 10719029)","Coupler Detached (LGR S/N: 10719029)","Coupler Attached (LGR S/N: 10719029)","Host Connected (LGR S/N: 10719029)","Stopped (LGR S/N: 10719029)","End Of File (LGR S/N: 10719029)"
1,06/22/17 01:00:00 PM,67.114,Logged,,,,
2,06/22/17 01:15:00 PM,67.627,,,,,
3,06/22/17 01:30:00 PM,68.056,,,,,
4,06/22/17 01:45:00 PM,68.313,,,,,
5,06/22/17 02:00:00 PM,68.571,,,,,
6,06/22/17 02:15:00 PM,69.129,,,,,
7,06/22/17 02:30:00 PM,69.771,,,,,
8,06/22/17 02:45:00 PM,70.286,,,,,
9,06/22/17 03:00:00 PM,70.587,,,,,
10,06/22/17 03:15:00 PM,71.103,,,,,
11,06/22/17 03:30:00 PM,71.620,,,,,
12,06/22/17 03:45:00 PM,71.577,,,,,
13,06/22/17 04:00:00 PM,71.317,,,,,
14,06/22/17 04:15:00 PM,71.190,,,,,
15,06/22/17 04:30:00 PM,71.017,,,,,
16,06/22/17 04:45:00 PM,70.716,,,,,
17,06/22/17 05:00:00 PM,70.543,,,,,
18,06/22/17 05:15:00 PM,70.543,,,,,
19,06/22/17 05:30:00 PM,70.416,,,,,
20,06/22/17 05:45:00 PM,70.459,,,,,
21,06/22/17 06:00:00 PM,70.459,,,,,
22,06/22/17 06:15:00 PM,70.286,,,,,
23,06/22/17 06:30:00 PM,70.029,,,,,
24,06/22/17 06:45:00 PM,69.901,,,,,
25,06/22/17 07:00:00 PM,69.771,,,,,
26,06/22/17 07:15:00 PM,69.514,,,,,
27,06/22/17 07:30:00 PM,69.213,,,,,
28,06/22/17 07:45:00 PM,68.871,,,,,
29,06/22/17 08:00:00 PM,68.571,,,,,
30,06/22/17 08:15:00 PM,68.227,,,,,
31,06/22/17 08:30:00 PM,67.928,,,,,
32,06/22/17 08:45:00 PM,67.671,,,,,
33,06/22/17 09:00:00 PM,67.413,,,,,
34,06/22/17 09:15:00 PM,67.114,,,,,
35,06/22/17 09:30:00 PM,66.814,,,,,
36,06/22/17 09:45:00 PM,66.515,,,,,
37,06/22/17 10:00:00 PM,66.214,,,,,
38,06/22/17 10:15:00 PM,65.872,,,,,
39,06/22/17 10:30:00 PM,65.530,,,,,
40,06/22/17 10:45:00 PM,65.188,,,,,
41,06/22/17 11:00:00 PM,64.803,,,,,
42,06/22/17 11:15:00 PM,64.418,,,,,
43,06/22/17 11:30:00 PM,64.074,,,,,
44,06/22/17 11:45:00 PM,63.732,,,,,
45,06/23/17 12:00:00 AM,63.347,,,,,
46,06/23/17 12:15:00 AM,63.005,,,,,
47,06/23/17 12:30:00 AM,62.661,,,,,
48,06/23/17 12:45:00 AM,62.362,,,,,
49,06/23/17 01:00:00 AM,62.062,,,,,
50,06/23/17 01:15:00 AM,61.761,,,,,
51,06/23/17 01:30:00 AM,61.506,,,,,
52,06/23/17 01:45:00 AM,61.248,,,,,
53,06/23/17 02:00:00 AM,60.991,,,,,
54,06/23/17 02:15:00 AM,60.733,,,,,
55,06/23/17 02:30:00 AM,60.474,,,,,
56,06/23/17 02:45:00 AM,60.260,,,,,
57,06/23/17 03:00:00 AM,60.046,,,,,
58,06/23/17 03:15:00 AM,59.830,,,,,
59,06/23/17 03:30:00 AM,59.572,,,,,
60,06/23/17 03:45:00 AM,59.272,,,,,
61,06/23/17 04:00:00 AM,59.099,,,,,
62,06/23/17 04:15:00 AM,58.842,,,,,
63,06/23/17 04:30:00 AM,58.626,,,,,
64,06/23/17 04:45:00 AM,58.455,,,,,
65,06/23/17 05:00:00 AM,58.239,,,,,
66,06/23/17 05:15:00 AM,58.066,,,,,
67,06/23/17 05:30:00 AM,57.893,,,,,
68,06/23/17 05:45:00 AM,57.722,,,,,
69,06/23/17 06:00:00 AM,57.549,,,,,
70,06/23/17 06:15:00 AM,57.463,,,,,
71,06/23/17 06:30:00 AM,57.333,,,,,
72,06/23/17 06:45:00 AM,57.204,,,,,
73,06/23/17 07:00:00 AM,57.074,,,,,
74,06/23/17 07:15:00 AM,56.944,,,,,
75,06/23/17 07:30:00 AM,56.815,,,,,
76,06/23/17 07:45:00 AM,56.728,,,,,
77,06/23/17 08:00:00 AM,56.599,,,,,
78,06/23/17 08:15:00 AM,56.512,,,,,
79,06/23/17 08:30:00 AM,56.426,,,,,
80,06/23/17 08:45:00 AM,56.383,,,,,
81,06/23/17 09:00:00 AM,56.426,,,,,
82,06/23/17 09:15:00 AM,56.556,,,,,
83,06/23/17 09:30:00 AM,56.728,,,,,
84,06/23/17 09:45:00 AM,56.815,,,,,
85,06/23/17 10:00:00 AM,57.117,,,,,
86,06/23/17 10:15:00 AM,57.376,,,,,
87,06/23/17 10:30:00 AM,57.506,,,,,
88,06/23/17 10:45:00 AM,57.850,,,,,
89,06/23/17 11:00:00 AM,58.411,,,,,
90,06/23/17 11:15:00 AM,58.712,,,,,
91,06/23/17 11:30:00 AM,58.971,,,,,
92,06/23/17 11:45:00 AM,59.185,,,,,
93,06/23/17 12:00:00 PM,59.529,,,,,
94,06/23/17 12:15:00 PM,60.174,,,,,
95,06/23/17 12:30:00 PM,60.561,,,,,
96,06/23/17 12:45:00 PM,60.861,,,,,
97,06/23/17 01:00:00 PM,61.633,,,,,
98,06/23/17 01:15:00 PM,62.062,,,,,
99,06/23/17 01:30:00 PM,62.447,,,,,
100,06/23/17 01:45:00 PM,62.919,,,,,
101,06/23/17 02:00:00 PM,63.347,,,,,
102,06/23/17 02:15:00 PM,63.990,,,,,
103,06/23/17 02:30:00 PM,64.418,,,,,
104,06/23/17 02:45:00 PM,65.102,,,,,
105,06/23/17 03:00:00 PM,65.273,,,,,
106,06/23/17 03:15:00 PM,65.574,,,,,
107,06/23/17 03:30:00 PM,66.043,,,,,
108,06/23/17 03:45:00 PM,66.301,,,,,
109,06/23/17 04:00:00 PM,66.130,,,,,
110,06/23/17 04:15:00 PM,66.214,,,,,
111,06/23/17 04:30:00 PM,66.344,,,,,
112,06/23/17 04:45:00 PM,66.385,,,,,
113,06/23/17 05:00:00 PM,66.214,,,,,
114,06/23/17 05:15:00 PM,66.344,,,,,
115,06/23/17 05:30:00 PM,66.558,,,,,
116,06/23/17 05:45:00 PM,66.600,,,,,
117,06/23/17 06:00:00 PM,66.385,,,,,
118,06/23/17 06:15:00 PM,66.130,,,,,
119,06/23/17 06:30:00 PM,66.000,,,,,
120,06/23/17 06:45:00 PM,65.788,,,,,
121,06/23/17 07:00:00 PM,65.530,,,,,
122,06/23/17 07:15:00 PM,65.188,,,,,
123,06/23/17 07:30:00 PM,64.888,,,,,
124,06/23/17 07:45:00 PM,64.632,,,,,
125,06/23/17 08:00:00 PM,64.332,,,,,
126,06/23/17 08:15:00 PM,64.074,,,,,
127,06/23/17 08:30:00 PM,63.862,,,,,
128,06/23/17 08:45:00 PM,63.648,,,,,
129,06/23/17 09:00:00 PM,63.518,,,,,
130,06/23/17 09:15:00 PM,63.390,,,,,
131,06/23/17 09:30:00 PM,63.219,,,,,
132,06/23/17 09:45:00 PM,63.048,,,,,
133,06/23/17 10:00:00 PM,62.791,,,,,
134,06/23/17 10:15:00 PM,62.533,,,,,
135,06/23/17 10:30:00 PM,62.233,,,,,
136,06/23/17 10:45:00 PM,61.891,,,,,
137,06/23/17 11:00:00 PM,61.547,,,,,
138,06/23/17 11:15:00 PM,61.162,,,,,
139,06/23/17 11:30:00 PM,60.818,,,,,
140,06/23/17 11:45:00 PM,60.390,,,,,
141,06/24/17 12:00:00 AM,60.003,,,,,
142,06/24/17 12:15:00 AM,59.616,,,,,
143,06/24/17 12:30:00 AM,59.272,,,,,
144,06/24/17 12:45:00 AM,58.885,,,,,
145,06/24/17 01:00:00 AM,58.541,,,,,
146,06/24/17 01:15:00 AM,58.152,,,,,
147,06/24/17 01:30:00 AM,57.807,,,,,
148,06/24/17 01:45:00 AM,57.463,,,,,
149,06/24/17 02:00:00 AM,57.117,,,,,
150,06/24/17 02:15:00 AM,56.772,,,,,
151,06/24/17 02:30:00 AM,56.469,,,,,
152,06/24/17 02:45:00 AM,56.165,,,,,
153,06/24/17 03:00:00 AM,55.863,,,,,
154,06/24/17 03:15:00 AM,55.602,,,,,
155,06/24/17 03:30:00 AM,55.386,,,,,
156,06/24/17 03:45:00 AM,55.125,,,,,
157,06/24/17 04:00:00 AM,54.909,,,,,
158,06/24/17 04:15:00 AM,54.691,,,,,
159,06/24/17 04:30:00 AM,54.473,,,,,
160,06/24/17 04:45:00 AM,54.300,,,,,
161,06/24/17 05:00:00 AM,54.082,,,,,
162,06/24/17 05:15:00 AM,53.908,,,,,
163,06/24/17 05:30:00 AM,53.690,,,,,
164,06/24/17 05:45:00 AM,53.515,,,,,
165,06/24/17 06:00:00 AM,53.341,,,,,
166,06/24/17 06:15:00 AM,53.166,,,,,
167,06/24/17 06:30:00 AM,53.035,,,,,
168,06/24/17 06:45:00 AM,52.860,,,,,
169,06/24/17 07:00:00 AM,52.729,,,,,
170,06/24/17 07:15:00 AM,52.641,,,,,
171,06/24/17 07:30:00 AM,52.641,,,,,
172,06/24/17 07:45:00 AM,52.597,,,,,
173,06/24/17 08:00:00 AM,52.554,,,,,
174,06/24/17 08:15:00 AM,52.554,,,,,
175,06/24/17 08:30:00 AM,52.641,,,,,
176,06/24/17 08:45:00 AM,52.729,,,,,
177,06/24/17 09:00:00 AM,52.903,,,,,
178,06/24/17 09:15:00 AM,53.121,,,,,
179,06/24/17 09:30:00 AM,53.341,,,,,
180,06/24/17 09:45:00 AM,53.602,,,,,
181,06/24/17 10:00:00 AM,53.951,,,,,
182,06/24/17 10:15:00 AM,54.343,,,,,
183,06/24/17 10:30:00 AM,54.777,,,,,
184,06/24/17 10:45:00 AM,55.299,,,,,
185,06/24/17 11:00:00 AM,55.819,,,,,
186,06/24/17 11:15:00 AM,56.469,,,,,
187,06/24/17 11:30:00 AM,56.728,,,,,
188,06/24/17 11:45:00 AM,57.247,,,,,
189,06/24/17 12:00:00 PM,58.023,,,,,
190,06/24/17 12:15:00 PM,58.455,,,,,
191,06/24/17 12:30:00 PM,58.669,,,,,
192,06/24/17 12:45:00 PM,59.014,,,,,
193,06/24/17 01:00:00 PM,59.529,,,,,
194,06/24/17 01:15:00 PM,60.046,,,,,
195,06/24/17 01:30:00 PM,60.260,,,,,
196,06/24/17 01:45:00 PM,60.474,,,,,
197,06/24/17 02:00:00 PM,60.818,,,,,
198,06/24/17 02:15:00 PM,61.119,,,,,
199,06/24/17 02:30:00 PM,61.290,,,,,
200,06/24/17 02:45:00 PM,61.977,,,,,
201,06/24/17 03:00:00 PM,62.661,,,,,
202,06/24/17 03:15:00 PM,63.048,,,,,
203,06/24/17 03:30:00 PM,63.219,,,,,
204,06/24/17 03:45:00 PM,63.561,,,,,
205,06/24/17 04:00:00 PM,63.990,,,,,
206,06/24/17 04:15:00 PM,63.775,,,,,
207,06/24/17 04:30:00 PM,63.862,,,,,
208,06/24/17 04:45:00 PM,64.418,,,,,
209,06/24/17 05:00:00 PM,64.674,,,,,
210,06/24/17 05:15:00 PM,64.674,,,,,
211,06/24/17 05:30:00 PM,64.674,,,,,
