"Plot Title: PL#8"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739546, SEN S/N: 10739546)","Coupler Detached (LGR S/N: 10739546)","Coupler Attached (LGR S/N: 10739546)","Host Connected (LGR S/N: 10739546)","Stopped (LGR S/N: 10739546)","End Of File (LGR S/N: 10739546)"
1,06/22/17 12:00:00 PM,65.444,Logged,,,,
2,06/22/17 12:15:00 PM,66.087,,,,,
3,06/22/17 12:30:00 PM,66.686,,,,,
4,06/22/17 12:45:00 PM,67.158,,,,,
5,06/22/17 01:00:00 PM,67.627,,,,,
6,06/22/17 01:15:00 PM,68.185,,,,,
7,06/22/17 01:30:00 PM,68.828,,,,,
8,06/22/17 01:45:00 PM,69.300,,,,,
9,06/22/17 02:00:00 PM,69.685,,,,,
10,06/22/17 02:15:00 PM,70.201,,,,,
11,06/22/17 02:30:00 PM,70.716,,,,,
12,06/22/17 02:45:00 PM,71.231,,,,,
13,06/22/17 03:00:00 PM,71.791,,,,,
14,06/22/17 03:15:00 PM,72.221,,,,,
15,06/22/17 03:30:00 PM,72.480,,,,,
16,06/22/17 03:45:00 PM,72.696,,,,,
17,06/22/17 04:00:00 PM,72.826,,,,,
18,06/22/17 04:15:00 PM,72.783,,,,,
19,06/22/17 04:30:00 PM,72.653,,,,,
20,06/22/17 04:45:00 PM,72.567,,,,,
21,06/22/17 05:00:00 PM,72.437,,,,,
22,06/22/17 05:15:00 PM,72.307,,,,,
23,06/22/17 05:30:00 PM,72.136,,,,,
24,06/22/17 05:45:00 PM,72.050,,,,,
25,06/22/17 06:00:00 PM,71.834,,,,,
26,06/22/17 06:15:00 PM,71.661,,,,,
27,06/22/17 06:30:00 PM,71.404,,,,,
28,06/22/17 06:45:00 PM,71.103,,,,,
29,06/22/17 07:00:00 PM,70.887,,,,,
30,06/22/17 07:15:00 PM,70.673,,,,,
31,06/22/17 07:30:00 PM,70.372,,,,,
32,06/22/17 07:45:00 PM,70.072,,,,,
33,06/22/17 08:00:00 PM,69.771,,,,,
34,06/22/17 08:15:00 PM,69.471,,,,,
35,06/22/17 08:30:00 PM,69.170,,,,,
36,06/22/17 08:45:00 PM,68.828,,,,,
37,06/22/17 09:00:00 PM,68.484,,,,,
