"Plot Title: Plum #6"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719022, SEN S/N: 10719022)","Coupler Detached (LGR S/N: 10719022)","Coupler Attached (LGR S/N: 10719022)","Host Connected (LGR S/N: 10719022)","Stopped (LGR S/N: 10719022)","End Of File (LGR S/N: 10719022)"
1,11/02/16 10:00:00 AM,57.420,Logged,,,,
2,11/02/16 10:15:00 AM,51.458,,,,,
3,11/02/16 10:30:00 AM,51.458,,,,,
4,11/02/16 10:45:00 AM,51.544,,,,,
5,11/02/16 11:00:00 AM,51.589,,,,,
6,11/02/16 11:15:00 AM,51.633,,,,,
7,11/02/16 11:30:00 AM,51.764,,,,,
8,11/02/16 11:45:00 AM,52.072,,,,,
9,11/02/16 12:00:00 PM,52.246,,,,,
10,11/02/16 12:15:00 PM,52.554,,,,,
11,11/02/16 12:30:00 PM,52.729,,,,,
12,11/02/16 12:45:00 PM,52.947,,,,,
13,11/02/16 01:00:00 PM,52.992,,,,,
14,11/02/16 01:15:00 PM,53.166,,,,,
15,11/02/16 01:30:00 PM,53.341,,,,,
16,11/02/16 01:45:00 PM,53.602,,,,,
17,11/02/16 02:00:00 PM,53.645,,,,,
18,11/02/16 02:15:00 PM,53.820,,,,,
19,11/02/16 02:30:00 PM,54.037,,,,,
20,11/02/16 02:45:00 PM,54.255,,,,,
21,11/02/16 03:00:00 PM,54.387,,,,,
22,11/02/16 03:15:00 PM,54.516,,,,,
23,11/02/16 03:30:00 PM,54.648,,,,,
24,11/02/16 03:45:00 PM,54.734,,,,,
25,11/02/16 04:00:00 PM,54.820,,,,,
26,11/02/16 04:15:00 PM,54.820,,,,,
27,11/02/16 04:30:00 PM,54.865,,,,,
28,11/02/16 04:45:00 PM,54.865,,,,,
29,11/02/16 05:00:00 PM,54.865,,,,,
30,11/02/16 05:15:00 PM,54.909,,,,,
31,11/02/16 05:30:00 PM,54.952,,,,,
32,11/02/16 05:45:00 PM,54.952,,,,,
33,11/02/16 06:00:00 PM,54.995,,,,,
34,11/02/16 06:15:00 PM,54.995,,,,,
35,11/02/16 06:30:00 PM,54.952,,,,,
36,11/02/16 06:45:00 PM,54.909,,,,,
37,11/02/16 07:00:00 PM,54.820,,,,,
38,11/02/16 07:15:00 PM,54.734,,,,,
39,11/02/16 07:30:00 PM,54.648,,,,,
40,11/02/16 07:45:00 PM,54.516,,,,,
41,11/02/16 08:00:00 PM,54.387,,,,,
42,11/02/16 08:15:00 PM,54.255,,,,,
43,11/02/16 08:30:00 PM,54.126,,,,,
44,11/02/16 08:45:00 PM,53.994,,,,,
45,11/02/16 09:00:00 PM,53.908,,,,,
46,11/02/16 09:15:00 PM,53.776,,,,,
47,11/02/16 09:30:00 PM,53.645,,,,,
48,11/02/16 09:45:00 PM,53.559,,,,,
49,11/02/16 10:00:00 PM,53.427,,,,,
50,11/02/16 10:15:00 PM,53.298,,,,,
51,11/02/16 10:30:00 PM,53.209,,,,,
52,11/02/16 10:45:00 PM,53.078,,,,,
53,11/02/16 11:00:00 PM,52.947,,,,,
54,11/02/16 11:15:00 PM,52.817,,,,,
55,11/02/16 11:30:00 PM,52.686,,,,,
56,11/02/16 11:45:00 PM,52.554,,,,,
57,11/03/16 12:00:00 AM,52.378,,,,,
58,11/03/16 12:15:00 AM,52.246,,,,,
59,11/03/16 12:30:00 AM,52.072,,,,,
60,11/03/16 12:45:00 AM,51.895,,,,,
61,11/03/16 01:00:00 AM,51.721,,,,,
62,11/03/16 01:15:00 AM,51.544,,,,,
63,11/03/16 01:30:00 AM,51.370,,,,,
64,11/03/16 01:45:00 AM,51.193,,,,,
65,11/03/16 02:00:00 AM,51.017,,,,,
66,11/03/16 02:15:00 AM,50.841,,,,,
67,11/03/16 02:30:00 AM,50.664,,,,,
68,11/03/16 02:45:00 AM,50.488,,,,,
69,11/03/16 03:00:00 AM,50.356,,,,,
70,11/03/16 03:15:00 AM,50.180,,,,,
71,11/03/16 03:30:00 AM,50.002,,,,,
72,11/03/16 03:45:00 AM,49.870,,,,,
73,11/03/16 04:00:00 AM,49.692,,,,,
74,11/03/16 04:15:00 AM,49.561,,,,,
75,11/03/16 04:30:00 AM,49.428,,,,,
76,11/03/16 04:45:00 AM,49.294,,,,,
77,11/03/16 05:00:00 AM,49.161,,,,,
78,11/03/16 05:15:00 AM,49.028,,,,,
79,11/03/16 05:30:00 AM,48.895,,,,,
80,11/03/16 05:45:00 AM,48.805,,,,,
81,11/03/16 06:00:00 AM,48.672,,,,,
82,11/03/16 06:15:00 AM,48.583,,,,,
83,11/03/16 06:30:00 AM,48.450,,,,,
84,11/03/16 06:45:00 AM,48.360,,,,,
85,11/03/16 07:00:00 AM,48.272,,,,,
86,11/03/16 07:15:00 AM,48.227,,,,,
87,11/03/16 07:30:00 AM,48.094,,,,,
88,11/03/16 07:45:00 AM,48.004,,,,,
89,11/03/16 08:00:00 AM,47.914,,,,,
90,11/03/16 08:15:00 AM,47.871,,,,,
91,11/03/16 08:30:00 AM,47.826,,,,,
92,11/03/16 08:45:00 AM,47.826,,,,,
93,11/03/16 09:00:00 AM,47.781,,,,,
