"Plot Title: Plum #2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719018, SEN S/N: 10719018)","Coupler Detached (LGR S/N: 10719018)","Coupler Attached (LGR S/N: 10719018)","Host Connected (LGR S/N: 10719018)","Stopped (LGR S/N: 10719018)","End Of File (LGR S/N: 10719018)"
1,06/13/16 08:00:00 PM,84.497,Logged,,,,
2,06/13/16 08:15:00 PM,76.942,,,,,
3,06/13/16 08:30:00 PM,76.289,,,,,
4,06/13/16 08:45:00 PM,75.853,,,,,
5,06/13/16 09:00:00 PM,75.420,,,,,
6,06/13/16 09:15:00 PM,74.986,,,,,
7,06/13/16 09:30:00 PM,74.597,,,,,
8,06/13/16 09:45:00 PM,74.338,,,,,
9,06/13/16 10:00:00 PM,74.077,,,,,
10,06/13/16 10:15:00 PM,73.818,,,,,
11,06/13/16 10:30:00 PM,73.602,,,,,
12,06/13/16 10:45:00 PM,73.386,,,,,
13,06/13/16 11:00:00 PM,73.170,,,,,
14,06/13/16 11:15:00 PM,72.997,,,,,
15,06/13/16 11:30:00 PM,72.869,,,,,
16,06/13/16 11:45:00 PM,72.739,,,,,
17,06/14/16 12:00:00 AM,72.610,,,,,
18,06/14/16 12:15:00 AM,72.567,,,,,
19,06/14/16 12:30:00 AM,72.480,,,,,
20,06/14/16 12:45:00 AM,72.394,,,,,
21,06/14/16 01:00:00 AM,72.307,,,,,
22,06/14/16 01:15:00 AM,72.264,,,,,
23,06/14/16 01:30:00 AM,72.136,,,,,
24,06/14/16 01:45:00 AM,72.007,,,,,
25,06/14/16 02:00:00 AM,71.834,,,,,
26,06/14/16 02:15:00 AM,71.620,,,,,
27,06/14/16 02:30:00 AM,71.533,,,,,
28,06/14/16 02:45:00 AM,71.231,,,,,
29,06/14/16 03:00:00 AM,70.974,,,,,
30,06/14/16 03:15:00 AM,70.759,,,,,
31,06/14/16 03:30:00 AM,70.587,,,,,
32,06/14/16 03:45:00 AM,70.459,,,,,
33,06/14/16 04:00:00 AM,70.329,,,,,
34,06/14/16 04:15:00 AM,70.201,,,,,
35,06/14/16 04:30:00 AM,70.115,,,,,
36,06/14/16 04:45:00 AM,69.985,,,,,
37,06/14/16 05:00:00 AM,69.901,,,,,
38,06/14/16 05:15:00 AM,69.814,,,,,
