"Plot Title: Plum #7"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719023, SEN S/N: 10719023)","Coupler Detached (LGR S/N: 10719023)","Coupler Attached (LGR S/N: 10719023)","Stopped (LGR S/N: 10719023)","End Of File (LGR S/N: 10719023)"
1,07/10/15 12:00:00 PM,67.671,Logged,,,
2,07/10/15 12:15:00 PM,67.885,,,,
3,07/10/15 12:30:00 PM,68.099,,,,
4,07/10/15 12:45:00 PM,68.356,,,,
5,07/10/15 01:00:00 PM,68.571,,,,
6,07/10/15 01:15:00 PM,68.999,,,,
7,07/10/15 01:30:00 PM,69.256,,,,
8,07/10/15 01:45:00 PM,69.514,,,,
9,07/10/15 02:00:00 PM,69.728,,,,
10,07/10/15 02:15:00 PM,69.942,,,,
11,07/10/15 02:30:00 PM,70.158,,,,
12,07/10/15 02:45:00 PM,70.416,,,,
13,07/10/15 03:00:00 PM,70.673,,,,
14,07/10/15 03:15:00 PM,71.146,,,,
15,07/10/15 03:30:00 PM,71.704,,,,
16,07/10/15 03:45:00 PM,72.136,,,,
17,07/10/15 04:00:00 PM,72.480,,,,
18,07/10/15 04:15:00 PM,72.869,,,,
19,07/10/15 04:30:00 PM,72.997,,,,
20,07/10/15 04:45:00 PM,73.170,,,,
21,07/10/15 05:00:00 PM,73.515,,,,
22,07/10/15 05:15:00 PM,73.645,,,,
23,07/10/15 05:30:00 PM,73.688,,,,
24,07/10/15 05:45:00 PM,73.731,,,,
25,07/10/15 06:00:00 PM,73.731,,,,
26,07/10/15 06:15:00 PM,73.818,,,,
27,07/10/15 06:30:00 PM,73.774,,,,
28,07/10/15 06:45:00 PM,73.774,,,,
29,07/10/15 07:00:00 PM,73.861,,,,
30,07/10/15 07:15:00 PM,73.861,,,,
31,07/10/15 07:30:00 PM,73.861,,,,
32,07/10/15 07:45:00 PM,73.904,,,,
33,07/10/15 08:00:00 PM,73.774,,,,
34,07/10/15 08:15:00 PM,73.731,,,,
35,07/10/15 08:30:00 PM,73.688,,,,
36,07/10/15 08:45:00 PM,73.602,,,,
37,07/10/15 09:00:00 PM,73.429,,,,
38,07/10/15 09:15:00 PM,73.040,,,,
39,07/10/15 09:30:00 PM,72.826,,,,
40,07/10/15 09:45:00 PM,72.523,,,,
41,07/10/15 10:00:00 PM,72.264,,,,
42,07/10/15 10:15:00 PM,72.007,,,,
43,07/10/15 10:30:00 PM,71.791,,,,
44,07/10/15 10:45:00 PM,71.577,,,,
45,07/10/15 11:00:00 PM,71.317,,,,
46,07/10/15 11:15:00 PM,71.103,,,,
47,07/10/15 11:30:00 PM,70.803,,,,
48,07/10/15 11:45:00 PM,70.502,,,,
49,07/11/15 12:00:00 AM,70.243,,,,
50,07/11/15 12:15:00 AM,69.901,,,,
51,07/11/15 12:30:00 AM,69.557,,,,
52,07/11/15 12:45:00 AM,69.300,,,,
53,07/11/15 01:00:00 AM,68.999,,,,
54,07/11/15 01:15:00 AM,68.742,,,,
55,07/11/15 01:30:00 AM,68.527,,,,
56,07/11/15 01:45:00 AM,68.400,,,,
57,07/11/15 02:00:00 AM,68.270,,,,
58,07/11/15 02:15:00 AM,68.099,,,,
59,07/11/15 02:30:00 AM,67.971,,,,
60,07/11/15 02:45:00 AM,67.798,,,,
61,07/11/15 03:00:00 AM,67.714,,,,
62,07/11/15 03:15:00 AM,67.586,,,,
63,07/11/15 03:30:00 AM,67.500,,,,
64,07/11/15 03:45:00 AM,67.413,,,,
65,07/11/15 04:00:00 AM,67.372,,,,
66,07/11/15 04:15:00 AM,67.285,,,,
67,07/11/15 04:30:00 AM,67.158,,,,
68,07/11/15 04:45:00 AM,67.071,,,,
69,07/11/15 05:00:00 AM,67.028,,,,
70,07/11/15 05:15:00 AM,66.985,,,,
71,07/11/15 05:30:00 AM,66.900,,,,
72,07/11/15 05:45:00 AM,66.814,,,,
73,07/11/15 06:00:00 AM,66.729,,,,
74,07/11/15 06:15:00 AM,66.643,,,,
75,07/11/15 06:30:00 AM,66.515,,,,
76,07/11/15 06:45:00 AM,66.472,,,,
77,07/11/15 07:00:00 AM,66.429,,,,
78,07/11/15 07:15:00 AM,66.385,,,,
79,07/11/15 07:30:00 AM,66.301,,,,
80,07/11/15 07:45:00 AM,66.258,,,,
81,07/11/15 08:00:00 AM,66.173,,,,
82,07/11/15 08:15:00 AM,66.130,,,,
83,07/11/15 08:30:00 AM,66.130,,,,
84,07/11/15 08:45:00 AM,66.130,,,,
85,07/11/15 09:00:00 AM,66.214,,,,
86,07/11/15 09:15:00 AM,66.301,,,,
87,07/11/15 09:30:00 AM,66.385,,,,
88,07/11/15 09:45:00 AM,66.600,,,,
89,07/11/15 10:00:00 AM,66.643,,,,
90,07/11/15 10:15:00 AM,66.900,,,,
91,07/11/15 10:30:00 AM,67.158,,,,
92,07/11/15 10:45:00 AM,67.456,,,,
93,07/11/15 11:00:00 AM,67.757,,,,
94,07/11/15 11:15:00 AM,68.142,,,,
95,07/11/15 11:30:00 AM,68.527,,,,
96,07/11/15 11:45:00 AM,68.956,,,,
97,07/11/15 12:00:00 PM,69.256,,,,
98,07/11/15 12:15:00 PM,69.600,,,,
99,07/11/15 12:30:00 PM,70.072,,,,
100,07/11/15 12:45:00 PM,70.543,,,,
101,07/11/15 01:00:00 PM,71.146,,,,
102,07/11/15 01:15:00 PM,71.661,,,,
103,07/11/15 01:30:00 PM,72.136,,,,
104,07/11/15 01:45:00 PM,72.610,,,,
105,07/11/15 02:00:00 PM,72.955,,,,
106,07/11/15 02:15:00 PM,73.429,,,,
107,07/11/15 02:30:00 PM,73.861,,,,
108,07/11/15 02:45:00 PM,74.295,,,,
109,07/11/15 03:00:00 PM,74.727,,,,
110,07/11/15 03:15:00 PM,75.160,,,,
111,07/11/15 03:30:00 PM,75.508,,,,
112,07/11/15 03:45:00 PM,75.853,,,,
113,07/11/15 04:00:00 PM,76.203,,,,
