"Plot Title: Plum #8"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719024, SEN S/N: 10719024)","Coupler Detached (LGR S/N: 10719024)","Coupler Attached (LGR S/N: 10719024)","Host Connected (LGR S/N: 10719024)","Stopped (LGR S/N: 10719024)","End Of File (LGR S/N: 10719024)"
1,11/05/15 02:15:00 PM,53.341,Logged,,,,
2,11/05/15 02:30:00 PM,49.825,,,,,
3,11/05/15 02:45:00 PM,49.870,,,,,
4,11/05/15 03:00:00 PM,50.047,,,,,
5,11/05/15 03:15:00 PM,50.092,,,,,
6,11/05/15 03:30:00 PM,50.223,,,,,
7,11/05/15 03:45:00 PM,50.311,,,,,
8,11/05/15 04:00:00 PM,50.356,,,,,
9,11/05/15 04:15:00 PM,50.400,,,,,
10,11/05/15 04:30:00 PM,50.445,,,,,
11,11/05/15 04:45:00 PM,50.445,,,,,
12,11/05/15 05:00:00 PM,50.445,,,,,
13,11/05/15 05:15:00 PM,50.400,,,,,
14,11/05/15 05:30:00 PM,50.356,,,,,
15,11/05/15 05:45:00 PM,50.311,,,,,
16,11/05/15 06:00:00 PM,50.223,,,,,
17,11/05/15 06:15:00 PM,50.180,,,,,
18,11/05/15 06:30:00 PM,50.047,,,,,
19,11/05/15 06:45:00 PM,49.914,,,,,
20,11/05/15 07:00:00 PM,49.825,,,,,
21,11/05/15 07:15:00 PM,49.692,,,,,
22,11/05/15 07:30:00 PM,49.561,,,,,
23,11/05/15 07:45:00 PM,49.383,,,,,
24,11/05/15 08:00:00 PM,49.249,,,,,
25,11/05/15 08:15:00 PM,49.073,,,,,
26,11/05/15 08:30:00 PM,48.983,,,,,
27,11/05/15 08:45:00 PM,48.895,,,,,
28,11/05/15 09:00:00 PM,48.805,,,,,
29,11/05/15 09:15:00 PM,48.717,,,,,
30,11/05/15 09:30:00 PM,48.628,,,,,
31,11/05/15 09:45:00 PM,48.583,,,,,
32,11/05/15 10:00:00 PM,48.493,,,,,
33,11/05/15 10:15:00 PM,48.450,,,,,
34,11/05/15 10:30:00 PM,48.360,,,,,
35,11/05/15 10:45:00 PM,48.315,,,,,
36,11/05/15 11:00:00 PM,48.272,,,,,
37,11/05/15 11:15:00 PM,48.227,,,,,
38,11/05/15 11:30:00 PM,48.182,,,,,
39,11/05/15 11:45:00 PM,48.137,,,,,
40,11/06/15 12:00:00 AM,48.094,,,,,
41,11/06/15 12:15:00 AM,48.004,,,,,
42,11/06/15 12:30:00 AM,47.959,,,,,
43,11/06/15 12:45:00 AM,47.914,,,,,
44,11/06/15 01:00:00 AM,47.826,,,,,
45,11/06/15 01:15:00 AM,47.736,,,,,
46,11/06/15 01:30:00 AM,47.647,,,,,
47,11/06/15 01:45:00 AM,47.512,,,,,
48,11/06/15 02:00:00 AM,47.377,,,,,
49,11/06/15 02:15:00 AM,47.289,,,,,
50,11/06/15 02:30:00 AM,47.154,,,,,
51,11/06/15 02:45:00 AM,47.019,,,,,
52,11/06/15 03:00:00 AM,46.886,,,,,
