"Plot Title: PL#8"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739546, SEN S/N: 10739546)","Coupler Detached (LGR S/N: 10739546)","Coupler Attached (LGR S/N: 10739546)","Host Connected (LGR S/N: 10739546)","Stopped (LGR S/N: 10739546)","End Of File (LGR S/N: 10739546)"
1,06/14/16 11:00:00 AM,67.028,Logged,,,,
2,06/14/16 11:15:00 AM,67.456,,,,,
3,06/14/16 11:30:00 AM,67.928,,,,,
4,06/14/16 11:45:00 AM,68.443,,,,,
5,06/14/16 12:00:00 PM,68.913,,,,,
6,06/14/16 12:15:00 PM,69.427,,,,,
7,06/14/16 12:30:00 PM,70.115,,,,,
8,06/14/16 12:45:00 PM,70.673,,,,,
9,06/14/16 01:00:00 PM,71.017,,,,,
10,06/14/16 01:15:00 PM,71.404,,,,,
11,06/14/16 01:30:00 PM,72.178,,,,,
12,06/14/16 01:45:00 PM,72.826,,,,,
13,06/14/16 02:00:00 PM,73.342,,,,,
14,06/14/16 02:15:00 PM,73.688,,,,,
15,06/14/16 02:30:00 PM,73.990,,,,,
16,06/14/16 02:45:00 PM,74.424,,,,,
17,06/14/16 03:00:00 PM,74.683,,,,,
18,06/14/16 03:15:00 PM,74.943,,,,,
19,06/14/16 03:30:00 PM,75.333,,,,,
20,06/14/16 03:45:00 PM,75.724,,,,,
21,06/14/16 04:00:00 PM,76.071,,,,,
22,06/14/16 04:15:00 PM,76.246,,,,,
23,06/14/16 04:30:00 PM,76.203,,,,,
24,06/14/16 04:45:00 PM,75.898,,,,,
25,06/14/16 05:00:00 PM,75.724,,,,,
26,06/14/16 05:15:00 PM,75.637,,,,,
27,06/14/16 05:30:00 PM,75.594,,,,,
28,06/14/16 05:45:00 PM,75.637,,,,,
29,06/14/16 06:00:00 PM,75.637,,,,,
30,06/14/16 06:15:00 PM,75.551,,,,,
31,06/14/16 06:30:00 PM,75.376,,,,,
32,06/14/16 06:45:00 PM,75.204,,,,,
33,06/14/16 07:00:00 PM,75.074,,,,,
34,06/14/16 07:15:00 PM,74.856,,,,,
35,06/14/16 07:30:00 PM,74.683,,,,,
36,06/14/16 07:45:00 PM,74.467,,,,,
37,06/14/16 08:00:00 PM,74.206,,,,,
38,06/14/16 08:15:00 PM,74.034,,,,,
39,06/14/16 08:30:00 PM,73.861,,,,,
40,06/14/16 08:45:00 PM,73.774,,,,,
41,06/14/16 09:00:00 PM,73.688,,,,,
42,06/14/16 09:15:00 PM,73.558,,,,,
43,06/14/16 09:30:00 PM,73.386,,,,,
44,06/14/16 09:45:00 PM,73.213,,,,,
45,06/14/16 10:00:00 PM,73.083,,,,,
46,06/14/16 10:15:00 PM,72.869,,,,,
47,06/14/16 10:30:00 PM,72.610,,,,,
48,06/14/16 10:45:00 PM,72.307,,,,,
49,06/14/16 11:00:00 PM,71.964,,,,,
50,06/14/16 11:15:00 PM,71.704,,,,,
51,06/14/16 11:30:00 PM,71.447,,,,,
52,06/14/16 11:45:00 PM,71.190,,,,,
53,06/15/16 12:00:00 AM,70.974,,,,,
54,06/15/16 12:15:00 AM,70.759,,,,,
55,06/15/16 12:30:00 AM,70.543,,,,,
56,06/15/16 12:45:00 AM,70.286,,,,,
57,06/15/16 01:00:00 AM,70.029,,,,,
58,06/15/16 01:15:00 AM,69.771,,,,,
59,06/15/16 01:30:00 AM,69.557,,,,,
60,06/15/16 01:45:00 AM,69.343,,,,,
61,06/15/16 02:00:00 AM,69.129,,,,,
62,06/15/16 02:15:00 AM,68.913,,,,,
63,06/15/16 02:30:00 AM,68.698,,,,,
64,06/15/16 02:45:00 AM,68.484,,,,,
65,06/15/16 03:00:00 AM,68.313,,,,,
66,06/15/16 03:15:00 AM,68.142,,,,,
67,06/15/16 03:30:00 AM,67.971,,,,,
68,06/15/16 03:45:00 AM,67.798,,,,,
69,06/15/16 04:00:00 AM,67.627,,,,,
70,06/15/16 04:15:00 AM,67.456,,,,,
71,06/15/16 04:30:00 AM,67.329,,,,,
72,06/15/16 04:45:00 AM,67.158,,,,,
