"Plot Title: Pl 2 (Harthorn)"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20116060, SEN S/N: 20116060)","Coupler Detached (LGR S/N: 20116060)","Coupler Attached (LGR S/N: 20116060)","Host Connected (LGR S/N: 20116060)","Stopped (LGR S/N: 20116060)","End Of File (LGR S/N: 20116060)"
1,06/22/17 03:00:00 PM,75.333,Logged,,,,
2,06/22/17 03:15:00 PM,75.853,,,,,
3,06/22/17 03:30:00 PM,76.332,,,,,
4,06/22/17 03:45:00 PM,76.811,,,,,
5,06/22/17 04:00:00 PM,77.029,,,,,
6,06/22/17 04:15:00 PM,77.072,,,,,
7,06/22/17 04:30:00 PM,76.854,,,,,
8,06/22/17 04:45:00 PM,76.419,,,,,
9,06/22/17 05:00:00 PM,75.853,,,,,
10,06/22/17 05:15:00 PM,75.160,,,,,
11,06/22/17 05:30:00 PM,74.640,,,,,
12,06/22/17 05:45:00 PM,74.295,,,,,
13,06/22/17 06:00:00 PM,73.904,,,,,
14,06/22/17 06:15:00 PM,73.602,,,,,
15,06/22/17 06:30:00 PM,73.429,,,,,
16,06/22/17 06:45:00 PM,73.256,,,,,
17,06/22/17 07:00:00 PM,73.083,,,,,
18,06/22/17 07:15:00 PM,72.912,,,,,
19,06/22/17 07:30:00 PM,72.912,,,,,
20,06/22/17 07:45:00 PM,72.826,,,,,
21,06/22/17 08:00:00 PM,72.653,,,,,
22,06/22/17 08:15:00 PM,72.394,,,,,
23,06/22/17 08:30:00 PM,72.007,,,,,
24,06/22/17 08:45:00 PM,71.577,,,,,
25,06/22/17 09:00:00 PM,71.103,,,,,
26,06/22/17 09:15:00 PM,70.630,,,,,
27,06/22/17 09:30:00 PM,70.329,,,,,
28,06/22/17 09:45:00 PM,70.029,,,,,
29,06/22/17 10:00:00 PM,69.771,,,,,
30,06/22/17 10:15:00 PM,69.514,,,,,
31,06/22/17 10:30:00 PM,69.300,,,,,
32,06/22/17 10:45:00 PM,69.042,,,,,
33,06/22/17 11:00:00 PM,68.785,,,,,
34,06/22/17 11:15:00 PM,68.527,,,,,
35,06/22/17 11:30:00 PM,68.313,,,,,
36,06/22/17 11:45:00 PM,68.056,,,,,
37,06/23/17 12:00:00 AM,67.842,,,,,
38,06/23/17 12:15:00 AM,67.586,,,,,
39,06/23/17 12:30:00 AM,67.372,,,,,
40,06/23/17 12:45:00 AM,67.158,,,,,
41,06/23/17 01:00:00 AM,66.943,,,,,
42,06/23/17 01:15:00 AM,66.729,,,,,
43,06/23/17 01:30:00 AM,66.558,,,,,
44,06/23/17 01:45:00 AM,66.385,,,,,
45,06/23/17 02:00:00 AM,66.258,,,,,
46,06/23/17 02:15:00 AM,66.130,,,,,
47,06/23/17 02:30:00 AM,66.000,,,,,
48,06/23/17 02:45:00 AM,65.916,,,,,
49,06/23/17 03:00:00 AM,65.829,,,,,
50,06/23/17 03:15:00 AM,65.701,,,,,
51,06/23/17 03:30:00 AM,65.615,,,,,
52,06/23/17 03:45:00 AM,65.444,,,,,
53,06/23/17 04:00:00 AM,65.188,,,,,
54,06/23/17 04:15:00 AM,64.845,,,,,
55,06/23/17 04:30:00 AM,64.589,,,,,
56,06/23/17 04:45:00 AM,64.332,,,,,
57,06/23/17 05:00:00 AM,63.990,,,,,
58,06/23/17 05:15:00 AM,63.732,,,,,
