"Plot Title: Sand Draw 2"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10719016, SEN S/N: 10719016)","Coupler Detached (LGR S/N: 10719016)","Coupler Attached (LGR S/N: 10719016)","Host Connected (LGR S/N: 10719016)","Stopped (LGR S/N: 10719016)","End Of File (LGR S/N: 10719016)"
1,06/21/17 04:00:00 PM,75.420,Logged,,,,
2,06/21/17 04:15:00 PM,75.637,,,,,
3,06/21/17 04:30:00 PM,75.810,,,,,
4,06/21/17 04:45:00 PM,75.898,,,,,
5,06/21/17 05:00:00 PM,75.853,,,,,
6,06/21/17 05:15:00 PM,75.810,,,,,
7,06/21/17 05:30:00 PM,75.637,,,,,
8,06/21/17 05:45:00 PM,75.508,,,,,
9,06/21/17 06:00:00 PM,75.420,,,,,
10,06/21/17 06:15:00 PM,75.376,,,,,
11,06/21/17 06:30:00 PM,75.333,,,,,
12,06/21/17 06:45:00 PM,75.160,,,,,
13,06/21/17 07:00:00 PM,74.899,,,,,
14,06/21/17 07:15:00 PM,74.727,,,,,
15,06/21/17 07:30:00 PM,74.424,,,,,
16,06/21/17 07:45:00 PM,74.120,,,,,
17,06/21/17 08:00:00 PM,73.818,,,,,
18,06/21/17 08:15:00 PM,73.558,,,,,
19,06/21/17 08:30:00 PM,73.342,,,,,
20,06/21/17 08:45:00 PM,73.083,,,,,
21,06/21/17 09:00:00 PM,72.826,,,,,
22,06/21/17 09:15:00 PM,72.523,,,,,
23,06/21/17 09:30:00 PM,72.178,,,,,
24,06/21/17 09:45:00 PM,71.877,,,,,
25,06/21/17 10:00:00 PM,71.577,,,,,
26,06/21/17 10:15:00 PM,71.231,,,,,
27,06/21/17 10:30:00 PM,70.846,,,,,
28,06/21/17 10:45:00 PM,70.502,,,,,
29,06/21/17 11:00:00 PM,70.158,,,,,
30,06/21/17 11:15:00 PM,69.858,,,,,
31,06/21/17 11:30:00 PM,69.514,,,,,
32,06/21/17 11:45:00 PM,69.213,,,,,
33,06/22/17 12:00:00 AM,68.871,,,,,
34,06/22/17 12:15:00 AM,68.571,,,,,
35,06/22/17 12:30:00 AM,68.227,,,,,
36,06/22/17 12:45:00 AM,67.928,,,,,
37,06/22/17 01:00:00 AM,67.627,,,,,
38,06/22/17 01:15:00 AM,67.329,,,,,
39,06/22/17 01:30:00 AM,67.028,,,,,
40,06/22/17 01:45:00 AM,66.772,,,,,
41,06/22/17 02:00:00 AM,66.515,,,,,
42,06/22/17 02:15:00 AM,66.301,,,,,
43,06/22/17 02:30:00 AM,66.043,,,,,
44,06/22/17 02:45:00 AM,65.872,,,,,
45,06/22/17 03:00:00 AM,65.658,,,,,
46,06/22/17 03:15:00 AM,65.487,,,,,
47,06/22/17 03:30:00 AM,65.316,,,,,
48,06/22/17 03:45:00 AM,65.145,,,,,
49,06/22/17 04:00:00 AM,65.017,,,,,
50,06/22/17 04:15:00 AM,64.845,,,,,
51,06/22/17 04:30:00 AM,64.674,,,,,
52,06/22/17 04:45:00 AM,64.459,,,,,
53,06/22/17 05:00:00 AM,64.247,,,,,
54,06/22/17 05:15:00 AM,64.074,,,,,
55,06/22/17 05:30:00 AM,63.862,,,,,
56,06/22/17 05:45:00 AM,63.732,,,,,
57,06/22/17 06:00:00 AM,63.604,,,,,
58,06/22/17 06:15:00 AM,63.433,,,,,
59,06/22/17 06:30:00 AM,63.304,,,,,
60,06/22/17 06:45:00 AM,63.219,,,,,
61,06/22/17 07:00:00 AM,63.176,,,,,
62,06/22/17 07:15:00 AM,63.133,,,,,
63,06/22/17 07:30:00 AM,63.090,,,,,
64,06/22/17 07:45:00 AM,63.005,,,,,
65,06/22/17 08:00:00 AM,62.962,,,,,
66,06/22/17 08:15:00 AM,62.919,,,,,
67,06/22/17 08:30:00 AM,62.875,,,,,
68,06/22/17 08:45:00 AM,62.962,,,,,
69,06/22/17 09:00:00 AM,63.048,,,,,
70,06/22/17 09:15:00 AM,63.133,,,,,
71,06/22/17 09:30:00 AM,63.133,,,,,
72,06/22/17 09:45:00 AM,63.133,,,,,
73,06/22/17 10:00:00 AM,63.304,,,,,
74,06/22/17 10:15:00 AM,63.648,,,,,
75,06/22/17 10:30:00 AM,63.990,,,,,
76,06/22/17 10:45:00 AM,64.332,,,,,
77,06/22/17 11:00:00 AM,64.589,,,,,
78,06/22/17 11:15:00 AM,65.017,,,,,
79,06/22/17 11:30:00 AM,65.403,,,,,
80,06/22/17 11:45:00 AM,65.658,,,,,
81,06/22/17 12:00:00 PM,65.829,,,,,
82,06/22/17 12:15:00 PM,66.258,,,,,
83,06/22/17 12:30:00 PM,66.643,,,,,
84,06/22/17 12:45:00 PM,67.071,,,,,
85,06/22/17 01:00:00 PM,67.627,,,,,
86,06/22/17 01:15:00 PM,68.099,,,,,
87,06/22/17 01:30:00 PM,68.527,,,,,
88,06/22/17 01:45:00 PM,68.698,,,,,
89,06/22/17 02:00:00 PM,68.742,,,,,
90,06/22/17 02:15:00 PM,68.698,,,,,
91,06/22/17 02:30:00 PM,68.956,,,,,
92,06/22/17 02:45:00 PM,69.386,,,,,
93,06/22/17 03:00:00 PM,69.901,,,,,
94,06/22/17 03:15:00 PM,70.243,,,,,
95,06/22/17 03:30:00 PM,70.372,,,,,
96,06/22/17 03:45:00 PM,70.459,,,,,
97,06/22/17 04:00:00 PM,70.459,,,,,
98,06/22/17 04:15:00 PM,70.372,,,,,
99,06/22/17 04:30:00 PM,70.243,,,,,
100,06/22/17 04:45:00 PM,70.029,,,,,
101,06/22/17 05:00:00 PM,69.728,,,,,
102,06/22/17 05:15:00 PM,69.514,,,,,
103,06/22/17 05:30:00 PM,69.300,,,,,
104,06/22/17 05:45:00 PM,69.300,,,,,
105,06/22/17 06:00:00 PM,69.386,,,,,
106,06/22/17 06:15:00 PM,69.300,,,,,
107,06/22/17 06:30:00 PM,69.170,,,,,
108,06/22/17 06:45:00 PM,68.956,,,,,
109,06/22/17 07:00:00 PM,68.698,,,,,
110,06/22/17 07:15:00 PM,68.484,,,,,
111,06/22/17 07:30:00 PM,68.313,,,,,
112,06/22/17 07:45:00 PM,68.099,,,,,
113,06/22/17 08:00:00 PM,67.842,,,,,
114,06/22/17 08:15:00 PM,67.543,,,,,
115,06/22/17 08:30:00 PM,67.242,,,,,
116,06/22/17 08:45:00 PM,67.028,,,,,
117,06/22/17 09:00:00 PM,66.814,,,,,
118,06/22/17 09:15:00 PM,66.558,,,,,
119,06/22/17 09:30:00 PM,66.258,,,,,
120,06/22/17 09:45:00 PM,65.916,,,,,
121,06/22/17 10:00:00 PM,65.530,,,,,
122,06/22/17 10:15:00 PM,65.188,,,,,
123,06/22/17 10:30:00 PM,64.803,,,,,
124,06/22/17 10:45:00 PM,64.459,,,,,
125,06/22/17 11:00:00 PM,64.074,,,,,
126,06/22/17 11:15:00 PM,63.732,,,,,
127,06/22/17 11:30:00 PM,63.433,,,,,
128,06/22/17 11:45:00 PM,63.090,,,,,
129,06/23/17 12:00:00 AM,62.748,,,,,
130,06/23/17 12:15:00 AM,62.447,,,,,
131,06/23/17 12:30:00 AM,62.148,,,,,
132,06/23/17 12:45:00 AM,61.848,,,,,
133,06/23/17 01:00:00 AM,61.590,,,,,
134,06/23/17 01:15:00 AM,61.376,,,,,
135,06/23/17 01:30:00 AM,61.162,,,,,
136,06/23/17 01:45:00 AM,60.991,,,,,
137,06/23/17 02:00:00 AM,60.818,,,,,
138,06/23/17 02:15:00 AM,60.690,,,,,
139,06/23/17 02:30:00 AM,60.561,,,,,
140,06/23/17 02:45:00 AM,60.390,,,,,
141,06/23/17 03:00:00 AM,60.260,,,,,
142,06/23/17 03:15:00 AM,60.132,,,,,
143,06/23/17 03:30:00 AM,59.916,,,,,
144,06/23/17 03:45:00 AM,59.702,,,,,
145,06/23/17 04:00:00 AM,59.529,,,,,
146,06/23/17 04:15:00 AM,59.358,,,,,
147,06/23/17 04:30:00 AM,59.185,,,,,
148,06/23/17 04:45:00 AM,59.014,,,,,
149,06/23/17 05:00:00 AM,58.842,,,,,
150,06/23/17 05:15:00 AM,58.669,,,,,
151,06/23/17 05:30:00 AM,58.541,,,,,
152,06/23/17 05:45:00 AM,58.368,,,,,
153,06/23/17 06:00:00 AM,58.195,,,,,
154,06/23/17 06:15:00 AM,58.066,,,,,
155,06/23/17 06:30:00 AM,57.893,,,,,
156,06/23/17 06:45:00 AM,57.765,,,,,
157,06/23/17 07:00:00 AM,57.636,,,,,
158,06/23/17 07:15:00 AM,57.463,,,,,
159,06/23/17 07:30:00 AM,57.333,,,,,
160,06/23/17 07:45:00 AM,57.204,,,,,
161,06/23/17 08:00:00 AM,57.117,,,,,
162,06/23/17 08:15:00 AM,56.988,,,,,
163,06/23/17 08:30:00 AM,56.901,,,,,
164,06/23/17 08:45:00 AM,56.815,,,,,
165,06/23/17 09:00:00 AM,56.815,,,,,
166,06/23/17 09:15:00 AM,56.944,,,,,
167,06/23/17 09:30:00 AM,57.204,,,,,
168,06/23/17 09:45:00 AM,57.549,,,,,
169,06/23/17 10:00:00 AM,57.807,,,,,
170,06/23/17 10:15:00 AM,58.066,,,,,
171,06/23/17 10:30:00 AM,58.498,,,,,
172,06/23/17 10:45:00 AM,58.885,,,,,
173,06/23/17 11:00:00 AM,59.358,,,,,
174,06/23/17 11:15:00 AM,59.830,,,,,
175,06/23/17 11:30:00 AM,60.132,,,,,
176,06/23/17 11:45:00 AM,60.433,,,,,
177,06/23/17 12:00:00 PM,60.904,,,,,
178,06/23/17 12:15:00 PM,61.248,,,,,
179,06/23/17 12:30:00 PM,61.590,,,,,
180,06/23/17 12:45:00 PM,62.105,,,,,
181,06/23/17 01:00:00 PM,62.447,,,,,
