"Plot Title: Schlagel WMA"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 10739500, SEN S/N: 10739500)","Coupler Detached (LGR S/N: 10739500)","Coupler Attached (LGR S/N: 10739500)","Host Connected (LGR S/N: 10739500)","Stopped (LGR S/N: 10739500)","End Of File (LGR S/N: 10739500)"
1,06/01/17 11:00:00 AM,64.803,Logged,,,,
2,06/01/17 11:15:00 AM,65.530,,,,,
3,06/01/17 11:30:00 AM,66.258,,,,,
4,06/01/17 11:45:00 AM,66.985,,,,,
5,06/01/17 12:00:00 PM,67.757,,,,,
6,06/01/17 12:15:00 PM,68.527,,,,,
7,06/01/17 12:30:00 PM,69.256,,,,,
8,06/01/17 12:45:00 PM,69.985,,,,,
9,06/01/17 01:00:00 PM,70.673,,,,,
10,06/01/17 01:15:00 PM,71.317,,,,,
11,06/01/17 01:30:00 PM,71.964,,,,,
12,06/01/17 01:45:00 PM,72.610,,,,,
13,06/01/17 02:00:00 PM,73.213,,,,,
14,06/01/17 02:15:00 PM,73.774,,,,,
15,06/01/17 02:30:00 PM,74.250,,,,,
16,06/01/17 02:45:00 PM,74.683,,,,,
17,06/01/17 03:00:00 PM,75.029,,,,,
18,06/01/17 03:15:00 PM,75.376,,,,,
19,06/01/17 03:30:00 PM,75.681,,,,,
20,06/01/17 03:45:00 PM,75.942,,,,,
21,06/01/17 04:00:00 PM,76.114,,,,,
22,06/01/17 04:15:00 PM,76.289,,,,,
23,06/01/17 04:30:00 PM,76.375,,,,,
24,06/01/17 04:45:00 PM,76.419,,,,,
25,06/01/17 05:00:00 PM,76.419,,,,,
26,06/01/17 05:15:00 PM,76.375,,,,,
27,06/01/17 05:30:00 PM,76.289,,,,,
28,06/01/17 05:45:00 PM,76.203,,,,,
29,06/01/17 06:00:00 PM,76.071,,,,,
30,06/01/17 06:15:00 PM,75.767,,,,,
31,06/01/17 06:30:00 PM,75.508,,,,,
32,06/01/17 06:45:00 PM,75.247,,,,,
33,06/01/17 07:00:00 PM,74.899,,,,,
34,06/01/17 07:15:00 PM,74.554,,,,,
35,06/01/17 07:30:00 PM,74.120,,,,,
36,06/01/17 07:45:00 PM,73.688,,,,,
37,06/01/17 08:00:00 PM,73.299,,,,,
38,06/01/17 08:15:00 PM,72.826,,,,,
39,06/01/17 08:30:00 PM,72.351,,,,,
40,06/01/17 08:45:00 PM,71.964,,,,,
41,06/01/17 09:00:00 PM,71.533,,,,,
42,06/01/17 09:15:00 PM,71.103,,,,,
43,06/01/17 09:30:00 PM,70.716,,,,,
44,06/01/17 09:45:00 PM,70.286,,,,,
45,06/01/17 10:00:00 PM,69.858,,,,,
46,06/01/17 10:15:00 PM,69.471,,,,,
47,06/01/17 10:30:00 PM,69.085,,,,,
48,06/01/17 10:45:00 PM,68.698,,,,,
49,06/01/17 11:00:00 PM,68.313,,,,,
50,06/01/17 11:15:00 PM,67.971,,,,,
51,06/01/17 11:30:00 PM,67.671,,,,,
52,06/01/17 11:45:00 PM,67.329,,,,,
53,06/02/17 12:00:00 AM,67.071,,,,,
54,06/02/17 12:15:00 AM,66.814,,,,,
55,06/02/17 12:30:00 AM,66.600,,,,,
56,06/02/17 12:45:00 AM,66.385,,,,,
57,06/02/17 01:00:00 AM,66.214,,,,,
58,06/02/17 01:15:00 AM,66.043,,,,,
59,06/02/17 01:30:00 AM,65.916,,,,,
60,06/02/17 01:45:00 AM,65.788,,,,,
61,06/02/17 02:00:00 AM,65.658,,,,,
62,06/02/17 02:15:00 AM,65.574,,,,,
63,06/02/17 02:30:00 AM,65.487,,,,,
64,06/02/17 02:45:00 AM,65.403,,,,,
65,06/02/17 03:00:00 AM,65.359,,,,,
66,06/02/17 03:15:00 AM,65.273,,,,,
67,06/02/17 03:30:00 AM,65.230,,,,,
68,06/02/17 03:45:00 AM,65.188,,,,,
69,06/02/17 04:00:00 AM,65.145,,,,,
70,06/02/17 04:15:00 AM,65.102,,,,,
71,06/02/17 04:30:00 AM,65.059,,,,,
72,06/02/17 04:45:00 AM,65.059,,,,,
73,06/02/17 05:00:00 AM,65.017,,,,,
74,06/02/17 05:15:00 AM,65.017,,,,,
75,06/02/17 05:30:00 AM,64.974,,,,,
76,06/02/17 05:45:00 AM,64.974,,,,,
77,06/02/17 06:00:00 AM,64.931,,,,,
78,06/02/17 06:15:00 AM,64.931,,,,,
79,06/02/17 06:30:00 AM,64.931,,,,,
80,06/02/17 06:45:00 AM,64.931,,,,,
81,06/02/17 07:00:00 AM,64.931,,,,,
82,06/02/17 07:15:00 AM,64.974,,,,,
83,06/02/17 07:30:00 AM,65.017,,,,,
84,06/02/17 07:45:00 AM,65.145,,,,,
85,06/02/17 08:00:00 AM,65.273,,,,,
86,06/02/17 08:15:00 AM,65.487,,,,,
87,06/02/17 08:30:00 AM,65.658,,,,,
88,06/02/17 08:45:00 AM,65.959,,,,,
89,06/02/17 09:00:00 AM,66.258,,,,,
90,06/02/17 09:15:00 AM,66.643,,,,,
91,06/02/17 09:30:00 AM,67.071,,,,,
92,06/02/17 09:45:00 AM,67.500,,,,,
93,06/02/17 10:00:00 AM,68.013,,,,,
94,06/02/17 10:15:00 AM,68.571,,,,,
95,06/02/17 10:30:00 AM,69.129,,,,,
96,06/02/17 10:45:00 AM,69.771,,,,,
97,06/02/17 11:00:00 AM,70.416,,,,,
98,06/02/17 11:15:00 AM,71.103,,,,,
99,06/02/17 11:30:00 AM,71.748,,,,,
100,06/02/17 11:45:00 AM,72.480,,,,,
101,06/02/17 12:00:00 PM,73.170,,,,,
102,06/02/17 12:15:00 PM,73.818,,,,,
103,06/02/17 12:30:00 PM,74.424,,,,,
104,06/02/17 12:45:00 PM,75.074,,,,,
105,06/02/17 01:00:00 PM,75.681,,,,,
106,06/02/17 01:15:00 PM,76.289,,,,,
107,06/02/17 01:30:00 PM,76.811,,,,,
108,06/02/17 01:45:00 PM,77.247,,,,,
109,06/02/17 02:00:00 PM,77.684,,,,,
110,06/02/17 02:15:00 PM,78.121,,,,,
111,06/02/17 02:30:00 PM,78.471,,,,,
112,06/02/17 02:45:00 PM,78.777,,,,,
113,06/02/17 03:00:00 PM,79.084,,,,,
114,06/02/17 03:15:00 PM,79.304,,,,,
115,06/02/17 03:30:00 PM,79.524,,,,,
116,06/02/17 03:45:00 PM,79.655,,,,,
117,06/02/17 04:00:00 PM,79.743,,,,,
118,06/02/17 04:15:00 PM,79.831,,,,,
119,06/02/17 04:30:00 PM,79.876,,,,,
120,06/02/17 04:45:00 PM,79.831,,,,,
121,06/02/17 05:00:00 PM,79.743,,,,,
122,06/02/17 05:15:00 PM,79.655,,,,,
123,06/02/17 05:30:00 PM,79.524,,,,,
124,06/02/17 05:45:00 PM,79.304,,,,,
125,06/02/17 06:00:00 PM,79.041,,,,,
126,06/02/17 06:15:00 PM,78.777,,,,,
127,06/02/17 06:30:00 PM,78.339,,,,,
128,06/02/17 06:45:00 PM,77.770,,,,,
129,06/02/17 07:00:00 PM,77.247,,,,,
130,06/02/17 07:15:00 PM,76.725,,,,,
131,06/02/17 07:30:00 PM,76.289,,,,,
132,06/02/17 07:45:00 PM,75.898,,,,,
133,06/02/17 08:00:00 PM,75.463,,,,,
134,06/02/17 08:15:00 PM,74.943,,,,,
135,06/02/17 08:30:00 PM,74.467,,,,,
136,06/02/17 08:45:00 PM,73.947,,,,,
137,06/02/17 09:00:00 PM,73.429,,,,,
138,06/02/17 09:15:00 PM,72.912,,,,,
139,06/02/17 09:30:00 PM,72.480,,,,,
140,06/02/17 09:45:00 PM,72.050,,,,,
141,06/02/17 10:00:00 PM,71.661,,,,,
142,06/02/17 10:15:00 PM,71.274,,,,,
143,06/02/17 10:30:00 PM,70.930,,,,,
144,06/02/17 10:45:00 PM,70.587,,,,,
145,06/02/17 11:00:00 PM,70.286,,,,,
146,06/02/17 11:15:00 PM,70.029,,,,,
147,06/02/17 11:30:00 PM,69.771,,,,,
148,06/02/17 11:45:00 PM,69.557,,,,,
149,06/03/17 12:00:00 AM,69.343,,,,,
150,06/03/17 12:15:00 AM,69.170,,,,,
151,06/03/17 12:30:00 AM,68.999,,,,,
152,06/03/17 12:45:00 AM,68.871,,,,,
153,06/03/17 01:00:00 AM,68.742,,,,,
154,06/03/17 01:15:00 AM,68.614,,,,,
155,06/03/17 01:30:00 AM,68.527,,,,,
156,06/03/17 01:45:00 AM,68.443,,,,,
157,06/03/17 02:00:00 AM,68.356,,,,,
158,06/03/17 02:15:00 AM,68.313,,,,,
159,06/03/17 02:30:00 AM,68.270,,,,,
160,06/03/17 02:45:00 AM,68.227,,,,,
161,06/03/17 03:00:00 AM,68.185,,,,,
162,06/03/17 03:15:00 AM,68.185,,,,,
163,06/03/17 03:30:00 AM,68.142,,,,,
164,06/03/17 03:45:00 AM,68.185,,,,,
165,06/03/17 04:00:00 AM,68.185,,,,,
166,06/03/17 04:15:00 AM,68.185,,,,,
167,06/03/17 04:30:00 AM,68.185,,,,,
168,06/03/17 04:45:00 AM,68.227,,,,,
169,06/03/17 05:00:00 AM,68.227,,,,,
170,06/03/17 05:15:00 AM,68.227,,,,,
171,06/03/17 05:30:00 AM,68.270,,,,,
172,06/03/17 05:45:00 AM,68.270,,,,,
173,06/03/17 06:00:00 AM,68.270,,,,,
174,06/03/17 06:15:00 AM,68.270,,,,,
175,06/03/17 06:30:00 AM,68.270,,,,,
176,06/03/17 06:45:00 AM,68.313,,,,,
177,06/03/17 07:00:00 AM,68.313,,,,,
178,06/03/17 07:15:00 AM,68.356,,,,,
179,06/03/17 07:30:00 AM,68.400,,,,,
180,06/03/17 07:45:00 AM,68.443,,,,,
181,06/03/17 08:00:00 AM,68.484,,,,,
182,06/03/17 08:15:00 AM,68.527,,,,,
183,06/03/17 08:30:00 AM,68.527,,,,,
184,06/03/17 08:45:00 AM,68.527,,,,,
185,06/03/17 09:00:00 AM,68.527,,,,,
186,06/03/17 09:15:00 AM,68.571,,,,,
187,06/03/17 09:30:00 AM,68.657,,,,,
188,06/03/17 09:45:00 AM,68.742,,,,,
189,06/03/17 10:00:00 AM,68.785,,,,,
190,06/03/17 10:15:00 AM,68.785,,,,,
191,06/03/17 10:30:00 AM,68.828,,,,,
192,06/03/17 10:45:00 AM,68.828,,,,,
193,06/03/17 11:00:00 AM,68.871,,,,,
194,06/03/17 11:15:00 AM,68.913,,,,,
195,06/03/17 11:30:00 AM,68.999,,,,,
196,06/03/17 11:45:00 AM,69.085,,,,,
197,06/03/17 12:00:00 PM,69.213,,,,,
198,06/03/17 12:15:00 PM,69.343,,,,,
199,06/03/17 12:30:00 PM,69.514,,,,,
200,06/03/17 12:45:00 PM,69.728,,,,,
201,06/03/17 01:00:00 PM,70.072,,,,,
202,06/03/17 01:15:00 PM,70.502,,,,,
203,06/03/17 01:30:00 PM,71.146,,,,,
